Test Case: H20SXM_apex_fused_layer_norm_cuda.rms_forward
|   M   |   N   |  _val   | _val(1) |   input_shape    | dtype | duration_min(us) | duration_mean(us) | duration_max(us) | theory_latency(us) | flops_1D | flops_SFU |    io    | flops_efficiency_1D | flops_efficiency_SFU | io_efficiency |
|   1   |  32   |  [32]   | 0.0001  |    [[1, 32]]     | bf16  |       1.99       |        2.0        |       2.01       |        2.0         | 2.56e+02 | 3.20e+01  | 6.40e+01 |        0.0%         |         0.0%         |     0.0%      |
|   2   |  32   |  [32]   | 0.0001  |    [[2, 32]]     | bf16  |       2.0        |       2.03        |       2.06       |        2.0         | 5.12e+02 | 6.40e+01  | 1.28e+02 |        0.0%         |         0.0%         |     0.0%      |
|   4   |  32   |  [32]   | 0.0001  |    [[4, 32]]     | bf16  |       2.04       |       2.06        |       2.08       |        2.0         | 1.02e+03 | 1.28e+02  | 2.56e+02 |        0.0%         |         0.0%         |     0.01%     |
|   8   |  32   |  [32]   | 0.0001  |    [[8, 32]]     | bf16  |       2.05       |       2.07        |       2.1        |        2.0         | 2.05e+03 | 2.56e+02  | 5.12e+02 |        0.0%         |         0.0%         |     0.01%     |
|  16   |  32   |  [32]   | 0.0001  |    [[16, 32]]    | bf16  |       2.07       |        2.1        |       2.14       |        2.0         | 4.10e+03 | 5.12e+02  | 1.02e+03 |        0.0%         |         0.0%         |     0.02%     |
|  32   |  32   |  [32]   | 0.0001  |    [[32, 32]]    | bf16  |       2.08       |       2.09        |       2.12       |        2.0         | 8.19e+03 | 1.02e+03  | 2.05e+03 |        0.01%        |        0.01%         |     0.05%     |
|  64   |  32   |  [32]   | 0.0001  |    [[64, 32]]    | bf16  |       2.12       |       2.13        |       2.16       |        2.0         | 1.64e+04 | 2.05e+03  | 4.10e+03 |        0.02%        |        0.02%         |     0.1%      |
|  128  |  32   |  [32]   | 0.0001  |   [[128, 32]]    | bf16  |       2.33       |       2.37        |       2.39       |        2.01        | 3.28e+04 | 4.10e+03  | 8.19e+03 |        0.03%        |        0.03%         |     0.18%     |
|  256  |  32   |  [32]   | 0.0001  |   [[256, 32]]    | bf16  |       2.43       |       2.45        |       2.47       |        2.01        | 6.55e+04 | 8.19e+03  | 1.64e+04 |        0.06%        |        0.06%         |     0.34%     |
|  512  |  32   |  [32]   | 0.0001  |   [[512, 32]]    | bf16  |       2.68       |       2.69        |       2.71       |        2.02        | 1.31e+05 | 1.64e+04  | 3.28e+04 |        0.11%        |        0.11%         |     0.61%     |
| 1024  |  32   |  [32]   | 0.0001  |   [[1024, 32]]   | bf16  |       3.5        |       3.53        |       3.55       |        2.04        | 2.62e+05 | 3.28e+04  | 6.55e+04 |        0.17%        |        0.17%         |     0.94%     |
| 2048  |  32   |  [32]   | 0.0001  |   [[2048, 32]]   | bf16  |       4.65       |       4.67        |       4.69       |        2.08        | 5.24e+05 | 6.55e+04  | 1.31e+05 |        0.26%        |        0.26%         |     1.41%     |
| 4096  |  32   |  [32]   | 0.0001  |   [[4096, 32]]   | bf16  |       6.89       |       6.92        |       6.94       |        2.16        | 1.05e+06 | 1.31e+05  | 2.62e+05 |        0.35%        |        0.35%         |     1.9%      |
| 8192  |  32   |  [32]   | 0.0001  |   [[8192, 32]]   | bf16  |      11.63       |       11.66       |      11.71       |        2.33        | 2.10e+06 | 2.62e+05  | 5.24e+05 |        0.41%        |        0.41%         |     2.25%     |
| 16384 |  32   |  [32]   | 0.0001  |  [[16384, 32]]   | bf16  |      21.25       |       21.27       |      21.31       |        2.66        | 4.19e+06 | 5.24e+05  | 1.05e+06 |        0.45%        |        0.45%         |     2.47%     |
| 32768 |  32   |  [32]   | 0.0001  |  [[32768, 32]]   | bf16  |      40.44       |       40.5        |      40.54       |        3.31        | 8.39e+06 | 1.05e+06  | 2.10e+06 |        0.47%        |        0.47%         |     2.59%     |
| 65536 |  32   |  [32]   | 0.0001  |  [[65536, 32]]   | bf16  |      78.84       |       78.92       |      78.96       |        4.62        | 1.68e+07 | 2.10e+06  | 4.19e+06 |        0.48%        |        0.48%         |     2.66%     |
|   1   |  64   |  [64]   | 0.0001  |    [[1, 64]]     | bf16  |       2.18       |       2.22        |       2.28       |        2.0         | 5.12e+02 | 6.40e+01  | 1.28e+02 |        0.0%         |         0.0%         |     0.0%      |
|   2   |  64   |  [64]   | 0.0001  |    [[2, 64]]     | bf16  |       2.2        |       2.23        |       2.26       |        2.0         | 1.02e+03 | 1.28e+02  | 2.56e+02 |        0.0%         |         0.0%         |     0.01%     |
|   4   |  64   |  [64]   | 0.0001  |    [[4, 64]]     | bf16  |       2.23       |       2.25        |       2.3        |        2.0         | 2.05e+03 | 2.56e+02  | 5.12e+02 |        0.0%         |         0.0%         |     0.01%     |
|   8   |  64   |  [64]   | 0.0001  |    [[8, 64]]     | bf16  |       2.24       |       2.26        |       2.3        |        2.0         | 4.10e+03 | 5.12e+02  | 1.02e+03 |        0.0%         |         0.0%         |     0.02%     |
|  16   |  64   |  [64]   | 0.0001  |    [[16, 64]]    | bf16  |       2.26       |       2.28        |       2.31       |        2.0         | 8.19e+03 | 1.02e+03  | 2.05e+03 |        0.01%        |        0.01%         |     0.05%     |
|  32   |  64   |  [64]   | 0.0001  |    [[32, 64]]    | bf16  |       2.28       |       2.31        |       2.36       |        2.0         | 1.64e+04 | 2.05e+03  | 4.10e+03 |        0.02%        |        0.02%         |     0.09%     |
|  64   |  64   |  [64]   | 0.0001  |    [[64, 64]]    | bf16  |       2.32       |       2.33        |       2.35       |        2.01        | 3.28e+04 | 4.10e+03  | 8.19e+03 |        0.03%        |        0.03%         |     0.18%     |
|  128  |  64   |  [64]   | 0.0001  |   [[128, 64]]    | bf16  |       2.32       |       2.35        |       2.4        |        2.01        | 6.55e+04 | 8.19e+03  | 1.64e+04 |        0.06%        |        0.06%         |     0.35%     |
|  256  |  64   |  [64]   | 0.0001  |   [[256, 64]]    | bf16  |       2.45       |       2.48        |       2.51       |        2.02        | 1.31e+05 | 1.64e+04  | 3.28e+04 |        0.12%        |        0.12%         |     0.67%     |
|  512  |  64   |  [64]   | 0.0001  |   [[512, 64]]    | bf16  |       2.65       |       2.67        |       2.69       |        2.04        | 2.62e+05 | 3.28e+04  | 6.55e+04 |        0.22%        |        0.22%         |     1.24%     |
| 1024  |  64   |  [64]   | 0.0001  |   [[1024, 64]]   | bf16  |       3.49       |       3.51        |       3.55       |        2.08        | 5.24e+05 | 6.55e+04  | 1.31e+05 |        0.34%        |        0.34%         |     1.88%     |
| 2048  |  64   |  [64]   | 0.0001  |   [[2048, 64]]   | bf16  |       4.65       |       4.67        |       4.69       |        2.16        | 1.05e+06 | 1.31e+05  | 2.62e+05 |        0.51%        |        0.51%         |     2.82%     |
| 4096  |  64   |  [64]   | 0.0001  |   [[4096, 64]]   | bf16  |       6.97       |       7.01        |       7.06       |        2.33        | 2.10e+06 | 2.62e+05  | 5.24e+05 |        0.68%        |        0.68%         |     3.76%     |
| 8192  |  64   |  [64]   | 0.0001  |   [[8192, 64]]   | bf16  |      11.77       |       11.8        |      11.84       |        2.66        | 4.19e+06 | 5.24e+05  | 1.05e+06 |        0.81%        |        0.81%         |     4.45%     |
| 16384 |  64   |  [64]   | 0.0001  |  [[16384, 64]]   | bf16  |      21.55       |       21.58       |      21.61       |        3.31        | 8.39e+06 | 1.05e+06  | 2.10e+06 |        0.88%        |        0.88%         |     4.87%     |
| 32768 |  64   |  [64]   | 0.0001  |  [[32768, 64]]   | bf16  |      41.02       |       41.07       |       41.1       |        4.62        | 1.68e+07 | 2.10e+06  | 4.19e+06 |        0.93%        |        0.93%         |     5.11%     |
| 65536 |  64   |  [64]   | 0.0001  |  [[65536, 64]]   | bf16  |      80.04       |       80.11       |      80.15       |        7.24        | 3.36e+07 | 4.19e+06  | 8.39e+06 |        0.95%        |        0.95%         |     5.24%     |
|   1   |  128  |  [128]  | 0.0001  |    [[1, 128]]    | bf16  |       2.16       |       2.19        |       2.21       |        2.0         | 1.02e+03 | 1.28e+02  | 2.56e+02 |        0.0%         |         0.0%         |     0.01%     |
|   2   |  128  |  [128]  | 0.0001  |    [[2, 128]]    | bf16  |       2.19       |       2.21        |       2.23       |        2.0         | 2.05e+03 | 2.56e+02  | 5.12e+02 |        0.0%         |         0.0%         |     0.01%     |
|   4   |  128  |  [128]  | 0.0001  |    [[4, 128]]    | bf16  |       2.21       |       2.23        |       2.25       |        2.0         | 4.10e+03 | 5.12e+02  | 1.02e+03 |        0.0%         |         0.0%         |     0.02%     |
|   8   |  128  |  [128]  | 0.0001  |    [[8, 128]]    | bf16  |       2.23       |       2.25        |       2.29       |        2.0         | 8.19e+03 | 1.02e+03  | 2.05e+03 |        0.01%        |        0.01%         |     0.05%     |
|  16   |  128  |  [128]  | 0.0001  |   [[16, 128]]    | bf16  |       2.22       |       2.27        |       2.31       |        2.0         | 1.64e+04 | 2.05e+03  | 4.10e+03 |        0.02%        |        0.02%         |     0.09%     |
|  32   |  128  |  [128]  | 0.0001  |   [[32, 128]]    | bf16  |       2.26       |       2.29        |       2.3        |        2.01        | 3.28e+04 | 4.10e+03  | 8.19e+03 |        0.03%        |        0.03%         |     0.18%     |
|  64   |  128  |  [128]  | 0.0001  |   [[64, 128]]    | bf16  |       2.33       |       2.35        |       2.38       |        2.01        | 6.55e+04 | 8.19e+03  | 1.64e+04 |        0.06%        |        0.06%         |     0.35%     |
|  128  |  128  |  [128]  | 0.0001  |   [[128, 128]]   | bf16  |       2.34       |       2.36        |       2.38       |        2.02        | 1.31e+05 | 1.64e+04  | 3.28e+04 |        0.13%        |        0.13%         |     0.7%      |
|  256  |  128  |  [128]  | 0.0001  |   [[256, 128]]   | bf16  |       2.43       |       2.45        |       2.48       |        2.04        | 2.62e+05 | 3.28e+04  | 6.55e+04 |        0.25%        |        0.25%         |     1.35%     |
|  512  |  128  |  [128]  | 0.0001  |   [[512, 128]]   | bf16  |       2.66       |       2.68        |       2.71       |        2.08        | 5.24e+05 | 6.55e+04  | 1.31e+05 |        0.45%        |        0.45%         |     2.46%     |
| 1024  |  128  |  [128]  | 0.0001  |  [[1024, 128]]   | bf16  |       3.51       |       3.53        |       3.56       |        2.16        | 1.05e+06 | 1.31e+05  | 2.62e+05 |        0.68%        |        0.68%         |     3.73%     |
| 2048  |  128  |  [128]  | 0.0001  |  [[2048, 128]]   | bf16  |       4.71       |       4.74        |       4.78       |        2.33        | 2.10e+06 | 2.62e+05  | 5.24e+05 |        1.01%        |        1.01%         |     5.57%     |
| 4096  |  128  |  [128]  | 0.0001  |  [[4096, 128]]   | bf16  |       7.08       |        7.1        |       7.15       |        2.66        | 4.19e+06 | 5.24e+05  | 1.05e+06 |        1.35%        |        1.35%         |     7.41%     |
| 8192  |  128  |  [128]  | 0.0001  |  [[8192, 128]]   | bf16  |      12.04       |       12.08       |      12.11       |        3.31        | 8.39e+06 | 1.05e+06  | 2.10e+06 |        1.58%        |        1.58%         |     8.71%     |
| 16384 |  128  |  [128]  | 0.0001  |  [[16384, 128]]  | bf16  |      21.95       |       21.99       |      22.04       |        4.62        | 1.68e+07 | 2.10e+06  | 4.19e+06 |        1.74%        |        1.74%         |     9.55%     |
