Test Case: H20SXM_apex_fused_rotary_positional_embedding.backward
|  M  |  N  |      _tensor       | _val  |      input_shape       | dtype | duration_min(us) | duration_mean(us) | duration_max(us) | theory_latency(us) |  flops   |    io    | flops_efficiency | io_efficiency |
|  2  | 16  |   [1, 1, 1, 16]    | True  |    [[1, 1, 2, 16]]     | bf16  |       2.27       |       2.32        |       2.37       |        2.0         | 5.12e+02 | 6.40e+01 |       0.0%       |     0.0%      |
|  2  | 16  |   [2, 1, 1, 16]    | True  |    [[2, 1, 2, 16]]     | bf16  |       2.27       |        2.3        |       2.33       |        2.0         | 1.02e+03 | 1.28e+02 |       0.0%       |     0.0%      |
|  2  | 16  |   [4, 1, 1, 16]    | True  |    [[4, 1, 2, 16]]     | bf16  |       2.32       |       2.34        |       2.37       |        2.0         | 2.05e+03 | 2.56e+02 |       0.0%       |     0.01%     |
|  2  | 16  |  [256, 1, 1, 16]   | True  |   [[256, 1, 2, 16]]    | bf16  |       2.48       |       2.52        |       2.56       |        2.01        | 1.31e+05 | 1.64e+04 |      0.12%       |     0.33%     |
|  2  | 16  |  [512, 1, 1, 16]   | True  |   [[512, 1, 2, 16]]    | bf16  |       2.71       |       2.74        |       2.79       |        2.02        | 2.62e+05 | 3.28e+04 |      0.22%       |     0.6%      |
|  2  | 16  |  [1024, 1, 1, 16]  | True  |   [[1024, 1, 2, 16]]   | bf16  |       3.23       |       3.26        |       3.3        |        2.04        | 5.24e+05 | 6.55e+04 |      0.37%       |     1.01%     |
|  2  | 16  |  [2048, 1, 1, 16]  | True  |   [[2048, 1, 2, 16]]   | bf16  |       4.42       |       4.44        |       4.47       |        2.08        | 1.05e+06 | 1.31e+05 |      0.54%       |     1.48%     |
|  2  | 16  |  [4096, 1, 1, 16]  | True  |   [[4096, 1, 2, 16]]   | bf16  |       6.68       |       6.71        |       6.75       |        2.16        | 2.10e+06 | 2.62e+05 |      0.71%       |     1.96%     |
|  2  | 16  |  [8192, 1, 1, 16]  | True  |   [[8192, 1, 2, 16]]   | bf16  |       11.2       |       11.24       |      11.29       |        2.33        | 4.19e+06 | 5.24e+05 |      0.85%       |     2.34%     |
|  2  | 16  | [16384, 1, 1, 16]  | True  |  [[16384, 1, 2, 16]]   | bf16  |      20.21       |       20.25       |      20.29       |        2.66        | 8.39e+06 | 1.05e+06 |      0.94%       |     2.59%     |
|  2  | 16  | [32768, 1, 1, 16]  | True  |  [[32768, 1, 2, 16]]   | bf16  |      38.23       |       38.28       |      38.33       |        3.31        | 1.68e+07 | 2.10e+06 |       1.0%       |     2.74%     |
|  2  | 16  | [65536, 1, 1, 16]  | True  |  [[65536, 1, 2, 16]]   | bf16  |      74.31       |       74.35       |       74.4       |        4.62        | 3.36e+07 | 4.19e+06 |      1.03%       |     2.82%     |
|  4  | 16  |   [1, 1, 1, 16]    | True  |    [[1, 1, 4, 16]]     | bf16  |       2.28       |        2.3        |       2.32       |        2.0         | 1.02e+03 | 1.28e+02 |       0.0%       |     0.0%      |
|  4  | 16  |   [2, 1, 1, 16]    | True  |    [[2, 1, 4, 16]]     | bf16  |       2.24       |       2.29        |       2.34       |        2.0         | 2.05e+03 | 2.56e+02 |       0.0%       |     0.01%     |
|  4  | 16  |   [4, 1, 1, 16]    | True  |    [[4, 1, 4, 16]]     | bf16  |       2.32       |       2.37        |       2.42       |        2.0         | 4.10e+03 | 5.12e+02 |       0.0%       |     0.01%     |
|  4  | 16  |  [256, 1, 1, 16]   | True  |   [[256, 1, 4, 16]]    | bf16  |       2.5        |       2.54        |       2.58       |        2.02        | 2.62e+05 | 3.28e+04 |      0.24%       |     0.66%     |
|  4  | 16  |  [512, 1, 1, 16]   | True  |   [[512, 1, 4, 16]]    | bf16  |       2.72       |       2.74        |       2.75       |        2.04        | 5.24e+05 | 6.55e+04 |      0.44%       |     1.2%      |
|  4  | 16  |  [1024, 1, 1, 16]  | True  |   [[1024, 1, 4, 16]]   | bf16  |       3.35       |       3.41        |       3.47       |        2.08        | 1.05e+06 | 1.31e+05 |      0.71%       |     1.96%     |
|  4  | 16  |  [2048, 1, 1, 16]  | True  |   [[2048, 1, 4, 16]]   | bf16  |       4.67       |       4.69        |       4.72       |        2.16        | 2.10e+06 | 2.62e+05 |      1.02%       |     2.81%     |
|  4  | 16  |  [4096, 1, 1, 16]  | True  |   [[4096, 1, 4, 16]]   | bf16  |       7.24       |       7.27        |       7.3        |        2.33        | 4.19e+06 | 5.24e+05 |      1.32%       |     3.62%     |
|  4  | 16  |  [8192, 1, 1, 16]  | True  |   [[8192, 1, 4, 16]]   | bf16  |      12.38       |       12.42       |      12.46       |        2.66        | 8.39e+06 | 1.05e+06 |      1.54%       |     4.23%     |
|  4  | 16  | [16384, 1, 1, 16]  | True  |  [[16384, 1, 4, 16]]   | bf16  |      22.68       |       22.72       |      22.76       |        3.31        | 1.68e+07 | 2.10e+06 |      1.68%       |     4.62%     |
|  4  | 16  | [32768, 1, 1, 16]  | True  |  [[32768, 1, 4, 16]]   | bf16  |      43.15       |       43.23       |      43.29       |        4.62        | 3.36e+07 | 4.19e+06 |      1.77%       |     4.86%     |
|  4  | 16  | [65536, 1, 1, 16]  | True  |  [[65536, 1, 4, 16]]   | bf16  |      84.37       |       84.43       |      84.49       |        7.24        | 6.71e+07 | 8.39e+06 |      1.81%       |     4.97%     |
|  8  | 16  |   [1, 1, 1, 16]    | True  |    [[1, 1, 8, 16]]     | bf16  |       2.46       |       2.49        |       2.52       |        2.0         | 2.05e+03 | 2.56e+02 |       0.0%       |     0.01%     |
|  8  | 16  |   [2, 1, 1, 16]    | True  |    [[2, 1, 8, 16]]     | bf16  |       2.47       |       2.51        |       2.55       |        2.0         | 4.10e+03 | 5.12e+02 |       0.0%       |     0.01%     |
|  8  | 16  |   [4, 1, 1, 16]    | True  |    [[4, 1, 8, 16]]     | bf16  |       2.5        |       2.51        |       2.53       |        2.0         | 8.19e+03 | 1.02e+03 |      0.01%       |     0.02%     |
|  8  | 16  |  [256, 1, 1, 16]   | True  |   [[256, 1, 8, 16]]    | bf16  |       2.72       |       2.76        |       2.82       |        2.04        | 5.24e+05 | 6.55e+04 |      0.44%       |     1.2%      |
|  8  | 16  |  [512, 1, 1, 16]   | True  |   [[512, 1, 8, 16]]    | bf16  |       2.92       |       2.94        |       2.98       |        2.08        | 1.05e+06 | 1.31e+05 |      0.82%       |     2.24%     |
|  8  | 16  |  [1024, 1, 1, 16]  | True  |   [[1024, 1, 8, 16]]   | bf16  |       3.74       |       3.76        |       3.78       |        2.16        | 2.10e+06 | 2.62e+05 |      1.27%       |     3.5%      |
|  8  | 16  |  [2048, 1, 1, 16]  | True  |   [[2048, 1, 8, 16]]   | bf16  |       5.21       |       5.25        |       5.29       |        2.33        | 4.19e+06 | 5.24e+05 |      1.83%       |     5.03%     |
|  8  | 16  |  [4096, 1, 1, 16]  | True  |   [[4096, 1, 8, 16]]   | bf16  |       8.26       |       8.29        |       8.32       |        2.66        | 8.39e+06 | 1.05e+06 |      2.31%       |     6.35%     |
|  8  | 16  |  [8192, 1, 1, 16]  | True  |   [[8192, 1, 8, 16]]   | bf16  |      14.31       |       14.34       |      14.37       |        3.31        | 1.68e+07 | 2.10e+06 |      2.66%       |     7.33%     |
|  8  | 16  | [16384, 1, 1, 16]  | True  |  [[16384, 1, 8, 16]]   | bf16  |      26.36       |       26.42       |      26.47       |        4.62        | 3.36e+07 | 4.19e+06 |      2.89%       |     7.96%     |
|  8  | 16  | [32768, 1, 1, 16]  | True  |  [[32768, 1, 8, 16]]   | bf16  |      50.56       |       50.63       |      50.68       |        7.24        | 6.71e+07 | 8.39e+06 |      3.02%       |     8.3%      |
|  8  | 16  | [65536, 1, 1, 16]  | True  |  [[65536, 1, 8, 16]]   | bf16  |      100.04      |      100.09       |      100.15      |       12.49        | 1.34e+08 | 1.68e+07 |      3.05%       |     8.39%     |
| 16  | 16  |   [1, 1, 1, 16]    | True  |    [[1, 1, 16, 16]]    | bf16  |       2.53       |       2.56        |       2.59       |        2.0         | 4.10e+03 | 5.12e+02 |       0.0%       |     0.01%     |
| 16  | 16  |   [2, 1, 1, 16]    | True  |    [[2, 1, 16, 16]]    | bf16  |       2.54       |       2.57        |       2.61       |        2.0         | 8.19e+03 | 1.02e+03 |      0.01%       |     0.02%     |
| 16  | 16  |   [4, 1, 1, 16]    | True  |    [[4, 1, 16, 16]]    | bf16  |       2.53       |       2.56        |       2.6        |        2.0         | 1.64e+04 | 2.05e+03 |      0.01%       |     0.04%     |
| 16  | 16  |  [256, 1, 1, 16]   | True  |   [[256, 1, 16, 16]]   | bf16  |       2.99       |       3.01        |       3.03       |        2.08        | 1.05e+06 | 1.31e+05 |       0.8%       |     2.19%     |
| 16  | 16  |  [512, 1, 1, 16]   | True  |   [[512, 1, 16, 16]]   | bf16  |       3.68       |        3.7        |       3.72       |        2.16        | 2.10e+06 | 2.62e+05 |       1.3%       |     3.56%     |
| 16  | 16  |  [1024, 1, 1, 16]  | True  |  [[1024, 1, 16, 16]]   | bf16  |       5.29       |       5.31        |       5.33       |        2.33        | 4.19e+06 | 5.24e+05 |       1.8%       |     4.96%     |
| 16  | 16  |  [2048, 1, 1, 16]  | True  |  [[2048, 1, 16, 16]]   | bf16  |       8.34       |       8.38        |       8.42       |        2.66        | 8.39e+06 | 1.05e+06 |      2.29%       |     6.29%     |
| 16  | 16  |  [4096, 1, 1, 16]  | True  |  [[4096, 1, 16, 16]]   | bf16  |      14.32       |       14.37       |      14.42       |        3.31        | 1.68e+07 | 2.10e+06 |      2.66%       |     7.32%     |
| 16  | 16  |  [8192, 1, 1, 16]  | True  |  [[8192, 1, 16, 16]]   | bf16  |      26.33       |       26.38       |      26.43       |        4.62        | 3.36e+07 | 4.19e+06 |       2.9%       |     7.96%     |
| 16  | 16  | [16384, 1, 1, 16]  | True  |  [[16384, 1, 16, 16]]  | bf16  |      50.36       |       50.4        |      50.44       |        7.24        | 6.71e+07 | 8.39e+06 |      3.03%       |     8.33%     |
| 16  | 16  | [32768, 1, 1, 16]  | True  |  [[32768, 1, 16, 16]]  | bf16  |      100.36      |      100.42       |      100.48      |       12.49        | 1.34e+08 | 1.68e+07 |      3.04%       |     8.36%     |
| 16  | 16  | [65536, 1, 1, 16]  | True  |  [[65536, 1, 16, 16]]  | bf16  |      225.71      |      225.77       |      225.84      |       22.97        | 2.68e+08 | 3.36e+07 |       2.7%       |     7.43%     |
| 32  | 16  |   [1, 1, 1, 16]    | True  |    [[1, 1, 32, 16]]    | bf16  |       2.93       |       2.96        |       2.99       |        2.0         | 8.19e+03 | 1.02e+03 |      0.01%       |     0.02%     |
| 32  | 16  |   [2, 1, 1, 16]    | True  |    [[2, 1, 32, 16]]    | bf16  |       2.92       |       2.94        |       2.97       |        2.0         | 1.64e+04 | 2.05e+03 |      0.01%       |     0.04%     |
| 32  | 16  |   [4, 1, 1, 16]    | True  |    [[4, 1, 32, 16]]    | bf16  |       2.89       |       2.92        |       2.95       |        2.0         | 3.28e+04 | 4.10e+03 |      0.03%       |     0.07%     |
| 32  | 16  |  [256, 1, 1, 16]   | True  |   [[256, 1, 32, 16]]   | bf16  |       3.4        |       3.43        |       3.45       |        2.16        | 2.10e+06 | 2.62e+05 |       1.4%       |     3.86%     |
| 32  | 16  |  [512, 1, 1, 16]   | True  |   [[512, 1, 32, 16]]   | bf16  |       4.4        |       4.43        |       4.46       |        2.33        | 4.19e+06 | 5.24e+05 |      2.17%       |     5.96%     |
| 32  | 16  |  [1024, 1, 1, 16]  | True  |  [[1024, 1, 32, 16]]   | bf16  |       6.43       |       6.46        |       6.49       |        2.66        | 8.39e+06 | 1.05e+06 |      2.97%       |     8.15%     |
| 32  | 16  |  [2048, 1, 1, 16]  | True  |  [[2048, 1, 32, 16]]   | bf16  |      10.36       |       10.4        |      10.44       |        3.31        | 1.68e+07 | 2.10e+06 |      3.68%       |    10.12%     |
| 32  | 16  |  [4096, 1, 1, 16]  | True  |  [[4096, 1, 32, 16]]   | bf16  |      18.09       |       18.13       |      18.18       |        4.62        | 3.36e+07 | 4.19e+06 |      4.22%       |    11.59%     |
| 32  | 16  |  [8192, 1, 1, 16]  | True  |  [[8192, 1, 32, 16]]   | bf16  |      33.68       |       33.73       |      33.78       |        7.24        | 6.71e+07 | 8.39e+06 |      4.53%       |    12.45%     |
| 32  | 16  | [16384, 1, 1, 16]  | True  |  [[16384, 1, 32, 16]]  | bf16  |      67.04       |       67.08       |      67.12       |       12.49        | 1.34e+08 | 1.68e+07 |      4.55%       |    12.51%     |
| 32  | 16  | [32768, 1, 1, 16]  | True  |  [[32768, 1, 32, 16]]  | bf16  |      160.39      |      160.47       |      160.54      |       22.97        | 2.68e+08 | 3.36e+07 |       3.8%       |    10.46%     |
| 32  | 16  | [65536, 1, 1, 16]  | True  |  [[65536, 1, 32, 16]]  | bf16  |      317.46      |      317.54       |      317.62      |       43.94        | 5.37e+08 | 6.71e+07 |      3.84%       |    10.57%     |
