Test Case: H20SXM_apex_fused_rotary_positional_embedding.forward
|  M  |  N  |      _tensor       | _val  |      input_shape       | dtype | duration_min(us) | duration_mean(us) | duration_max(us) | theory_latency(us) |  flops   |    io    | flops_efficiency | io_efficiency |
|  2  | 16  |   [1, 1, 1, 16]    | True  |    [[1, 1, 2, 16]]     | bf16  |       1.83       |       1.85        |       1.87       |        2.0         | 5.12e+02 | 6.40e+01 |       0.0%       |     0.0%      |
|  2  | 16  |   [2, 1, 1, 16]    | True  |    [[2, 1, 2, 16]]     | bf16  |       1.86       |       1.88        |       1.91       |        2.0         | 1.02e+03 | 1.28e+02 |       0.0%       |     0.0%      |
|  2  | 16  |   [4, 1, 1, 16]    | True  |    [[4, 1, 2, 16]]     | bf16  |       1.89       |       1.91        |       1.93       |        2.0         | 2.05e+03 | 2.56e+02 |       0.0%       |     0.01%     |
|  2  | 16  |  [256, 1, 1, 16]   | True  |   [[256, 1, 2, 16]]    | bf16  |       2.04       |       2.07        |       2.09       |        2.01        | 1.31e+05 | 1.64e+04 |      0.15%       |     0.4%      |
|  2  | 16  |  [512, 1, 1, 16]   | True  |   [[512, 1, 2, 16]]    | bf16  |       2.27       |       2.29        |       2.32       |        2.02        | 2.62e+05 | 3.28e+04 |      0.26%       |     0.72%     |
|  2  | 16  |  [1024, 1, 1, 16]  | True  |   [[1024, 1, 2, 16]]   | bf16  |       2.64       |       2.65        |       2.67       |        2.04        | 5.24e+05 | 6.55e+04 |      0.45%       |     1.24%     |
|  2  | 16  |  [2048, 1, 1, 16]  | True  |   [[2048, 1, 2, 16]]   | bf16  |       3.33       |       3.36        |       3.38       |        2.08        | 1.05e+06 | 1.31e+05 |      0.72%       |     1.97%     |
|  2  | 16  |  [4096, 1, 1, 16]  | True  |   [[4096, 1, 2, 16]]   | bf16  |       4.84       |       4.89        |       4.94       |        2.16        | 2.10e+06 | 2.62e+05 |      0.98%       |     2.71%     |
|  2  | 16  |  [8192, 1, 1, 16]  | True  |   [[8192, 1, 2, 16]]   | bf16  |       7.46       |       7.51        |       7.58       |        2.33        | 4.19e+06 | 5.24e+05 |      1.28%       |     3.51%     |
|  2  | 16  | [16384, 1, 1, 16]  | True  |  [[16384, 1, 2, 16]]   | bf16  |      12.72       |       12.76       |       12.8       |        2.66        | 8.39e+06 | 1.05e+06 |       1.5%       |     4.12%     |
|  2  | 16  | [32768, 1, 1, 16]  | True  |  [[32768, 1, 2, 16]]   | bf16  |      23.15       |       23.2        |      23.25       |        3.31        | 1.68e+07 | 2.10e+06 |      1.65%       |     4.53%     |
|  2  | 16  | [65536, 1, 1, 16]  | True  |  [[65536, 1, 2, 16]]   | bf16  |      44.08       |       44.12       |      44.16       |        4.62        | 3.36e+07 | 4.19e+06 |      1.73%       |     4.76%     |
|  4  | 16  |   [1, 1, 1, 16]    | True  |    [[1, 1, 4, 16]]     | bf16  |       2.03       |       2.06        |       2.08       |        2.0         | 1.02e+03 | 1.28e+02 |       0.0%       |     0.0%      |
|  4  | 16  |   [2, 1, 1, 16]    | True  |    [[2, 1, 4, 16]]     | bf16  |       2.05       |       2.07        |       2.1        |        2.0         | 2.05e+03 | 2.56e+02 |       0.0%       |     0.01%     |
|  4  | 16  |   [4, 1, 1, 16]    | True  |    [[4, 1, 4, 16]]     | bf16  |       2.1        |       2.12        |       2.13       |        2.0         | 4.10e+03 | 5.12e+02 |       0.0%       |     0.01%     |
|  4  | 16  |  [256, 1, 1, 16]   | True  |   [[256, 1, 4, 16]]    | bf16  |       2.24       |       2.27        |       2.31       |        2.02        | 2.62e+05 | 3.28e+04 |      0.27%       |     0.73%     |
