Test Case: H20SXM_aten_baddbmm
|  B  |  M   |  K   |  N   |                        input_shape                        | dtype | duration_min(us) | duration_mean(us) | duration_max(us) | theory_latency(us) |  flops   |    io    | flops_efficiency | io_efficiency |
|  1  |  1   |  32  |  32  |           [[1, 1, 32], [1, 1, 32], [1, 32, 32]]           | bf16  |      17.38       |       17.67       |      17.93       |        2.0         | 2.05e+03 | 1.09e+03 |       0.0%       |     0.0%      |
|  8  |  1   |  32  |  32  |           [[8, 1, 32], [8, 1, 32], [8, 32, 32]]           | bf16  |      17.68       |       17.9        |      18.31       |        2.01        | 1.64e+04 | 8.70e+03 |       0.0%       |     0.02%     |
| 128 |  1   |  32  |  32  |        [[128, 1, 32], [128, 1, 32], [128, 32, 32]]        | bf16  |      17.58       |       17.86       |      18.14       |        2.09        | 2.62e+05 | 1.39e+05 |      0.01%       |     0.4%      |
|  1  |  64  |  32  |  32  |          [[1, 64, 32], [1, 64, 32], [1, 32, 32]]          | bf16  |      18.47       |       18.79       |      19.28       |        2.0         | 1.31e+05 | 5.12e+03 |       0.0%       |     0.01%     |
|  8  |  64  |  32  |  32  |          [[8, 64, 32], [8, 64, 32], [8, 32, 32]]          | bf16  |      17.79       |       18.05       |      18.31       |        2.03        | 1.05e+06 | 4.10e+04 |      0.04%       |     0.12%     |
| 128 |  64  |  32  |  32  |       [[128, 64, 32], [128, 64, 32], [128, 32, 32]]       | bf16  |      18.34       |       18.6        |      18.88       |        2.41        | 1.68e+07 | 6.55e+05 |      0.62%       |     1.79%     |
|  1  | 1024 |  32  |  32  |        [[1, 1024, 32], [1, 1024, 32], [1, 32, 32]]        | bf16  |      18.39       |       18.77       |      19.14       |        2.04        | 2.10e+06 | 6.66e+04 |      0.08%       |     0.18%     |
|  8  | 1024 |  32  |  32  |        [[8, 1024, 32], [8, 1024, 32], [8, 32, 32]]        | bf16  |      18.33       |       18.69       |       19.1       |        2.33        | 1.68e+07 | 5.32e+05 |      0.62%       |     1.45%     |
| 128 | 1024 |  32  |  32  |     [[128, 1024, 32], [128, 1024, 32], [128, 32, 32]]     | bf16  |      34.03       |       34.31       |      34.57       |        7.32        | 2.68e+08 | 8.52e+06 |      5.33%       |    12.52%     |
|  1  |  1   | 3072 |  32  |         [[1, 1, 32], [1, 1, 3072], [1, 3072, 32]]         | bf16  |      17.59       |       17.87       |      18.16       |        2.06        | 1.97e+05 | 1.01e+05 |      0.01%       |     0.29%     |
|  8  |  1   | 3072 |  32  |         [[8, 1, 32], [8, 1, 3072], [8, 3072, 32]]         | bf16  |      17.79       |       17.93       |      18.13       |        2.51        | 1.57e+06 | 8.11e+05 |      0.06%       |     2.28%     |
| 128 |  1   | 3072 |  32  |      [[128, 1, 32], [128, 1, 3072], [128, 3072, 32]]      | bf16  |      52.18       |       52.28       |      52.44       |       10.11        | 2.52e+07 | 1.30e+07 |      0.33%       |    12.44%     |
|  1  |  64  | 3072 |  32  |        [[1, 64, 32], [1, 64, 3072], [1, 3072, 32]]        | bf16  |      20.51       |       20.73       |      20.95       |        2.19        | 1.26e+07 | 2.97e+05 |      0.41%       |     0.72%     |
|  8  |  64  | 3072 |  32  |        [[8, 64, 32], [8, 64, 3072], [8, 3072, 32]]        | bf16  |       32.3       |       32.39       |      32.58       |        3.48        | 1.01e+08 | 2.38e+06 |      2.11%       |     3.68%     |
| 128 |  64  | 3072 |  32  |     [[128, 64, 32], [128, 64, 3072], [128, 3072, 32]]     | bf16  |       57.9       |       58.06       |      58.21       |       25.76        | 1.61e+09 | 3.80e+07 |      18.8%       |    32.82%     |
|  1  | 1024 | 3072 |  32  |      [[1, 1024, 32], [1, 1024, 3072], [1, 3072, 32]]      | bf16  |      20.47       |       20.75       |      21.16       |        4.05        | 2.01e+08 | 3.28e+06 |      6.65%       |     8.0%      |
|  8  | 1024 | 3072 |  32  |      [[8, 1024, 32], [8, 1024, 3072], [8, 3072, 32]]      | bf16  |      57.64       |       57.75       |       57.9       |       18.38        | 1.61e+09 | 2.62e+07 |      18.88%      |    22.74%     |
| 128 | 1024 | 3072 |  32  |   [[128, 1024, 32], [128, 1024, 3072], [128, 3072, 32]]   | bf16  |      611.41      |      611.61       |      611.76      |       264.14       | 2.58e+10 | 4.19e+08 |      28.48%      |     34.3%     |
|  1  |  1   | 8192 |  32  |         [[1, 1, 32], [1, 1, 8192], [1, 8192, 32]]         | bf16  |      17.55       |       17.83       |      18.24       |        2.17        | 5.24e+05 | 2.70e+05 |      0.02%       |     0.77%     |
|  8  |  1   | 8192 |  32  |         [[8, 1, 32], [8, 1, 8192], [8, 8192, 32]]         | bf16  |      17.42       |       17.82       |       18.2       |        3.35        | 4.19e+06 | 2.16e+06 |      0.16%       |     6.21%     |
