Test Case: H20SXM_aten_bmm
|  B  |  M   |  K   |  N   |              input_shape               | dtype | duration_min(us) | duration_mean(us) | duration_max(us) | theory_latency(us) |  flops   |    io    | flops_efficiency | io_efficiency |
|  1  |  1   |  32  |  32  |       [[1, 1, 32], [1, 32, 32]]        | bf16  |      13.57       |       13.72       |      13.99       |        2.0         | 2.05e+03 | 1.09e+03 |       0.0%       |     0.0%      |
|  8  |  1   |  32  |  32  |       [[8, 1, 32], [8, 32, 32]]        | bf16  |      13.46       |       13.66       |      13.85       |        2.01        | 1.64e+04 | 8.70e+03 |       0.0%       |     0.03%     |
| 128 |  1   |  32  |  32  |     [[128, 1, 32], [128, 32, 32]]      | bf16  |      13.34       |       13.65       |      13.96       |        2.09        | 2.62e+05 | 1.39e+05 |      0.01%       |     0.52%     |
|  1  |  64  |  32  |  32  |       [[1, 64, 32], [1, 32, 32]]       | bf16  |      14.12       |       14.38       |      14.51       |        2.0         | 1.31e+05 | 5.12e+03 |      0.01%       |     0.02%     |
|  8  |  64  |  32  |  32  |       [[8, 64, 32], [8, 32, 32]]       | bf16  |      13.85       |       14.16       |      14.55       |        2.03        | 1.05e+06 | 4.10e+04 |      0.05%       |     0.15%     |
| 128 |  64  |  32  |  32  |     [[128, 64, 32], [128, 32, 32]]     | bf16  |      13.95       |       14.15       |      14.48       |        2.41        | 1.68e+07 | 6.55e+05 |      0.81%       |     2.35%     |
|  1  | 1024 |  32  |  32  |      [[1, 1024, 32], [1, 32, 32]]      | bf16  |      14.24       |       14.36       |      14.63       |        2.04        | 2.10e+06 | 6.66e+04 |       0.1%       |     0.23%     |
|  8  | 1024 |  32  |  32  |      [[8, 1024, 32], [8, 32, 32]]      | bf16  |      14.06       |       14.23       |      14.46       |        2.33        | 1.68e+07 | 5.32e+05 |      0.81%       |     1.89%     |
| 128 | 1024 |  32  |  32  |    [[128, 1024, 32], [128, 32, 32]]    | bf16  |      22.46       |       22.67       |      22.82       |        7.32        | 2.68e+08 | 8.52e+06 |      8.08%       |    18.97%     |
|  1  |  1   | 3072 |  32  |     [[1, 1, 3072], [1, 3072, 32]]      | bf16  |      13.36       |       13.59       |      13.91       |        2.06        | 1.97e+05 | 1.01e+05 |      0.01%       |     0.38%     |
|  8  |  1   | 3072 |  32  |     [[8, 1, 3072], [8, 3072, 32]]      | bf16  |      13.33       |       13.53       |       13.7       |        2.51        | 1.57e+06 | 8.11e+05 |      0.08%       |     3.04%     |
| 128 |  1   | 3072 |  32  |   [[128, 1, 3072], [128, 3072, 32]]    | bf16  |      49.69       |       49.82       |      49.92       |       10.11        | 2.52e+07 | 1.30e+07 |      0.34%       |    13.06%     |
|  1  |  64  | 3072 |  32  |     [[1, 64, 3072], [1, 3072, 32]]     | bf16  |      16.17       |       16.31       |      16.49       |        2.19        | 1.26e+07 | 2.97e+05 |      0.53%       |     0.92%     |
|  8  |  64  | 3072 |  32  |     [[8, 64, 3072], [8, 3072, 32]]     | bf16  |      29.22       |       29.36       |       29.5       |        3.48        | 1.01e+08 | 2.38e+06 |      2.33%       |     4.07%     |
| 128 |  64  | 3072 |  32  |   [[128, 64, 3072], [128, 3072, 32]]   | bf16  |       51.3       |       51.39       |      51.56       |       25.76        | 1.61e+09 | 3.80e+07 |      21.21%      |    37.05%     |
|  1  | 1024 | 3072 |  32  |    [[1, 1024, 3072], [1, 3072, 32]]    | bf16  |      16.31       |       16.57       |       16.8       |        4.05        | 2.01e+08 | 3.28e+06 |      8.34%       |    10.05%     |
|  8  | 1024 | 3072 |  32  |    [[8, 1024, 3072], [8, 3072, 32]]    | bf16  |      50.99       |       51.1        |      51.21       |       18.38        | 1.61e+09 | 2.62e+07 |      21.34%      |    25.71%     |
| 128 | 1024 | 3072 |  32  |  [[128, 1024, 3072], [128, 3072, 32]]  | bf16  |      597.6       |      597.82       |      598.01      |       264.14       | 2.58e+10 | 4.19e+08 |      29.14%      |    35.09%     |
|  1  |  1   | 8192 |  32  |     [[1, 1, 8192], [1, 8192, 32]]      | bf16  |      13.42       |       13.64       |      13.99       |        2.17        | 5.24e+05 | 2.70e+05 |      0.03%       |     1.01%     |
|  8  |  1   | 8192 |  32  |     [[8, 1, 8192], [8, 8192, 32]]      | bf16  |      13.29       |       13.53       |      13.76       |        3.35        | 4.19e+06 | 2.16e+06 |      0.21%       |     8.14%     |
