Test Case: H20SXM_aten_contiguous
|   M   |  N   |  B  |    input_shape     | dtype | duration_min(us) | duration_mean(us) | duration_max(us) | theory_latency(us) |  flops   |    io    | flops_efficiency | io_efficiency |
|  32   |  32  | N/A |     [[32, 32]]     | bf16  |       0.75       |       0.79        |       0.83       |        2.0         | 0.00e+00 | 2.05e+03 |        0%        |     0.14%     |
|  64   |  32  | N/A |     [[64, 32]]     | bf16  |       0.74       |       0.78        |       0.84       |        2.0         | 0.00e+00 | 4.10e+03 |        0%        |     0.28%     |
|  128  |  32  | N/A |    [[128, 32]]     | bf16  |       0.76       |       0.79        |       0.83       |        2.01        | 0.00e+00 | 8.19e+03 |        0%        |     0.54%     |
|  256  |  32  | N/A |    [[256, 32]]     | bf16  |       0.74       |       0.78        |       0.82       |        2.01        | 0.00e+00 | 1.64e+04 |        0%        |     1.11%     |
|  512  |  32  | N/A |    [[512, 32]]     | bf16  |       0.76       |       0.79        |       0.82       |        2.02        | 0.00e+00 | 3.28e+04 |        0%        |     2.16%     |
| 1024  |  32  | N/A |    [[1024, 32]]    | bf16  |       0.77       |        0.8        |       0.84       |        2.04        | 0.00e+00 | 6.55e+04 |        0%        |     4.26%     |
| 2048  |  32  | N/A |    [[2048, 32]]    | bf16  |       0.73       |       0.77        |       0.82       |        2.08        | 0.00e+00 | 1.31e+05 |        0%        |     8.98%     |
| 4096  |  32  | N/A |    [[4096, 32]]    | bf16  |       0.76       |       0.79        |       0.82       |        2.16        | 0.00e+00 | 2.62e+05 |        0%        |    17.25%     |
| 8192  |  32  | N/A |    [[8192, 32]]    | bf16  |       0.74       |       0.78        |       0.82       |        2.33        | 0.00e+00 | 5.24e+05 |        0%        |    35.42%     |
| 16384 |  32  | N/A |   [[16384, 32]]    | bf16  |       0.77       |        0.8        |       0.83       |        2.66        | 0.00e+00 | 1.05e+06 |        0%        |    68.09%     |
| 32768 |  32  | N/A |   [[32768, 32]]    | bf16  |       0.73       |       0.75        |       0.77       |        3.31        | 0.00e+00 | 2.10e+06 |        0%        |    143.64%    |
|  32   |  64  | N/A |     [[32, 64]]     | bf16  |       0.74       |       0.77        |       0.8        |        2.0         | 0.00e+00 | 4.10e+03 |        0%        |     0.28%     |
|  64   |  64  | N/A |     [[64, 64]]     | bf16  |       0.74       |       0.78        |       0.82       |        2.01        | 0.00e+00 | 8.19e+03 |        0%        |     0.55%     |
|  128  |  64  | N/A |    [[128, 64]]     | bf16  |       0.73       |       0.75        |       0.77       |        2.01        | 0.00e+00 | 1.64e+04 |        0%        |     1.12%     |
|  256  |  64  | N/A |    [[256, 64]]     | bf16  |       0.75       |       0.77        |       0.79       |        2.02        | 0.00e+00 | 3.28e+04 |        0%        |     2.18%     |
|  512  |  64  | N/A |    [[512, 64]]     | bf16  |       0.75       |       0.78        |       0.81       |        2.04        | 0.00e+00 | 6.55e+04 |        0%        |     4.37%     |
| 1024  |  64  | N/A |    [[1024, 64]]    | bf16  |       0.75       |       0.77        |       0.79       |        2.08        | 0.00e+00 | 1.31e+05 |        0%        |     8.74%     |
| 2048  |  64  | N/A |    [[2048, 64]]    | bf16  |       0.73       |       0.76        |       0.8        |        2.16        | 0.00e+00 | 2.62e+05 |        0%        |    17.96%     |
| 4096  |  64  | N/A |    [[4096, 64]]    | bf16  |       0.75       |       0.78        |       0.8        |        2.33        | 0.00e+00 | 5.24e+05 |        0%        |    34.95%     |
| 8192  |  64  | N/A |    [[8192, 64]]    | bf16  |       0.75       |       0.78        |       0.81       |        2.66        | 0.00e+00 | 1.05e+06 |        0%        |    69.91%     |
| 16384 |  64  | N/A |   [[16384, 64]]    | bf16  |       0.74       |       0.77        |       0.81       |        3.31        | 0.00e+00 | 2.10e+06 |        0%        |    141.7%     |
| 32768 |  64  | N/A |   [[32768, 64]]    | bf16  |       0.36       |       0.37        |       0.38       |        4.62        | 0.00e+00 | 4.19e+06 |        0%        |    582.54%    |
|  32   | 128  | N/A |    [[32, 128]]     | bf16  |       0.36       |       0.37        |       0.38       |        2.01        | 0.00e+00 | 8.19e+03 |        0%        |     1.14%     |
|  64   | 128  | N/A |    [[64, 128]]     | bf16  |       0.74       |       0.77        |       0.8        |        2.01        | 0.00e+00 | 1.64e+04 |        0%        |     1.11%     |
|  128  | 128  | N/A |    [[128, 128]]    | bf16  |       0.74       |       0.76        |       0.78       |        2.02        | 0.00e+00 | 3.28e+04 |        0%        |     2.21%     |
|  256  | 128  | N/A |    [[256, 128]]    | bf16  |       0.74       |       0.77        |       0.8        |        2.04        | 0.00e+00 | 6.55e+04 |        0%        |     4.43%     |
|  512  | 128  | N/A |    [[512, 128]]    | bf16  |       0.74       |       0.78        |       0.81       |        2.08        | 0.00e+00 | 1.31e+05 |        0%        |     8.86%     |
| 1024  | 128  | N/A |   [[1024, 128]]    | bf16  |       0.74       |       0.77        |       0.8        |        2.16        | 0.00e+00 | 2.62e+05 |        0%        |    17.71%     |
| 2048  | 128  | N/A |   [[2048, 128]]    | bf16  |       0.75       |       0.78        |       0.81       |        2.33        | 0.00e+00 | 5.24e+05 |        0%        |    34.95%     |
| 4096  | 128  | N/A |   [[4096, 128]]    | bf16  |       0.75       |       0.78        |       0.81       |        2.66        | 0.00e+00 | 1.05e+06 |        0%        |    69.91%     |
| 8192  | 128  | N/A |   [[8192, 128]]    | bf16  |       0.76       |       0.78        |       0.81       |        3.31        | 0.00e+00 | 2.10e+06 |        0%        |    137.97%    |
| 16384 | 128  | N/A |   [[16384, 128]]   | bf16  |       0.75       |       0.77        |       0.8        |        4.62        | 0.00e+00 | 4.19e+06 |        0%        |    279.62%    |
| 32768 | 128  | N/A |   [[32768, 128]]   | bf16  |       0.74       |       0.77        |       0.8        |        7.24        | 0.00e+00 | 8.39e+06 |        0%        |    566.8%     |
|  32   | 512  | N/A |    [[32, 512]]     | bf16  |       0.76       |       0.78        |       0.81       |        2.02        | 0.00e+00 | 3.28e+04 |        0%        |     2.16%     |
|  64   | 512  | N/A |    [[64, 512]]     | bf16  |       0.75       |       0.78        |       0.82       |        2.04        | 0.00e+00 | 6.55e+04 |        0%        |     4.37%     |
|  128  | 512  | N/A |    [[128, 512]]    | bf16  |       0.75       |       0.78        |       0.8        |        2.08        | 0.00e+00 | 1.31e+05 |        0%        |     8.74%     |
|  256  | 512  | N/A |    [[256, 512]]    | bf16  |       0.76       |        0.8        |       0.84       |        2.16        | 0.00e+00 | 2.62e+05 |        0%        |    17.25%     |
|  512  | 512  | N/A |    [[512, 512]]    | bf16  |       0.76       |       0.78        |       0.8        |        2.33        | 0.00e+00 | 5.24e+05 |        0%        |    34.49%     |
| 1024  | 512  | N/A |   [[1024, 512]]    | bf16  |       0.75       |       0.77        |       0.8        |        2.66        | 0.00e+00 | 1.05e+06 |        0%        |    69.91%     |
| 2048  | 512  | N/A |   [[2048, 512]]    | bf16  |       0.75       |       0.79        |       0.83       |        3.31        | 0.00e+00 | 2.10e+06 |        0%        |    139.81%    |
| 4096  | 512  | N/A |   [[4096, 512]]    | bf16  |       0.76       |       0.78        |       0.8        |        4.62        | 0.00e+00 | 4.19e+06 |        0%        |    275.94%    |
| 8192  | 512  | N/A |   [[8192, 512]]    | bf16  |       0.76       |        0.8        |       0.84       |        7.24        | 0.00e+00 | 8.39e+06 |        0%        |    551.88%    |
| 16384 | 512  | N/A |   [[16384, 512]]   | bf16  |       0.75       |       0.77        |       0.8        |       12.49        | 0.00e+00 | 1.68e+07 |        0%        |   1118.48%    |
| 32768 | 512  | N/A |   [[32768, 512]]   | bf16  |       0.74       |       0.76        |       0.77       |       22.97        | 0.00e+00 | 3.36e+07 |        0%        |   2267.19%    |
|  32   | 768  | N/A |    [[32, 768]]     | bf16  |       0.74       |       0.77        |       0.79       |        2.03        | 0.00e+00 | 4.92e+04 |        0%        |     3.32%     |
|  64   | 768  | N/A |    [[64, 768]]     | bf16  |       0.76       |       0.78        |       0.8        |        2.06        | 0.00e+00 | 9.83e+04 |        0%        |     6.47%     |
|  128  | 768  | N/A |    [[128, 768]]    | bf16  |       0.74       |       0.77        |       0.8        |        2.12        | 0.00e+00 | 1.97e+05 |        0%        |    13.28%     |
|  256  | 768  | N/A |    [[256, 768]]    | bf16  |       0.74       |       0.76        |       0.78       |        2.25        | 0.00e+00 | 3.93e+05 |        0%        |    26.57%     |
|  512  | 768  | N/A |    [[512, 768]]    | bf16  |       0.74       |       0.77        |       0.8        |        2.49        | 0.00e+00 | 7.86e+05 |        0%        |    53.14%     |
| 1024  | 768  | N/A |   [[1024, 768]]    | bf16  |       0.75       |       0.78        |       0.82       |        2.98        | 0.00e+00 | 1.57e+06 |        0%        |    104.86%    |
| 2048  | 768  | N/A |   [[2048, 768]]    | bf16  |       0.74       |       0.79        |       0.86       |        3.97        | 0.00e+00 | 3.15e+06 |        0%        |    212.55%    |
| 4096  | 768  | N/A |   [[4096, 768]]    | bf16  |       0.76       |        0.8        |       0.84       |        5.93        | 0.00e+00 | 6.29e+06 |        0%        |    413.91%    |
| 8192  | 768  | N/A |   [[8192, 768]]    | bf16  |       0.74       |       0.76        |       0.78       |        9.86        | 0.00e+00 | 1.26e+07 |        0%        |    850.2%     |
| 16384 | 768  | N/A |   [[16384, 768]]   | bf16  |       0.75       |       0.78        |       0.81       |       17.73        | 0.00e+00 | 2.52e+07 |        0%        |   1677.72%    |
| 32768 | 768  | N/A |   [[32768, 768]]   | bf16  |       0.74       |       0.77        |       0.8        |       33.46        | 0.00e+00 | 5.03e+07 |        0%        |   3400.79%    |
|  32   | 2048 | N/A |    [[32, 2048]]    | bf16  |       0.74       |       0.76        |       0.78       |        2.08        | 0.00e+00 | 1.31e+05 |        0%        |     8.86%     |
|  64   | 2048 | N/A |    [[64, 2048]]    | bf16  |       0.76       |       0.79        |       0.81       |        2.16        | 0.00e+00 | 2.62e+05 |        0%        |    17.25%     |
|  128  | 2048 | N/A |   [[128, 2048]]    | bf16  |       0.75       |       0.78        |       0.81       |        2.33        | 0.00e+00 | 5.24e+05 |        0%        |    34.95%     |
|  256  | 2048 | N/A |   [[256, 2048]]    | bf16  |       0.74       |       0.77        |       0.8        |        2.66        | 0.00e+00 | 1.05e+06 |        0%        |    70.85%     |
|  512  | 2048 | N/A |   [[512, 2048]]    | bf16  |       0.75       |       0.77        |       0.8        |        3.31        | 0.00e+00 | 2.10e+06 |        0%        |    139.81%    |
| 1024  | 2048 | N/A |   [[1024, 2048]]   | bf16  |       0.74       |       0.79        |       0.84       |        4.62        | 0.00e+00 | 4.19e+06 |        0%        |    283.4%     |
| 2048  | 2048 | N/A |   [[2048, 2048]]   | bf16  |       0.75       |       0.79        |       0.83       |        7.24        | 0.00e+00 | 8.39e+06 |        0%        |    559.24%    |
| 4096  | 2048 | N/A |   [[4096, 2048]]   | bf16  |       0.75       |       0.79        |       0.85       |       12.49        | 0.00e+00 | 1.68e+07 |        0%        |   1118.48%    |
| 8192  | 2048 | N/A |   [[8192, 2048]]   | bf16  |       0.74       |       0.77        |       0.79       |       22.97        | 0.00e+00 | 3.36e+07 |        0%        |   2267.19%    |
| 16384 | 2048 | N/A |  [[16384, 2048]]   | bf16  |       0.77       |        0.8        |       0.83       |       43.94        | 0.00e+00 | 6.71e+07 |        0%        |   4357.72%    |
| 32768 | 2048 | N/A |  [[32768, 2048]]   | bf16  |       0.76       |       0.79        |       0.83       |       85.89        | 0.00e+00 | 1.34e+08 |        0%        |   8830.11%    |
|  32   | 3072 | N/A |    [[32, 3072]]    | bf16  |       0.75       |       0.77        |       0.8        |        2.12        | 0.00e+00 | 1.97e+05 |        0%        |    13.11%     |
|  64   | 3072 | N/A |    [[64, 3072]]    | bf16  |       0.76       |       0.77        |       0.78       |        2.25        | 0.00e+00 | 3.93e+05 |        0%        |    25.87%     |
|  128  | 3072 | N/A |   [[128, 3072]]    | bf16  |       0.73       |       0.76        |       0.79       |        2.49        | 0.00e+00 | 7.86e+05 |        0%        |    53.87%     |
|  256  | 3072 | N/A |   [[256, 3072]]    | bf16  |       0.75       |       0.78        |       0.81       |        2.98        | 0.00e+00 | 1.57e+06 |        0%        |    104.86%    |
|  512  | 3072 | N/A |   [[512, 3072]]    | bf16  |       0.73       |       0.77        |       0.8        |        3.97        | 0.00e+00 | 3.15e+06 |        0%        |    215.46%    |
| 1024  | 3072 | N/A |   [[1024, 3072]]   | bf16  |       0.75       |       0.78        |       0.81       |        5.93        | 0.00e+00 | 6.29e+06 |        0%        |    419.43%    |
| 2048  | 3072 | N/A |   [[2048, 3072]]   | bf16  |       0.74       |       0.79        |       0.83       |        9.86        | 0.00e+00 | 1.26e+07 |        0%        |    850.2%     |
| 4096  | 3072 | N/A |   [[4096, 3072]]   | bf16  |       0.36       |       0.37        |       0.38       |       17.73        | 0.00e+00 | 2.52e+07 |        0%        |   3495.25%    |
| 8192  | 3072 | N/A |   [[8192, 3072]]   | bf16  |       0.36       |       0.37        |       0.38       |       33.46        | 0.00e+00 | 5.03e+07 |        0%        |   6990.51%    |
| 16384 | 3072 | N/A |  [[16384, 3072]]   | bf16  |       0.36       |       0.37        |       0.38       |       64.91        | 0.00e+00 | 1.01e+08 |        0%        |   13981.01%   |
| 32768 | 3072 | N/A |  [[32768, 3072]]   | bf16  |       0.72       |       0.76        |       0.8        |       127.83       | 0.00e+00 | 2.01e+08 |        0%        |   13981.01%   |
|  32   | 4096 | N/A |    [[32, 4096]]    | bf16  |       0.73       |       0.76        |       0.79       |        2.16        | 0.00e+00 | 2.62e+05 |        0%        |    17.96%     |
|  64   | 4096 | N/A |    [[64, 4096]]    | bf16  |       0.73       |       0.76        |       0.79       |        2.33        | 0.00e+00 | 5.24e+05 |        0%        |    35.91%     |
|  128  | 4096 | N/A |   [[128, 4096]]    | bf16  |       0.76       |       0.77        |       0.78       |        2.66        | 0.00e+00 | 1.05e+06 |        0%        |    68.99%     |
|  256  | 4096 | N/A |   [[256, 4096]]    | bf16  |       0.72       |       0.76        |       0.79       |        3.31        | 0.00e+00 | 2.10e+06 |        0%        |    145.64%    |
|  512  | 4096 | N/A |   [[512, 4096]]    | bf16  |       0.36       |       0.37        |       0.38       |        4.62        | 0.00e+00 | 4.19e+06 |        0%        |    582.54%    |
| 1024  | 4096 | N/A |   [[1024, 4096]]   | bf16  |       0.73       |       0.75        |       0.77       |        7.24        | 0.00e+00 | 8.39e+06 |        0%        |    574.56%    |
| 2048  | 4096 | N/A |   [[2048, 4096]]   | bf16  |       0.72       |       0.75        |       0.79       |       12.49        | 0.00e+00 | 1.68e+07 |        0%        |   1165.08%    |
| 4096  | 4096 | N/A |   [[4096, 4096]]   | bf16  |       0.72       |       0.75        |       0.78       |       22.97        | 0.00e+00 | 3.36e+07 |        0%        |   2330.17%    |
| 8192  | 4096 | N/A |   [[8192, 4096]]   | bf16  |       0.74       |       0.76        |       0.79       |       43.94        | 0.00e+00 | 6.71e+07 |        0%        |   4534.38%    |
| 16384 | 4096 | N/A |  [[16384, 4096]]   | bf16  |       0.7        |       0.74        |       0.77       |       85.89        | 0.00e+00 | 1.34e+08 |        0%        |   9586.98%    |
| 32768 | 4096 | N/A |  [[32768, 4096]]   | bf16  |       0.74       |       0.77        |       0.8        |       169.77       | 0.00e+00 | 2.68e+08 |        0%        |   18137.53%   |
|  32   | 8192 | N/A |    [[32, 8192]]    | bf16  |       0.72       |        0.8        |       0.89       |        2.33        | 0.00e+00 | 5.24e+05 |        0%        |    36.41%     |
|  64   | 8192 | N/A |    [[64, 8192]]    | bf16  |       0.73       |       0.77        |       0.81       |        2.66        | 0.00e+00 | 1.05e+06 |        0%        |    71.82%     |
|  128  | 8192 | N/A |   [[128, 8192]]    | bf16  |       0.72       |       0.77        |       0.82       |        3.31        | 0.00e+00 | 2.10e+06 |        0%        |    145.64%    |
|  256  | 8192 | N/A |   [[256, 8192]]    | bf16  |       0.74       |       0.77        |       0.8        |        4.62        | 0.00e+00 | 4.19e+06 |        0%        |    283.4%     |
|  512  | 8192 | N/A |   [[512, 8192]]    | bf16  |       0.74       |       0.77        |       0.8        |        7.24        | 0.00e+00 | 8.39e+06 |        0%        |    566.8%     |
| 1024  | 8192 | N/A |   [[1024, 8192]]   | bf16  |       0.77       |       0.94        |       1.15       |       12.49        | 0.00e+00 | 1.68e+07 |        0%        |   1089.43%    |
| 2048  | 8192 | N/A |   [[2048, 8192]]   | bf16  |       0.72       |       0.75        |       0.77       |       22.97        | 0.00e+00 | 3.36e+07 |        0%        |   2330.17%    |
| 4096  | 8192 | N/A |   [[4096, 8192]]   | bf16  |       0.37       |       0.38        |       0.38       |       43.94        | 0.00e+00 | 6.71e+07 |        0%        |   9068.77%    |
| 8192  | 8192 | N/A |   [[8192, 8192]]   | bf16  |       0.73       |       0.76        |       0.8        |       85.89        | 0.00e+00 | 1.34e+08 |        0%        |    9193.0%    |
| 16384 | 8192 | N/A |  [[16384, 8192]]   | bf16  |       0.75       |       0.78        |       0.81       |       169.77       | 0.00e+00 | 2.68e+08 |        0%        |   17895.7%    |
| 32768 | 8192 | N/A |  [[32768, 8192]]   | bf16  |       0.74       |       0.76        |       0.79       |       337.54       | 0.00e+00 | 5.37e+08 |        0%        |   36275.06%   |
|  32   |  32  |  1  |   [[1, 32, 32]]    | bf16  |       0.73       |       0.77        |       0.81       |        2.0         | 0.00e+00 | 2.05e+03 |        0%        |     0.14%     |
