Test Case: H20SXM_aten_copy_
|   M   |  N   |  B  |             input_shape              | dtype | duration_min(us) | duration_mean(us) | duration_max(us) | theory_latency(us) |  flops   |    io    | flops_efficiency | io_efficiency |
|  32   |  32  | N/A |         [[32, 32], [32, 32]]         | bf16  |       1.43       |       1.46        |       1.48       |        2.0         | 1.02e+03 | 2.05e+03 |       0.0%       |     0.07%     |
|  64   |  32  | N/A |         [[64, 32], [64, 32]]         | bf16  |       1.52       |       1.54        |       1.57       |        2.0         | 2.05e+03 | 4.10e+03 |       0.0%       |     0.13%     |
|  128  |  32  | N/A |        [[128, 32], [128, 32]]        | bf16  |       1.53       |       1.56        |       1.58       |        2.01        | 4.10e+03 | 8.19e+03 |      0.01%       |     0.27%     |
|  256  |  32  | N/A |        [[256, 32], [256, 32]]        | bf16  |       1.52       |       1.57        |       1.62       |        2.01        | 8.19e+03 | 1.64e+04 |      0.01%       |     0.54%     |
|  512  |  32  | N/A |        [[512, 32], [512, 32]]        | bf16  |       1.56       |       1.58        |       1.6        |        2.02        | 1.64e+04 | 3.28e+04 |      0.02%       |     1.05%     |
| 1024  |  32  | N/A |       [[1024, 32], [1024, 32]]       | bf16  |       1.6        |       1.62        |       1.65       |        2.04        | 3.28e+04 | 6.55e+04 |      0.05%       |     2.05%     |
| 2048  |  32  | N/A |       [[2048, 32], [2048, 32]]       | bf16  |       1.59       |       1.63        |       1.67       |        2.08        | 6.55e+04 | 1.31e+05 |      0.09%       |     4.12%     |
| 4096  |  32  | N/A |       [[4096, 32], [4096, 32]]       | bf16  |       1.86       |        1.9        |       1.93       |        2.16        | 1.31e+05 | 2.62e+05 |      0.16%       |     7.05%     |
| 8192  |  32  | N/A |       [[8192, 32], [8192, 32]]       | bf16  |       2.05       |       2.08        |       2.11       |        2.33        | 2.62e+05 | 5.24e+05 |      0.29%       |    12.79%     |
| 16384 |  32  | N/A |      [[16384, 32], [16384, 32]]      | bf16  |       2.42       |       2.45        |       2.48       |        2.66        | 5.24e+05 | 1.05e+06 |      0.49%       |    21.66%     |
| 32768 |  32  | N/A |      [[32768, 32], [32768, 32]]      | bf16  |       2.66       |       2.72        |       2.78       |        3.31        | 1.05e+06 | 2.10e+06 |       0.9%       |    39.42%     |
|  32   |  64  | N/A |         [[32, 64], [32, 64]]         | bf16  |       1.72       |       1.76        |       1.81       |        2.0         | 2.05e+03 | 4.10e+03 |       0.0%       |     0.12%     |
|  64   |  64  | N/A |         [[64, 64], [64, 64]]         | bf16  |       1.72       |       1.75        |       1.79       |        2.01        | 4.10e+03 | 8.19e+03 |      0.01%       |     0.24%     |
|  128  |  64  | N/A |        [[128, 64], [128, 64]]        | bf16  |       1.74       |       1.77        |       1.8        |        2.01        | 8.19e+03 | 1.64e+04 |      0.01%       |     0.47%     |
|  256  |  64  | N/A |        [[256, 64], [256, 64]]        | bf16  |       1.76       |       1.78        |       1.8        |        2.02        | 1.64e+04 | 3.28e+04 |      0.02%       |     0.93%     |
|  512  |  64  | N/A |        [[512, 64], [512, 64]]        | bf16  |       1.79       |       1.81        |       1.84       |        2.04        | 3.28e+04 | 6.55e+04 |      0.04%       |     1.83%     |
| 1024  |  64  | N/A |       [[1024, 64], [1024, 64]]       | bf16  |       1.79       |       1.82        |       1.85       |        2.08        | 6.55e+04 | 1.31e+05 |      0.08%       |     3.66%     |
| 2048  |  64  | N/A |       [[2048, 64], [2048, 64]]       | bf16  |       1.87       |       1.88        |       1.89       |        2.16        | 1.31e+05 | 2.62e+05 |      0.16%       |     7.01%     |
| 4096  |  64  | N/A |       [[4096, 64], [4096, 64]]       | bf16  |       2.04       |       2.07        |       2.11       |        2.33        | 2.62e+05 | 5.24e+05 |      0.29%       |    12.85%     |
| 8192  |  64  | N/A |       [[8192, 64], [8192, 64]]       | bf16  |       2.42       |       2.45        |       2.48       |        2.66        | 5.24e+05 | 1.05e+06 |      0.49%       |    21.66%     |
| 16384 |  64  | N/A |      [[16384, 64], [16384, 64]]      | bf16  |       2.68       |       2.71        |       2.73       |        3.31        | 1.05e+06 | 2.10e+06 |      0.89%       |    39.13%     |
| 32768 |  64  | N/A |      [[32768, 64], [32768, 64]]      | bf16  |       3.62       |       3.64        |       3.66       |        4.62        | 2.10e+06 | 4.19e+06 |      1.32%       |    57.93%     |
|  32   | 128  | N/A |        [[32, 128], [32, 128]]        | bf16  |       1.72       |       1.74        |       1.77       |        2.01        | 4.10e+03 | 8.19e+03 |      0.01%       |     0.24%     |
|  64   | 128  | N/A |        [[64, 128], [64, 128]]        | bf16  |       1.73       |       1.76        |       1.79       |        2.01        | 8.19e+03 | 1.64e+04 |      0.01%       |     0.47%     |
|  128  | 128  | N/A |       [[128, 128], [128, 128]]       | bf16  |       1.75       |       1.77        |       1.8        |        2.02        | 1.64e+04 | 3.28e+04 |      0.02%       |     0.94%     |
|  256  | 128  | N/A |       [[256, 128], [256, 128]]       | bf16  |       1.79       |       1.81        |       1.84       |        2.04        | 3.28e+04 | 6.55e+04 |      0.04%       |     1.83%     |
|  512  | 128  | N/A |       [[512, 128], [512, 128]]       | bf16  |       1.78       |        1.8        |       1.83       |        2.08        | 6.55e+04 | 1.31e+05 |      0.08%       |     3.68%     |
| 1024  | 128  | N/A |      [[1024, 128], [1024, 128]]      | bf16  |       1.86       |        1.9        |       1.93       |        2.16        | 1.31e+05 | 2.62e+05 |      0.16%       |     7.05%     |
| 2048  | 128  | N/A |      [[2048, 128], [2048, 128]]      | bf16  |       2.05       |       2.08        |       2.12       |        2.33        | 2.62e+05 | 5.24e+05 |      0.29%       |    12.79%     |
| 4096  | 128  | N/A |      [[4096, 128], [4096, 128]]      | bf16  |       2.41       |       2.43        |       2.46       |        2.66        | 5.24e+05 | 1.05e+06 |      0.49%       |    21.75%     |
| 8192  | 128  | N/A |      [[8192, 128], [8192, 128]]      | bf16  |       2.69       |       2.71        |       2.74       |        3.31        | 1.05e+06 | 2.10e+06 |      0.89%       |    38.98%     |
| 16384 | 128  | N/A |     [[16384, 128], [16384, 128]]     | bf16  |       3.59       |       3.61        |       3.62       |        4.62        | 2.10e+06 | 4.19e+06 |      1.33%       |    58.42%     |
| 32768 | 128  | N/A |     [[32768, 128], [32768, 128]]     | bf16  |       5.28       |       5.31        |       5.35       |        7.24        | 4.19e+06 | 8.39e+06 |      1.81%       |    79.44%     |
|  32   | 512  | N/A |        [[32, 512], [32, 512]]        | bf16  |       1.76       |       1.79        |       1.83       |        2.02        | 1.64e+04 | 3.28e+04 |      0.02%       |     0.93%     |
|  64   | 512  | N/A |        [[64, 512], [64, 512]]        | bf16  |       1.78       |        1.8        |       1.81       |        2.04        | 3.28e+04 | 6.55e+04 |      0.04%       |     1.84%     |
|  128  | 512  | N/A |       [[128, 512], [128, 512]]       | bf16  |       1.77       |        1.8        |       1.83       |        2.08        | 6.55e+04 | 1.31e+05 |      0.08%       |     3.7%      |
|  256  | 512  | N/A |       [[256, 512], [256, 512]]       | bf16  |       1.86       |       1.88        |       1.9        |        2.16        | 1.31e+05 | 2.62e+05 |      0.16%       |     7.05%     |
|  512  | 512  | N/A |       [[512, 512], [512, 512]]       | bf16  |       2.04       |       2.07        |       2.11       |        2.33        | 2.62e+05 | 5.24e+05 |      0.29%       |    12.85%     |
| 1024  | 512  | N/A |      [[1024, 512], [1024, 512]]      | bf16  |       2.4        |       2.43        |       2.46       |        2.66        | 5.24e+05 | 1.05e+06 |       0.5%       |    21.85%     |
| 2048  | 512  | N/A |      [[2048, 512], [2048, 512]]      | bf16  |       2.67       |       2.71        |       2.75       |        3.31        | 1.05e+06 | 2.10e+06 |      0.89%       |    39.27%     |
| 4096  | 512  | N/A |      [[4096, 512], [4096, 512]]      | bf16  |       3.61       |       3.63        |       3.65       |        4.62        | 2.10e+06 | 4.19e+06 |      1.32%       |    58.09%     |
| 8192  | 512  | N/A |      [[8192, 512], [8192, 512]]      | bf16  |       5.27       |       5.31        |       5.36       |        7.24        | 4.19e+06 | 8.39e+06 |      1.81%       |    79.59%     |
| 16384 | 512  | N/A |     [[16384, 512], [16384, 512]]     | bf16  |       9.21       |       9.28        |       9.35       |       12.49        | 8.39e+06 | 1.68e+07 |      2.07%       |    91.08%     |
| 32768 | 512  | N/A |     [[32768, 512], [32768, 512]]     | bf16  |      35.11       |       35.17       |      35.23       |       22.97        | 1.68e+07 | 3.36e+07 |      1.09%       |    47.78%     |
|  32   | 768  | N/A |        [[32, 768], [32, 768]]        | bf16  |       1.79       |       1.81        |       1.82       |        2.03        | 2.46e+04 | 4.92e+04 |      0.03%       |     1.37%     |
|  64   | 768  | N/A |        [[64, 768], [64, 768]]        | bf16  |       1.79       |       1.81        |       1.84       |        2.06        | 4.92e+04 | 9.83e+04 |      0.06%       |     2.75%     |
|  128  | 768  | N/A |       [[128, 768], [128, 768]]       | bf16  |       1.81       |       1.84        |       1.88       |        2.12        | 9.83e+04 | 1.97e+05 |      0.12%       |     5.43%     |
|  256  | 768  | N/A |       [[256, 768], [256, 768]]       | bf16  |       1.96       |       1.98        |       2.01       |        2.25        | 1.97e+05 | 3.93e+05 |      0.23%       |    10.03%     |
|  512  | 768  | N/A |       [[512, 768], [512, 768]]       | bf16  |       2.23       |       2.25        |       2.28       |        2.49        | 3.93e+05 | 7.86e+05 |       0.4%       |    17.63%     |
| 1024  | 768  | N/A |      [[1024, 768], [1024, 768]]      | bf16  |       2.5        |       2.53        |       2.57       |        2.98        | 7.86e+05 | 1.57e+06 |      0.71%       |    31.46%     |
| 2048  | 768  | N/A |      [[2048, 768], [2048, 768]]      | bf16  |       3.39       |       3.42        |       3.45       |        3.97        | 1.57e+06 | 3.15e+06 |      1.05%       |     46.4%     |
| 4096  | 768  | N/A |      [[4096, 768], [4096, 768]]      | bf16  |       4.45       |       4.49        |       4.53       |        5.93        | 3.15e+06 | 6.29e+06 |      1.61%       |    70.69%     |
| 8192  | 768  | N/A |      [[8192, 768], [8192, 768]]      | bf16  |       6.69       |       6.74        |       6.79       |        9.86        | 6.29e+06 | 1.26e+07 |      2.14%       |    94.04%     |
| 16384 | 768  | N/A |     [[16384, 768], [16384, 768]]     | bf16  |      25.35       |       25.42       |      25.48       |       17.73        | 1.26e+07 | 2.52e+07 |      1.13%       |    49.64%     |
| 32768 | 768  | N/A |     [[32768, 768], [32768, 768]]     | bf16  |      50.91       |       50.98       |      51.04       |       33.46        | 2.52e+07 | 5.03e+07 |      1.12%       |    49.43%     |
