Test Case: H20SXM_aten_fill_
|   M   |   N   |  B  | _val |    input_shape     | dtype | duration_min(us) | duration_mean(us) | duration_max(us) | theory_latency(us) |  flops   |    io    | flops_efficiency | io_efficiency |
|   1   |  32   | N/A |  1   |     [[1, 32]]      | bf16  |       1.31       |       1.33        |       1.36       |        2.0         | 0.00e+00 | 3.20e+01 |        0%        |     0.0%      |
|   2   |  32   | N/A |  1   |     [[2, 32]]      | bf16  |       1.34       |       1.37        |       1.41       |        2.0         | 0.00e+00 | 6.40e+01 |        0%        |     0.0%      |
|   4   |  32   | N/A |  1   |     [[4, 32]]      | bf16  |       1.32       |       1.34        |       1.37       |        2.0         | 0.00e+00 | 1.28e+02 |        0%        |     0.0%      |
|   8   |  32   | N/A |  1   |     [[8, 32]]      | bf16  |       1.42       |       1.46        |       1.5        |        2.0         | 0.00e+00 | 2.56e+02 |        0%        |     0.01%     |
|  16   |  32   | N/A |  1   |     [[16, 32]]     | bf16  |       1.39       |       1.41        |       1.43       |        2.0         | 0.00e+00 | 5.12e+02 |        0%        |     0.02%     |
|  32   |  32   | N/A |  1   |     [[32, 32]]     | bf16  |       1.42       |       1.45        |       1.49       |        2.0         | 0.00e+00 | 1.02e+03 |        0%        |     0.04%     |
|  64   |  32   | N/A |  1   |     [[64, 32]]     | bf16  |       1.36       |       1.39        |       1.41       |        2.0         | 0.00e+00 | 2.05e+03 |        0%        |     0.08%     |
|  128  |  32   | N/A |  1   |    [[128, 32]]     | bf16  |       1.6        |       1.62        |       1.64       |        2.0         | 0.00e+00 | 4.10e+03 |        0%        |     0.13%     |
|  256  |  32   | N/A |  1   |    [[256, 32]]     | bf16  |       1.62       |       1.65        |       1.68       |        2.01        | 0.00e+00 | 8.19e+03 |        0%        |     0.25%     |
|  512  |  32   | N/A |  1   |    [[512, 32]]     | bf16  |       1.63       |       1.65        |       1.67       |        2.01        | 0.00e+00 | 1.64e+04 |        0%        |     0.5%      |
| 1024  |  32   | N/A |  1   |    [[1024, 32]]    | bf16  |       1.67       |       1.69        |       1.71       |        2.02        | 0.00e+00 | 3.28e+04 |        0%        |     0.98%     |
| 2048  |  32   | N/A |  1   |    [[2048, 32]]    | bf16  |       1.68       |       1.71        |       1.75       |        2.04        | 0.00e+00 | 6.55e+04 |        0%        |     1.95%     |
| 4096  |  32   | N/A |  1   |    [[4096, 32]]    | bf16  |       1.76       |       1.79        |       1.82       |        2.08        | 0.00e+00 | 1.31e+05 |        0%        |     3.72%     |
| 8192  |  32   | N/A |  1   |    [[8192, 32]]    | bf16  |       1.74       |       1.77        |       1.81       |        2.16        | 0.00e+00 | 2.62e+05 |        0%        |     7.53%     |
| 16384 |  32   | N/A |  1   |   [[16384, 32]]    | bf16  |       2.05       |       2.08        |       2.12       |        2.33        | 0.00e+00 | 5.24e+05 |        0%        |    12.79%     |
| 32768 |  32   | N/A |  1   |   [[32768, 32]]    | bf16  |       2.68       |       2.71        |       2.74       |        2.66        | 0.00e+00 | 1.05e+06 |        0%        |    19.56%     |
|   1   |  64   | N/A |  1   |     [[1, 64]]      | bf16  |       1.34       |       1.36        |       1.39       |        2.0         | 0.00e+00 | 6.40e+01 |        0%        |     0.0%      |
|   2   |  64   | N/A |  1   |     [[2, 64]]      | bf16  |       1.31       |       1.34        |       1.36       |        2.0         | 0.00e+00 | 1.28e+02 |        0%        |     0.0%      |
|   4   |  64   | N/A |  1   |     [[4, 64]]      | bf16  |       1.33       |       1.37        |       1.41       |        2.0         | 0.00e+00 | 2.56e+02 |        0%        |     0.01%     |
|   8   |  64   | N/A |  1   |     [[8, 64]]      | bf16  |       1.33       |       1.35        |       1.38       |        2.0         | 0.00e+00 | 5.12e+02 |        0%        |     0.02%     |
