Test Case: H20SXM_aten_gelu
|   M   |   N   |  B  |    input_shape     | dtype | duration_min(us) | duration_mean(us) | duration_max(us) | theory_latency(us) |  flops   |    io    | flops_efficiency | io_efficiency |
|   1   |  32   | N/A |     [[1, 32]]      | bf16  |       1.68       |       1.71        |       1.74       |        2.0         | 4.16e+02 | 6.40e+01 |       0.0%       |     0.0%      |
|   2   |  32   | N/A |     [[2, 32]]      | bf16  |       1.68       |       1.72        |       1.76       |        2.0         | 8.32e+02 | 1.28e+02 |       0.0%       |     0.0%      |
|   4   |  32   | N/A |     [[4, 32]]      | bf16  |       1.71       |       1.73        |       1.74       |        2.0         | 1.66e+03 | 2.56e+02 |       0.0%       |     0.01%     |
|   8   |  32   | N/A |     [[8, 32]]      | bf16  |       1.64       |       1.64        |       1.65       |        2.0         | 3.33e+03 | 5.12e+02 |       0.0%       |     0.02%     |
|  16   |  32   | N/A |     [[16, 32]]     | bf16  |       1.5        |       1.52        |       1.54       |        2.0         | 6.66e+03 | 1.02e+03 |      0.01%       |     0.03%     |
|  32   |  32   | N/A |     [[32, 32]]     | bf16  |       1.52       |       1.53        |       1.54       |        2.0         | 1.33e+04 | 2.05e+03 |      0.02%       |     0.07%     |
|  64   |  32   | N/A |     [[64, 32]]     | bf16  |       1.54       |       1.55        |       1.57       |        2.0         | 2.66e+04 | 4.10e+03 |      0.04%       |     0.13%     |
|  128  |  32   | N/A |    [[128, 32]]     | bf16  |       1.55       |       1.57        |       1.59       |        2.01        | 5.32e+04 | 8.19e+03 |      0.08%       |     0.26%     |
|  256  |  32   | N/A |    [[256, 32]]     | bf16  |       1.7        |       1.73        |       1.76       |        2.01        | 1.06e+05 | 1.64e+04 |      0.14%       |     0.48%     |
|  512  |  32   | N/A |    [[512, 32]]     | bf16  |       1.7        |       1.72        |       1.75       |        2.02        | 2.13e+05 | 3.28e+04 |      0.28%       |     0.96%     |
| 1024  |  32   | N/A |    [[1024, 32]]    | bf16  |       1.73       |       1.76        |       1.8        |        2.04        | 4.26e+05 | 6.55e+04 |      0.56%       |     1.89%     |
| 2048  |  32   | N/A |    [[2048, 32]]    | bf16  |       1.78       |       1.81        |       1.85       |        2.08        | 8.52e+05 | 1.31e+05 |      1.09%       |     3.68%     |
| 4096  |  32   | N/A |    [[4096, 32]]    | bf16  |       1.94       |       1.97        |       2.01       |        2.16        | 1.70e+06 | 2.62e+05 |       2.0%       |     6.76%     |
| 8192  |  32   | N/A |    [[8192, 32]]    | bf16  |       2.2        |       2.23        |       2.27       |        2.33        | 3.41e+06 | 5.24e+05 |      3.52%       |    11.92%     |
| 16384 |  32   | N/A |   [[16384, 32]]    | bf16  |       2.8        |       2.83        |       2.85       |        2.66        | 6.82e+06 | 1.05e+06 |      5.53%       |    18.72%     |
| 32768 |  32   | N/A |   [[32768, 32]]    | bf16  |       3.89       |       3.94        |       3.99       |        3.31        | 1.36e+07 | 2.10e+06 |      7.96%       |    26.96%     |
|   1   |  64   | N/A |     [[1, 64]]      | bf16  |       1.7        |       1.71        |       1.73       |        2.0         | 8.32e+02 | 1.28e+02 |       0.0%       |     0.0%      |
|   2   |  64   | N/A |     [[2, 64]]      | bf16  |       1.68       |       1.72        |       1.76       |        2.0         | 1.66e+03 | 2.56e+02 |       0.0%       |     0.01%     |
|   4   |  64   | N/A |     [[4, 64]]      | bf16  |       1.77       |        1.8        |       1.84       |        2.0         | 3.33e+03 | 5.12e+02 |       0.0%       |     0.01%     |
|   8   |  64   | N/A |     [[8, 64]]      | bf16  |       1.64       |       1.67        |       1.7        |        2.0         | 6.66e+03 | 1.02e+03 |      0.01%       |     0.03%     |
|  16   |  64   | N/A |     [[16, 64]]     | bf16  |       1.66       |       1.69        |       1.71       |        2.0         | 1.33e+04 | 2.05e+03 |      0.02%       |     0.06%     |
|  32   |  64   | N/A |     [[32, 64]]     | bf16  |       1.65       |       1.69        |       1.73       |        2.0         | 2.66e+04 | 4.10e+03 |      0.04%       |     0.12%     |
|  64   |  64   | N/A |     [[64, 64]]     | bf16  |       1.87       |       1.89        |       1.92       |        2.01        | 5.32e+04 | 8.19e+03 |      0.06%       |     0.22%     |
|  128  |  64   | N/A |    [[128, 64]]     | bf16  |       1.88       |        1.9        |       1.92       |        2.01        | 1.06e+05 | 1.64e+04 |      0.13%       |     0.44%     |
|  256  |  64   | N/A |    [[256, 64]]     | bf16  |       1.89       |       1.91        |       1.93       |        2.02        | 2.13e+05 | 3.28e+04 |      0.26%       |     0.87%     |
|  512  |  64   | N/A |    [[512, 64]]     | bf16  |       1.93       |       1.96        |       1.99       |        2.04        | 4.26e+05 | 6.55e+04 |       0.5%       |     1.7%      |
| 1024  |  64   | N/A |    [[1024, 64]]    | bf16  |       1.95       |       1.99        |       2.03       |        2.08        | 8.52e+05 | 1.31e+05 |      0.99%       |     3.36%     |
| 2048  |  64   | N/A |    [[2048, 64]]    | bf16  |       2.15       |       2.17        |       2.2        |        2.16        | 1.70e+06 | 2.62e+05 |       1.8%       |     6.1%      |
| 4096  |  64   | N/A |    [[4096, 64]]    | bf16  |       2.18       |       2.21        |       2.24       |        2.33        | 3.41e+06 | 5.24e+05 |      3.55%       |    12.02%     |
| 8192  |  64   | N/A |    [[8192, 64]]    | bf16  |       2.8        |       2.83        |       2.87       |        2.66        | 6.82e+06 | 1.05e+06 |      5.53%       |    18.72%     |
| 16384 |  64   | N/A |   [[16384, 64]]    | bf16  |       3.91       |       3.94        |       3.97       |        3.31        | 1.36e+07 | 2.10e+06 |      7.92%       |    26.82%     |
| 32768 |  64   | N/A |   [[32768, 64]]    | bf16  |       6.24       |       6.27        |       6.29       |        4.62        | 2.73e+07 | 4.19e+06 |      9.93%       |    33.61%     |
|   1   |  128  | N/A |     [[1, 128]]     | bf16  |       1.68       |       1.71        |       1.75       |        2.0         | 1.66e+03 | 2.56e+02 |       0.0%       |     0.01%     |
|   2   |  128  | N/A |     [[2, 128]]     | bf16  |       1.78       |       1.81        |       1.85       |        2.0         | 3.33e+03 | 5.12e+02 |       0.0%       |     0.01%     |
|   4   |  128  | N/A |     [[4, 128]]     | bf16  |       1.65       |       1.68        |       1.72       |        2.0         | 6.66e+03 | 1.02e+03 |      0.01%       |     0.03%     |
|   8   |  128  | N/A |     [[8, 128]]     | bf16  |       1.85       |       1.87        |       1.89       |        2.0         | 1.33e+04 | 2.05e+03 |      0.02%       |     0.06%     |
|  16   |  128  | N/A |    [[16, 128]]     | bf16  |       1.81       |       1.83        |       1.86       |        2.0         | 2.66e+04 | 4.10e+03 |      0.03%       |     0.11%     |
|  32   |  128  | N/A |    [[32, 128]]     | bf16  |       1.86       |        1.9        |       1.94       |        2.01        | 5.32e+04 | 8.19e+03 |      0.07%       |     0.22%     |
|  64   |  128  | N/A |    [[64, 128]]     | bf16  |       1.89       |       1.94        |       2.01       |        2.01        | 1.06e+05 | 1.64e+04 |      0.13%       |     0.43%     |
|  128  |  128  | N/A |    [[128, 128]]    | bf16  |       1.88       |        1.9        |       1.93       |        2.02        | 2.13e+05 | 3.28e+04 |      0.26%       |     0.87%     |
|  256  |  128  | N/A |    [[256, 128]]    | bf16  |       1.63       |       1.63        |       1.64       |        2.04        | 4.26e+05 | 6.55e+04 |      0.59%       |     2.01%     |
|  512  |  128  | N/A |    [[512, 128]]    | bf16  |       1.79       |       1.82        |       1.87       |        2.08        | 8.52e+05 | 1.31e+05 |      1.08%       |     3.66%     |
| 1024  |  128  | N/A |   [[1024, 128]]    | bf16  |       1.93       |       1.96        |       1.98       |        2.16        | 1.70e+06 | 2.62e+05 |      2.01%       |     6.79%     |
| 2048  |  128  | N/A |   [[2048, 128]]    | bf16  |       2.2        |       2.23        |       2.27       |        2.33        | 3.41e+06 | 5.24e+05 |      3.52%       |    11.92%     |
| 4096  |  128  | N/A |   [[4096, 128]]    | bf16  |       2.78       |       2.82        |       2.87       |        2.66        | 6.82e+06 | 1.05e+06 |      5.57%       |    18.86%     |
| 8192  |  128  | N/A |   [[8192, 128]]    | bf16  |       3.88       |       3.91        |       3.95       |        3.31        | 1.36e+07 | 2.10e+06 |      7.98%       |    27.03%     |
| 16384 |  128  | N/A |   [[16384, 128]]   | bf16  |       6.25       |       6.28        |       6.31       |        4.62        | 2.73e+07 | 4.19e+06 |      9.91%       |    33.55%     |
| 32768 |  128  | N/A |   [[32768, 128]]   | bf16  |      10.97       |       11.01       |      11.05       |        7.24        | 5.45e+07 | 8.39e+06 |      11.3%       |    38.23%     |
|   1   |  512  | N/A |     [[1, 512]]     | bf16  |       1.73       |       1.76        |       1.79       |        2.0         | 6.66e+03 | 1.02e+03 |      0.01%       |     0.03%     |
|   2   |  512  | N/A |     [[2, 512]]     | bf16  |       1.76       |       1.79        |       1.84       |        2.0         | 1.33e+04 | 2.05e+03 |      0.02%       |     0.06%     |
|   4   |  512  | N/A |     [[4, 512]]     | bf16  |       1.83       |       1.86        |       1.9        |        2.0         | 2.66e+04 | 4.10e+03 |      0.03%       |     0.11%     |
|   8   |  512  | N/A |     [[8, 512]]     | bf16  |       1.87       |       1.89        |       1.91       |        2.01        | 5.32e+04 | 8.19e+03 |      0.06%       |     0.22%     |
|  16   |  512  | N/A |    [[16, 512]]     | bf16  |       1.88       |        1.9        |       1.92       |        2.01        | 1.06e+05 | 1.64e+04 |      0.13%       |     0.44%     |
|  32   |  512  | N/A |    [[32, 512]]     | bf16  |       1.91       |       1.92        |       1.93       |        2.02        | 2.13e+05 | 3.28e+04 |      0.25%       |     0.86%     |
|  64   |  512  | N/A |    [[64, 512]]     | bf16  |       1.92       |       1.94        |       1.97       |        2.04        | 4.26e+05 | 6.55e+04 |       0.5%       |     1.71%     |
|  128  |  512  | N/A |    [[128, 512]]    | bf16  |       2.0        |       2.02        |       2.05       |        2.08        | 8.52e+05 | 1.31e+05 |      0.97%       |     3.28%     |
|  256  |  512  | N/A |    [[256, 512]]    | bf16  |       2.09       |       2.13        |       2.16       |        2.16        | 1.70e+06 | 2.62e+05 |      1.85%       |     6.27%     |
|  512  |  512  | N/A |    [[512, 512]]    | bf16  |       2.36       |       2.39        |       2.42       |        2.33        | 3.41e+06 | 5.24e+05 |      3.28%       |    11.11%     |
| 1024  |  512  | N/A |   [[1024, 512]]    | bf16  |       2.97       |        3.0        |       3.03       |        2.66        | 6.82e+06 | 1.05e+06 |      5.22%       |    17.65%     |
| 2048  |  512  | N/A |   [[2048, 512]]    | bf16  |       4.08       |       4.11        |       4.15       |        3.31        | 1.36e+07 | 2.10e+06 |      7.59%       |     25.7%     |
| 4096  |  512  | N/A |   [[4096, 512]]    | bf16  |       6.4        |       6.44        |       6.47       |        4.62        | 2.73e+07 | 4.19e+06 |      9.68%       |    32.77%     |
| 8192  |  512  | N/A |   [[8192, 512]]    | bf16  |      11.15       |       11.21       |      11.27       |        7.24        | 5.45e+07 | 8.39e+06 |      11.11%      |    37.62%     |
| 16384 |  512  | N/A |   [[16384, 512]]   | bf16  |      20.58       |       20.59       |      20.61       |       12.49        | 1.09e+08 | 1.68e+07 |      12.04%      |    40.76%     |
| 32768 |  512  | N/A |   [[32768, 512]]   | bf16  |      44.92       |       44.99       |      45.06       |       22.97        | 2.18e+08 | 3.36e+07 |      11.03%      |    37.35%     |
|   1   |  768  | N/A |     [[1, 768]]     | bf16  |       1.68       |       1.71        |       1.75       |        2.0         | 9.98e+03 | 1.54e+03 |      0.01%       |     0.05%     |
|   2   |  768  | N/A |     [[2, 768]]     | bf16  |       1.64       |       1.68        |       1.71       |        2.0         | 2.00e+04 | 3.07e+03 |      0.03%       |     0.09%     |
|   4   |  768  | N/A |     [[4, 768]]     | bf16  |       1.67       |       1.69        |       1.7        |        2.0         | 3.99e+04 | 6.14e+03 |      0.05%       |     0.18%     |
|   8   |  768  | N/A |     [[8, 768]]     | bf16  |       1.68       |        1.7        |       1.73       |        2.01        | 7.99e+04 | 1.23e+04 |      0.11%       |     0.37%     |
|  16   |  768  | N/A |    [[16, 768]]     | bf16  |       1.71       |       1.74        |       1.77       |        2.02        | 1.60e+05 | 2.46e+04 |      0.21%       |     0.72%     |
|  32   |  768  | N/A |    [[32, 768]]     | bf16  |       1.72       |       1.76        |       1.8        |        2.03        | 3.19e+05 | 4.92e+04 |      0.42%       |     1.43%     |
|  64   |  768  | N/A |    [[64, 768]]     | bf16  |       1.97       |        2.0        |       2.03       |        2.06        | 6.39e+05 | 9.83e+04 |      0.74%       |     2.5%      |
|  128  |  768  | N/A |    [[128, 768]]    | bf16  |       2.06       |       2.08        |       2.1        |        2.12        | 1.28e+06 | 1.97e+05 |      1.41%       |     4.77%     |
|  256  |  768  | N/A |    [[256, 768]]    | bf16  |       2.21       |       2.27        |       2.33       |        2.25        | 2.56e+06 | 3.93e+05 |      2.63%       |     8.9%      |
|  512  |  768  | N/A |    [[512, 768]]    | bf16  |       2.63       |       2.65        |       2.67       |        2.49        | 5.11e+06 | 7.86e+05 |      4.42%       |    14.95%     |
| 1024  |  768  | N/A |   [[1024, 768]]    | bf16  |       3.55       |       3.58        |       3.61       |        2.98        | 1.02e+07 | 1.57e+06 |      6.55%       |    22.15%     |
| 2048  |  768  | N/A |   [[2048, 768]]    | bf16  |       5.25       |       5.27        |       5.29       |        3.97        | 2.04e+07 | 3.15e+06 |      8.85%       |    29.96%     |
