Test Case: H20SXM_aten_mm
| B |  M   |  K   |   N   |          input_shape          | dtype | duration_min(us) | duration_mean(us) | duration_max(us) | theory_latency(us) |  flops   |    io    | flops_efficiency | io_efficiency |
| 1 |  1   |  32  |  32   |      [[1, 32], [32, 32]]      | bf16  |      13.17       |       13.51       |      13.76       |        2.0         | 2.05e+03 | 1.09e+03 |       0.0%       |     0.0%      |
| 1 |  2   |  32  |  32   |      [[2, 32], [32, 32]]      | bf16  |      13.83       |       14.01       |      14.21       |        2.0         | 4.10e+03 | 1.15e+03 |       0.0%       |     0.0%      |
| 1 |  4   |  32  |  32   |      [[4, 32], [32, 32]]      | bf16  |      13.72       |       13.98       |      14.17       |        2.0         | 8.19e+03 | 1.28e+03 |       0.0%       |     0.0%      |
| 1 |  8   |  32  |  32   |      [[8, 32], [32, 32]]      | bf16  |      13.79       |       13.98       |      14.17       |        2.0         | 1.64e+04 | 1.54e+03 |       0.0%       |     0.01%     |
| 1 |  32  |  32  |  32   |     [[32, 32], [32, 32]]      | bf16  |      13.86       |       14.09       |      14.22       |        2.0         | 6.55e+04 | 3.07e+03 |       0.0%       |     0.01%     |
| 1 |  64  |  32  |  32   |     [[64, 32], [32, 32]]      | bf16  |      13.82       |       13.99       |      14.15       |        2.0         | 1.31e+05 | 5.12e+03 |      0.01%       |     0.02%     |
| 1 | 128  |  32  |  32   |     [[128, 32], [32, 32]]     | bf16  |      13.71       |       13.95       |      14.23       |        2.01        | 2.62e+05 | 9.22e+03 |      0.01%       |     0.03%     |
| 1 | 256  |  32  |  32   |     [[256, 32], [32, 32]]     | bf16  |      13.84       |       14.01       |      14.25       |        2.01        | 5.24e+05 | 1.74e+04 |      0.03%       |     0.06%     |
| 1 | 512  |  32  |  32   |     [[512, 32], [32, 32]]     | bf16  |      13.79       |       13.96       |      14.22       |        2.02        | 1.05e+06 | 3.38e+04 |      0.05%       |     0.12%     |
| 1 | 1024 |  32  |  32   |    [[1024, 32], [32, 32]]     | bf16  |      13.85       |       14.07       |      14.27       |        2.04        | 2.10e+06 | 6.66e+04 |       0.1%       |     0.24%     |
| 1 | 2048 |  32  |  32   |    [[2048, 32], [32, 32]]     | bf16  |      13.76       |       13.86       |      14.04       |        2.08        | 4.19e+06 | 1.32e+05 |      0.21%       |     0.48%     |
| 1 | 4096 |  32  |  32   |    [[4096, 32], [32, 32]]     | bf16  |      13.81       |       13.98       |      14.18       |        2.16        | 8.39e+06 | 2.63e+05 |      0.41%       |     0.95%     |
| 1 | 8192 |  32  |  32   |    [[8192, 32], [32, 32]]     | bf16  |      13.84       |       14.1        |      14.32       |        2.33        | 1.68e+07 | 5.25e+05 |      0.82%       |     1.9%      |
| 1 |  1   |  64  |  32   |      [[1, 64], [64, 32]]      | bf16  |      13.26       |       13.48       |      13.78       |        2.0         | 4.10e+03 | 2.14e+03 |       0.0%       |     0.01%     |
| 1 |  2   |  64  |  32   |      [[2, 64], [64, 32]]      | bf16  |      13.74       |       13.95       |       14.3       |        2.0         | 8.19e+03 | 2.24e+03 |       0.0%       |     0.01%     |
| 1 |  4   |  64  |  32   |      [[4, 64], [64, 32]]      | bf16  |       13.8       |       14.03       |      14.46       |        2.0         | 1.64e+04 | 2.43e+03 |       0.0%       |     0.01%     |
| 1 |  8   |  64  |  32   |      [[8, 64], [64, 32]]      | bf16  |      13.72       |       13.92       |      14.07       |        2.0         | 3.28e+04 | 2.82e+03 |       0.0%       |     0.01%     |
| 1 |  32  |  64  |  32   |     [[32, 64], [64, 32]]      | bf16  |      13.85       |       14.11       |      14.39       |        2.0         | 1.31e+05 | 5.12e+03 |      0.01%       |     0.02%     |
| 1 |  64  |  64  |  32   |     [[64, 64], [64, 32]]      | bf16  |      13.75       |       14.04       |      14.18       |        2.01        | 2.62e+05 | 8.19e+03 |      0.01%       |     0.03%     |
| 1 | 128  |  64  |  32   |     [[128, 64], [64, 32]]     | bf16  |      13.79       |       14.03       |      14.39       |        2.01        | 5.24e+05 | 1.43e+04 |      0.03%       |     0.05%     |
| 1 | 256  |  64  |  32   |     [[256, 64], [64, 32]]     | bf16  |      13.76       |       13.98       |      14.19       |        2.02        | 1.05e+06 | 2.66e+04 |      0.05%       |     0.1%      |
| 1 | 512  |  64  |  32   |     [[512, 64], [64, 32]]     | bf16  |      13.85       |       14.0        |      14.17       |        2.03        | 2.10e+06 | 5.12e+04 |       0.1%       |     0.18%     |
| 1 | 1024 |  64  |  32   |    [[1024, 64], [64, 32]]     | bf16  |      13.74       |       13.91       |      14.19       |        2.06        | 4.19e+06 | 1.00e+05 |      0.21%       |     0.37%     |
| 1 | 2048 |  64  |  32   |    [[2048, 64], [64, 32]]     | bf16  |      13.64       |       13.89       |      14.24       |        2.12        | 8.39e+06 | 1.99e+05 |      0.42%       |     0.73%     |
| 1 | 4096 |  64  |  32   |    [[4096, 64], [64, 32]]     | bf16  |      13.77       |       13.93       |      14.21       |        2.25        | 1.68e+07 | 3.95e+05 |      0.82%       |     1.44%     |
| 1 | 8192 |  64  |  32   |    [[8192, 64], [64, 32]]     | bf16  |       13.7       |       13.8        |      13.99       |        2.49        | 3.36e+07 | 7.88e+05 |      1.65%       |     2.88%     |
| 1 |  1   | 128  |  32   |     [[1, 128], [128, 32]]     | bf16  |      13.14       |       13.31       |      13.54       |        2.0         | 8.19e+03 | 4.26e+03 |       0.0%       |     0.02%     |
| 1 |  2   | 128  |  32   |     [[2, 128], [128, 32]]     | bf16  |      13.86       |       14.01       |      14.21       |        2.0         | 1.64e+04 | 4.42e+03 |       0.0%       |     0.02%     |
| 1 |  4   | 128  |  32   |     [[4, 128], [128, 32]]     | bf16  |      13.83       |       14.04       |      14.38       |        2.0         | 3.28e+04 | 4.74e+03 |       0.0%       |     0.02%     |
| 1 |  8   | 128  |  32   |     [[8, 128], [128, 32]]     | bf16  |      13.87       |       14.0        |      14.37       |        2.0         | 6.55e+04 | 5.38e+03 |       0.0%       |     0.02%     |
| 1 |  32  | 128  |  32   |    [[32, 128], [128, 32]]     | bf16  |      13.85       |       13.96       |      14.18       |        2.01        | 2.62e+05 | 9.22e+03 |      0.01%       |     0.03%     |
| 1 |  64  | 128  |  32   |    [[64, 128], [128, 32]]     | bf16  |      13.92       |       14.12       |      14.38       |        2.01        | 5.24e+05 | 1.43e+04 |      0.03%       |     0.05%     |
| 1 | 128  | 128  |  32   |    [[128, 128], [128, 32]]    | bf16  |      13.87       |       14.08       |      14.44       |        2.02        | 1.05e+06 | 2.46e+04 |      0.05%       |     0.09%     |
| 1 | 256  | 128  |  32   |    [[256, 128], [128, 32]]    | bf16  |      13.84       |       14.1        |      14.25       |        2.03        | 2.10e+06 | 4.51e+04 |       0.1%       |     0.16%     |
