Test Case: H20SXM_aten_silu
|   M   |   N   |  B  |    input_shape     | dtype | duration_min(us) | duration_mean(us) | duration_max(us) | theory_latency(us) |  flops   |    io    | flops_efficiency | io_efficiency |
|   1   |  32   | N/A |     [[1, 32]]      | bf16  |       1.74       |       1.76        |       1.78       |        2.0         | 4.16e+02 | 6.40e+01 |       0.0%       |     0.0%      |
|   2   |  32   | N/A |     [[2, 32]]      | bf16  |       1.64       |       1.65        |       1.67       |        2.0         | 8.32e+02 | 1.28e+02 |       0.0%       |     0.0%      |
|   4   |  32   | N/A |     [[4, 32]]      | bf16  |       1.65       |       1.68        |       1.72       |        2.0         | 1.66e+03 | 2.56e+02 |       0.0%       |     0.01%     |
|   8   |  32   | N/A |     [[8, 32]]      | bf16  |       1.84       |       1.88        |       1.92       |        2.0         | 3.33e+03 | 5.12e+02 |       0.0%       |     0.01%     |
|  16   |  32   | N/A |     [[16, 32]]     | bf16  |       1.52       |       1.58        |       1.62       |        2.0         | 6.66e+03 | 1.02e+03 |      0.01%       |     0.03%     |
|  32   |  32   | N/A |     [[32, 32]]     | bf16  |       1.79       |       1.82        |       1.86       |        2.0         | 1.33e+04 | 2.05e+03 |      0.02%       |     0.06%     |
|  64   |  32   | N/A |     [[64, 32]]     | bf16  |       2.16       |        2.2        |       2.24       |        2.0         | 2.66e+04 | 4.10e+03 |      0.03%       |     0.09%     |
|  128  |  32   | N/A |    [[128, 32]]     | bf16  |       2.13       |       2.16        |       2.2        |        2.01        | 5.32e+04 | 8.19e+03 |      0.06%       |     0.19%     |
|  256  |  32   | N/A |    [[256, 32]]     | bf16  |       1.88       |       1.93        |       1.98       |        2.01        | 1.06e+05 | 1.64e+04 |      0.13%       |     0.44%     |
|  512  |  32   | N/A |    [[512, 32]]     | bf16  |       2.15       |       2.18        |       2.2        |        2.02        | 2.13e+05 | 3.28e+04 |      0.23%       |     0.76%     |
| 1024  |  32   | N/A |    [[1024, 32]]    | bf16  |       2.22       |       2.25        |       2.28       |        2.04        | 4.26e+05 | 6.55e+04 |      0.44%       |     1.48%     |
| 2048  |  32   | N/A |    [[2048, 32]]    | bf16  |       2.22       |       2.25        |       2.29       |        2.08        | 8.52e+05 | 1.31e+05 |      0.87%       |     2.95%     |
| 4096  |  32   | N/A |    [[4096, 32]]    | bf16  |       2.24       |       2.26        |       2.28       |        2.16        | 1.70e+06 | 2.62e+05 |      1.73%       |     5.85%     |
| 8192  |  32   | N/A |    [[8192, 32]]    | bf16  |       2.49       |       2.51        |       2.54       |        2.33        | 3.41e+06 | 5.24e+05 |      3.11%       |    10.53%     |
| 16384 |  32   | N/A |   [[16384, 32]]    | bf16  |       2.99       |       3.01        |       3.03       |        2.66        | 6.82e+06 | 1.05e+06 |      5.18%       |    17.53%     |
