Test Case: H20SXM_aten_slice
|   M   |  N   |  B  | dim | end | start | step |    input_shape     | dtype | duration_min(us) | duration_mean(us) | duration_max(us) | theory_latency(us) |  flops   |    io    | flops_efficiency | io_efficiency |
|  32   |  32  | N/A |  0  |  8  |   0   |  1   |     [[32, 32]]     | bf16  |       0.76       |        0.8        |       0.87       |        2.0         | 0.00e+00 | 1.02e+03 |        0%        |     0.07%     |
|  64   |  32  | N/A |  0  |  8  |   0   |  1   |     [[64, 32]]     | bf16  |       0.77       |       0.79        |       0.81       |        2.0         | 0.00e+00 | 2.05e+03 |        0%        |     0.13%     |
|  128  |  32  | N/A |  0  |  8  |   0   |  1   |    [[128, 32]]     | bf16  |       0.75       |       0.77        |       0.8        |        2.0         | 0.00e+00 | 4.10e+03 |        0%        |     0.27%     |
|  256  |  32  | N/A |  0  |  8  |   0   |  1   |    [[256, 32]]     | bf16  |       0.75       |       0.77        |       0.79       |        2.01        | 0.00e+00 | 8.19e+03 |        0%        |     0.55%     |
|  512  |  32  | N/A |  0  |  8  |   0   |  1   |    [[512, 32]]     | bf16  |       0.75       |       0.78        |       0.8        |        2.01        | 0.00e+00 | 1.64e+04 |        0%        |     1.09%     |
| 1024  |  32  | N/A |  0  |  8  |   0   |  1   |    [[1024, 32]]    | bf16  |       0.76       |       0.78        |       0.8        |        2.02        | 0.00e+00 | 3.28e+04 |        0%        |     2.16%     |
| 2048  |  32  | N/A |  0  |  8  |   0   |  1   |    [[2048, 32]]    | bf16  |       0.75       |       0.76        |       0.77       |        2.04        | 0.00e+00 | 6.55e+04 |        0%        |     4.37%     |
| 4096  |  32  | N/A |  0  |  8  |   0   |  1   |    [[4096, 32]]    | bf16  |       0.75       |       0.79        |       0.83       |        2.08        | 0.00e+00 | 1.31e+05 |        0%        |     8.74%     |
| 8192  |  32  | N/A |  0  |  8  |   0   |  1   |    [[8192, 32]]    | bf16  |       0.75       |       0.78        |       0.83       |        2.16        | 0.00e+00 | 2.62e+05 |        0%        |    17.48%     |
| 16384 |  32  | N/A |  0  |  8  |   0   |  1   |   [[16384, 32]]    | bf16  |       0.76       |       0.79        |       0.83       |        2.33        | 0.00e+00 | 5.24e+05 |        0%        |    34.49%     |
| 32768 |  32  | N/A |  0  |  8  |   0   |  1   |   [[32768, 32]]    | bf16  |       0.74       |       0.77        |       0.8        |        2.66        | 0.00e+00 | 1.05e+06 |        0%        |    70.85%     |
|  32   |  64  | N/A |  0  |  8  |   0   |  1   |     [[32, 64]]     | bf16  |       0.74       |       0.76        |       0.8        |        2.0         | 0.00e+00 | 2.05e+03 |        0%        |     0.14%     |
|  64   |  64  | N/A |  0  |  8  |   0   |  1   |     [[64, 64]]     | bf16  |       0.75       |       0.79        |       0.82       |        2.0         | 0.00e+00 | 4.10e+03 |        0%        |     0.27%     |
|  128  |  64  | N/A |  0  |  8  |   0   |  1   |    [[128, 64]]     | bf16  |       0.74       |       0.76        |       0.78       |        2.01        | 0.00e+00 | 8.19e+03 |        0%        |     0.55%     |
|  256  |  64  | N/A |  0  |  8  |   0   |  1   |    [[256, 64]]     | bf16  |       0.74       |       0.77        |       0.8        |        2.01        | 0.00e+00 | 1.64e+04 |        0%        |     1.11%     |
|  512  |  64  | N/A |  0  |  8  |   0   |  1   |    [[512, 64]]     | bf16  |       0.75       |       0.77        |       0.81       |        2.02        | 0.00e+00 | 3.28e+04 |        0%        |     2.18%     |
| 1024  |  64  | N/A |  0  |  8  |   0   |  1   |    [[1024, 64]]    | bf16  |       0.75       |       0.78        |       0.8        |        2.04        | 0.00e+00 | 6.55e+04 |        0%        |     4.37%     |
| 2048  |  64  | N/A |  0  |  8  |   0   |  1   |    [[2048, 64]]    | bf16  |       0.74       |       0.78        |       0.82       |        2.08        | 0.00e+00 | 1.31e+05 |        0%        |     8.86%     |
| 4096  |  64  | N/A |  0  |  8  |   0   |  1   |    [[4096, 64]]    | bf16  |       0.75       |       0.77        |       0.79       |        2.16        | 0.00e+00 | 2.62e+05 |        0%        |    17.48%     |
| 8192  |  64  | N/A |  0  |  8  |   0   |  1   |    [[8192, 64]]    | bf16  |       0.73       |       0.77        |       0.8        |        2.33        | 0.00e+00 | 5.24e+05 |        0%        |    35.91%     |
| 16384 |  64  | N/A |  0  |  8  |   0   |  1   |   [[16384, 64]]    | bf16  |       0.75       |       0.78        |       0.81       |        2.66        | 0.00e+00 | 1.05e+06 |        0%        |    69.91%     |
| 32768 |  64  | N/A |  0  |  8  |   0   |  1   |   [[32768, 64]]    | bf16  |       0.75       |       0.75        |       0.76       |        3.31        | 0.00e+00 | 2.10e+06 |        0%        |    139.81%    |
|  32   | 128  | N/A |  0  |  8  |   0   |  1   |    [[32, 128]]     | bf16  |       0.75       |       0.77        |       0.81       |        2.0         | 0.00e+00 | 4.10e+03 |        0%        |     0.27%     |
|  64   | 128  | N/A |  0  |  8  |   0   |  1   |    [[64, 128]]     | bf16  |       0.75       |       0.78        |       0.8        |        2.01        | 0.00e+00 | 8.19e+03 |        0%        |     0.55%     |
|  128  | 128  | N/A |  0  |  8  |   0   |  1   |    [[128, 128]]    | bf16  |       0.75       |       0.76        |       0.81       |        2.01        | 0.00e+00 | 1.64e+04 |        0%        |     1.09%     |
|  256  | 128  | N/A |  0  |  8  |   0   |  1   |    [[256, 128]]    | bf16  |       0.74       |       0.78        |       0.83       |        2.02        | 0.00e+00 | 3.28e+04 |        0%        |     2.21%     |
|  512  | 128  | N/A |  0  |  8  |   0   |  1   |    [[512, 128]]    | bf16  |       0.76       |       0.78        |       0.82       |        2.04        | 0.00e+00 | 6.55e+04 |        0%        |     4.31%     |
| 1024  | 128  | N/A |  0  |  8  |   0   |  1   |   [[1024, 128]]    | bf16  |       0.76       |       0.78        |       0.82       |        2.08        | 0.00e+00 | 1.31e+05 |        0%        |     8.62%     |
| 2048  | 128  | N/A |  0  |  8  |   0   |  1   |   [[2048, 128]]    | bf16  |       0.74       |       0.77        |       0.81       |        2.16        | 0.00e+00 | 2.62e+05 |        0%        |    17.71%     |
| 4096  | 128  | N/A |  0  |  8  |   0   |  1   |   [[4096, 128]]    | bf16  |       0.75       |       0.77        |       0.79       |        2.33        | 0.00e+00 | 5.24e+05 |        0%        |    34.95%     |
| 8192  | 128  | N/A |  0  |  8  |   0   |  1   |   [[8192, 128]]    | bf16  |       0.75       |       0.76        |       0.8        |        2.66        | 0.00e+00 | 1.05e+06 |        0%        |    69.91%     |
| 16384 | 128  | N/A |  0  |  8  |   0   |  1   |   [[16384, 128]]   | bf16  |       0.74       |       0.77        |       0.8        |        3.31        | 0.00e+00 | 2.10e+06 |        0%        |    141.7%     |
| 32768 | 128  | N/A |  0  |  8  |   0   |  1   |   [[32768, 128]]   | bf16  |       0.75       |       0.78        |       0.82       |        4.62        | 0.00e+00 | 4.19e+06 |        0%        |    279.62%    |
|  32   | 512  | N/A |  0  |  8  |   0   |  1   |    [[32, 512]]     | bf16  |       0.75       |       0.78        |       0.82       |        2.01        | 0.00e+00 | 1.64e+04 |        0%        |     1.09%     |
|  64   | 512  | N/A |  0  |  8  |   0   |  1   |    [[64, 512]]     | bf16  |       0.76       |       0.78        |       0.83       |        2.02        | 0.00e+00 | 3.28e+04 |        0%        |     2.16%     |
|  128  | 512  | N/A |  0  |  8  |   0   |  1   |    [[128, 512]]    | bf16  |       0.76       |       0.79        |       0.83       |        2.04        | 0.00e+00 | 6.55e+04 |        0%        |     4.31%     |
|  256  | 512  | N/A |  0  |  8  |   0   |  1   |    [[256, 512]]    | bf16  |       0.74       |       0.78        |       0.83       |        2.08        | 0.00e+00 | 1.31e+05 |        0%        |     8.86%     |
|  512  | 512  | N/A |  0  |  8  |   0   |  1   |    [[512, 512]]    | bf16  |       0.74       |       0.78        |       0.82       |        2.16        | 0.00e+00 | 2.62e+05 |        0%        |    17.71%     |
| 1024  | 512  | N/A |  0  |  8  |   0   |  1   |   [[1024, 512]]    | bf16  |       0.74       |       0.78        |       0.84       |        2.33        | 0.00e+00 | 5.24e+05 |        0%        |    35.42%     |
| 2048  | 512  | N/A |  0  |  8  |   0   |  1   |   [[2048, 512]]    | bf16  |       0.74       |       0.77        |       0.79       |        2.66        | 0.00e+00 | 1.05e+06 |        0%        |    70.85%     |
| 4096  | 512  | N/A |  0  |  8  |   0   |  1   |   [[4096, 512]]    | bf16  |       0.75       |       0.76        |       0.78       |        3.31        | 0.00e+00 | 2.10e+06 |        0%        |    139.81%    |
| 8192  | 512  | N/A |  0  |  8  |   0   |  1   |   [[8192, 512]]    | bf16  |       0.75       |       0.79        |       0.83       |        4.62        | 0.00e+00 | 4.19e+06 |        0%        |    279.62%    |
| 16384 | 512  | N/A |  0  |  8  |   0   |  1   |   [[16384, 512]]   | bf16  |       0.74       |       0.77        |       0.83       |        7.24        | 0.00e+00 | 8.39e+06 |        0%        |    566.8%     |
| 32768 | 512  | N/A |  0  |  8  |   0   |  1   |   [[32768, 512]]   | bf16  |       0.76       |       0.79        |       0.85       |       12.49        | 0.00e+00 | 1.68e+07 |        0%        |   1103.76%    |
|  32   | 768  | N/A |  0  |  8  |   0   |  1   |    [[32, 768]]     | bf16  |       0.76       |       0.78        |       0.8        |        2.02        | 0.00e+00 | 2.46e+04 |        0%        |     1.62%     |
|  64   | 768  | N/A |  0  |  8  |   0   |  1   |    [[64, 768]]     | bf16  |       0.75       |       0.78        |       0.83       |        2.03        | 0.00e+00 | 4.92e+04 |        0%        |     3.28%     |
|  128  | 768  | N/A |  0  |  8  |   0   |  1   |    [[128, 768]]    | bf16  |       0.75       |       0.78        |       0.81       |        2.06        | 0.00e+00 | 9.83e+04 |        0%        |     6.55%     |
|  256  | 768  | N/A |  0  |  8  |   0   |  1   |    [[256, 768]]    | bf16  |       0.76       |       0.78        |       0.81       |        2.12        | 0.00e+00 | 1.97e+05 |        0%        |    12.93%     |
|  512  | 768  | N/A |  0  |  8  |   0   |  1   |    [[512, 768]]    | bf16  |       0.75       |       0.78        |       0.8        |        2.25        | 0.00e+00 | 3.93e+05 |        0%        |    26.21%     |
