Test Case: H20SXM_aten_sub
|   M   |   N   |  B  |             input_shape              | dtype | duration_min(us) | duration_mean(us) | duration_max(us) | theory_latency(us) |  flops   |    io    | flops_efficiency | io_efficiency |
|   1   |  32   | N/A |           [[1, 32], [32]]            | bf16  |       1.59       |       1.62        |       1.66       |        2.0         | 3.20e+01 | 9.60e+01 |       0.0%       |     0.0%      |
|   2   |  32   | N/A |           [[2, 32], [32]]            | bf16  |       1.67       |        1.7        |       1.72       |        2.0         | 6.40e+01 | 1.92e+02 |       0.0%       |     0.01%     |
|   4   |  32   | N/A |           [[4, 32], [32]]            | bf16  |       1.66       |       1.69        |       1.72       |        2.0         | 1.28e+02 | 3.84e+02 |       0.0%       |     0.01%     |
|   8   |  32   | N/A |           [[8, 32], [32]]            | bf16  |       1.95       |       1.98        |       2.01       |        2.0         | 2.56e+02 | 7.68e+02 |       0.0%       |     0.02%     |
|  16   |  32   | N/A |           [[16, 32], [32]]           | bf16  |       2.61       |       2.65        |       2.69       |        2.0         | 5.12e+02 | 1.54e+03 |       0.0%       |     0.03%     |
|  32   |  32   | N/A |           [[32, 32], [32]]           | bf16  |       2.56       |       2.59        |       2.62       |        2.0         | 1.02e+03 | 3.07e+03 |       0.0%       |     0.06%     |
|  64   |  32   | N/A |           [[64, 32], [32]]           | bf16  |       2.63       |       2.65        |       2.67       |        2.0         | 2.05e+03 | 6.14e+03 |       0.0%       |     0.12%     |
|  128  |  32   | N/A |          [[128, 32], [32]]           | bf16  |       2.69       |       2.73        |       2.77       |        2.01        | 4.10e+03 | 1.23e+04 |       0.0%       |     0.23%     |
|  256  |  32   | N/A |          [[256, 32], [32]]           | bf16  |       2.72       |       2.75        |       2.77       |        2.02        | 8.19e+03 | 2.46e+04 |      0.01%       |     0.45%     |
|  512  |  32   | N/A |          [[512, 32], [32]]           | bf16  |       2.71       |       2.74        |       2.78       |        2.03        | 1.64e+04 | 4.92e+04 |      0.01%       |     0.91%     |
| 1024  |  32   | N/A |          [[1024, 32], [32]]          | bf16  |       2.74       |       2.77        |       2.8        |        2.06        | 3.28e+04 | 9.83e+04 |      0.03%       |     1.79%     |
| 2048  |  32   | N/A |          [[2048, 32], [32]]          | bf16  |       2.77       |        2.8        |       2.83       |        2.12        | 6.55e+04 | 1.97e+05 |      0.05%       |     3.55%     |
