test case : H20SXM_flash_attn::flash_attn.flash_attn_func
|    B     |    C     |    D     |    De    |   Drop    |   MQKV   |   NHK    |     S     |      W       |  causal  |  deterministic  |  dropout_p  |  softmax_scale  |   window_size   |                            input_shape                            | dtype  | duration_min(us) | duration_mean(us) | duration_max(us) | latency_value(us) |     2D_flops     |  activation  |   params   |     flops_1D     |              flops_2D              |    flops_SFU    |  flops_efficient_1D  |  flops_efficient_2D  |  flops_efficient_SFU  |     io     | io_efficient |
|    1     |  False   |   128    |  False   |    0.0    |   2048   |    10    |    0.0    |   [-1, -1]   |  False   |      False      |     0.0     |       0.0       |    [-1, -1]     |   [[1, 2048, 10, 128], [1, 2048, 10, 128], [1, 2048, 10, 128]]    |  bf16  |      357.60      |      357.71       |      357.80      |      183.38       |     2.15e+10     |   2.62e+06   |  0.00e+00  |    ['2.94e...    |      ['1.07e+10', '1.07e+10']      |    ['4.19...    |       3.36e-02       |       4.56e-01       |       3.84e-02        |  2.62e+07  |    3.67%     |
|    1     |  False   |   128    |  False   |    0.0    |   4096   |    10    |    0.0    |   [-1, -1]   |  False   |      False      |     0.0     |       0.0       |    [-1, -1]     |   [[1, 4096, 10, 128], [1, 4096, 10, 128], [1, 4096, 10, 128]]    |  bf16  |     1170.56      |      1171.55      |     1172.15      |      727.50       |     8.59e+10     |   5.25e+06   |  0.00e+00  |   ['1.17e+...    |      ['4.29e+10', '4.29e+10']      |   ['1.68e...    |       4.10e-02       |       5.58e-01       |       4.69e-02        |  5.24e+07  |    2.24%     |
|    1     |  False   |   128    |  False   |    0.0    |   8192   |    10    |    0.0    |   [-1, -1]   |  False   |      False      |     0.0     |       0.0       |    [-1, -1]     |   [[1, 8192, 10, 128], [1, 8192, 10, 128], [1, 8192, 10, 128]]    |  bf16  |     4173.21      |      4173.51      |     4173.75      |      2904.00      |     3.44e+11     |   1.05e+07   |  0.00e+00  |   ['4.70e+...    |      ['1.72e+11', '1.72e+11']      |   ['6.71e...    |       4.60e-02       |       6.26e-01       |       5.26e-02        |  1.05e+08  |    1.26%     |
|    1     |  False   |   128    |  False   |    0.0    |  16384   |    10    |    0.0    |   [-1, -1]   |  False   |      False      |     0.0     |       0.0       |    [-1, -1]     |  [[1, 16384, 10, 128], [1, 16384, 10, 128], [1, 16384, 10, 128]]  |  bf16  |     15687.44     |     15687.75      |     15688.20     |     11610.02      |     1.37e+12     |   2.10e+07   |  0.00e+00  |   ['1.88e+10']   |      ['6.87e+11', '6.87e+11']      |   ['2.68e+...   |       4.90e-02       |       6.66e-01       |       5.60e-02        |  2.10e+08  |    0.67%     |
|    1     |  False   |   128    |  False   |    0.0    |  32768   |    10    |    0.0    |   [-1, -1]   |  False   |      False      |     0.0     |       0.0       |    [-1, -1]     |  [[1, 32768, 10, 128], [1, 32768, 10, 128], [1, 32768, 10, 128]]  |  bf16  |     60758.27     |     60759.39      |     60760.34     |     46434.08      |     5.50e+12     |   4.20e+07   |  0.00e+00  |   ['7.52e+10']   |      ['2.75e+12', '2.75e+12']      |  ['1.07e+10']   |       5.06e-02       |       6.88e-01       |       5.78e-02        |  4.19e+08  |    0.35%     |
|    1     |  False   |   128    |  False   |    0.0    |  65536   |    10    |    0.0    |   [-1, -1]   |  False   |      False      |     0.0     |       0.0       |    [-1, -1]     |  [[1, 65536, 10, 128], [1, 65536, 10, 128], [1, 65536, 10, 128]]  |  bf16  |    242694.92     |     242695.97     |    242697.14     |     185730.32     |     2.20e+13     |   8.40e+07   |  0.00e+00  |   ['3.01e+11']   |      ['1.10e+13', '1.10e+13']      |  ['4.29e+10']   |       5.07e-02       |       6.89e-01       |       5.79e-02        |  8.39e+08  |    0.17%     |
|    1     |  False   |   128    |  False   |    0.0    |  75348   |    10    |    0.0    |   [-1, -1]   |  False   |      False      |     0.0     |       0.0       |    [-1, -1]     |  [[1, 75348, 10, 128], [1, 75348, 10, 128], [1, 75348, 10, 128]]  |  bf16  |    321821.59     |     322576.91     |    327096.78     |     245507.78     |     2.91e+13     |   9.65e+07   |  0.00e+00  |   ['3.97e+11']   |      ['1.45e+13', '1.45e+13']      |  ['5.68e+10']   |       5.05e-02       |       6.87e-01       |       5.77e-02        |  9.64e+08  |    0.15%     |
|    1     |  False   |   128    |  False   |    0.0    |   2048   |    40    |    0.0    |   [-1, -1]   |  False   |      False      |     0.0     |       0.0       |    [-1, -1]     |   [[1, 2048, 40, 128], [1, 2048, 40, 128], [1, 2048, 40, 128]]    |  bf16  |     1050.60      |      1050.68      |     1050.78      |      727.50       |     8.59e+10     |   1.05e+07   |  0.00e+00  |   ['1.17e+...    |      ['4.29e+10', '4.29e+10']      |   ['1.68e+...   |       4.57e-02       |       6.22e-01       |       5.23e-02        |  1.05e+08  |    4.99%     |
|    1     |  False   |   128    |  False   |    0.0    |   4096   |    40    |    0.0    |   [-1, -1]   |  False   |      False      |     0.0     |       0.0       |    [-1, -1]     |   [[1, 4096, 40, 128], [1, 4096, 40, 128], [1, 4096, 40, 128]]    |  bf16  |     3933.31      |      3933.74      |     3933.94      |      2904.00      |     3.44e+11     |   2.10e+07   |  0.00e+00  |   ['4.70e+...    |      ['1.72e+11', '1.72e+11']      |   ['6.71e+...   |       4.89e-02       |       6.64e-01       |       5.58e-02        |  2.10e+08  |    2.67%     |
|    1     |  False   |   128    |  False   |    0.0    |   8192   |    40    |    0.0    |   [-1, -1]   |  False   |      False      |     0.0     |       0.0       |    [-1, -1]     |   [[1, 8192, 40, 128], [1, 8192, 40, 128], [1, 8192, 40, 128]]    |  bf16  |     15207.98     |     15208.29      |     15208.59     |     11610.02      |     1.37e+12     |   4.20e+07   |  0.00e+00  |   ['1.88e+10']   |      ['6.87e+11', '6.87e+11']      |   ['2.68e+...   |       5.05e-02       |       6.87e-01       |       5.78e-02        |  4.19e+08  |    1.38%     |
