test case : H20SXM_flash_attn::flash_attn_interface.flash_attn_func
|    B     |    C     |    D     |    De    |   Drop    |   MQKV   |   NHK    |     S     |      W       |  causal  |  num_splits  |  pack_gqa  |  softcap  |   window_size   |                            input_shape                            | dtype  | duration_min(us) | duration_mean(us) | duration_max(us) | latency_value(us) |     2D_flops     |  activation  |   params   |     flops_1D     |              flops_2D              |    flops_SFU    |  flops_efficient_1D  |  flops_efficient_2D  |  flops_efficient_SFU  |     io     | io_efficient |
|    1     |  False   |   128    |  False   |    0.0    |   2048   |    10    |    0.0    |   [-1, -1]   |  False   |      1       |   False    |    0.0    |    [-1, -1]     |   [[1, 2048, 10, 128], [1, 2048, 10, 128], [1, 2048, 10, 128]]    |  bf16  |      235.24      |      235.33       |      235.41      |      183.38       |     2.15e+10     |   2.62e+06   |  0.00e+00  |    ['2.94e...    |      ['1.07e+10', '1.07e+10']      |    ['4.19...    |       5.11e-02       |       6.94e-01       |       5.84e-02        |  2.62e+07  |    5.57%     |
|    1     |  False   |   128    |  False   |    0.0    |   4096   |    10    |    0.0    |   [-1, -1]   |  False   |      1       |   False    |    0.0    |    [-1, -1]     |   [[1, 4096, 10, 128], [1, 4096, 10, 128], [1, 4096, 10, 128]]    |  bf16  |      767.62      |      769.07       |      769.99      |      727.50       |     8.59e+10     |   5.25e+06   |  0.00e+00  |   ['1.17e+...    |      ['4.29e+10', '4.29e+10']      |   ['1.68e...    |       6.26e-02       |       8.51e-01       |       7.15e-02        |  5.24e+07  |    3.42%     |
|    1     |  False   |   128    |  False   |    0.0    |   8192   |    10    |    0.0    |   [-1, -1]   |  False   |      1       |   False    |    0.0    |    [-1, -1]     |   [[1, 8192, 10, 128], [1, 8192, 10, 128], [1, 8192, 10, 128]]    |  bf16  |     2689.27      |      2689.49      |     2689.79      |      2904.00      |     3.44e+11     |   1.05e+07   |  0.00e+00  |   ['4.70e+...    |      ['1.72e+11', '1.72e+11']      |   ['6.71e...    |       7.15e-02       |       9.71e-01       |       8.17e-02        |  1.05e+08  |    1.95%     |
|    1     |  False   |   128    |  False   |    0.0    |  16384   |    10    |    0.0    |   [-1, -1]   |  False   |      1       |   False    |    0.0    |    [-1, -1]     |  [[1, 16384, 10, 128], [1, 16384, 10, 128], [1, 16384, 10, 128]]  |  bf16  |     10133.26     |     10134.05      |     10134.58     |     11610.02      |     1.37e+12     |   2.10e+07   |  0.00e+00  |   ['1.88e+10']   |      ['6.87e+11', '6.87e+11']      |   ['2.68e+...   |       7.59e-02       |       1.03e+00       |       8.67e-02        |  2.10e+08  |    1.03%     |
|    1     |  False   |   128    |  False   |    0.0    |  32768   |    10    |    0.0    |   [-1, -1]   |  False   |      1       |   False    |    0.0    |    [-1, -1]     |  [[1, 32768, 10, 128], [1, 32768, 10, 128], [1, 32768, 10, 128]]  |  bf16  |     39074.17     |     39076.27      |     39079.11     |     46434.08      |     5.50e+12     |   4.20e+07   |  0.00e+00  |   ['7.52e+10']   |      ['2.75e+12', '2.75e+12']      |  ['1.07e+10']   |       7.87e-02       |       1.07e+00       |       8.99e-02        |  4.19e+08  |    0.54%     |
|    1     |  False   |   128    |  False   |    0.0    |  65536   |    10    |    0.0    |   [-1, -1]   |  False   |      1       |   False    |    0.0    |    [-1, -1]     |  [[1, 65536, 10, 128], [1, 65536, 10, 128], [1, 65536, 10, 128]]  |  bf16  |    155965.94     |     155975.20     |    155992.02     |     185730.32     |     2.20e+13     |   8.40e+07   |  0.00e+00  |   ['3.01e+11']   |      ['1.10e+13', '1.10e+13']      |  ['4.29e+10']   |       7.89e-02       |       1.07e+00       |       9.01e-02        |  8.39e+08  |    0.27%     |
|    1     |  False   |   128    |  False   |    0.0    |  75348   |    10    |    0.0    |   [-1, -1]   |  False   |      1       |   False    |    0.0    |    [-1, -1]     |  [[1, 75348, 10, 128], [1, 75348, 10, 128], [1, 75348, 10, 128]]  |  bf16  |    206258.33     |     206269.58     |    206277.70     |     245507.78     |     2.91e+13     |   9.65e+07   |  0.00e+00  |   ['3.97e+11']   |      ['1.45e+13', '1.45e+13']      |  ['5.68e+10']   |       7.88e-02       |       1.07e+00       |       9.01e-02        |  9.64e+08  |    0.23%     |
|    1     |  False   |   128    |  False   |    0.0    |   2048   |    40    |    0.0    |   [-1, -1]   |  False   |      1       |   False    |    0.0    |    [-1, -1]     |   [[1, 2048, 40, 128], [1, 2048, 40, 128], [1, 2048, 40, 128]]    |  bf16  |      694.71      |      695.52       |      696.73      |      727.50       |     8.59e+10     |   1.05e+07   |  0.00e+00  |   ['1.17e+...    |      ['4.29e+10', '4.29e+10']      |   ['1.68e+...   |       6.92e-02       |       9.40e-01       |       7.90e-02        |  1.05e+08  |    7.55%     |
|    1     |  False   |   128    |  False   |    0.0    |   4096   |    40    |    0.0    |   [-1, -1]   |  False   |      1       |   False    |    0.0    |    [-1, -1]     |   [[1, 4096, 40, 128], [1, 4096, 40, 128], [1, 4096, 40, 128]]    |  bf16  |     2591.23      |      2591.39      |     2591.65      |      2904.00      |     3.44e+11     |   2.10e+07   |  0.00e+00  |   ['4.70e+...    |      ['1.72e+11', '1.72e+11']      |   ['6.71e+...   |       7.42e-02       |       1.01e+00       |       8.48e-02        |  2.10e+08  |    4.05%     |
|    1     |  False   |   128    |  False   |    0.0    |   8192   |    40    |    0.0    |   [-1, -1]   |  False   |      1       |   False    |    0.0    |    [-1, -1]     |   [[1, 8192, 40, 128], [1, 8192, 40, 128], [1, 8192, 40, 128]]    |  bf16  |     9828.59      |      9829.90      |     9831.22      |     11610.02      |     1.37e+12     |   4.20e+07   |  0.00e+00  |   ['1.88e+10']   |      ['6.87e+11', '6.87e+11']      |   ['2.68e+...   |       7.82e-02       |       1.06e+00       |       8.94e-02        |  4.19e+08  |    2.13%     |
|    1     |  False   |   128    |  False   |    0.0    |  16384   |    40    |    0.0    |   [-1, -1]   |  False   |      1       |   False    |    0.0    |    [-1, -1]     |  [[1, 16384, 40, 128], [1, 16384, 40, 128], [1, 16384, 40, 128]]  |  bf16  |     39248.07     |     39249.77      |     39253.25     |     46434.08      |     5.50e+12     |   8.39e+07   |  0.00e+00  |   ['7.52e+10']   |      ['2.75e+12', '2.75e+12']      |  ['1.07e+10']   |       7.83e-02       |       1.06e+00       |       8.95e-02        |  8.39e+08  |    1.07%     |
|    1     |  False   |   128    |  False   |    0.0    |  32768   |    40    |    0.0    |   [-1, -1]   |  False   |      1       |   False    |    0.0    |    [-1, -1]     |  [[1, 32768, 40, 128], [1, 32768, 40, 128], [1, 32768, 40, 128]]  |  bf16  |    155937.00     |     155940.14     |    155942.69     |     185730.32     |     2.20e+13     |   1.68e+08   |  0.00e+00  |   ['3.01e+11']   |      ['1.10e+13', '1.10e+13']      |  ['4.29e+10']   |       7.89e-02       |       1.07e+00       |       9.01e-02        |  1.68e+09  |    0.54%     |
