test case : H20SXM_flash_attn::flash_attn_interface.flash_attn_func
|    B     |    C     |    D     |    De    |   Drop    |   MQKV   |   NHK    |     S     |      W       |         _tensor         |       _tensor(1)        |       _tensor(2)        |  causal  |                  k_descale                  |  num_splits  |  pack_gqa  |  precision(1)  |  precision(2)  |                  q_descale                  |  softcap  |                  v_descale                  |   window_size   |                                                                                                                                                                                                                         input_shape                                                                                                                                                                                                                         | dtype  | duration_min(us) | duration_mean(us) | duration_max(us) | latency_value(us) |     2D_flops     |  activation  |   params   |     flops_1D     |              flops_2D              |    flops_SFU    |  flops_efficient_1D  |  flops_efficient_2D  |  flops_efficient_SFU  |     io     | io_efficient |
|    1     |  False   |   128    |  False   |    0.0    |   2048   |    10    |    0.0    |   [-1, -1]   |   [1, 2048, 10, 128]    |   [1, 2048, 10, 128]    |   [1, 2048, 10, 128]    |  False   |  {'_tensor': [1, 10], 'precision': 'fp32'}  |      1       |   False    |      e4m3      |      e4m3      |  {'_tensor': [1, 10], 'precision': 'fp32'}  |    0.0    |  {'_tensor': [1, 10], 'precision': 'fp32'}  |    [-1, -1]     |   [{'_tensor': [1, 2048, 10, 128], 'precision': 'e4m3'}, {'_tensor': [1, 2048, 10, 128], 'precision': 'e4m3'}, {'_tensor': [1, 2048, 10, 128], 'precision': 'e4m3'}, {'qv': None, 'softcap': 0.0, 'q_descale': {'_tensor': [1, 10], 'precision': 'fp32'}, 'k_descale': {'_tensor': [1, 10], 'precision': 'fp32'}, 'v_descale': {'_tensor': [1, 10], 'precision': 'fp32'}, 'causal': False, 'window_size': [-1, -1], 'pack_gqa': False, 'num_splits': 1}]    |  bf16  |      249.60      |      249.72       |      249.80      |      183.38       |     2.15e+10     |   2.62e+06   |  0.00e+00  |    ['2.94e...    |      ['1.07e+10', '1.07e+10']      |    ['4.19...    |       4.81e-02       |       6.54e-01       |       5.50e-02        |  2.62e+07  |    5.25%     |
|    1     |  False   |   128    |  False   |    0.0    |   4096   |    10    |    0.0    |   [-1, -1]   |   [1, 4096, 10, 128]    |   [1, 4096, 10, 128]    |   [1, 4096, 10, 128]    |  False   |  {'_tensor': [1, 10], 'precision': 'fp32'}  |      1       |   False    |      e4m3      |      e4m3      |  {'_tensor': [1, 10], 'precision': 'fp32'}  |    0.0    |  {'_tensor': [1, 10], 'precision': 'fp32'}  |    [-1, -1]     |   [{'_tensor': [1, 4096, 10, 128], 'precision': 'e4m3'}, {'_tensor': [1, 4096, 10, 128], 'precision': 'e4m3'}, {'_tensor': [1, 4096, 10, 128], 'precision': 'e4m3'}, {'qv': None, 'softcap': 0.0, 'q_descale': {'_tensor': [1, 10], 'precision': 'fp32'}, 'k_descale': {'_tensor': [1, 10], 'precision': 'fp32'}, 'v_descale': {'_tensor': [1, 10], 'precision': 'fp32'}, 'causal': False, 'window_size': [-1, -1], 'pack_gqa': False, 'num_splits': 1}]    |  bf16  |      754.84      |      754.94       |      754.99      |      727.50       |     8.59e+10     |   5.25e+06   |  0.00e+00  |   ['1.17e+...    |      ['4.29e+10', '4.29e+10']      |   ['1.68e...    |       6.36e-02       |       8.65e-01       |       7.27e-02        |  5.24e+07  |    3.47%     |
|    1     |  False   |   128    |  False   |    0.0    |   8192   |    10    |    0.0    |   [-1, -1]   |   [1, 8192, 10, 128]    |   [1, 8192, 10, 128]    |   [1, 8192, 10, 128]    |  False   |  {'_tensor': [1, 10], 'precision': 'fp32'}  |      1       |   False    |      e4m3      |      e4m3      |  {'_tensor': [1, 10], 'precision': 'fp32'}  |    0.0    |  {'_tensor': [1, 10], 'precision': 'fp32'}  |    [-1, -1]     |   [{'_tensor': [1, 8192, 10, 128], 'precision': 'e4m3'}, {'_tensor': [1, 8192, 10, 128], 'precision': 'e4m3'}, {'_tensor': [1, 8192, 10, 128], 'precision': 'e4m3'}, {'qv': None, 'softcap': 0.0, 'q_descale': {'_tensor': [1, 10], 'precision': 'fp32'}, 'k_descale': {'_tensor': [1, 10], 'precision': 'fp32'}, 'v_descale': {'_tensor': [1, 10], 'precision': 'fp32'}, 'causal': False, 'window_size': [-1, -1], 'pack_gqa': False, 'num_splits': 1}]    |  bf16  |     2925.06      |      2925.27      |     2925.45      |      2904.00      |     3.44e+11     |   1.05e+07   |  0.00e+00  |   ['4.70e+...    |      ['1.72e+11', '1.72e+11']      |   ['6.71e...    |       6.57e-02       |       8.93e-01       |       7.51e-02        |  1.05e+08  |    1.79%     |
|    1     |  False   |   128    |  False   |    0.0    |  16384   |    10    |    0.0    |   [-1, -1]   |   [1, 16384, 10, 128]   |   [1, 16384, 10, 128]   |   [1, 16384, 10, 128]   |  False   |  {'_tensor': [1, 10], 'precision': 'fp32'}  |      1       |   False    |      e4m3      |      e4m3      |  {'_tensor': [1, 10], 'precision': 'fp32'}  |    0.0    |  {'_tensor': [1, 10], 'precision': 'fp32'}  |    [-1, -1]     |  [{'_tensor': [1, 16384, 10, 128], 'precision': 'e4m3'}, {'_tensor': [1, 16384, 10, 128], 'precision': 'e4m3'}, {'_tensor': [1, 16384, 10, 128], 'precision': 'e4m3'}, {'qv': None, 'softcap': 0.0, 'q_descale': {'_tensor': [1, 10], 'precision': 'fp32'}, 'k_descale': {'_tensor': [1, 10], 'precision': 'fp32'}, 'v_descale': {'_tensor': [1, 10], 'precision': 'fp32'}, 'causal': False, 'window_size': [-1, -1], 'pack_gqa': False, 'num_splits': 1}]  |  bf16  |     5087.52      |      5087.98      |     5088.59      |     11610.02      |     1.37e+12     |   2.10e+07   |  0.00e+00  |   ['1.88e+10']   |      ['6.87e+11', '6.87e+11']      |   ['2.68e+...   |       1.51e-01       |       2.05e+00       |       1.73e-01        |  2.10e+08  |    2.06%     |
|    1     |  False   |   128    |  False   |    0.0    |  32768   |    10    |    0.0    |   [-1, -1]   |   [1, 32768, 10, 128]   |   [1, 32768, 10, 128]   |   [1, 32768, 10, 128]   |  False   |  {'_tensor': [1, 10], 'precision': 'fp32'}  |      1       |   False    |      e4m3      |      e4m3      |  {'_tensor': [1, 10], 'precision': 'fp32'}  |    0.0    |  {'_tensor': [1, 10], 'precision': 'fp32'}  |    [-1, -1]     |  [{'_tensor': [1, 32768, 10, 128], 'precision': 'e4m3'}, {'_tensor': [1, 32768, 10, 128], 'precision': 'e4m3'}, {'_tensor': [1, 32768, 10, 128], 'precision': 'e4m3'}, {'qv': None, 'softcap': 0.0, 'q_descale': {'_tensor': [1, 10], 'precision': 'fp32'}, 'k_descale': {'_tensor': [1, 10], 'precision': 'fp32'}, 'v_descale': {'_tensor': [1, 10], 'precision': 'fp32'}, 'causal': False, 'window_size': [-1, -1], 'pack_gqa': False, 'num_splits': 1}]  |  bf16  |     19554.28     |     19578.73      |     19584.52     |     46434.08      |     5.50e+12     |   4.20e+07   |  0.00e+00  |   ['7.52e+10']   |      ['2.75e+12', '2.75e+12']      |  ['1.07e+10']   |       1.57e-01       |       2.14e+00       |       1.80e-01        |  4.19e+08  |    1.07%     |
|    1     |  False   |   128    |  False   |    0.0    |  65536   |    10    |    0.0    |   [-1, -1]   |   [1, 65536, 10, 128]   |   [1, 65536, 10, 128]   |   [1, 65536, 10, 128]   |  False   |  {'_tensor': [1, 10], 'precision': 'fp32'}  |      1       |   False    |      e4m3      |      e4m3      |  {'_tensor': [1, 10], 'precision': 'fp32'}  |    0.0    |  {'_tensor': [1, 10], 'precision': 'fp32'}  |    [-1, -1]     |  [{'_tensor': [1, 65536, 10, 128], 'precision': 'e4m3'}, {'_tensor': [1, 65536, 10, 128], 'precision': 'e4m3'}, {'_tensor': [1, 65536, 10, 128], 'precision': 'e4m3'}, {'qv': None, 'softcap': 0.0, 'q_descale': {'_tensor': [1, 10], 'precision': 'fp32'}, 'k_descale': {'_tensor': [1, 10], 'precision': 'fp32'}, 'v_descale': {'_tensor': [1, 10], 'precision': 'fp32'}, 'causal': False, 'window_size': [-1, -1], 'pack_gqa': False, 'num_splits': 1}]  |  bf16  |     77841.99     |     77843.62      |     77845.99     |     185730.32     |     2.20e+13     |   8.40e+07   |  0.00e+00  |   ['3.01e+11']   |      ['1.10e+13', '1.10e+13']      |  ['4.29e+10']   |       1.58e-01       |       2.15e+00       |       1.81e-01        |  8.39e+08  |    0.54%     |
|    1     |  False   |   128    |  False   |    0.0    |  75360   |    10    |    0.0    |   [-1, -1]   |   [1, 75360, 10, 128]   |   [1, 75360, 10, 128]   |   [1, 75360, 10, 128]   |  False   |  {'_tensor': [1, 10], 'precision': 'fp32'}  |      1       |   False    |      e4m3      |      e4m3      |  {'_tensor': [1, 10], 'precision': 'fp32'}  |    0.0    |  {'_tensor': [1, 10], 'precision': 'fp32'}  |    [-1, -1]     |  [{'_tensor': [1, 75360, 10, 128], 'precision': 'e4m3'}, {'_tensor': [1, 75360, 10, 128], 'precision': 'e4m3'}, {'_tensor': [1, 75360, 10, 128], 'precision': 'e4m3'}, {'qv': None, 'softcap': 0.0, 'q_descale': {'_tensor': [1, 10], 'precision': 'fp32'}, 'k_descale': {'_tensor': [1, 10], 'precision': 'fp32'}, 'v_descale': {'_tensor': [1, 10], 'precision': 'fp32'}, 'causal': False, 'window_size': [-1, -1], 'pack_gqa': False, 'num_splits': 1}]  |  bf16  |    103076.55     |     103082.67     |    103090.66     |     245585.98     |     2.91e+13     |   9.65e+07   |  0.00e+00  |   ['3.98e+11']   |      ['1.45e+13', '1.45e+13']      |  ['5.68e+10']   |       1.58e-01       |       2.14e+00       |       1.80e-01        |  9.65e+08  |    0.47%     |
|    1     |  False   |   128    |  False   |    0.0    |   2048   |    40    |    0.0    |   [-1, -1]   |   [1, 2048, 40, 128]    |   [1, 2048, 40, 128]    |   [1, 2048, 40, 128]    |  False   |  {'_tensor': [1, 40], 'precision': 'fp32'}  |      1       |   False    |      e4m3      |      e4m3      |  {'_tensor': [1, 40], 'precision': 'fp32'}  |    0.0    |  {'_tensor': [1, 40], 'precision': 'fp32'}  |    [-1, -1]     |   [{'_tensor': [1, 2048, 40, 128], 'precision': 'e4m3'}, {'_tensor': [1, 2048, 40, 128], 'precision': 'e4m3'}, {'_tensor': [1, 2048, 40, 128], 'precision': 'e4m3'}, {'qv': None, 'softcap': 0.0, 'q_descale': {'_tensor': [1, 40], 'precision': 'fp32'}, 'k_descale': {'_tensor': [1, 40], 'precision': 'fp32'}, 'v_descale': {'_tensor': [1, 40], 'precision': 'fp32'}, 'causal': False, 'window_size': [-1, -1], 'pack_gqa': False, 'num_splits': 1}]    |  bf16  |      377.45      |      377.56       |      377.65      |      727.50       |     8.59e+10     |   1.05e+07   |  0.00e+00  |   ['1.17e+...    |      ['4.29e+10', '4.29e+10']      |   ['1.68e+...   |       1.27e-01       |       1.73e+00       |       1.45e-01        |  1.05e+08  |    13.89%    |
|    1     |  False   |   128    |  False   |    0.0    |   4096   |    40    |    0.0    |   [-1, -1]   |   [1, 4096, 40, 128]    |   [1, 4096, 40, 128]    |   [1, 4096, 40, 128]    |  False   |  {'_tensor': [1, 40], 'precision': 'fp32'}  |      1       |   False    |      e4m3      |      e4m3      |  {'_tensor': [1, 40], 'precision': 'fp32'}  |    0.0    |  {'_tensor': [1, 40], 'precision': 'fp32'}  |    [-1, -1]     |   [{'_tensor': [1, 4096, 40, 128], 'precision': 'e4m3'}, {'_tensor': [1, 4096, 40, 128], 'precision': 'e4m3'}, {'_tensor': [1, 4096, 40, 128], 'precision': 'e4m3'}, {'qv': None, 'softcap': 0.0, 'q_descale': {'_tensor': [1, 40], 'precision': 'fp32'}, 'k_descale': {'_tensor': [1, 40], 'precision': 'fp32'}, 'v_descale': {'_tensor': [1, 40], 'precision': 'fp32'}, 'causal': False, 'window_size': [-1, -1], 'pack_gqa': False, 'num_splits': 1}]    |  bf16  |     1322.10      |      1322.27      |     1322.36      |      2904.00      |     3.44e+11     |   2.10e+07   |  0.00e+00  |   ['4.70e+...    |      ['1.72e+11', '1.72e+11']      |   ['6.71e+...   |       1.45e-01       |       1.98e+00       |       1.66e-01        |  2.10e+08  |    7.93%     |
|    1     |  False   |   128    |  False   |    0.0    |   8192   |    40    |    0.0    |   [-1, -1]   |   [1, 8192, 40, 128]    |   [1, 8192, 40, 128]    |   [1, 8192, 40, 128]    |  False   |  {'_tensor': [1, 40], 'precision': 'fp32'}  |      1       |   False    |      e4m3      |      e4m3      |  {'_tensor': [1, 40], 'precision': 'fp32'}  |    0.0    |  {'_tensor': [1, 40], 'precision': 'fp32'}  |    [-1, -1]     |   [{'_tensor': [1, 8192, 40, 128], 'precision': 'e4m3'}, {'_tensor': [1, 8192, 40, 128], 'precision': 'e4m3'}, {'_tensor': [1, 8192, 40, 128], 'precision': 'e4m3'}, {'qv': None, 'softcap': 0.0, 'q_descale': {'_tensor': [1, 40], 'precision': 'fp32'}, 'k_descale': {'_tensor': [1, 40], 'precision': 'fp32'}, 'v_descale': {'_tensor': [1, 40], 'precision': 'fp32'}, 'causal': False, 'window_size': [-1, -1], 'pack_gqa': False, 'num_splits': 1}]    |  bf16  |     4956.93      |      4957.61      |     4957.95      |     11610.02      |     1.37e+12     |   4.20e+07   |  0.00e+00  |   ['1.88e+10']   |      ['6.87e+11', '6.87e+11']      |   ['2.68e+...   |       1.55e-01       |       2.11e+00       |       1.77e-01        |  4.19e+08  |    4.23%     |
