test case : L40S_flash_attn::flash_attn.flash_attn_func
|    B     |    C     |    D     |    De    |   Drop    |   MQKV   |   NHK    |   NHQ    |     S     |  causal  |  deterministic  |  dropout_p  |  softmax_scale  |   window_size   |                            input_shape                            | dtype  | duration_min(us) | duration_mean(us) | duration_max(us) | latency_value(us) |    2D_flops    |  activation  |   params   |     flops_1D      |              flops_2D              |    flops_SFU     |  flops_efficient_1D  |  flops_efficient_2D  |  flops_efficient_SFU  |     io     | io_efficient |
|    8     |   True   |   128    |   True   |    0.0    |   2048   |    8     |    8     |   0.01    |   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |     [[1, 2048, 8, 128], [1, 2048, 8, 128], [1, 2048, 8, 128]]     |  bf16  |      64.43       |       64.68       |      64.91       |       62.68       |    1.72e+10    |   2.62e+05   |  0.00e+00  |    [234881024]    |      [8589934592, 8589934592]      |    [33554432]    |       1.43e-01       |       8.20e-01       |       1.64e-01        |  2.10e+07  |    75.35%    |
|    16    |   True   |   128    |   True   |    0.0    |   2048   |    8     |    8     |   0.01    |   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |     [[2, 2048, 8, 128], [2, 2048, 8, 128], [2, 2048, 8, 128]]     |  bf16  |      114.51      |      115.00       |      115.36      |      123.36       |    3.44e+10    |   5.24e+05   |  0.00e+00  |    [469762048]    |     [17179869184, 17179869184]     |    [67108864]    |       1.61e-01       |       9.22e-01       |       1.84e-01        |  4.19e+07  |    84.79%    |
|    32    |   True   |   128    |   True   |    0.0    |   2048   |    8     |    8     |   0.01    |   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |     [[4, 2048, 8, 128], [4, 2048, 8, 128], [4, 2048, 8, 128]]     |  bf16  |      191.31      |      195.58       |      200.18      |      244.73       |    6.87e+10    |   1.05e+06   |  0.00e+00  |    [939524096]    |     [34359738368, 34359738368]     |   [134217728]    |       1.93e-01       |       1.10e+00       |       2.21e-01        |  8.39e+07  |   101.50%    |
|    8     |   True   |   128    |   True   |    0.0    |   4096   |    8     |    8     |   0.01    |   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |     [[1, 4096, 8, 128], [1, 4096, 8, 128], [1, 4096, 8, 128]]     |  bf16  |      219.79      |      222.36       |      225.18      |      236.70       |    6.87e+10    |   5.24e+05   |  0.00e+00  |    [939524096]    |     [34359738368, 34359738368]     |   [134217728]    |       1.68e-01       |       9.61e-01       |       1.92e-01        |  4.19e+07  |    44.17%    |
|    16    |   True   |   128    |   True   |    0.0    |   4096   |    8     |    8     |   0.01    |   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |     [[2, 4096, 8, 128], [2, 4096, 8, 128], [2, 4096, 8, 128]]     |  bf16  |      368.26      |      379.28       |      401.92      |      471.40       |    1.37e+11    |   1.05e+06   |  0.00e+00  |   [1879048192]    |     [68719476736, 68719476736]     |   [268435456]    |       2.01e-01       |       1.15e+00       |       2.29e-01        |  8.39e+07  |    52.73%    |
|    32    |   True   |   128    |   True   |    0.0    |   4096   |    8     |    8     |   0.01    |   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |     [[4, 4096, 8, 128], [4, 4096, 8, 128], [4, 4096, 8, 128]]     |  bf16  |      746.53      |      804.55       |      850.98      |      940.79       |    2.75e+11    |   2.10e+06   |  0.00e+00  |   [3758096384]    |    [137438953472, 137438953472]    |   [536870912]    |       1.98e-01       |       1.13e+00       |       2.26e-01        |  1.68e+08  |    52.02%    |
|    8     |   True   |   128    |   True   |    0.0    |   8192   |    8     |    8     |   0.01    |   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |     [[1, 8192, 8, 128], [1, 8192, 8, 128], [1, 8192, 8, 128]]     |  bf16  |      709.05      |      721.42       |      765.55      |      940.79       |    2.75e+11    |   1.05e+06   |  0.00e+00  |   [3758096384]    |    [137438953472, 137438953472]    |   [536870912]    |       2.08e-01       |       1.19e+00       |       2.38e-01        |  8.39e+07  |    27.39%    |
|    16    |   True   |   128    |   True   |    0.0    |   8192   |    8     |    8     |   0.01    |   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |     [[2, 8192, 8, 128], [2, 8192, 8, 128], [2, 8192, 8, 128]]     |  bf16  |     1392.40      |      1511.26      |     1564.31      |      1879.58      |    5.50e+11    |   2.10e+06   |  0.00e+00  |   [7516192768]    |    [274877906944, 274877906944]    |   [1073741824]   |       2.12e-01       |       1.21e+00       |       2.42e-01        |  1.68e+08  |    27.89%    |
|    32    |   True   |   128    |   True   |    0.0    |   8192   |    8     |    8     |   0.01    |   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |     [[4, 8192, 8, 128], [4, 8192, 8, 128], [4, 8192, 8, 128]]     |  bf16  |     2699.94      |      3042.87      |     3121.67      |      3757.16      |    1.10e+12    |   4.19e+06   |  0.00e+00  |   [15032385536]   |    [549755813888, 549755813888]    |   [2147483648]   |       2.19e-01       |       1.25e+00       |       2.50e-01        |  3.36e+08  |    28.77%    |
|    8     |   True   |   128    |   True   |    0.0    |  16384   |    8     |    8     |   0.01    |   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   [[1, 16384, 8, 128], [1, 16384, 8, 128], [1, 16384, 8, 128]]    |  bf16  |     2704.36      |      2927.37      |     2972.16      |      3757.16      |    1.10e+12    |   2.10e+06   |  0.00e+00  |   [15032385536]   |    [549755813888, 549755813888]    |   [2147483648]   |       2.18e-01       |       1.25e+00       |       2.50e-01        |  1.68e+08  |    14.36%    |
|    16    |   True   |   128    |   True   |    0.0    |  16384   |    8     |    8     |   0.01    |   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   [[2, 16384, 8, 128], [2, 16384, 8, 128], [2, 16384, 8, 128]]    |  bf16  |     5368.80      |      5844.76      |     5946.75      |      7512.33      |    2.20e+12    |   4.19e+06   |  0.00e+00  |   [30064771072]   |   [1099511627776, 1099511627776]   |   [4294967296]   |       2.20e-01       |       1.26e+00       |       2.52e-01        |  3.36e+08  |    14.47%    |
|    32    |   True   |   128    |   True   |    0.0    |  16384   |    8     |    8     |   0.01    |   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   [[4, 16384, 8, 128], [4, 16384, 8, 128], [4, 16384, 8, 128]]    |  bf16  |     11426.08     |     11968.04      |     12475.06     |     15022.65      |    4.40e+12    |   8.39e+06   |  0.00e+00  |   [60129542144]   |   [2199023255552, 2199023255552]   |   [8589934592]   |       2.07e-01       |       1.18e+00       |       2.36e-01        |  6.71e+08  |    13.60%    |
|    8     |   True   |   128    |   True   |    0.0    |  32768   |    8     |    8     |   0.01    |   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   [[1, 32768, 8, 128], [1, 32768, 8, 128], [1, 32768, 8, 128]]    |  bf16  |     11273.45     |     11703.90      |     12251.52     |     15022.65      |    4.40e+12    |   4.19e+06   |  0.00e+00  |   [60129542144]   |   [2199023255552, 2199023255552]   |   [8589934592]   |       2.10e-01       |       1.20e+00       |       2.40e-01        |  3.36e+08  |    6.89%     |
|    16    |   True   |   128    |   True   |    0.0    |  32768   |    8     |    8     |   0.01    |   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   [[2, 32768, 8, 128], [2, 32768, 8, 128], [2, 32768, 8, 128]]    |  bf16  |     22798.21     |     23676.63      |     24606.59     |     30043.30      |    8.80e+12    |   8.39e+06   |  0.00e+00  |  [120259084288]   |   [4398046511104, 4398046511104]   |  [17179869184]   |       2.07e-01       |       1.19e+00       |       2.37e-01        |  6.71e+08  |    6.81%     |
|    32    |   True   |   128    |   True   |    0.0    |  32768   |    8     |    8     |   0.01    |   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   [[4, 32768, 8, 128], [4, 32768, 8, 128], [4, 32768, 8, 128]]    |  bf16  |     45808.29     |     48373.66      |     49087.86     |     60084.60      |    1.76e+13    |   1.68e+07   |  0.00e+00  |  [240518168576]   |   [8796093022208, 8796093022208]   |  [34359738368]   |       2.06e-01       |       1.18e+00       |       2.36e-01        |  1.34e+09  |    6.78%     |
|    8     |   True   |   128    |   True   |    0.0    |  65536   |    8     |    8     |   0.01    |   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   [[1, 65536, 8, 128], [1, 65536, 8, 128], [1, 65536, 8, 128]]    |  bf16  |     46064.60     |     47896.30      |     48388.04     |     60084.60      |    1.76e+13    |   8.39e+06   |  0.00e+00  |  [240518168576]   |   [8796093022208, 8796093022208]   |  [34359738368]   |       2.05e-01       |       1.17e+00       |       2.35e-01        |  6.71e+08  |    3.37%     |
|    16    |   True   |   128    |   True   |    0.0    |  65536   |    8     |    8     |   0.01    |   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   [[2, 65536, 8, 128], [2, 65536, 8, 128], [2, 65536, 8, 128]]    |  bf16  |     94035.59     |     96599.99      |     97743.68     |     120167.21     |    3.52e+13    |   1.68e+07   |  0.00e+00  |  [481036337152]   |  [17592186044416, 17592186044416]  |  [68719476736]   |       2.01e-01       |       1.15e+00       |       2.30e-01        |  1.34e+09  |    3.30%     |
|    32    |   True   |   128    |   True   |    0.0    |  65536   |    8     |    8     |   0.01    |   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   [[4, 65536, 8, 128], [4, 65536, 8, 128], [4, 65536, 8, 128]]    |  bf16  |    191775.31     |     196972.91     |    199519.50     |     240332.41     |    7.04e+13    |   3.36e+07   |  0.00e+00  |  [962072674304]   |  [35184372088832, 35184372088832]  |  [137438953472]  |       1.97e-01       |       1.13e+00       |       2.25e-01        |  2.68e+09  |    3.24%     |
