test case : L40S_flash_attn::flash_attn.flash_attn_qkvpacked_func
|  causal  |  deterministic  |  dropout_p  |  softmax_scale  |   window_size   |   M    |        input_shape         | dtype  | duration_min(us) | duration_mean(us) | duration_max(us) | latency_value(us) | flops_1D |      flops_2D      | flops_SFU | flops_efficient_1D | flops_efficient_2D | flops_efficient_SFU |     io     | flops_efficient_1D | flops_efficient_2D | flops_efficient_SFU | io_efficient |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   1    |     [[1, 1, 3, 1, 64]]     |  bf16  |       5.08       |       5.13        |       5.19       |       2.00        |   [7]    |     [128, 128]     |    [1]    |      6.09e-08      |      1.55e-07      |      1.25e-07       |  6.40e+02  |       0.00%        |       0.00%        |        0.00%        |    0.03%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   1    |     [[2, 1, 3, 1, 64]]     |  bf16  |       5.10       |       5.13        |       5.15       |       2.00        |   [14]   |     [256, 256]     |    [2]    |      1.21e-07      |      3.09e-07      |      2.50e-07       |  1.15e+03  |       0.00%        |       0.00%        |        0.00%        |    0.05%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   1    |     [[4, 1, 3, 1, 64]]     |  bf16  |       5.12       |       5.15        |       5.19       |       2.01        |   [28]   |     [512, 512]     |    [4]    |      2.42e-07      |      6.15e-07      |      4.98e-07       |  2.18e+03  |       0.00%        |       0.00%        |        0.00%        |    0.10%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   1    |     [[8, 1, 3, 1, 64]]     |  bf16  |       5.12       |       5.15        |       5.17       |       2.01        |   [56]   |    [1024, 1024]    |    [8]    |      4.83e-07      |      1.23e-06      |      9.95e-07       |  4.22e+03  |       0.00%        |       0.00%        |        0.00%        |    0.19%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   1    |    [[16, 1, 3, 1, 64]]     |  bf16  |       5.12       |       5.14        |       5.16       |       2.02        |  [112]   |    [2048, 2048]    |   [16]    |      9.67e-07      |      2.46e-06      |      1.99e-06       |  8.32e+03  |       0.00%        |       0.00%        |        0.00%        |    0.38%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   1    |    [[32, 1, 3, 1, 64]]     |  bf16  |       5.14       |       5.17        |       5.20       |       2.05        |  [224]   |    [4096, 4096]    |   [32]    |      1.93e-06      |      4.90e-06      |      3.96e-06       |  1.65e+04  |       0.00%        |       0.00%        |        0.00%        |    0.74%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   4    |     [[1, 4, 3, 1, 64]]     |  bf16  |       5.49       |       5.51        |       5.53       |       2.00        |   [7]    |     [128, 128]     |    [1]    |      5.63e-08      |      1.43e-07      |      1.16e-07       |  6.40e+02  |       0.00%        |       0.00%        |        0.00%        |    0.03%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   4    |     [[2, 4, 3, 1, 64]]     |  bf16  |       5.50       |       5.52        |       5.54       |       2.00        |   [14]   |     [256, 256]     |    [2]    |      1.12e-07      |      2.86e-07      |      2.31e-07       |  1.15e+03  |       0.00%        |       0.00%        |        0.00%        |    0.05%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   4    |     [[4, 4, 3, 1, 64]]     |  bf16  |       5.51       |       5.54        |       5.57       |       2.01        |   [28]   |     [512, 512]     |    [4]    |      2.25e-07      |      5.71e-07      |      4.62e-07       |  2.18e+03  |       0.00%        |       0.00%        |        0.00%        |    0.09%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   4    |     [[8, 4, 3, 1, 64]]     |  bf16  |       5.51       |       5.54        |       5.56       |       2.01        |   [56]   |    [1024, 1024]    |    [8]    |      4.49e-07      |      1.14e-06      |      9.24e-07       |  4.22e+03  |       0.00%        |       0.00%        |        0.00%        |    0.18%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   4    |    [[16, 4, 3, 1, 64]]     |  bf16  |       5.53       |       5.56        |       5.59       |       2.02        |  [112]   |    [2048, 2048]    |   [16]    |      8.95e-07      |      2.28e-06      |      1.84e-06       |  8.32e+03  |       0.00%        |       0.00%        |        0.00%        |    0.35%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   4    |    [[32, 4, 3, 1, 64]]     |  bf16  |       5.52       |       5.55        |       5.58       |       2.05        |  [224]   |    [4096, 4096]    |   [32]    |      1.80e-06      |      4.57e-06      |      3.69e-06       |  1.65e+04  |       0.00%        |       0.00%        |        0.00%        |    0.69%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   8    |     [[1, 8, 3, 1, 64]]     |  bf16  |       5.48       |       5.49        |       5.51       |       2.00        |   [7]    |     [128, 128]     |    [1]    |      5.65e-08      |      1.44e-07      |      1.16e-07       |  6.40e+02  |       0.00%        |       0.00%        |        0.00%        |    0.03%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   8    |     [[2, 8, 3, 1, 64]]     |  bf16  |       5.49       |       5.53        |       5.62       |       2.00        |   [14]   |     [256, 256]     |    [2]    |      1.13e-07      |      2.87e-07      |      2.32e-07       |  1.15e+03  |       0.00%        |       0.00%        |        0.00%        |    0.05%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   8    |     [[4, 8, 3, 1, 64]]     |  bf16  |       5.51       |       5.55        |       5.58       |       2.01        |   [28]   |     [512, 512]     |    [4]    |      2.25e-07      |      5.71e-07      |      4.62e-07       |  2.18e+03  |       0.00%        |       0.00%        |        0.00%        |    0.09%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   8    |     [[8, 8, 3, 1, 64]]     |  bf16  |       5.53       |       5.56        |       5.61       |       2.01        |   [56]   |    [1024, 1024]    |    [8]    |      4.48e-07      |      1.14e-06      |      9.21e-07       |  4.22e+03  |       0.00%        |       0.00%        |        0.00%        |    0.18%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   8    |    [[16, 8, 3, 1, 64]]     |  bf16  |       5.53       |       5.55        |       5.61       |       2.02        |  [112]   |    [2048, 2048]    |   [16]    |      8.96e-07      |      2.28e-06      |      1.84e-06       |  8.32e+03  |       0.00%        |       0.00%        |        0.00%        |    0.35%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   8    |    [[32, 8, 3, 1, 64]]     |  bf16  |       5.52       |       5.57        |       5.62       |       2.05        |  [224]   |    [4096, 4096]    |   [32]    |      1.79e-06      |      4.56e-06      |      3.69e-06       |  1.65e+04  |       0.00%        |       0.00%        |        0.00%        |    0.69%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   16   |    [[1, 16, 3, 1, 64]]     |  bf16  |       5.48       |       5.52        |       5.55       |       2.00        |   [7]    |     [128, 128]     |    [1]    |      5.65e-08      |      1.44e-07      |      1.16e-07       |  6.40e+02  |       0.00%        |       0.00%        |        0.00%        |    0.03%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   16   |    [[2, 16, 3, 1, 64]]     |  bf16  |       5.52       |       5.54        |       5.57       |       2.00        |   [14]   |     [256, 256]     |    [2]    |      1.12e-07      |      2.85e-07      |      2.31e-07       |  1.15e+03  |       0.00%        |       0.00%        |        0.00%        |    0.05%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   16   |    [[4, 16, 3, 1, 64]]     |  bf16  |       5.51       |       5.53        |       5.56       |       2.01        |   [28]   |     [512, 512]     |    [4]    |      2.25e-07      |      5.71e-07      |      4.62e-07       |  2.18e+03  |       0.00%        |       0.00%        |        0.00%        |    0.09%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   16   |    [[8, 16, 3, 1, 64]]     |  bf16  |       5.51       |       5.53        |       5.55       |       2.01        |   [56]   |    [1024, 1024]    |    [8]    |      4.50e-07      |      1.14e-06      |      9.25e-07       |  4.22e+03  |       0.00%        |       0.00%        |        0.00%        |    0.18%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   16   |    [[16, 16, 3, 1, 64]]    |  bf16  |       5.54       |       5.57        |       5.61       |       2.02        |  [112]   |    [2048, 2048]    |   [16]    |      8.94e-07      |      2.27e-06      |      1.84e-06       |  8.32e+03  |       0.00%        |       0.00%        |        0.00%        |    0.35%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   16   |    [[32, 16, 3, 1, 64]]    |  bf16  |       5.54       |       5.56        |       5.60       |       2.05        |  [224]   |    [4096, 4096]    |   [32]    |      1.79e-06      |      4.54e-06      |      3.68e-06       |  1.65e+04  |       0.00%        |       0.00%        |        0.00%        |    0.69%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   32   |    [[1, 32, 3, 1, 64]]     |  bf16  |       5.52       |       5.54        |       5.56       |       2.00        |   [7]    |     [128, 128]     |    [1]    |      5.61e-08      |      1.43e-07      |      1.15e-07       |  6.40e+02  |       0.00%        |       0.00%        |        0.00%        |    0.03%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   32   |    [[2, 32, 3, 1, 64]]     |  bf16  |       5.56       |       5.58        |       5.59       |       2.00        |   [14]   |     [256, 256]     |    [2]    |      1.11e-07      |      2.83e-07      |      2.29e-07       |  1.15e+03  |       0.00%        |       0.00%        |        0.00%        |    0.05%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   32   |    [[4, 32, 3, 1, 64]]     |  bf16  |       5.57       |       5.59        |       5.62       |       2.01        |   [28]   |     [512, 512]     |    [4]    |      2.22e-07      |      5.65e-07      |      4.57e-07       |  2.18e+03  |       0.00%        |       0.00%        |        0.00%        |    0.09%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   32   |    [[8, 32, 3, 1, 64]]     |  bf16  |       5.55       |       5.57        |       5.59       |       2.01        |   [56]   |    [1024, 1024]    |    [8]    |      4.46e-07      |      1.13e-06      |      9.17e-07       |  4.22e+03  |       0.00%        |       0.00%        |        0.00%        |    0.18%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   32   |    [[16, 32, 3, 1, 64]]    |  bf16  |       5.61       |       5.63        |       5.65       |       2.02        |  [112]   |    [2048, 2048]    |   [16]    |      8.83e-07      |      2.24e-06      |      1.82e-06       |  8.32e+03  |       0.00%        |       0.00%        |        0.00%        |    0.34%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   32   |    [[32, 32, 3, 1, 64]]    |  bf16  |       5.64       |       5.66        |       5.70       |       2.05        |  [224]   |    [4096, 4096]    |   [32]    |      1.76e-06      |      4.46e-06      |      3.61e-06       |  1.65e+04  |       0.00%        |       0.00%        |        0.00%        |    0.68%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   64   |    [[1, 64, 3, 1, 64]]     |  bf16  |       5.69       |       5.71        |       5.74       |       2.00        |   [7]    |     [128, 128]     |    [1]    |      5.44e-08      |      1.38e-07      |      1.12e-07       |  6.40e+02  |       0.00%        |       0.00%        |        0.00%        |    0.03%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   64   |    [[2, 64, 3, 1, 64]]     |  bf16  |       5.72       |       5.75        |       5.80       |       2.00        |   [14]   |     [256, 256]     |    [2]    |      1.08e-07      |      2.75e-07      |      2.22e-07       |  1.15e+03  |       0.00%        |       0.00%        |        0.00%        |    0.05%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   64   |    [[4, 64, 3, 1, 64]]     |  bf16  |       5.72       |       5.75        |       5.79       |       2.01        |   [28]   |     [512, 512]     |    [4]    |      2.16e-07      |      5.50e-07      |      4.45e-07       |  2.18e+03  |       0.00%        |       0.00%        |        0.00%        |    0.09%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   64   |    [[8, 64, 3, 1, 64]]     |  bf16  |       5.75       |       5.77        |       5.80       |       2.01        |   [56]   |    [1024, 1024]    |    [8]    |      4.30e-07      |      1.09e-06      |      8.85e-07       |  4.22e+03  |       0.00%        |       0.00%        |        0.00%        |    0.17%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   64   |    [[16, 64, 3, 1, 64]]    |  bf16  |       5.77       |       5.81        |       5.84       |       2.02        |  [112]   |    [2048, 2048]    |   [16]    |      8.58e-07      |      2.18e-06      |      1.77e-06       |  8.32e+03  |       0.00%        |       0.00%        |        0.00%        |    0.33%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   64   |    [[32, 64, 3, 1, 64]]    |  bf16  |       5.82       |       5.85        |       5.89       |       2.05        |  [224]   |    [4096, 4096]    |   [32]    |      1.70e-06      |      4.33e-06      |      3.50e-06       |  1.65e+04  |       0.00%        |       0.00%        |        0.00%        |    0.66%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |  128   |    [[1, 128, 3, 1, 64]]    |  bf16  |       5.52       |       5.55        |       5.59       |       2.00        |   [7]    |     [128, 128]     |    [1]    |      5.60e-08      |      1.42e-07      |      1.15e-07       |  6.40e+02  |       0.00%        |       0.00%        |        0.00%        |    0.03%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |  128   |    [[2, 128, 3, 1, 64]]    |  bf16  |       5.57       |       5.59        |       5.63       |       2.00        |   [14]   |     [256, 256]     |    [2]    |      1.11e-07      |      2.83e-07      |      2.29e-07       |  1.15e+03  |       0.00%        |       0.00%        |        0.00%        |    0.05%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |  128   |    [[4, 128, 3, 1, 64]]    |  bf16  |       5.64       |       5.65        |       5.70       |       2.01        |   [28]   |     [512, 512]     |    [4]    |      2.20e-07      |      5.58e-07      |      4.52e-07       |  2.18e+03  |       0.00%        |       0.00%        |        0.00%        |    0.09%     |
