test case : L40S_flash_attn::flash_attn.flash_attn_func
|  causal  |  deterministic  |  dropout_p  |  softmax_scale  |   window_size   |                            input_shape                            | dtype  | duration_min(us) | duration_mean(us) | duration_max(us) | latency_value(us) | flops_1D  |        flops_2D        | flops_SFU | flops_efficient_1D | flops_efficient_2D | flops_efficient_SFU |     io     | flops_efficient_1D | flops_efficient_2D | flops_efficient_SFU | io_efficient |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |           [[1, 1, 1, 64], [1, 1, 1, 64], [1, 1, 1, 64]]           |  bf16  |       5.05       |       5.09        |       5.13       |       2.00        |    [7]    |       [128, 128]       |    [1]    |      6.13e-08      |      1.56e-07      |      1.26e-07       |  6.40e+02  |       0.00%        |       0.00%        |        0.00%        |    0.03%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |           [[2, 1, 1, 64], [2, 1, 1, 64], [2, 1, 1, 64]]           |  bf16  |       5.11       |       5.13        |       5.18       |       2.00        |   [14]    |       [256, 256]       |    [2]    |      1.21e-07      |      3.08e-07      |      2.49e-07       |  1.15e+03  |       0.00%        |       0.00%        |        0.00%        |    0.05%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |           [[4, 1, 1, 64], [4, 1, 1, 64], [4, 1, 1, 64]]           |  bf16  |       5.12       |       5.14        |       5.16       |       2.01        |   [28]    |       [512, 512]       |    [4]    |      2.42e-07      |      6.14e-07      |      4.97e-07       |  2.18e+03  |       0.00%        |       0.00%        |        0.00%        |    0.10%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |           [[8, 1, 1, 64], [8, 1, 1, 64], [8, 1, 1, 64]]           |  bf16  |       5.12       |       5.13        |       5.16       |       2.01        |   [56]    |      [1024, 1024]      |    [8]    |      4.83e-07      |      1.23e-06      |      9.94e-07       |  4.22e+03  |       0.00%        |       0.00%        |        0.00%        |    0.19%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |         [[16, 1, 1, 64], [16, 1, 1, 64], [16, 1, 1, 64]]          |  bf16  |       5.12       |       5.13        |       5.15       |       2.02        |   [112]   |      [2048, 2048]      |   [16]    |      9.67e-07      |      2.46e-06      |      1.99e-06       |  8.32e+03  |       0.00%        |       0.00%        |        0.00%        |    0.38%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |         [[32, 1, 1, 64], [32, 1, 1, 64], [32, 1, 1, 64]]          |  bf16  |       5.12       |       5.15        |       5.16       |       2.05        |   [224]   |      [4096, 4096]      |   [32]    |      1.94e-06      |      4.92e-06      |      3.98e-06       |  1.65e+04  |       0.00%        |       0.00%        |        0.00%        |    0.75%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |           [[1, 4, 1, 64], [1, 4, 1, 64], [1, 4, 1, 64]]           |  bf16  |       5.46       |       5.47        |       5.48       |       2.01        |   [28]    |       [512, 512]       |    [4]    |      2.27e-07      |      5.76e-07      |      4.66e-07       |  2.18e+03  |       0.00%        |       0.00%        |        0.00%        |    0.09%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |           [[2, 4, 1, 64], [2, 4, 1, 64], [2, 4, 1, 64]]           |  bf16  |       5.49       |       5.50        |       5.52       |       2.01        |   [56]    |      [1024, 1024]      |    [8]    |      4.51e-07      |      1.15e-06      |      9.28e-07       |  4.22e+03  |       0.00%        |       0.00%        |        0.00%        |    0.18%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |           [[4, 4, 1, 64], [4, 4, 1, 64], [4, 4, 1, 64]]           |  bf16  |       5.50       |       5.52        |       5.54       |       2.02        |   [112]   |      [2048, 2048]      |   [16]    |      9.00e-07      |      2.29e-06      |      1.85e-06       |  8.32e+03  |       0.00%        |       0.00%        |        0.00%        |    0.35%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |           [[8, 4, 1, 64], [8, 4, 1, 64], [8, 4, 1, 64]]           |  bf16  |       5.50       |       5.52        |       5.54       |       2.05        |   [224]   |      [4096, 4096]      |   [32]    |      1.80e-06      |      4.58e-06      |      3.70e-06       |  1.65e+04  |       0.00%        |       0.00%        |        0.00%        |    0.70%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |         [[16, 4, 1, 64], [16, 4, 1, 64], [16, 4, 1, 64]]          |  bf16  |       5.54       |       5.56        |       5.59       |       2.10        |   [448]   |      [8192, 8192]      |   [64]    |      3.57e-06      |      9.08e-06      |      7.35e-06       |  3.29e+04  |       0.00%        |       0.00%        |        0.00%        |    1.37%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |         [[32, 4, 1, 64], [32, 4, 1, 64], [32, 4, 1, 64]]          |  bf16  |       5.53       |       5.55        |       5.57       |       2.19        |   [896]   |     [16384, 16384]     |   [128]   |      7.16e-06      |      1.82e-05      |      1.47e-05       |  6.57e+04  |       0.00%        |       0.00%        |        0.00%        |    2.75%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |           [[1, 8, 1, 64], [1, 8, 1, 64], [1, 8, 1, 64]]           |  bf16  |       5.47       |       5.49        |       5.51       |       2.01        |   [56]    |      [1024, 1024]      |    [8]    |      4.52e-07      |      1.15e-06      |      9.31e-07       |  4.22e+03  |       0.00%        |       0.00%        |        0.00%        |    0.18%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |           [[2, 8, 1, 64], [2, 8, 1, 64], [2, 8, 1, 64]]           |  bf16  |       5.48       |       5.50        |       5.55       |       2.02        |   [112]   |      [2048, 2048]      |   [16]    |      9.03e-07      |      2.30e-06      |      1.86e-06       |  8.32e+03  |       0.00%        |       0.00%        |        0.00%        |    0.35%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |           [[4, 8, 1, 64], [4, 8, 1, 64], [4, 8, 1, 64]]           |  bf16  |       5.52       |       5.54        |       5.59       |       2.05        |   [224]   |      [4096, 4096]      |   [32]    |      1.80e-06      |      4.57e-06      |      3.69e-06       |  1.65e+04  |       0.00%        |       0.00%        |        0.00%        |    0.69%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |           [[8, 8, 1, 64], [8, 8, 1, 64], [8, 8, 1, 64]]           |  bf16  |       5.51       |       5.53        |       5.56       |       2.10        |   [448]   |      [8192, 8192]      |   [64]    |      3.60e-06      |      9.15e-06      |      7.40e-06       |  3.29e+04  |       0.00%        |       0.00%        |        0.00%        |    1.38%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |         [[16, 8, 1, 64], [16, 8, 1, 64], [16, 8, 1, 64]]          |  bf16  |       5.51       |       5.53        |       5.58       |       2.19        |   [896]   |     [16384, 16384]     |   [128]   |      7.19e-06      |      1.83e-05      |      1.48e-05       |  6.57e+04  |       0.00%        |       0.00%        |        0.00%        |    2.76%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |         [[32, 8, 1, 64], [32, 8, 1, 64], [32, 8, 1, 64]]          |  bf16  |       5.54       |       5.55        |       5.58       |       2.38        |  [1792]   |     [32768, 32768]     |   [256]   |      1.43e-05      |      3.64e-05      |      2.94e-05       |  1.31e+05  |       0.00%        |       0.00%        |        0.00%        |    5.49%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |         [[1, 16, 1, 64], [1, 16, 1, 64], [1, 16, 1, 64]]          |  bf16  |       5.49       |       5.51        |       5.56       |       2.02        |   [112]   |      [2048, 2048]      |   [16]    |      9.02e-07      |      2.29e-06      |      1.85e-06       |  8.32e+03  |       0.00%        |       0.00%        |        0.00%        |    0.35%     |
