Test Case: L40S_apex_fused_layer_norm_cuda.forward
|   M   |   N   |  _val   | _val(1) |   input_shape    | dtype | duration_min(us) | duration_mean(us) | duration_max(us) | theory_latency(us) | flops_1D | flops_SFU |    io    | flops_efficiency_1D | flops_efficiency_SFU | io_efficiency |
|   1   |  32   |  [32]   | 0.0001  |    [[1, 32]]     | bf16  |       2.34       |       2.43        |       2.55       |        2.0         | 2.56e+02 | 3.20e+01  | 6.40e+01 |        0.0%         |         0.0%         |     0.01%     |
|   2   |  32   |  [32]   | 0.0001  |    [[2, 32]]     | bf16  |       2.39       |       2.53        |       2.62       |        2.0         | 5.12e+02 | 6.40e+01  | 1.28e+02 |        0.0%         |         0.0%         |     0.01%     |
|   4   |  32   |  [32]   | 0.0001  |    [[4, 32]]     | bf16  |       2.6        |       2.61        |       2.62       |        2.0         | 1.02e+03 | 1.28e+02  | 2.56e+02 |        0.0%         |         0.0%         |     0.02%     |
|   8   |  32   |  [32]   | 0.0001  |    [[8, 32]]     | bf16  |       2.46       |       2.61        |       2.65       |        2.0         | 2.05e+03 | 2.56e+02  | 5.12e+02 |        0.0%         |         0.0%         |     0.05%     |
|  16   |  32   |  [32]   | 0.0001  |    [[16, 32]]    | bf16  |       2.88       |       2.91        |       2.94       |        2.0         | 4.10e+03 | 5.12e+02  | 1.02e+03 |        0.0%         |         0.0%         |     0.08%     |
|  32   |  32   |  [32]   | 0.0001  |    [[32, 32]]    | bf16  |       2.9        |       2.94        |       3.08       |        2.01        | 8.19e+03 | 1.02e+03  | 2.05e+03 |        0.01%        |        0.01%         |     0.16%     |
|  64   |  32   |  [32]   | 0.0001  |    [[64, 32]]    | bf16  |       3.3        |       3.33        |       3.37       |        2.01        | 1.64e+04 | 2.05e+03  | 4.10e+03 |        0.01%        |        0.01%         |     0.29%     |
|  128  |  32   |  [32]   | 0.0001  |   [[128, 32]]    | bf16  |       3.25       |       3.36        |       3.51       |        2.02        | 3.28e+04 | 4.10e+03  | 8.19e+03 |        0.02%        |        0.02%         |     0.58%     |
|  256  |  32   |  [32]   | 0.0001  |   [[256, 32]]    | bf16  |       3.28       |       3.32        |       3.36       |        2.05        | 6.55e+04 | 8.19e+03  | 1.64e+04 |        0.04%        |        0.04%         |     1.16%     |
|  512  |  32   |  [32]   | 0.0001  |   [[512, 32]]    | bf16  |       3.57       |        3.6        |       3.62       |        2.09        | 1.31e+05 | 1.64e+04  | 3.28e+04 |        0.08%        |        0.08%         |     2.12%     |
| 1024  |  32   |  [32]   | 0.0001  |   [[1024, 32]]   | bf16  |       4.13       |       4.27        |       4.36       |        2.19        | 2.62e+05 | 3.28e+04  | 6.55e+04 |        0.14%        |        0.14%         |     3.67%     |
| 2048  |  32   |  [32]   | 0.0001  |   [[2048, 32]]   | bf16  |       4.55       |       4.57        |       4.63       |        2.38        | 5.24e+05 | 6.55e+04  | 1.31e+05 |        0.25%        |        0.25%         |     6.67%     |
| 4096  |  32   |  [32]   | 0.0001  |   [[4096, 32]]   | bf16  |       6.5        |       6.53        |       6.56       |        2.76        | 1.05e+06 | 1.31e+05  | 2.62e+05 |        0.35%        |        0.35%         |     9.34%     |
| 8192  |  32   |  [32]   | 0.0001  |   [[8192, 32]]   | bf16  |       10.3       |       10.36       |      10.42       |        3.52        | 2.10e+06 | 2.62e+05  | 5.24e+05 |        0.44%        |        0.44%         |    11.78%     |
| 16384 |  32   |  [32]   | 0.0001  |  [[16384, 32]]   | bf16  |      17.61       |       17.65       |      17.75       |        5.03        | 4.19e+06 | 5.24e+05  | 1.05e+06 |        0.52%        |        0.52%         |    13.78%     |
| 32768 |  32   |  [32]   | 0.0001  |  [[32768, 32]]   | bf16  |      31.96       |       32.01       |      32.03       |        8.07        | 8.39e+06 | 1.05e+06  | 2.10e+06 |        0.57%        |        0.57%         |    15.19%     |
| 65536 |  32   |  [32]   | 0.0001  |  [[65536, 32]]   | bf16  |      60.49       |       60.55       |      60.61       |       14.14        | 1.68e+07 | 2.10e+06  | 4.19e+06 |        0.61%        |        0.61%         |    16.05%     |
|   1   |  64   |  [64]   | 0.0001  |    [[1, 64]]     | bf16  |       2.36       |       2.42        |       2.48       |        2.0         | 5.12e+02 | 6.40e+01  | 1.28e+02 |        0.0%         |         0.0%         |     0.01%     |
|   2   |  64   |  [64]   | 0.0001  |    [[2, 64]]     | bf16  |       2.53       |       2.87        |       4.18       |        2.0         | 1.02e+03 | 1.28e+02  | 2.56e+02 |        0.0%         |         0.0%         |     0.02%     |
|   4   |  64   |  [64]   | 0.0001  |    [[4, 64]]     | bf16  |       2.61       |       2.63        |       2.66       |        2.0         | 2.05e+03 | 2.56e+02  | 5.12e+02 |        0.0%         |         0.0%         |     0.05%     |
|   8   |  64   |  [64]   | 0.0001  |    [[8, 64]]     | bf16  |       2.4        |       2.43        |       2.51       |        2.0         | 4.10e+03 | 5.12e+02  | 1.02e+03 |        0.0%         |         0.0%         |     0.1%      |
|  16   |  64   |  [64]   | 0.0001  |    [[16, 64]]    | bf16  |       2.92       |       2.95        |       2.98       |        2.01        | 8.19e+03 | 1.02e+03  | 2.05e+03 |        0.01%        |        0.01%         |     0.16%     |
|  32   |  64   |  [64]   | 0.0001  |    [[32, 64]]    | bf16  |       2.92       |       2.94        |       2.98       |        2.01        | 1.64e+04 | 2.05e+03  | 4.10e+03 |        0.01%        |        0.01%         |     0.32%     |
|  64   |  64   |  [64]   | 0.0001  |    [[64, 64]]    | bf16  |       3.32       |       3.34        |       3.37       |        2.02        | 3.28e+04 | 4.10e+03  | 8.19e+03 |        0.02%        |        0.02%         |     0.57%     |
|  128  |  64   |  [64]   | 0.0001  |   [[128, 64]]    | bf16  |       3.08       |       3.11        |       3.19       |        2.05        | 6.55e+04 | 8.19e+03  | 1.64e+04 |        0.05%        |        0.05%         |     1.23%     |
|  256  |  64   |  [64]   | 0.0001  |   [[256, 64]]    | bf16  |       3.15       |       3.18        |       3.21       |        2.09        | 1.31e+05 | 1.64e+04  | 3.28e+04 |        0.09%        |        0.09%         |     2.41%     |
|  512  |  64   |  [64]   | 0.0001  |   [[512, 64]]    | bf16  |       3.4        |       3.42        |       3.44       |        2.19        | 2.62e+05 | 3.28e+04  | 6.55e+04 |        0.17%        |        0.17%         |     4.46%     |
