Test Case: L40S_apex_fused_layer_norm_cuda.rms_forward
|   M   |   N   |  _val   | _val(1) |   input_shape    | dtype | duration_min(us) | duration_mean(us) | duration_max(us) | theory_latency(us) | flops_1D | flops_SFU |    io    | flops_efficiency_1D | flops_efficiency_SFU | io_efficiency |
|   1   |  32   |  [32]   | 0.0001  |    [[1, 32]]     | bf16  |       2.1        |       2.13        |       2.19       |        2.0         | 2.56e+02 | 3.20e+01  | 6.40e+01 |        0.0%         |         0.0%         |     0.01%     |
|   2   |  32   |  [32]   | 0.0001  |    [[2, 32]]     | bf16  |       2.11       |       2.13        |       2.16       |        2.0         | 5.12e+02 | 6.40e+01  | 1.28e+02 |        0.0%         |         0.0%         |     0.01%     |
|   4   |  32   |  [32]   | 0.0001  |    [[4, 32]]     | bf16  |       2.16       |       2.17        |       2.2        |        2.0         | 1.02e+03 | 1.28e+02  | 2.56e+02 |        0.0%         |         0.0%         |     0.03%     |
|   8   |  32   |  [32]   | 0.0001  |    [[8, 32]]     | bf16  |       2.13       |       2.16        |       2.2        |        2.0         | 2.05e+03 | 2.56e+02  | 5.12e+02 |        0.0%         |         0.0%         |     0.06%     |
|  16   |  32   |  [32]   | 0.0001  |    [[16, 32]]    | bf16  |       2.44       |        2.5        |       2.53       |        2.0         | 4.10e+03 | 5.12e+02  | 1.02e+03 |        0.0%         |         0.0%         |     0.1%      |
|  32   |  32   |  [32]   | 0.0001  |    [[32, 32]]    | bf16  |       2.49       |       2.52        |       2.56       |        2.01        | 8.19e+03 | 1.02e+03  | 2.05e+03 |        0.01%        |        0.01%         |     0.19%     |
|  64   |  32   |  [32]   | 0.0001  |    [[64, 32]]    | bf16  |       2.56       |       2.58        |       2.65       |        2.01        | 1.64e+04 | 2.05e+03  | 4.10e+03 |        0.01%        |        0.01%         |     0.37%     |
|  128  |  32   |  [32]   | 0.0001  |   [[128, 32]]    | bf16  |       2.68       |       2.69        |       2.7        |        2.02        | 3.28e+04 | 4.10e+03  | 8.19e+03 |        0.03%        |        0.03%         |     0.71%     |
|  256  |  32   |  [32]   | 0.0001  |   [[256, 32]]    | bf16  |       2.65       |       2.69        |       2.72       |        2.05        | 6.55e+04 | 8.19e+03  | 1.64e+04 |        0.05%        |        0.05%         |     1.43%     |
|  512  |  32   |  [32]   | 0.0001  |   [[512, 32]]    | bf16  |       2.89       |       2.93        |       3.01       |        2.09        | 1.31e+05 | 1.64e+04  | 3.28e+04 |        0.1%         |         0.1%         |     2.62%     |
| 1024  |  32   |  [32]   | 0.0001  |   [[1024, 32]]   | bf16  |       3.13       |       3.15        |       3.18       |        2.19        | 2.62e+05 | 3.28e+04  | 6.55e+04 |        0.18%        |        0.18%         |     4.85%     |
| 2048  |  32   |  [32]   | 0.0001  |   [[2048, 32]]   | bf16  |       3.48       |       3.51        |       3.53       |        2.38        | 5.24e+05 | 6.55e+04  | 1.31e+05 |        0.33%        |        0.33%         |     8.72%     |
| 4096  |  32   |  [32]   | 0.0001  |   [[4096, 32]]   | bf16  |       4.75       |       4.79        |       4.83       |        2.76        | 1.05e+06 | 1.31e+05  | 2.62e+05 |        0.48%        |        0.48%         |    12.78%     |
| 8192  |  32   |  [32]   | 0.0001  |   [[8192, 32]]   | bf16  |       7.26       |       7.31        |       7.4        |        3.52        | 2.10e+06 | 2.62e+05  | 5.24e+05 |        0.63%        |        0.63%         |    16.72%     |
| 16384 |  32   |  [32]   | 0.0001  |  [[16384, 32]]   | bf16  |      12.17       |       12.2        |      12.24       |        5.03        | 4.19e+06 | 5.24e+05  | 1.05e+06 |        0.75%        |        0.75%         |    19.94%     |
| 32768 |  32   |  [32]   | 0.0001  |  [[32768, 32]]   | bf16  |      21.96       |       22.01       |      22.03       |        8.07        | 8.39e+06 | 1.05e+06  | 2.10e+06 |        0.83%        |        0.83%         |    22.11%     |
| 65536 |  32   |  [32]   | 0.0001  |  [[65536, 32]]   | bf16  |      41.46       |       41.51       |      41.59       |       14.14        | 1.68e+07 | 2.10e+06  | 4.19e+06 |        0.88%        |        0.88%         |    23.42%     |
|   1   |  64   |  [64]   | 0.0001  |    [[1, 64]]     | bf16  |       2.1        |       2.13        |       2.17       |        2.0         | 5.12e+02 | 6.40e+01  | 1.28e+02 |        0.0%         |         0.0%         |     0.01%     |
|   2   |  64   |  [64]   | 0.0001  |    [[2, 64]]     | bf16  |       2.06       |        2.1        |       2.13       |        2.0         | 1.02e+03 | 1.28e+02  | 2.56e+02 |        0.0%         |         0.0%         |     0.03%     |
|   4   |  64   |  [64]   | 0.0001  |    [[4, 64]]     | bf16  |       2.09       |       2.14        |       2.18       |        2.0         | 2.05e+03 | 2.56e+02  | 5.12e+02 |        0.0%         |         0.0%         |     0.06%     |
|   8   |  64   |  [64]   | 0.0001  |    [[8, 64]]     | bf16  |       2.14       |       2.16        |       2.18       |        2.0         | 4.10e+03 | 5.12e+02  | 1.02e+03 |        0.0%         |         0.0%         |     0.11%     |
|  16   |  64   |  [64]   | 0.0001  |    [[16, 64]]    | bf16  |       2.49       |       2.51        |       2.53       |        2.01        | 8.19e+03 | 1.02e+03  | 2.05e+03 |        0.01%        |        0.01%         |     0.19%     |
|  32   |  64   |  [64]   | 0.0001  |    [[32, 64]]    | bf16  |       2.47       |       2.49        |       2.52       |        2.01        | 1.64e+04 | 2.05e+03  | 4.10e+03 |        0.01%        |        0.01%         |     0.38%     |
|  64   |  64   |  [64]   | 0.0001  |    [[64, 64]]    | bf16  |       2.63       |        2.7        |       2.8        |        2.02        | 3.28e+04 | 4.10e+03  | 8.19e+03 |        0.03%        |        0.03%         |     0.72%     |
|  128  |  64   |  [64]   | 0.0001  |   [[128, 64]]    | bf16  |       2.64       |       2.66        |       2.67       |        2.05        | 6.55e+04 | 8.19e+03  | 1.64e+04 |        0.05%        |        0.05%         |     1.44%     |
|  256  |  64   |  [64]   | 0.0001  |   [[256, 64]]    | bf16  |       2.64       |       2.68        |       2.75       |        2.09        | 1.31e+05 | 1.64e+04  | 3.28e+04 |        0.11%        |        0.11%         |     2.87%     |
|  512  |  64   |  [64]   | 0.0001  |   [[512, 64]]    | bf16  |       2.89       |       2.92        |       2.94       |        2.19        | 2.62e+05 | 3.28e+04  | 6.55e+04 |        0.2%         |         0.2%         |     5.25%     |
