Test Case: L40S_apex_fused_rotary_positional_embedding.backward
|  M  |  N  |      _tensor       | _val  |      input_shape       | dtype | duration_min(us) | duration_mean(us) | duration_max(us) | theory_latency(us) |  flops   |    io    | flops_efficiency | io_efficiency |
|  2  | 16  |   [1, 1, 1, 16]    | True  |    [[1, 1, 2, 16]]     | bf16  |       2.14       |       2.18        |       2.23       |        2.0         | 5.12e+02 | 6.40e+01 |       0.0%       |     0.01%     |
|  2  | 16  |   [2, 1, 1, 16]    | True  |    [[2, 1, 2, 16]]     | bf16  |       2.15       |       2.16        |       2.18       |        2.0         | 1.02e+03 | 1.28e+02 |       0.0%       |     0.01%     |
|  2  | 16  |   [4, 1, 1, 16]    | True  |    [[4, 1, 2, 16]]     | bf16  |       2.41       |       2.63        |       2.87       |        2.0         | 2.05e+03 | 2.56e+02 |       0.0%       |     0.02%     |
|  2  | 16  |  [256, 1, 1, 16]   | True  |   [[256, 1, 2, 16]]    | bf16  |       2.46       |        2.5        |       2.56       |        2.05        | 1.31e+05 | 1.64e+04 |      0.12%       |     1.54%     |
|  2  | 16  |  [512, 1, 1, 16]   | True  |   [[512, 1, 2, 16]]    | bf16  |       2.67       |       2.69        |       2.7        |        2.09        | 2.62e+05 | 3.28e+04 |      0.21%       |     2.84%     |
|  2  | 16  |  [1024, 1, 1, 16]  | True  |   [[1024, 1, 2, 16]]   | bf16  |       2.94       |       2.96        |       2.98       |        2.19        | 5.24e+05 | 6.55e+04 |      0.39%       |     5.16%     |
|  2  | 16  |  [2048, 1, 1, 16]  | True  |   [[2048, 1, 2, 16]]   | bf16  |       3.52       |       3.55        |       3.59       |        2.38        | 1.05e+06 | 1.31e+05 |      0.65%       |     8.62%     |
|  2  | 16  |  [4096, 1, 1, 16]  | True  |   [[4096, 1, 2, 16]]   | bf16  |       4.62       |       4.68        |       4.76       |        2.76        | 2.10e+06 | 2.62e+05 |      0.99%       |    13.13%     |
|  2  | 16  |  [8192, 1, 1, 16]  | True  |   [[8192, 1, 2, 16]]   | bf16  |       6.81       |       6.84        |       6.86       |        3.52        | 4.19e+06 | 5.24e+05 |      1.34%       |    17.82%     |
|  2  | 16  | [16384, 1, 1, 16]  | True  |  [[16384, 1, 2, 16]]   | bf16  |      11.19       |       11.22       |      11.24       |        5.03        | 8.39e+06 | 1.05e+06 |      1.64%       |    21.69%     |
|  2  | 16  | [32768, 1, 1, 16]  | True  |  [[32768, 1, 2, 16]]   | bf16  |       19.9       |       19.91       |      19.93       |        8.07        | 1.68e+07 | 2.10e+06 |      1.84%       |    24.39%     |
|  2  | 16  | [65536, 1, 1, 16]  | True  |  [[65536, 1, 2, 16]]   | bf16  |      37.26       |       37.29       |      37.33       |       14.14        | 3.36e+07 | 4.19e+06 |      1.97%       |    26.06%     |
|  4  | 16  |   [1, 1, 1, 16]    | True  |    [[1, 1, 4, 16]]     | bf16  |       2.15       |       2.22        |       2.3        |        2.0         | 1.02e+03 | 1.28e+02 |       0.0%       |     0.01%     |
|  4  | 16  |   [2, 1, 1, 16]    | True  |    [[2, 1, 4, 16]]     | bf16  |       2.15       |       2.18        |       2.22       |        2.0         | 2.05e+03 | 2.56e+02 |       0.0%       |     0.03%     |
|  4  | 16  |   [4, 1, 1, 16]    | True  |    [[4, 1, 4, 16]]     | bf16  |       2.24       |       2.32        |       2.4        |        2.0         | 4.10e+03 | 5.12e+02 |       0.0%       |     0.05%     |
|  4  | 16  |  [256, 1, 1, 16]   | True  |   [[256, 1, 4, 16]]    | bf16  |       2.46       |       2.48        |       2.51       |        2.09        | 2.62e+05 | 3.28e+04 |      0.23%       |     3.08%     |
|  4  | 16  |  [512, 1, 1, 16]   | True  |   [[512, 1, 4, 16]]    | bf16  |       2.69       |       2.72        |       2.76       |        2.19        | 5.24e+05 | 6.55e+04 |      0.43%       |     5.64%     |
|  4  | 16  |  [1024, 1, 1, 16]  | True  |   [[1024, 1, 4, 16]]   | bf16  |       2.96       |       2.98        |       2.99       |        2.38        | 1.05e+06 | 1.31e+05 |      0.77%       |    10.25%     |
|  4  | 16  |  [2048, 1, 1, 16]  | True  |   [[2048, 1, 4, 16]]   | bf16  |       4.46       |       4.54        |       4.63       |        2.76        | 2.10e+06 | 2.62e+05 |      1.03%       |    13.61%     |
|  4  | 16  |  [4096, 1, 1, 16]  | True  |   [[4096, 1, 4, 16]]   | bf16  |       4.69       |       4.71        |       4.74       |        3.52        | 4.19e+06 | 5.24e+05 |      1.95%       |    25.88%     |
|  4  | 16  |  [8192, 1, 1, 16]  | True  |   [[8192, 1, 4, 16]]   | bf16  |       7.02       |       7.05        |       7.08       |        5.03        | 8.39e+06 | 1.05e+06 |      2.61%       |    34.58%     |
|  4  | 16  | [16384, 1, 1, 16]  | True  |  [[16384, 1, 4, 16]]   | bf16  |      11.58       |       11.59       |      11.61       |        8.07        | 1.68e+07 | 2.10e+06 |      3.16%       |    41.92%     |
|  4  | 16  | [32768, 1, 1, 16]  | True  |  [[32768, 1, 4, 16]]   | bf16  |      20.57       |       20.63       |      20.69       |       14.14        | 3.36e+07 | 4.19e+06 |      3.56%       |     47.2%     |
|  4  | 16  | [65536, 1, 1, 16]  | True  |  [[65536, 1, 4, 16]]   | bf16  |      38.43       |       38.49       |      38.55       |       26.27        | 6.71e+07 | 8.39e+06 |      3.81%       |    50.53%     |
|  8  | 16  |   [1, 1, 1, 16]    | True  |    [[1, 1, 8, 16]]     | bf16  |       2.29       |       2.31        |       2.32       |        2.0         | 2.05e+03 | 2.56e+02 |       0.0%       |     0.03%     |
|  8  | 16  |   [2, 1, 1, 16]    | True  |    [[2, 1, 8, 16]]     | bf16  |       2.31       |       2.34        |       2.37       |        2.0         | 4.10e+03 | 5.12e+02 |       0.0%       |     0.05%     |
