Test Case: L40S_apex_fused_rotary_positional_embedding.forward
|  M  |  N  |      _tensor       | _val  |      input_shape       | dtype | duration_min(us) | duration_mean(us) | duration_max(us) | theory_latency(us) |  flops   |    io    | flops_efficiency | io_efficiency |
|  2  | 16  |   [1, 1, 1, 16]    | True  |    [[1, 1, 2, 16]]     | bf16  |       1.99       |       2.02        |       2.06       |        2.0         | 5.12e+02 | 6.40e+01 |       0.0%       |     0.01%     |
|  2  | 16  |   [2, 1, 1, 16]    | True  |    [[2, 1, 2, 16]]     | bf16  |       2.01       |       2.04        |       2.06       |        2.0         | 1.02e+03 | 1.28e+02 |       0.0%       |     0.01%     |
|  2  | 16  |   [4, 1, 1, 16]    | True  |    [[4, 1, 2, 16]]     | bf16  |       2.07       |       2.12        |       2.18       |        2.0         | 2.05e+03 | 2.56e+02 |       0.0%       |     0.03%     |
|  2  | 16  |  [256, 1, 1, 16]   | True  |   [[256, 1, 2, 16]]    | bf16  |       2.3        |       2.33        |       2.36       |        2.05        | 1.31e+05 | 1.64e+04 |      0.12%       |     1.65%     |
|  2  | 16  |  [512, 1, 1, 16]   | True  |   [[512, 1, 2, 16]]    | bf16  |       2.51       |       2.53        |       2.55       |        2.09        | 2.62e+05 | 3.28e+04 |      0.23%       |     3.02%     |
|  2  | 16  |  [1024, 1, 1, 16]  | True  |   [[1024, 1, 2, 16]]   | bf16  |       2.8        |       2.83        |       2.85       |        2.19        | 5.24e+05 | 6.55e+04 |      0.41%       |     5.42%     |
|  2  | 16  |  [2048, 1, 1, 16]  | True  |   [[2048, 1, 2, 16]]   | bf16  |       3.34       |       3.37        |       3.4        |        2.38        | 1.05e+06 | 1.31e+05 |      0.69%       |     9.08%     |
|  2  | 16  |  [4096, 1, 1, 16]  | True  |   [[4096, 1, 2, 16]]   | bf16  |       4.45       |       4.47        |       4.5        |        2.76        | 2.10e+06 | 2.62e+05 |      1.03%       |    13.64%     |
|  2  | 16  |  [8192, 1, 1, 16]  | True  |   [[8192, 1, 2, 16]]   | bf16  |       6.62       |       6.67        |       6.73       |        3.52        | 4.19e+06 | 5.24e+05 |      1.38%       |    18.33%     |
|  2  | 16  | [16384, 1, 1, 16]  | True  |  [[16384, 1, 2, 16]]   | bf16  |      10.95       |       10.98       |      11.02       |        5.03        | 8.39e+06 | 1.05e+06 |      1.67%       |    22.17%     |
