Test Case: L40S_aten_add
|   M   |   N   |  B  |             input_shape              | dtype | duration_min(us) | duration_mean(us) | duration_max(us) | theory_latency(us) |  flops   |    io    | flops_efficiency | io_efficiency |
|   1   |  32   | N/A |           [[1, 32], [32]]            | bf16  |       1.69       |       1.73        |       1.76       |        2.0         | 3.20e+01 | 9.60e+01 |       0.0%       |     0.01%     |
|   2   |  32   | N/A |           [[2, 32], [32]]            | bf16  |       2.09       |       2.13        |       2.18       |        2.0         | 6.40e+01 | 1.92e+02 |       0.0%       |     0.02%     |
|   4   |  32   | N/A |           [[4, 32], [32]]            | bf16  |       2.08       |       2.13        |       2.17       |        2.0         | 1.28e+02 | 3.84e+02 |       0.0%       |     0.04%     |
|   8   |  32   | N/A |           [[8, 32], [32]]            | bf16  |       2.02       |       2.04        |       2.07       |        2.0         | 2.56e+02 | 7.68e+02 |       0.0%       |     0.09%     |
|  16   |  32   | N/A |           [[16, 32], [32]]           | bf16  |       2.58       |        2.6        |       2.62       |        2.0         | 5.12e+02 | 1.54e+03 |       0.0%       |     0.14%     |
|  32   |  32   | N/A |           [[32, 32], [32]]           | bf16  |       2.63       |       2.65        |       2.67       |        2.01        | 1.02e+03 | 3.07e+03 |       0.0%       |     0.27%     |
|  64   |  32   | N/A |           [[64, 32], [32]]           | bf16  |       2.53       |       2.57        |       2.62       |        2.02        | 2.05e+03 | 6.14e+03 |       0.0%       |     0.56%     |
|  128  |  32   | N/A |          [[128, 32], [32]]           | bf16  |       2.54       |       2.61        |       2.68       |        2.04        | 4.10e+03 | 1.23e+04 |       0.0%       |     1.12%     |
|  256  |  32   | N/A |          [[256, 32], [32]]           | bf16  |       2.91       |       3.96        |       5.18       |        2.07        | 8.19e+03 | 2.46e+04 |      0.01%       |     1.95%     |
|  512  |  32   | N/A |          [[512, 32], [32]]           | bf16  |       2.82       |       2.87        |       2.92       |        2.14        | 1.64e+04 | 4.92e+04 |      0.01%       |     4.03%     |
| 1024  |  32   | N/A |          [[1024, 32], [32]]          | bf16  |       2.61       |       2.66        |       2.72       |        2.28        | 3.28e+04 | 9.83e+04 |      0.03%       |     8.72%     |
| 2048  |  32   | N/A |          [[2048, 32], [32]]          | bf16  |       3.0        |       3.05        |       3.12       |        2.57        | 6.55e+04 | 1.97e+05 |      0.05%       |    15.17%     |
| 4096  |  32   | N/A |          [[4096, 32], [32]]          | bf16  |       2.8        |       2.82        |       2.85       |        3.14        | 1.31e+05 | 3.93e+05 |       0.1%       |    32.51%     |
| 8192  |  32   | N/A |          [[8192, 32], [32]]          | bf16  |       2.99       |       3.02        |       3.04       |        4.28        | 2.62e+05 | 7.86e+05 |      0.19%       |    60.88%     |
| 16384 |  32   | N/A |         [[16384, 32], [32]]          | bf16  |       3.39       |       3.41        |       3.43       |        6.55        | 5.24e+05 | 1.57e+06 |      0.34%       |    107.4%     |
| 32768 |  32   | N/A |         [[32768, 32], [32]]          | bf16  |       4.11       |       4.15        |       4.18       |        11.1        | 1.05e+06 | 3.15e+06 |      0.56%       |    177.17%    |
