Test Case: L40S_aten_baddbmm
|  B  |  M  |  K   |  N   |                       input_shape                       | dtype | duration_min(us) | duration_mean(us) | duration_max(us) | theory_latency(us) |  flops   |    io    | flops_efficiency | io_efficiency |
|  1  |  1  |  32  |  32  |          [[1, 1, 32], [1, 1, 32], [1, 32, 32]]          | bf16  |      28.15       |       28.32       |      28.45       |        2.0         | 2.05e+03 | 1.09e+03 |       0.0%       |     0.01%     |
|  2  |  1  |  32  |  32  |          [[2, 1, 32], [2, 1, 32], [2, 32, 32]]          | bf16  |      28.02       |       28.21       |      28.45       |        2.01        | 4.10e+03 | 2.18e+03 |       0.0%       |     0.02%     |
|  4  |  1  |  32  |  32  |          [[4, 1, 32], [4, 1, 32], [4, 32, 32]]          | bf16  |      27.89       |       28.06       |      28.28       |        2.01        | 8.19e+03 | 4.35e+03 |       0.0%       |     0.04%     |
|  8  |  1  |  32  |  32  |          [[8, 1, 32], [8, 1, 32], [8, 32, 32]]          | bf16  |      27.98       |       28.1        |      28.23       |        2.03        | 1.64e+04 | 8.70e+03 |       0.0%       |     0.07%     |
| 16  |  1  |  32  |  32  |        [[16, 1, 32], [16, 1, 32], [16, 32, 32]]         | bf16  |      28.01       |       28.14       |      28.36       |        2.05        | 3.28e+04 | 1.74e+04 |       0.0%       |     0.14%     |
| 32  |  1  |  32  |  32  |        [[32, 1, 32], [32, 1, 32], [32, 32, 32]]         | bf16  |      28.22       |       28.4        |      28.63       |        2.1         | 6.55e+04 | 3.48e+04 |       0.0%       |     0.29%     |
| 64  |  1  |  32  |  32  |        [[64, 1, 32], [64, 1, 32], [64, 32, 32]]         | bf16  |      28.08       |       28.2        |      28.33       |        2.2         | 1.31e+05 | 6.96e+04 |       0.0%       |     0.57%     |
| 128 |  1  |  32  |  32  |       [[128, 1, 32], [128, 1, 32], [128, 32, 32]]       | bf16  |      28.11       |       28.26       |      28.49       |        2.4         | 2.62e+05 | 1.39e+05 |       0.0%       |     1.15%     |
|  1  |  2  |  32  |  32  |          [[1, 2, 32], [1, 2, 32], [1, 32, 32]]          | bf16  |       29.1       |       29.33       |      29.71       |        2.0         | 4.10e+03 | 1.15e+03 |       0.0%       |     0.01%     |
|  2  |  2  |  32  |  32  |          [[2, 2, 32], [2, 2, 32], [2, 32, 32]]          | bf16  |       29.0       |       29.08       |      29.24       |        2.01        | 8.19e+03 | 2.30e+03 |       0.0%       |     0.02%     |
|  4  |  2  |  32  |  32  |          [[4, 2, 32], [4, 2, 32], [4, 32, 32]]          | bf16  |      28.96       |       29.18       |      29.48       |        2.01        | 1.64e+04 | 4.61e+03 |       0.0%       |     0.04%     |
|  8  |  2  |  32  |  32  |          [[8, 2, 32], [8, 2, 32], [8, 32, 32]]          | bf16  |      28.86       |       29.07       |      29.18       |        2.03        | 3.28e+04 | 9.22e+03 |       0.0%       |     0.07%     |
| 16  |  2  |  32  |  32  |        [[16, 2, 32], [16, 2, 32], [16, 32, 32]]         | bf16  |      28.93       |       29.15       |      29.52       |        2.05        | 6.55e+04 | 1.84e+04 |       0.0%       |     0.15%     |
| 32  |  2  |  32  |  32  |        [[32, 2, 32], [32, 2, 32], [32, 32, 32]]         | bf16  |       29.0       |       29.17       |      29.31       |        2.11        | 1.31e+05 | 3.69e+04 |       0.0%       |     0.29%     |
| 64  |  2  |  32  |  32  |        [[64, 2, 32], [64, 2, 32], [64, 32, 32]]         | bf16  |       29.0       |       29.09       |      29.22       |        2.21        | 2.62e+05 | 7.37e+04 |       0.0%       |     0.59%     |
