Test Case: L40S_aten_bmm
|  B  |  M  |  K   |  N   |              input_shape              | dtype | duration_min(us) | duration_mean(us) | duration_max(us) | theory_latency(us) |  flops   |    io    | flops_efficiency | io_efficiency |
|  1  |  1  |  32  |  32  |       [[1, 1, 32], [1, 32, 32]]       | bf16  |      19.82       |       19.99       |      20.15       |        2.0         | 2.05e+03 | 1.09e+03 |       0.0%       |     0.01%     |
|  2  |  1  |  32  |  32  |       [[2, 1, 32], [2, 32, 32]]       | bf16  |      19.75       |       19.91       |      20.14       |        2.01        | 4.10e+03 | 2.18e+03 |       0.0%       |     0.03%     |
|  4  |  1  |  32  |  32  |       [[4, 1, 32], [4, 32, 32]]       | bf16  |      19.74       |       19.83       |      19.97       |        2.01        | 8.19e+03 | 4.35e+03 |       0.0%       |     0.05%     |
|  8  |  1  |  32  |  32  |       [[8, 1, 32], [8, 32, 32]]       | bf16  |      19.84       |       19.98       |      20.09       |        2.03        | 1.64e+04 | 8.70e+03 |       0.0%       |     0.1%      |
| 16  |  1  |  32  |  32  |      [[16, 1, 32], [16, 32, 32]]      | bf16  |      19.81       |       19.96       |      20.05       |        2.05        | 3.28e+04 | 1.74e+04 |       0.0%       |     0.2%      |
| 32  |  1  |  32  |  32  |      [[32, 1, 32], [32, 32, 32]]      | bf16  |      19.83       |       19.96       |      20.08       |        2.1         | 6.55e+04 | 3.48e+04 |       0.0%       |     0.41%     |
|  1  |  2  |  32  |  32  |       [[1, 2, 32], [1, 32, 32]]       | bf16  |      20.78       |       20.88       |      21.04       |        2.0         | 4.10e+03 | 1.15e+03 |       0.0%       |     0.01%     |
|  2  |  2  |  32  |  32  |       [[2, 2, 32], [2, 32, 32]]       | bf16  |       20.6       |       20.69       |      20.78       |        2.01        | 8.19e+03 | 2.30e+03 |       0.0%       |     0.03%     |
|  4  |  2  |  32  |  32  |       [[4, 2, 32], [4, 32, 32]]       | bf16  |      20.56       |       20.69       |       20.8       |        2.01        | 1.64e+04 | 4.61e+03 |       0.0%       |     0.05%     |
|  8  |  2  |  32  |  32  |       [[8, 2, 32], [8, 32, 32]]       | bf16  |      20.46       |       20.63       |      20.77       |        2.03        | 3.28e+04 | 9.22e+03 |       0.0%       |     0.1%      |
