Test Case: L40S_aten_contiguous
|   M   |  N   |  B  |    input_shape     | dtype | duration_min(us) | duration_mean(us) | duration_max(us) | theory_latency(us) |  flops   |    io    | flops_efficiency | io_efficiency |
|  32   |  32  | N/A |     [[32, 32]]     | bf16  |       1.42       |       1.47        |       1.52       |        2.01        | 0.00e+00 | 2.05e+03 |        0%        |     0.33%     |
|  64   |  32  | N/A |     [[64, 32]]     | bf16  |       1.47       |       1.49        |       1.52       |        2.01        | 0.00e+00 | 4.10e+03 |        0%        |     0.64%     |
|  128  |  32  | N/A |    [[128, 32]]     | bf16  |       1.4        |       1.48        |       1.56       |        2.02        | 0.00e+00 | 8.19e+03 |        0%        |     1.35%     |
|  256  |  32  | N/A |    [[256, 32]]     | bf16  |       1.45       |        1.5        |       1.56       |        2.05        | 0.00e+00 | 1.64e+04 |        0%        |     2.62%     |
|  512  |  32  | N/A |    [[512, 32]]     | bf16  |       1.47       |       1.48        |       1.5        |        2.09        | 0.00e+00 | 3.28e+04 |        0%        |     5.16%     |
| 1024  |  32  | N/A |    [[1024, 32]]    | bf16  |       1.46       |       1.51        |       1.58       |        2.19        | 0.00e+00 | 6.55e+04 |        0%        |    10.39%     |
| 2048  |  32  | N/A |    [[2048, 32]]    | bf16  |       1.43       |       1.46        |       1.5        |        2.38        | 0.00e+00 | 1.31e+05 |        0%        |    21.22%     |
| 4096  |  32  | N/A |    [[4096, 32]]    | bf16  |       1.42       |       1.46        |       1.5        |        2.76        | 0.00e+00 | 2.62e+05 |        0%        |    42.73%     |
| 8192  |  32  | N/A |    [[8192, 32]]    | bf16  |       1.45       |       1.49        |       1.54       |        3.52        | 0.00e+00 | 5.24e+05 |        0%        |     83.7%     |
| 16384 |  32  | N/A |   [[16384, 32]]    | bf16  |       1.44       |       1.48        |       1.52       |        5.03        | 0.00e+00 | 1.05e+06 |        0%        |    168.56%    |
| 32768 |  32  | N/A |   [[32768, 32]]    | bf16  |       1.42       |       1.49        |       1.55       |        8.07        | 0.00e+00 | 2.10e+06 |        0%        |    341.87%    |
|  32   |  64  | N/A |     [[32, 64]]     | bf16  |       1.44       |       1.47        |       1.5        |        2.01        | 0.00e+00 | 4.10e+03 |        0%        |     0.66%     |
|  64   |  64  | N/A |     [[64, 64]]     | bf16  |       1.46       |        1.5        |       1.56       |        2.02        | 0.00e+00 | 8.19e+03 |        0%        |     1.3%      |
|  128  |  64  | N/A |    [[128, 64]]     | bf16  |       1.45       |       1.49        |       1.55       |        2.05        | 0.00e+00 | 1.64e+04 |        0%        |     2.62%     |
