Test Case: L40S_aten_copy_
|   M   |  N   |  B  |             input_shape              | dtype | duration_min(us) | duration_mean(us) | duration_max(us) | theory_latency(us) |  flops   |    io    | flops_efficiency | io_efficiency |
|  32   |  32  | N/A |         [[32, 32], [32, 32]]         | bf16  |       1.76       |       1.79        |       1.83       |        2.01        | 1.02e+03 | 2.05e+03 |       0.0%       |     0.27%     |
|  64   |  32  | N/A |         [[64, 32], [64, 32]]         | bf16  |       1.74       |       1.77        |       1.8        |        2.01        | 2.05e+03 | 4.10e+03 |       0.0%       |     0.54%     |
|  128  |  32  | N/A |        [[128, 32], [128, 32]]        | bf16  |       1.77       |       1.81        |       1.85       |        2.02        | 4.10e+03 | 8.19e+03 |      0.01%       |     1.07%     |
|  256  |  32  | N/A |        [[256, 32], [256, 32]]        | bf16  |       1.8        |       1.82        |       1.85       |        2.05        | 8.19e+03 | 1.64e+04 |      0.01%       |     2.11%     |
|  512  |  32  | N/A |        [[512, 32], [512, 32]]        | bf16  |       1.76       |       1.78        |       1.81       |        2.09        | 1.64e+04 | 3.28e+04 |      0.02%       |     4.31%     |
| 1024  |  32  | N/A |       [[1024, 32], [1024, 32]]       | bf16  |       1.86       |       1.88        |       1.9        |        2.19        | 3.28e+04 | 6.55e+04 |      0.04%       |     8.16%     |
| 2048  |  32  | N/A |       [[2048, 32], [2048, 32]]       | bf16  |       1.96       |       1.98        |       2.01       |        2.38        | 6.55e+04 | 1.31e+05 |      0.07%       |    15.48%     |
| 4096  |  32  | N/A |       [[4096, 32], [4096, 32]]       | bf16  |       2.08       |        2.1        |       2.13       |        2.76        | 1.31e+05 | 2.62e+05 |      0.14%       |    29.17%     |
| 8192  |  32  | N/A |       [[8192, 32], [8192, 32]]       | bf16  |       2.29       |       2.32        |       2.34       |        3.52        | 2.62e+05 | 5.24e+05 |      0.25%       |     53.0%     |
| 16384 |  32  | N/A |      [[16384, 32], [16384, 32]]      | bf16  |       2.27       |       2.31        |       2.35       |        5.03        | 5.24e+05 | 1.05e+06 |       0.5%       |    106.93%    |
| 32768 |  32  | N/A |      [[32768, 32], [32768, 32]]      | bf16  |       2.7        |       2.72        |       2.74       |        8.07        | 1.05e+06 | 2.10e+06 |      0.85%       |    179.8%     |
|  32   |  64  | N/A |         [[32, 64], [32, 64]]         | bf16  |       1.75       |       1.79        |       1.83       |        2.01        | 2.05e+03 | 4.10e+03 |       0.0%       |     0.54%     |
|  64   |  64  | N/A |         [[64, 64], [64, 64]]         | bf16  |       1.75       |       1.79        |       1.84       |        2.02        | 4.10e+03 | 8.19e+03 |      0.01%       |     1.08%     |
|  128  |  64  | N/A |        [[128, 64], [128, 64]]        | bf16  |       1.73       |       1.78        |       1.82       |        2.05        | 8.19e+03 | 1.64e+04 |      0.01%       |     2.19%     |
|  256  |  64  | N/A |        [[256, 64], [256, 64]]        | bf16  |       1.75       |       1.78        |       1.8        |        2.09        | 1.64e+04 | 3.28e+04 |      0.02%       |     4.33%     |
|  512  |  64  | N/A |        [[512, 64], [512, 64]]        | bf16  |       1.83       |       1.87        |       1.91       |        2.19        | 3.28e+04 | 6.55e+04 |      0.04%       |     8.29%     |
| 1024  |  64  | N/A |       [[1024, 64], [1024, 64]]       | bf16  |       1.95       |       1.97        |       1.99       |        2.38        | 6.55e+04 | 1.31e+05 |      0.07%       |    15.56%     |
| 2048  |  64  | N/A |       [[2048, 64], [2048, 64]]       | bf16  |       2.07       |       2.08        |       2.1        |        2.76        | 1.31e+05 | 2.62e+05 |      0.14%       |    29.31%     |
| 4096  |  64  | N/A |       [[4096, 64], [4096, 64]]       | bf16  |       2.25       |       2.28        |       2.32       |        3.52        | 2.62e+05 | 5.24e+05 |      0.25%       |    53.94%     |
| 8192  |  64  | N/A |       [[8192, 64], [8192, 64]]       | bf16  |       2.25       |       2.28        |       2.3        |        5.03        | 5.24e+05 | 1.05e+06 |      0.51%       |    107.88%    |
| 16384 |  64  | N/A |      [[16384, 64], [16384, 64]]      | bf16  |       2.67       |       2.71        |       2.74       |        8.07        | 1.05e+06 | 2.10e+06 |      0.86%       |    181.82%    |
| 32768 |  64  | N/A |      [[32768, 64], [32768, 64]]      | bf16  |       3.51       |       3.54        |       3.56       |       14.14        | 2.10e+06 | 4.19e+06 |       1.3%       |    276.61%    |
|  32   | 128  | N/A |        [[32, 128], [32, 128]]        | bf16  |       1.77       |       1.78        |       1.79       |        2.02        | 4.10e+03 | 8.19e+03 |      0.01%       |     1.07%     |
|  64   | 128  | N/A |        [[64, 128], [64, 128]]        | bf16  |       1.76       |       1.78        |       1.8        |        2.05        | 8.19e+03 | 1.64e+04 |      0.01%       |     2.15%     |
|  128  | 128  | N/A |       [[128, 128], [128, 128]]       | bf16  |       1.75       |       1.77        |       1.79       |        2.09        | 1.64e+04 | 3.28e+04 |      0.02%       |     4.33%     |
|  256  | 128  | N/A |       [[256, 128], [256, 128]]       | bf16  |       1.81       |       1.84        |       1.87       |        2.19        | 3.28e+04 | 6.55e+04 |      0.04%       |     8.38%     |
|  512  | 128  | N/A |       [[512, 128], [512, 128]]       | bf16  |       1.93       |       1.96        |       1.99       |        2.38        | 6.55e+04 | 1.31e+05 |      0.07%       |    15.72%     |
| 1024  | 128  | N/A |      [[1024, 128], [1024, 128]]      | bf16  |       2.05       |       2.07        |       2.09       |        2.76        | 1.31e+05 | 2.62e+05 |      0.14%       |     29.6%     |
| 2048  | 128  | N/A |      [[2048, 128], [2048, 128]]      | bf16  |       2.24       |       2.27        |       2.3        |        3.52        | 2.62e+05 | 5.24e+05 |      0.26%       |    54.18%     |
| 4096  | 128  | N/A |      [[4096, 128], [4096, 128]]      | bf16  |       2.28       |       2.29        |       2.3        |        5.03        | 5.24e+05 | 1.05e+06 |       0.5%       |    106.46%    |
| 8192  | 128  | N/A |      [[8192, 128], [8192, 128]]      | bf16  |       2.69       |        2.7        |       2.71       |        8.07        | 1.05e+06 | 2.10e+06 |      0.85%       |    180.47%    |
| 16384 | 128  | N/A |     [[16384, 128], [16384, 128]]     | bf16  |       3.53       |       3.55        |       3.56       |       14.14        | 2.10e+06 | 4.19e+06 |       1.3%       |    275.04%    |
| 32768 | 128  | N/A |     [[32768, 128], [32768, 128]]     | bf16  |       5.22       |       5.25        |       5.28       |       26.27        | 4.19e+06 | 8.39e+06 |      1.75%       |    371.99%    |
|  32   | 512  | N/A |        [[32, 512], [32, 512]]        | bf16  |       1.77       |        1.8        |       1.83       |        2.09        | 1.64e+04 | 3.28e+04 |      0.02%       |     4.29%     |
|  64   | 512  | N/A |        [[64, 512], [64, 512]]        | bf16  |       1.81       |       1.83        |       1.85       |        2.19        | 3.28e+04 | 6.55e+04 |      0.04%       |     8.38%     |
|  128  | 512  | N/A |       [[128, 512], [128, 512]]       | bf16  |       1.94       |       1.96        |       1.99       |        2.38        | 6.55e+04 | 1.31e+05 |      0.07%       |    15.64%     |
|  256  | 512  | N/A |       [[256, 512], [256, 512]]       | bf16  |       2.06       |       2.07        |       2.09       |        2.76        | 1.31e+05 | 2.62e+05 |      0.14%       |    29.46%     |
|  512  | 512  | N/A |       [[512, 512], [512, 512]]       | bf16  |       2.28       |        2.3        |       2.31       |        3.52        | 2.62e+05 | 5.24e+05 |      0.25%       |    53.23%     |
| 1024  | 512  | N/A |      [[1024, 512], [1024, 512]]      | bf16  |       2.27       |       2.32        |       2.41       |        5.03        | 5.24e+05 | 1.05e+06 |       0.5%       |    106.93%    |
| 2048  | 512  | N/A |      [[2048, 512], [2048, 512]]      | bf16  |       2.69       |       2.71        |       2.74       |        8.07        | 1.05e+06 | 2.10e+06 |      0.85%       |    180.47%    |
| 4096  | 512  | N/A |      [[4096, 512], [4096, 512]]      | bf16  |       3.55       |       3.57        |       3.58       |       14.14        | 2.10e+06 | 4.19e+06 |      1.29%       |    273.49%    |
| 8192  | 512  | N/A |      [[8192, 512], [8192, 512]]      | bf16  |       5.23       |       5.24        |       5.24       |       26.27        | 4.19e+06 | 8.39e+06 |      1.75%       |    371.28%    |
| 16384 | 512  | N/A |     [[16384, 512], [16384, 512]]     | bf16  |       8.48       |       8.51        |       8.54       |       50.55        | 8.39e+06 | 1.68e+07 |      2.16%       |    457.97%    |
| 32768 | 512  | N/A |     [[32768, 512], [32768, 512]]     | bf16  |       15.1       |       15.16       |      15.23       |       99.09        | 1.68e+07 | 3.36e+07 |      2.43%       |    514.39%    |
|  32   | 768  | N/A |        [[32, 768], [32, 768]]        | bf16  |       1.81       |       1.85        |       1.88       |        2.14        | 2.46e+04 | 4.92e+04 |      0.03%       |     6.29%     |
|  64   | 768  | N/A |        [[64, 768], [64, 768]]        | bf16  |       1.88       |        1.9        |       1.92       |        2.28        | 4.92e+04 | 9.83e+04 |      0.06%       |     12.1%     |
