Test Case: L40S_aten_fill_
|   M   |   N   |  B  | _val |    input_shape     | dtype | duration_min(us) | duration_mean(us) | duration_max(us) | theory_latency(us) |  flops   |    io    | flops_efficiency | io_efficiency |
|   1   |  32   | N/A |  1   |     [[1, 32]]      | bf16  |       1.71       |       1.77        |       1.83       |        2.0         | 0.00e+00 | 3.20e+01 |        0%        |     0.0%      |
|   2   |  32   | N/A |  1   |     [[2, 32]]      | bf16  |       1.7        |       1.74        |       1.77       |        2.0         | 0.00e+00 | 6.40e+01 |        0%        |     0.01%     |
|   4   |  32   | N/A |  1   |     [[4, 32]]      | bf16  |       1.7        |       1.75        |       1.79       |        2.0         | 0.00e+00 | 1.28e+02 |        0%        |     0.02%     |
|   8   |  32   | N/A |  1   |     [[8, 32]]      | bf16  |       1.72       |       1.76        |       1.8        |        2.0         | 0.00e+00 | 2.56e+02 |        0%        |     0.03%     |
|  16   |  32   | N/A |  1   |     [[16, 32]]     | bf16  |       1.64       |       1.73        |       1.82       |        2.0         | 0.00e+00 | 5.12e+02 |        0%        |     0.07%     |
|  32   |  32   | N/A |  1   |     [[32, 32]]     | bf16  |       1.68       |       1.72        |       1.76       |        2.0         | 0.00e+00 | 1.02e+03 |        0%        |     0.14%     |
|  64   |  32   | N/A |  1   |     [[64, 32]]     | bf16  |       1.72       |       1.75        |       1.78       |        2.01        | 0.00e+00 | 2.05e+03 |        0%        |     0.28%     |
|  128  |  32   | N/A |  1   |    [[128, 32]]     | bf16  |       1.76       |       1.79        |       1.82       |        2.01        | 0.00e+00 | 4.10e+03 |        0%        |     0.54%     |
|  256  |  32   | N/A |  1   |    [[256, 32]]     | bf16  |       1.72       |       1.75        |       1.79       |        2.02        | 0.00e+00 | 8.19e+03 |        0%        |     1.1%      |
|  512  |  32   | N/A |  1   |    [[512, 32]]     | bf16  |       1.72       |       1.75        |       1.78       |        2.05        | 0.00e+00 | 1.64e+04 |        0%        |     2.2%      |
| 1024  |  32   | N/A |  1   |    [[1024, 32]]    | bf16  |       1.77       |        1.8        |       1.83       |        2.09        | 0.00e+00 | 3.28e+04 |        0%        |     4.29%     |
| 2048  |  32   | N/A |  1   |    [[2048, 32]]    | bf16  |       1.89       |       1.92        |       1.95       |        2.19        | 0.00e+00 | 6.55e+04 |        0%        |     8.03%     |
| 4096  |  32   | N/A |  1   |    [[4096, 32]]    | bf16  |       2.02       |       2.05        |       2.08       |        2.38        | 0.00e+00 | 1.31e+05 |        0%        |    15.02%     |
| 8192  |  32   | N/A |  1   |    [[8192, 32]]    | bf16  |       2.22       |       2.25        |       2.29       |        2.76        | 0.00e+00 | 2.62e+05 |        0%        |    27.33%     |
| 16384 |  32   | N/A |  1   |   [[16384, 32]]    | bf16  |       2.52       |       2.55        |       2.59       |        3.52        | 0.00e+00 | 5.24e+05 |        0%        |    48.16%     |
| 32768 |  32   | N/A |  1   |   [[32768, 32]]    | bf16  |       3.1        |       3.12        |       3.14       |        5.03        | 0.00e+00 | 1.05e+06 |        0%        |     78.3%     |
|   1   |  64   | N/A |  1   |     [[1, 64]]      | bf16  |       1.73       |       1.78        |       1.85       |        2.0         | 0.00e+00 | 6.40e+01 |        0%        |     0.01%     |
|   2   |  64   | N/A |  1   |     [[2, 64]]      | bf16  |       1.74       |       1.77        |       1.8        |        2.0         | 0.00e+00 | 1.28e+02 |        0%        |     0.02%     |
|   4   |  64   | N/A |  1   |     [[4, 64]]      | bf16  |       1.74       |       1.76        |       1.79       |        2.0         | 0.00e+00 | 2.56e+02 |        0%        |     0.03%     |
|   8   |  64   | N/A |  1   |     [[8, 64]]      | bf16  |       1.66       |       1.71        |       1.78       |        2.0         | 0.00e+00 | 5.12e+02 |        0%        |     0.07%     |
|  16   |  64   | N/A |  1   |     [[16, 64]]     | bf16  |       1.66       |       1.71        |       1.76       |        2.0         | 0.00e+00 | 1.02e+03 |        0%        |     0.14%     |
|  32   |  64   | N/A |  1   |     [[32, 64]]     | bf16  |       1.7        |       1.73        |       1.75       |        2.01        | 0.00e+00 | 2.05e+03 |        0%        |     0.28%     |
|  64   |  64   | N/A |  1   |     [[64, 64]]     | bf16  |       1.71       |       1.75        |       1.79       |        2.01        | 0.00e+00 | 4.10e+03 |        0%        |     0.55%     |
|  128  |  64   | N/A |  1   |    [[128, 64]]     | bf16  |       1.73       |       1.77        |       1.81       |        2.02        | 0.00e+00 | 8.19e+03 |        0%        |     1.1%      |
|  256  |  64   | N/A |  1   |    [[256, 64]]     | bf16  |       1.72       |       1.75        |       1.78       |        2.05        | 0.00e+00 | 1.64e+04 |        0%        |     2.2%      |
|  512  |  64   | N/A |  1   |    [[512, 64]]     | bf16  |       1.78       |       1.83        |       1.88       |        2.09        | 0.00e+00 | 3.28e+04 |        0%        |     4.26%     |
| 1024  |  64   | N/A |  1   |    [[1024, 64]]    | bf16  |       1.88       |       1.91        |       1.94       |        2.19        | 0.00e+00 | 6.55e+04 |        0%        |     8.07%     |
