Test Case: L40S_aten_gelu
|   M   |   N   |  B  |    input_shape     | dtype | duration_min(us) | duration_mean(us) | duration_max(us) | theory_latency(us) |  flops   |    io    | flops_efficiency | io_efficiency |
|   1   |  32   | N/A |     [[1, 32]]      | bf16  |       1.79       |       1.92        |       2.06       |        2.0         | 4.16e+02 | 6.40e+01 |       0.0%       |     0.01%     |
|   2   |  32   | N/A |     [[2, 32]]      | bf16  |       1.76       |        1.8        |       1.85       |        2.0         | 8.32e+02 | 1.28e+02 |       0.0%       |     0.02%     |
|   4   |  32   | N/A |     [[4, 32]]      | bf16  |       1.9        |       1.92        |       1.95       |        2.0         | 1.66e+03 | 2.56e+02 |       0.0%       |     0.03%     |
|   8   |  32   | N/A |     [[8, 32]]      | bf16  |       1.94       |       1.97        |       2.0        |        2.0         | 3.33e+03 | 5.12e+02 |       0.0%       |     0.06%     |
|  16   |  32   | N/A |     [[16, 32]]     | bf16  |       1.84       |       1.88        |       1.92       |        2.0         | 6.66e+03 | 1.02e+03 |      0.01%       |     0.13%     |
|  32   |  32   | N/A |     [[32, 32]]     | bf16  |       1.92       |       2.01        |       2.14       |        2.01        | 1.33e+04 | 2.05e+03 |      0.02%       |     0.25%     |
|  64   |  32   | N/A |     [[64, 32]]     | bf16  |       1.94       |       1.99        |       2.06       |        2.01        | 2.66e+04 | 4.10e+03 |      0.03%       |     0.49%     |
|  128  |  32   | N/A |    [[128, 32]]     | bf16  |       1.93       |       1.98        |       2.05       |        2.02        | 5.32e+04 | 8.19e+03 |      0.06%       |     0.98%     |
|  256  |  32   | N/A |    [[256, 32]]     | bf16  |       1.93       |       1.96        |       1.99       |        2.05        | 1.06e+05 | 1.64e+04 |      0.12%       |     1.97%     |
|  512  |  32   | N/A |    [[512, 32]]     | bf16  |       1.92       |       1.95        |       1.99       |        2.09        | 2.13e+05 | 3.28e+04 |      0.24%       |     3.95%     |
| 1024  |  32   | N/A |    [[1024, 32]]    | bf16  |       1.97       |       1.99        |       2.01       |        2.19        | 4.26e+05 | 6.55e+04 |      0.47%       |     7.7%      |
| 2048  |  32   | N/A |    [[2048, 32]]    | bf16  |       2.08       |       2.12        |       2.17       |        2.38        | 8.52e+05 | 1.31e+05 |      0.89%       |    14.59%     |
| 4096  |  32   | N/A |    [[4096, 32]]    | bf16  |       2.26       |       2.29        |       2.32       |        2.76        | 1.70e+06 | 2.62e+05 |      1.65%       |    26.85%     |
| 8192  |  32   | N/A |    [[8192, 32]]    | bf16  |       2.48       |       2.51        |       2.54       |        3.52        | 3.41e+06 | 5.24e+05 |       3.0%       |    48.94%     |
| 16384 |  32   | N/A |   [[16384, 32]]    | bf16  |       2.83       |       2.89        |       2.96       |        5.03        | 6.82e+06 | 1.05e+06 |      5.26%       |    85.77%     |
| 32768 |  32   | N/A |   [[32768, 32]]    | bf16  |       3.4        |       3.45        |       3.5        |        8.07        | 1.36e+07 | 2.10e+06 |      8.75%       |    142.78%    |
|   1   |  64   | N/A |     [[1, 64]]      | bf16  |       1.86       |        1.9        |       1.94       |        2.0         | 8.32e+02 | 1.28e+02 |       0.0%       |     0.02%     |
|   2   |  64   | N/A |     [[2, 64]]      | bf16  |       1.88       |        1.9        |       1.93       |        2.0         | 1.66e+03 | 2.56e+02 |       0.0%       |     0.03%     |
|   4   |  64   | N/A |     [[4, 64]]      | bf16  |       1.93       |       1.96        |       1.98       |        2.0         | 3.33e+03 | 5.12e+02 |       0.0%       |     0.06%     |
|   8   |  64   | N/A |     [[8, 64]]      | bf16  |       1.83       |       1.87        |       1.91       |        2.0         | 6.66e+03 | 1.02e+03 |      0.01%       |     0.13%     |
|  16   |  64   | N/A |     [[16, 64]]     | bf16  |       1.87       |       1.94        |       2.01       |        2.01        | 1.33e+04 | 2.05e+03 |      0.02%       |     0.25%     |
|  32   |  64   | N/A |     [[32, 64]]     | bf16  |       1.91       |       1.96        |       2.01       |        2.01        | 2.66e+04 | 4.10e+03 |      0.03%       |     0.5%      |
|  64   |  64   | N/A |     [[64, 64]]     | bf16  |       1.9        |       1.93        |       1.97       |        2.02        | 5.32e+04 | 8.19e+03 |      0.06%       |     1.0%      |
|  128  |  64   | N/A |    [[128, 64]]     | bf16  |       1.9        |       1.94        |       1.99       |        2.05        | 1.06e+05 | 1.64e+04 |      0.12%       |     2.0%      |
|  256  |  64   | N/A |    [[256, 64]]     | bf16  |       1.92       |       1.96        |       2.01       |        2.09        | 2.13e+05 | 3.28e+04 |      0.24%       |     3.95%     |
|  512  |  64   | N/A |    [[512, 64]]     | bf16  |       1.96       |       1.99        |       2.03       |        2.19        | 4.26e+05 | 6.55e+04 |      0.47%       |     7.74%     |
| 1024  |  64   | N/A |    [[1024, 64]]    | bf16  |       2.07       |       2.12        |       2.18       |        2.38        | 8.52e+05 | 1.31e+05 |       0.9%       |    14.66%     |
| 2048  |  64   | N/A |    [[2048, 64]]    | bf16  |       2.27       |       2.28        |       2.3        |        2.76        | 1.70e+06 | 2.62e+05 |      1.64%       |    26.73%     |
| 4096  |  64   | N/A |    [[4096, 64]]    | bf16  |       2.46       |       2.49        |       2.52       |        3.52        | 3.41e+06 | 5.24e+05 |      3.02%       |    49.33%     |
| 8192  |  64   | N/A |    [[8192, 64]]    | bf16  |       2.83       |       2.87        |       2.92       |        5.03        | 6.82e+06 | 1.05e+06 |      5.26%       |    85.77%     |
| 16384 |  64   | N/A |   [[16384, 64]]    | bf16  |       3.42       |       3.43        |       3.45       |        8.07        | 1.36e+07 | 2.10e+06 |       8.7%       |    141.94%    |
| 32768 |  64   | N/A |   [[32768, 64]]    | bf16  |       4.68       |       4.73        |       4.78       |       14.14        | 2.73e+07 | 4.19e+06 |      12.72%      |    207.46%    |
|   1   |  128  | N/A |     [[1, 128]]     | bf16  |       1.88       |       1.92        |       1.97       |        2.0         | 1.66e+03 | 2.56e+02 |       0.0%       |     0.03%     |
|   2   |  128  | N/A |     [[2, 128]]     | bf16  |       1.96       |       1.99        |       2.02       |        2.0         | 3.33e+03 | 5.12e+02 |       0.0%       |     0.06%     |
|   4   |  128  | N/A |     [[4, 128]]     | bf16  |       1.86       |       1.88        |       1.89       |        2.0         | 6.66e+03 | 1.02e+03 |      0.01%       |     0.13%     |
|   8   |  128  | N/A |     [[8, 128]]     | bf16  |       1.9        |       1.92        |       1.94       |        2.01        | 1.33e+04 | 2.05e+03 |      0.02%       |     0.25%     |
|  16   |  128  | N/A |    [[16, 128]]     | bf16  |       1.88       |        1.9        |       1.93       |        2.01        | 2.66e+04 | 4.10e+03 |      0.03%       |     0.5%      |
|  32   |  128  | N/A |    [[32, 128]]     | bf16  |       1.92       |       1.94        |       1.96       |        2.02        | 5.32e+04 | 8.19e+03 |      0.06%       |     0.99%     |
|  64   |  128  | N/A |    [[64, 128]]     | bf16  |       1.92       |       1.96        |       2.0        |        2.05        | 1.06e+05 | 1.64e+04 |      0.12%       |     1.98%     |
|  128  |  128  | N/A |    [[128, 128]]    | bf16  |       1.93       |       1.95        |       1.97       |        2.09        | 2.13e+05 | 3.28e+04 |      0.24%       |     3.93%     |
|  256  |  128  | N/A |    [[256, 128]]    | bf16  |       1.99       |       2.08        |       2.2        |        2.19        | 4.26e+05 | 6.55e+04 |      0.47%       |     7.62%     |
|  512  |  128  | N/A |    [[512, 128]]    | bf16  |       2.1        |       2.11        |       2.13       |        2.38        | 8.52e+05 | 1.31e+05 |      0.89%       |    14.45%     |
| 1024  |  128  | N/A |   [[1024, 128]]    | bf16  |       2.26       |        2.3        |       2.36       |        2.76        | 1.70e+06 | 2.62e+05 |      1.65%       |    26.85%     |
| 2048  |  128  | N/A |   [[2048, 128]]    | bf16  |       2.47       |       2.52        |       2.56       |        3.52        | 3.41e+06 | 5.24e+05 |      3.01%       |    49.13%     |
| 4096  |  128  | N/A |   [[4096, 128]]    | bf16  |       2.82       |       2.85        |       2.87       |        5.03        | 6.82e+06 | 1.05e+06 |      5.28%       |    86.07%     |
| 8192  |  128  | N/A |   [[8192, 128]]    | bf16  |       3.4        |       3.43        |       3.46       |        8.07        | 1.36e+07 | 2.10e+06 |      8.75%       |    142.78%    |
| 16384 |  128  | N/A |   [[16384, 128]]   | bf16  |       4.72       |       4.76        |       4.81       |       14.14        | 2.73e+07 | 4.19e+06 |      12.61%      |    205.7%     |
| 32768 |  128  | N/A |   [[32768, 128]]   | bf16  |       7.31       |       7.35        |       7.39       |       26.27        | 5.45e+07 | 8.39e+06 |      16.29%      |    265.64%    |
|   1   |  512  | N/A |     [[1, 512]]     | bf16  |       1.83       |       1.87        |       1.9        |        2.0         | 6.66e+03 | 1.02e+03 |      0.01%       |     0.13%     |
|   2   |  512  | N/A |     [[2, 512]]     | bf16  |       1.86       |       1.94        |       2.03       |        2.01        | 1.33e+04 | 2.05e+03 |      0.02%       |     0.25%     |
|   4   |  512  | N/A |     [[4, 512]]     | bf16  |       1.88       |       1.94        |       2.01       |        2.01        | 2.66e+04 | 4.10e+03 |      0.03%       |     0.5%      |
|   8   |  512  | N/A |     [[8, 512]]     | bf16  |       1.9        |       1.93        |       1.96       |        2.02        | 5.32e+04 | 8.19e+03 |      0.06%       |     1.0%      |
|  16   |  512  | N/A |    [[16, 512]]     | bf16  |       1.91       |       1.96        |       2.01       |        2.05        | 1.06e+05 | 1.64e+04 |      0.12%       |     1.99%     |
|  32   |  512  | N/A |    [[32, 512]]     | bf16  |       1.93       |       1.98        |       2.03       |        2.09        | 2.13e+05 | 3.28e+04 |      0.24%       |     3.93%     |
|  64   |  512  | N/A |    [[64, 512]]     | bf16  |       2.02       |       2.05        |       2.08       |        2.19        | 4.26e+05 | 6.55e+04 |      0.46%       |     7.51%     |
|  128  |  512  | N/A |    [[128, 512]]    | bf16  |       2.07       |        2.1        |       2.12       |        2.38        | 8.52e+05 | 1.31e+05 |       0.9%       |    14.66%     |
|  256  |  512  | N/A |    [[256, 512]]    | bf16  |       2.22       |       2.26        |       2.3        |        2.76        | 1.70e+06 | 2.62e+05 |      1.68%       |    27.33%     |
|  512  |  512  | N/A |    [[512, 512]]    | bf16  |       2.44       |       2.48        |       2.52       |        3.52        | 3.41e+06 | 5.24e+05 |      3.05%       |    49.74%     |
| 1024  |  512  | N/A |   [[1024, 512]]    | bf16  |       2.82       |       2.86        |       2.9        |        5.03        | 6.82e+06 | 1.05e+06 |      5.28%       |    86.07%     |
| 2048  |  512  | N/A |   [[2048, 512]]    | bf16  |       3.87       |       3.92        |       3.98       |        8.07        | 1.36e+07 | 2.10e+06 |      7.69%       |    125.44%    |
| 4096  |  512  | N/A |   [[4096, 512]]    | bf16  |       5.11       |       5.15        |       5.2        |       14.14        | 2.73e+07 | 4.19e+06 |      11.65%      |    190.0%     |
| 8192  |  512  | N/A |   [[8192, 512]]    | bf16  |       7.29       |       7.35        |       7.41       |       26.27        | 5.45e+07 | 8.39e+06 |      16.33%      |    266.37%    |
| 16384 |  512  | N/A |   [[16384, 512]]   | bf16  |      12.11       |       12.13       |      12.15       |       50.55        | 1.09e+08 | 1.68e+07 |      19.66%      |    320.69%    |
| 32768 |  512  | N/A |   [[32768, 512]]   | bf16  |      41.42       |       41.65       |       41.9       |       99.09        | 2.18e+08 | 3.36e+07 |      11.5%       |    187.52%    |
|   1   |  768  | N/A |     [[1, 768]]     | bf16  |       1.95       |       1.99        |       2.04       |        2.0         | 9.98e+03 | 1.54e+03 |      0.01%       |     0.18%     |
|   2   |  768  | N/A |     [[2, 768]]     | bf16  |       1.9        |       1.92        |       1.94       |        2.01        | 2.00e+04 | 3.07e+03 |      0.02%       |     0.37%     |
|   4   |  768  | N/A |     [[4, 768]]     | bf16  |       1.9        |       1.93        |       1.95       |        2.02        | 3.99e+04 | 6.14e+03 |      0.05%       |     0.75%     |
|   8   |  768  | N/A |     [[8, 768]]     | bf16  |       1.92       |       1.96        |       2.0        |        2.04        | 7.99e+04 | 1.23e+04 |      0.09%       |     1.48%     |
