Test Case: L40S_aten_mm
| B |  M   |  K   |  N   |         input_shape          | dtype | duration_min(us) | duration_mean(us) | duration_max(us) | theory_latency(us) |  flops   |    io    | flops_efficiency | io_efficiency |
| 1 |  1   |  32  |  32  |     [[1, 32], [32, 32]]      | bf16  |      29.65       |       30.18       |      30.77       |        2.0         | 2.05e+03 | 1.09e+03 |       0.0%       |     0.01%     |
| 1 |  2   |  32  |  32  |     [[2, 32], [32, 32]]      | bf16  |      20.98       |       21.07       |      21.16       |        2.0         | 4.10e+03 | 1.15e+03 |       0.0%       |     0.01%     |
| 1 |  4   |  32  |  32  |     [[4, 32], [32, 32]]      | bf16  |      20.93       |       21.09       |      21.26       |        2.0         | 8.19e+03 | 1.28e+03 |       0.0%       |     0.01%     |
| 1 |  8   |  32  |  32  |     [[8, 32], [32, 32]]      | bf16  |      20.72       |       20.85       |      20.97       |        2.0         | 1.64e+04 | 1.54e+03 |       0.0%       |     0.02%     |
| 1 |  32  |  32  |  32  |     [[32, 32], [32, 32]]     | bf16  |       23.4       |       23.54       |      23.76       |        2.01        | 6.55e+04 | 3.07e+03 |       0.0%       |     0.03%     |
| 1 |  64  |  32  |  32  |     [[64, 32], [32, 32]]     | bf16  |      23.64       |       23.84       |      24.05       |        2.01        | 1.31e+05 | 5.12e+03 |       0.0%       |     0.05%     |
| 1 | 128  |  32  |  32  |    [[128, 32], [32, 32]]     | bf16  |      23.51       |       23.75       |      23.93       |        2.03        | 2.62e+05 | 9.22e+03 |       0.0%       |     0.09%     |
| 1 | 256  |  32  |  32  |    [[256, 32], [32, 32]]     | bf16  |      23.62       |       23.9        |      24.05       |        2.05        | 5.24e+05 | 1.74e+04 |      0.01%       |     0.17%     |
| 1 | 512  |  32  |  32  |    [[512, 32], [32, 32]]     | bf16  |      20.82       |       20.94       |       21.1       |        2.1         | 1.05e+06 | 3.38e+04 |      0.01%       |     0.38%     |
| 1 | 1024 |  32  |  32  |    [[1024, 32], [32, 32]]    | bf16  |      26.72       |       28.66       |      30.22       |        2.19        | 2.10e+06 | 6.66e+04 |      0.02%       |     0.58%     |
| 1 | 2048 |  32  |  32  |    [[2048, 32], [32, 32]]    | bf16  |      27.35       |       28.17       |       29.6       |        2.38        | 4.19e+06 | 1.32e+05 |      0.04%       |     1.12%     |
| 1 |  1   |  64  |  32  |     [[1, 64], [64, 32]]      | bf16  |       20.0       |       20.12       |      20.58       |        2.01        | 4.10e+03 | 2.14e+03 |       0.0%       |     0.02%     |
| 1 |  2   |  64  |  32  |     [[2, 64], [64, 32]]      | bf16  |      20.35       |       20.49       |      20.57       |        2.01        | 8.19e+03 | 2.24e+03 |       0.0%       |     0.03%     |
| 1 |  4   |  64  |  32  |     [[4, 64], [64, 32]]      | bf16  |      20.46       |       20.61       |      20.83       |        2.01        | 1.64e+04 | 2.43e+03 |       0.0%       |     0.03%     |
| 1 |  8   |  64  |  32  |     [[8, 64], [64, 32]]      | bf16  |       20.4       |       20.55       |      20.63       |        2.01        | 3.28e+04 | 2.82e+03 |       0.0%       |     0.03%     |
| 1 |  32  |  64  |  32  |     [[32, 64], [64, 32]]     | bf16  |      23.12       |       23.4        |      23.59       |        2.01        | 1.31e+05 | 5.12e+03 |       0.0%       |     0.05%     |
