Test Case: L40S_aten_mul
|   M   |   N   |  B  |             input_shape              | dtype | duration_min(us) | duration_mean(us) | duration_max(us) | theory_latency(us) |  flops   |    io    | flops_efficiency | io_efficiency |
|   1   |  32   | N/A |           [[1, 32], [32]]            | bf16  |       1.8        |       1.83        |       1.87       |        2.0         | 3.20e+01 | 9.60e+01 |       0.0%       |     0.01%     |
|   2   |  32   | N/A |           [[2, 32], [32]]            | bf16  |       1.96       |        2.0        |       2.04       |        2.0         | 6.40e+01 | 1.92e+02 |       0.0%       |     0.02%     |
|   4   |  32   | N/A |           [[4, 32], [32]]            | bf16  |       1.95       |        2.0        |       2.06       |        2.0         | 1.28e+02 | 3.84e+02 |       0.0%       |     0.05%     |
|   8   |  32   | N/A |           [[8, 32], [32]]            | bf16  |       2.11       |       2.13        |       2.15       |        2.0         | 2.56e+02 | 7.68e+02 |       0.0%       |     0.08%     |
|  16   |  32   | N/A |           [[16, 32], [32]]           | bf16  |       2.43       |       2.47        |       2.53       |        2.0         | 5.12e+02 | 1.54e+03 |       0.0%       |     0.15%     |
|  32   |  32   | N/A |           [[32, 32], [32]]           | bf16  |       2.5        |       2.56        |       2.61       |        2.01        | 1.02e+03 | 3.07e+03 |       0.0%       |     0.28%     |
|  64   |  32   | N/A |           [[64, 32], [32]]           | bf16  |       2.5        |       2.54        |       2.59       |        2.02        | 2.05e+03 | 6.14e+03 |       0.0%       |     0.57%     |
|  128  |  32   | N/A |          [[128, 32], [32]]           | bf16  |       2.57       |       2.65        |       2.76       |        2.04        | 4.10e+03 | 1.23e+04 |       0.0%       |     1.11%     |
|  256  |  32   | N/A |          [[256, 32], [32]]           | bf16  |       2.59       |       2.62        |       2.65       |        2.07        | 8.19e+03 | 2.46e+04 |      0.01%       |     2.2%      |
|  512  |  32   | N/A |          [[512, 32], [32]]           | bf16  |       2.55       |       2.59        |       2.62       |        2.14        | 1.64e+04 | 4.92e+04 |      0.01%       |     4.46%     |
| 1024  |  32   | N/A |          [[1024, 32], [32]]          | bf16  |       2.61       |       2.63        |       2.66       |        2.28        | 3.28e+04 | 9.83e+04 |      0.03%       |     8.72%     |
| 2048  |  32   | N/A |          [[2048, 32], [32]]          | bf16  |       2.74       |       2.77        |       2.81       |        2.57        | 6.55e+04 | 1.97e+05 |      0.05%       |    16.61%     |
| 4096  |  32   | N/A |          [[4096, 32], [32]]          | bf16  |       2.75       |       2.78        |       2.8        |        3.14        | 1.31e+05 | 3.93e+05 |       0.1%       |     33.1%     |
| 8192  |  32   | N/A |          [[8192, 32], [32]]          | bf16  |       2.96       |       2.99        |       3.01       |        4.28        | 2.62e+05 | 7.86e+05 |      0.19%       |     61.5%     |
| 16384 |  32   | N/A |         [[16384, 32], [32]]          | bf16  |       3.36       |       3.37        |       3.38       |        6.55        | 5.24e+05 | 1.57e+06 |      0.34%       |    108.36%    |
