Test Case: L40S_aten_silu
|   M   |   N   |  B  |    input_shape     | dtype | duration_min(us) | duration_mean(us) | duration_max(us) | theory_latency(us) |  flops   |    io    | flops_efficiency | io_efficiency |
|   1   |  32   | N/A |     [[1, 32]]      | bf16  |       1.89       |       1.96        |       2.03       |        2.0         | 4.16e+02 | 6.40e+01 |       0.0%       |     0.01%     |
|   2   |  32   | N/A |     [[2, 32]]      | bf16  |       1.94       |       1.99        |       2.05       |        2.0         | 8.32e+02 | 1.28e+02 |       0.0%       |     0.02%     |
|   4   |  32   | N/A |     [[4, 32]]      | bf16  |       1.9        |       1.94        |       1.99       |        2.0         | 1.66e+03 | 2.56e+02 |       0.0%       |     0.03%     |
|   8   |  32   | N/A |     [[8, 32]]      | bf16  |       2.07       |       2.09        |       2.11       |        2.0         | 3.33e+03 | 5.12e+02 |       0.0%       |     0.06%     |
|  16   |  32   | N/A |     [[16, 32]]     | bf16  |       2.08       |       2.12        |       2.17       |        2.0         | 6.66e+03 | 1.02e+03 |      0.01%       |     0.11%     |
|  32   |  32   | N/A |     [[32, 32]]     | bf16  |       2.09       |       2.12        |       2.15       |        2.01        | 1.33e+04 | 2.05e+03 |      0.01%       |     0.23%     |
|  64   |  32   | N/A |     [[64, 32]]     | bf16  |       2.09       |       2.13        |       2.17       |        2.01        | 2.66e+04 | 4.10e+03 |      0.03%       |     0.45%     |
|  128  |  32   | N/A |    [[128, 32]]     | bf16  |       2.1        |       2.14        |       2.18       |        2.02        | 5.32e+04 | 8.19e+03 |      0.06%       |     0.9%      |
|  256  |  32   | N/A |    [[256, 32]]     | bf16  |       2.27       |       2.33        |       2.4        |        2.05        | 1.06e+05 | 1.64e+04 |       0.1%       |     1.67%     |
|  512  |  32   | N/A |    [[512, 32]]     | bf16  |       2.3        |       2.34        |       2.38       |        2.09        | 2.13e+05 | 3.28e+04 |       0.2%       |     3.3%      |
| 1024  |  32   | N/A |    [[1024, 32]]    | bf16  |       2.29       |       2.31        |       2.34       |        2.19        | 4.26e+05 | 6.55e+04 |      0.41%       |     6.62%     |
| 2048  |  32   | N/A |    [[2048, 32]]    | bf16  |       2.38       |       2.42        |       2.48       |        2.38        | 8.52e+05 | 1.31e+05 |      0.78%       |    12.75%     |
| 4096  |  32   | N/A |    [[4096, 32]]    | bf16  |       2.58       |       2.63        |       2.69       |        2.76        | 1.70e+06 | 2.62e+05 |      1.44%       |    23.52%     |
| 8192  |  32   | N/A |    [[8192, 32]]    | bf16  |       2.78       |       2.81        |       2.85       |        3.52        | 3.41e+06 | 5.24e+05 |      2.68%       |    43.66%     |
| 16384 |  32   | N/A |   [[16384, 32]]    | bf16  |       3.11       |       3.13        |       3.16       |        5.03        | 6.82e+06 | 1.05e+06 |      4.79%       |    78.05%     |
| 32768 |  32   | N/A |   [[32768, 32]]    | bf16  |       3.65       |       3.68        |       3.71       |        8.07        | 1.36e+07 | 2.10e+06 |      8.15%       |    133.0%     |
|   1   |  64   | N/A |     [[1, 64]]      | bf16  |       1.92       |       1.93        |       1.94       |        2.0         | 8.32e+02 | 1.28e+02 |       0.0%       |     0.02%     |
|   2   |  64   | N/A |     [[2, 64]]      | bf16  |       1.93       |       1.96        |       2.0        |        2.0         | 1.66e+03 | 2.56e+02 |       0.0%       |     0.03%     |
|   4   |  64   | N/A |     [[4, 64]]      | bf16  |       2.01       |       2.03        |       2.06       |        2.0         | 3.33e+03 | 5.12e+02 |       0.0%       |     0.06%     |
|   8   |  64   | N/A |     [[8, 64]]      | bf16  |       2.06       |        2.1        |       2.14       |        2.0         | 6.66e+03 | 1.02e+03 |      0.01%       |     0.12%     |
|  16   |  64   | N/A |     [[16, 64]]     | bf16  |       2.16       |       2.18        |       2.2        |        2.01        | 1.33e+04 | 2.05e+03 |      0.01%       |     0.22%     |
|  32   |  64   | N/A |     [[32, 64]]     | bf16  |       2.18       |        2.2        |       2.22       |        2.01        | 2.66e+04 | 4.10e+03 |      0.03%       |     0.43%     |
|  64   |  64   | N/A |     [[64, 64]]     | bf16  |       2.2        |       2.23        |       2.26       |        2.02        | 5.32e+04 | 8.19e+03 |      0.05%       |     0.86%     |
|  128  |  64   | N/A |    [[128, 64]]     | bf16  |       2.19       |       2.22        |       2.24       |        2.05        | 1.06e+05 | 1.64e+04 |      0.11%       |     1.73%     |
|  256  |  64   | N/A |    [[256, 64]]     | bf16  |       2.28       |        2.3        |       2.32       |        2.09        | 2.13e+05 | 3.28e+04 |       0.2%       |     3.33%     |
|  512  |  64   | N/A |    [[512, 64]]     | bf16  |       2.28       |       2.31        |       2.34       |        2.19        | 4.26e+05 | 6.55e+04 |      0.41%       |     6.65%     |
| 1024  |  64   | N/A |    [[1024, 64]]    | bf16  |       2.38       |       2.42        |       2.46       |        2.38        | 8.52e+05 | 1.31e+05 |      0.78%       |    12.75%     |
| 2048  |  64   | N/A |    [[2048, 64]]    | bf16  |       2.59       |       2.63        |       2.67       |        2.76        | 1.70e+06 | 2.62e+05 |      1.44%       |    23.43%     |
| 4096  |  64   | N/A |    [[4096, 64]]    | bf16  |       2.73       |       2.76        |       2.79       |        3.52        | 3.41e+06 | 5.24e+05 |      2.73%       |    44.46%     |
| 8192  |  64   | N/A |    [[8192, 64]]    | bf16  |       3.04       |       3.07        |       3.1        |        5.03        | 6.82e+06 | 1.05e+06 |       4.9%       |    79.84%     |
| 16384 |  64   | N/A |   [[16384, 64]]    | bf16  |       3.76       |        3.8        |       3.84       |        8.07        | 1.36e+07 | 2.10e+06 |      7.92%       |    129.11%    |
| 32768 |  64   | N/A |   [[32768, 64]]    | bf16  |       4.74       |       4.77        |       4.81       |       14.14        | 2.73e+07 | 4.19e+06 |      12.56%      |    204.83%    |
|   1   |  128  | N/A |     [[1, 128]]     | bf16  |       1.92       |       1.98        |       2.04       |        2.0         | 1.66e+03 | 2.56e+02 |       0.0%       |     0.03%     |
|   2   |  128  | N/A |     [[2, 128]]     | bf16  |       2.08       |       2.11        |       2.15       |        2.0         | 3.33e+03 | 5.12e+02 |       0.0%       |     0.06%     |
|   4   |  128  | N/A |     [[4, 128]]     | bf16  |       1.96       |       1.97        |       1.98       |        2.0         | 6.66e+03 | 1.02e+03 |      0.01%       |     0.12%     |
|   8   |  128  | N/A |     [[8, 128]]     | bf16  |       2.15       |        2.2        |       2.26       |        2.01        | 1.33e+04 | 2.05e+03 |      0.01%       |     0.22%     |
