Test Case: L40S_aten_slice
|   M   |  N   |  B  | dim | end | start | step |    input_shape     | dtype | duration_min(us) | duration_mean(us) | duration_max(us) | theory_latency(us) |  flops   |    io    | flops_efficiency | io_efficiency |
|  32   |  32  | N/A |  0  |  8  |   0   |  1   |     [[32, 32]]     | bf16  |       1.39       |       1.43        |       1.46       |        2.0         | 0.00e+00 | 1.02e+03 |        0%        |     0.17%     |
|  64   |  32  | N/A |  0  |  8  |   0   |  1   |     [[64, 32]]     | bf16  |       1.38       |       1.43        |       1.47       |        2.01        | 0.00e+00 | 2.05e+03 |        0%        |     0.34%     |
|  128  |  32  | N/A |  0  |  8  |   0   |  1   |    [[128, 32]]     | bf16  |       1.41       |       1.45        |       1.54       |        2.01        | 0.00e+00 | 4.10e+03 |        0%        |     0.67%     |
|  256  |  32  | N/A |  0  |  8  |   0   |  1   |    [[256, 32]]     | bf16  |       1.37       |       1.41        |       1.44       |        2.02        | 0.00e+00 | 8.19e+03 |        0%        |     1.38%     |
|  512  |  32  | N/A |  0  |  8  |   0   |  1   |    [[512, 32]]     | bf16  |       1.41       |       1.44        |       1.5        |        2.05        | 0.00e+00 | 1.64e+04 |        0%        |     2.69%     |
| 1024  |  32  | N/A |  0  |  8  |   0   |  1   |    [[1024, 32]]    | bf16  |       1.42       |       1.46        |       1.49       |        2.09        | 0.00e+00 | 3.28e+04 |        0%        |     5.34%     |
| 2048  |  32  | N/A |  0  |  8  |   0   |  1   |    [[2048, 32]]    | bf16  |       1.37       |       1.42        |       1.5        |        2.19        | 0.00e+00 | 6.55e+04 |        0%        |    11.07%     |
| 4096  |  32  | N/A |  0  |  8  |   0   |  1   |    [[4096, 32]]    | bf16  |       1.41       |       1.44        |       1.48       |        2.38        | 0.00e+00 | 1.31e+05 |        0%        |    21.52%     |
| 8192  |  32  | N/A |  0  |  8  |   0   |  1   |    [[8192, 32]]    | bf16  |       1.39       |       1.42        |       1.46       |        2.76        | 0.00e+00 | 2.62e+05 |        0%        |    43.66%     |
| 16384 |  32  | N/A |  0  |  8  |   0   |  1   |   [[16384, 32]]    | bf16  |       1.42       |       1.45        |       1.52       |        3.52        | 0.00e+00 | 5.24e+05 |        0%        |    85.47%     |
| 32768 |  32  | N/A |  0  |  8  |   0   |  1   |   [[32768, 32]]    | bf16  |       1.39       |       1.42        |       1.44       |        5.03        | 0.00e+00 | 1.05e+06 |        0%        |    174.62%    |
|  32   |  64  | N/A |  0  |  8  |   0   |  1   |     [[32, 64]]     | bf16  |       1.4        |       1.44        |       1.49       |        2.01        | 0.00e+00 | 2.05e+03 |        0%        |     0.34%     |
|  64   |  64  | N/A |  0  |  8  |   0   |  1   |     [[64, 64]]     | bf16  |       1.38       |       1.43        |       1.47       |        2.01        | 0.00e+00 | 4.10e+03 |        0%        |     0.69%     |
|  128  |  64  | N/A |  0  |  8  |   0   |  1   |    [[128, 64]]     | bf16  |       1.4        |       1.43        |       1.46       |        2.02        | 0.00e+00 | 8.19e+03 |        0%        |     1.35%     |
|  256  |  64  | N/A |  0  |  8  |   0   |  1   |    [[256, 64]]     | bf16  |       1.42       |       1.45        |       1.5        |        2.05        | 0.00e+00 | 1.64e+04 |        0%        |     2.67%     |
|  512  |  64  | N/A |  0  |  8  |   0   |  1   |    [[512, 64]]     | bf16  |       1.38       |       1.43        |       1.47       |        2.09        | 0.00e+00 | 3.28e+04 |        0%        |     5.5%      |
| 1024  |  64  | N/A |  0  |  8  |   0   |  1   |    [[1024, 64]]    | bf16  |       1.38       |       1.45        |       1.53       |        2.19        | 0.00e+00 | 6.55e+04 |        0%        |    10.99%     |
| 2048  |  64  | N/A |  0  |  8  |   0   |  1   |    [[2048, 64]]    | bf16  |       1.42       |       1.46        |       1.5        |        2.38        | 0.00e+00 | 1.31e+05 |        0%        |    21.37%     |
| 4096  |  64  | N/A |  0  |  8  |   0   |  1   |    [[4096, 64]]    | bf16  |       2.35       |       2.37        |       2.43       |        2.76        | 0.00e+00 | 2.62e+05 |        0%        |    25.82%     |
| 8192  |  64  | N/A |  0  |  8  |   0   |  1   |    [[8192, 64]]    | bf16  |       1.4        |       1.44        |       1.46       |        3.52        | 0.00e+00 | 5.24e+05 |        0%        |    86.69%     |
