Test Case: H20SXM_aten-_softmax
|   _tensor    |   strides   | dtype | status  | b_device | b_dtype | rtol  | atol  |     cosine_sim     |      max_abs_err       | rel_err_hundredth | rel_err_thousandth | rel_err_ten_thousandth | error_rate |          eb          |          rmse          | small_value_err_ratio |     max_rel_error      |     mean_rel_error     | max_ulp_error | mean_ulp_error | ulp_error_proportion |                      message                       |
| [32, 129280] | [129280, 1] | Float | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999999999999957 | 5.4610809255804804e-11 |                   |                    |                        |            | 0.01401391359839109  | 1.1705264226306058e-12 |          0.0          | 4.646375250730333e-07  | 1.0990798770011971e-07 |   9.807531    |   1.3492413    |         0.0          | Max abs error is less than 0.001, consider as pass |
| [32, 129280] | [129280, 1] | Float | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999999999999961 | 5.305224076886106e-11  |                   |                    |                        |            | 0.004367699953589109 |  1.15158427848081e-12  |          0.0          |  4.84571821979082e-07  | 1.1050924507397629e-07 |   9.400491    |   1.3544377    |         0.0          | Max abs error is less than 0.001, consider as pass |
| [32, 129280] | [129280, 1] | Float | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.999999999999996  | 6.911667798422533e-11  |                   |                    |                        |            | 0.035849996132425746 | 1.1553088831381094e-12 |          0.0          | 5.050309462914583e-07  | 1.0877924290974829e-07 |   9.770241    |   1.3340023    |         0.0          | Max abs error is less than 0.001, consider as pass |
| [32, 129280] | [129280, 1] | Float | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999999999999964 | 5.2022846696708064e-11 |                   |                    |                        |            |  0.0246980874845297  | 1.1810713040621334e-12 |          0.0          | 4.6393243888282263e-07 | 1.115372564719824e-07  |   10.077912   |   1.3678064    |         0.0          | Max abs error is less than 0.001, consider as pass |
| [32, 129280] | [129280, 1] | Float | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999999999999961 |  7.79258567396024e-11  |                   |                    |                        |            | 0.05910668703589109  | 1.1963491657495693e-12 |          0.0          | 5.095287712127762e-07  |  1.12136591287225e-07  |   9.675604    |   1.3751743    |         0.0          | Max abs error is less than 0.001, consider as pass |
| [32, 129280] | [129280, 1] | Float | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999999999999959 | 5.989678403869186e-11  |                   |                    |                        |            | 0.001562741723391089 | 1.1478028156354504e-12 |          0.0          | 5.195754774088957e-07  | 1.0885732971250799e-07 |   9.921682    |   1.3357311    |         0.0          | Max abs error is less than 0.001, consider as pass |
| [32, 129280] | [129280, 1] | Float | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999999999999958 | 5.135081563526628e-11  |                   |                    |                        |            | 0.016409875850866337 | 1.2413060650693561e-12 |          0.0          | 4.975283130553253e-07  | 1.1279470193954569e-07 |   9.678863    |   1.3828068    |         0.0          | Max abs error is less than 0.001, consider as pass |
| [32, 129280] | [129280, 1] | Float | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999999999999964 | 5.0197711818408125e-11 |                   |                    |                        |            | 0.030004157642326734 | 1.1738287071590417e-12 |          0.0          | 4.750158955970705e-07  | 1.1036015331223313e-07 |   9.748872    |   1.3539457    |         0.0          | Max abs error is less than 0.001, consider as pass |
| [32, 129280] | [129280, 1] | Float | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999999999999962 | 4.337637958236676e-11  |                   |                    |                        |            | 0.03952685063428218  | 1.1527069689251176e-12 |          0.0          | 4.846702155146769e-07  | 1.0894098822393838e-07 |   9.067427    |   1.3361081    |         0.0          | Max abs error is less than 0.001, consider as pass |
| [32, 129280] | [129280, 1] | Float | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.999999999999996  | 9.134398511016772e-11  |                   |                    |                        |            | 0.060546149829826736 | 1.2309145497876184e-12 |          0.0          | 5.131479356106582e-07  | 1.1256945293065361e-07 |   9.032048    |    1.37967     |         0.0          | Max abs error is less than 0.001, consider as pass |
| [32, 129280] | [129280, 1] | Float | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999999999999957 | 5.4610809255804804e-11 |                   |                    |                        |            | 0.01401391359839109  | 1.1705264226306058e-12 |          0.0          | 4.646375250730333e-07  | 1.0990798770011971e-07 |   9.807531    |   1.3492413    |         0.0          | Max abs error is less than 0.001, consider as pass |
| [32, 129280] | [129280, 1] | Float | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999999999999961 | 5.305224076886106e-11  |                   |                    |                        |            | 0.004367699953589109 |  1.15158427848081e-12  |          0.0          |  4.84571821979082e-07  | 1.1050924507397629e-07 |   9.400491    |   1.3544377    |         0.0          | Max abs error is less than 0.001, consider as pass |
| [32, 129280] | [129280, 1] | Float | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.999999999999996  | 6.911667798422533e-11  |                   |                    |                        |            | 0.035849996132425746 | 1.1553088831381094e-12 |          0.0          | 5.050309462914583e-07  | 1.0877924290974829e-07 |   9.770241    |   1.3340023    |         0.0          | Max abs error is less than 0.001, consider as pass |
| [32, 129280] | [129280, 1] | Float | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999999999999964 | 5.2022846696708064e-11 |                   |                    |                        |            |  0.0246980874845297  | 1.1810713040621334e-12 |          0.0          | 4.6393243888282263e-07 | 1.115372564719824e-07  |   10.077912   |   1.3678064    |         0.0          | Max abs error is less than 0.001, consider as pass |
| [32, 129280] | [129280, 1] | Float | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999999999999961 |  7.79258567396024e-11  |                   |                    |                        |            | 0.05910668703589109  | 1.1963491657495693e-12 |          0.0          | 5.095287712127762e-07  |  1.12136591287225e-07  |   9.675604    |   1.3751743    |         0.0          | Max abs error is less than 0.001, consider as pass |
| [32, 129280] | [129280, 1] | Float | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999999999999959 | 5.989678403869186e-11  |                   |                    |                        |            | 0.001562741723391089 | 1.1478028156354504e-12 |          0.0          | 5.195754774088957e-07  | 1.0885732971250799e-07 |   9.921682    |   1.3357311    |         0.0          | Max abs error is less than 0.001, consider as pass |
| [32, 129280] | [129280, 1] | Float | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999999999999958 | 5.135081563526628e-11  |                   |                    |                        |            | 0.016409875850866337 | 1.2413060650693561e-12 |          0.0          | 4.975283130553253e-07  | 1.1279470193954569e-07 |   9.678863    |   1.3828068    |         0.0          | Max abs error is less than 0.001, consider as pass |
| [32, 129280] | [129280, 1] | Float | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999999999999964 | 5.0197711818408125e-11 |                   |                    |                        |            | 0.030004157642326734 | 1.1738287071590417e-12 |          0.0          | 4.750158955970705e-07  | 1.1036015331223313e-07 |   9.748872    |   1.3539457    |         0.0          | Max abs error is less than 0.001, consider as pass |
| [32, 129280] | [129280, 1] | Float | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999999999999962 | 4.337637958236676e-11  |                   |                    |                        |            | 0.03952685063428218  | 1.1527069689251176e-12 |          0.0          | 4.846702155146769e-07  | 1.0894098822393838e-07 |   9.067427    |   1.3361081    |         0.0          | Max abs error is less than 0.001, consider as pass |
| [32, 129280] | [129280, 1] | Float | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.999999999999996  | 9.134398511016772e-11  |                   |                    |                        |            | 0.060546149829826736 | 1.2309145497876184e-12 |          0.0          | 5.131479356106582e-07  | 1.1256945293065361e-07 |   9.032048    |    1.37967     |         0.0          | Max abs error is less than 0.001, consider as pass |
