Test Case: H20SXM_aten-add
| _tensor | strides | _tensor_1 | precision_1 | strides_1 | dtype | status  | b_device | b_dtype | rtol  | atol  |     cosine_sim     |      max_abs_err       | rel_err_hundredth | rel_err_thousandth | rel_err_ten_thousandth | error_rate | eb  |          rmse          | small_value_err_ratio |     max_rel_error      |     mean_rel_error     | max_ulp_error | mean_ulp_error | ulp_error_proportion |                      message                       |
|  [32]   |   [1]   |   [32]    |    Float    |    [1]    | Float | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999999999999994 | 1.1920928955078125e-07 |                   |                    |                        |            | 0.0 | 5.179359057001898e-08  |           0           | 5.9500756522368805e-08 | 1.8072576000377436e-08 |      0.5      |   0.18652344   |         0.0          | Max abs error is less than 0.001, consider as pass |
|  [32]   |   [1]   |   [32]    |    Float    |    [1]    | Float | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999999999999997 | 1.1920928955078125e-07 |                   |                    |                        |            | 0.0 | 3.4533315298547754e-08 |           0           | 4.287318048901576e-08  | 1.4918326464918838e-08 |      0.5      |   0.18896484   |         0.0          | Max abs error is less than 0.001, consider as pass |
|  [32]   |   [1]   |   [32]    |    Float    |    [1]    | Float | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999999999999999 | 1.1920928955078125e-07 |                   |                    |                        |            | 0.0 | 3.699558819512257e-08  |           0           | 5.5745725905512655e-08 | 1.6555521503300025e-08 |      0.5      |   0.19018555   |         0.0          | Max abs error is less than 0.001, consider as pass |
|  [32]   |   [1]   |   [32]    |    Float    |    [1]    | Float | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999999999999998 | 1.1920928955078125e-07 |                   |                    |                        |            | 0.0 | 3.026049296143605e-08  |           0           | 3.651827865834911e-08  | 1.0030109970762624e-08 |      0.5      |   0.12060547   |         0.0          | Max abs error is less than 0.001, consider as pass |
|  [32]   |   [1]   |   [32]    |    Float    |    [1]    | Float | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999999999999998 | 2.384185791015625e-07  |                   |                    |                        |            | 0.0 | 5.7240292452817496e-08 |           0           | 5.475115463341228e-08  | 1.6418631755176857e-08 |      0.5      |   0.18847656   |         0.0          | Max abs error is less than 0.001, consider as pass |
|  [32]   |   [1]   |   [32]    |    Float    |    [1]    | Float | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999999999999999 | 1.1920928955078125e-07 |                   |                    |                        |            | 0.0 | 3.1754123782912034e-08 |           0           | 5.058297858346313e-08  | 1.4848644094819887e-08 |      0.5      |   0.17480469   |         0.0          | Max abs error is less than 0.001, consider as pass |
|  [32]   |   [1]   |   [32]    |    Float    |    [1]    | Float | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999999999999998 | 8.195638656616211e-08  |                   |                    |                        |            | 0.0 | 3.086363360372355e-08  |           0           | 5.6933345684073766e-08 | 1.4822393341956219e-08 |      0.5      |   0.17578125   |         0.0          | Max abs error is less than 0.001, consider as pass |
|  [32]   |   [1]   |   [32]    |    Float    |    [1]    | Float | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 |        1.0         | 5.960464477539063e-08  |                   |                    |                        |            | 0.0 | 2.454467524465358e-08  |           0           | 5.539169768186297e-08  | 1.722052608616598e-08  |      0.5      |   0.17578125   |         0.0          | Max abs error is less than 0.001, consider as pass |
|  [32]   |   [1]   |   [32]    |    Float    |    [1]    | Float | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999999999999996 | 1.1920928955078125e-07 |                   |                    |                        |            | 0.0 | 3.828816188581346e-08  |           0           | 5.720569514730381e-08  | 1.6670345831087645e-08 |      0.5      |   0.17773438   |         0.0          | Max abs error is less than 0.001, consider as pass |
|  [32]   |   [1]   |   [32]    |    Float    |    [1]    | Float | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999999999999998 | 2.384185791015625e-07  |                   |                    |                        |            | 0.0 | 5.293659924400662e-08  |           0           | 5.698666483549516e-08  | 1.5217033005163907e-08 |      0.5      |   0.15722656   |         0.0          | Max abs error is less than 0.001, consider as pass |
