Test Case: H20SXM_aten-bmm
|    _tensor     |     strides     |    _tensor_1    | precision_1 |    strides_1    |  dtype   | status  | b_device | b_dtype |  rtol  | atol  |     cosine_sim     | max_abs_err | rel_err_hundredth | rel_err_thousandth  | rel_err_ten_thousandth | error_rate |          eb           |         rmse         | small_value_err_ratio | max_rel_error | mean_rel_error | max_ulp_error | mean_ulp_error | ulp_error_proportion |                          message                          |
| [128, 32, 512] | [512, 65536, 1] | [128, 512, 128] |  bfloat16   | [65536, 128, 1] | bfloat16 | Warning |   cpu    |  fp32   | 0.0039 | 1e-05 | 0.9999986267347053 | 0.24987793  |        1.0        | 0.36929893493652344 |                        |            | 0.0026111602783203125 | 0.03687112485410911  |        0.0625         |  0.003888317  |  0.0014083214  |     56.0      |   0.25029773   | 2.09808349609375e-05 | Relative error is greater than 0.001, consider as warning |
| [128, 32, 512] | [512, 65536, 1] | [128, 512, 128] |  bfloat16   | [65536, 128, 1] | bfloat16 | Warning |   cpu    |  fp32   | 0.0039 | 1e-05 | 0.999998621136959  | 0.24990082  |        1.0        |  0.369415283203125  |                        |            |  0.00074005126953125  | 0.03705638200416427  |         0.125         | 0.0038895132  |  0.0014083937  |     60.0      |   0.25038382   | 2.09808349609375e-05 | Relative error is greater than 0.001, consider as warning |
| [128, 32, 512] | [512, 65536, 1] | [128, 512, 128] |  bfloat16   | [65536, 128, 1] | bfloat16 | Warning |   cpu    |  fp32   | 0.0039 | 1e-05 | 0.9999986267340568 |  0.2498169  |        1.0        | 0.3678741455078125  |                        |            |  0.00200653076171875  | 0.03692251858247552  |          0.0          |  0.003889632  |  0.0014108123  |      8.0      |   0.25071478   | 1.71661376953125e-05 | Relative error is greater than 0.001, consider as warning |
| [128, 32, 512] | [512, 65536, 1] | [128, 512, 128] |  bfloat16   | [65536, 128, 1] | bfloat16 | Warning |   cpu    |  fp32   | 0.0039 | 1e-05 | 0.9999986320952124 | 0.24996948  |        1.0        |  0.370391845703125  |                        |            | 0.0001506805419921875 | 0.03687964466957475  |          0.0          | 0.0038884487  |  0.0014062545  |      7.0      |   0.24979185   | 1.33514404296875e-05 | Relative error is greater than 0.001, consider as warning |
| [128, 32, 512] | [512, 65536, 1] | [128, 512, 128] |  bfloat16   | [65536, 128, 1] | bfloat16 | Warning |   cpu    |  fp32   | 0.0039 | 1e-05 | 0.9999986312414402 | 0.24995422  |        1.0        | 0.3701286315917969  |                        |            | 0.0016117095947265625 | 0.036892889423771086 |  0.06896551724137931  | 0.0038901044  |  0.0014069839  |     112.0     |   0.25028345   |  2.288818359375e-05  | Relative error is greater than 0.001, consider as warning |
| [128, 32, 512] | [512, 65536, 1] | [128, 512, 128] |  bfloat16   | [65536, 128, 1] | bfloat16 | Warning |   cpu    |  fp32   | 0.0039 | 1e-05 | 0.9999986312539979 | 0.24980164  |        1.0        | 0.36908912658691406 |                        |            |     0.00244140625     | 0.03683413690852932  |          0.0          |  0.003888568  |  0.0014075644  |      4.0      |   0.24996452   | 1.9073486328125e-05  | Relative error is greater than 0.001, consider as warning |
| [128, 32, 512] | [512, 65536, 1] | [128, 512, 128] |  bfloat16   | [65536, 128, 1] | bfloat16 | Warning |   cpu    |  fp32   | 0.0039 | 1e-05 | 0.9999986263486604 | 0.24975586  |        1.0        | 0.3687629699707031  |                        |            |   0.00128173828125    | 0.03696968123625266  |          0.0          | 0.0038892704  |  0.001409474   |     26.0      |   0.25055233   |  2.288818359375e-05  | Relative error is greater than 0.001, consider as warning |
| [128, 32, 512] | [512, 65536, 1] | [128, 512, 128] |  bfloat16   | [65536, 128, 1] | bfloat16 | Warning |   cpu    |  fp32   | 0.0039 | 1e-05 | 0.999998632676827  | 0.24986267  |        1.0        | 0.3699150085449219  |                        |            | 0.0003681182861328125 | 0.036872663806586825 |          0.0          | 0.0038899817  |  0.0014067807  |      6.0      |   0.24997099   | 1.33514404296875e-05 | Relative error is greater than 0.001, consider as warning |
| [128, 32, 512] | [512, 65536, 1] | [128, 512, 128] |  bfloat16   | [65536, 128, 1] | bfloat16 | Warning |   cpu    |  fp32   | 0.0039 | 1e-05 | 0.9999986259370415 | 0.24988556  |        1.0        | 0.36994171142578125 |                        |            | 0.0012302398681640625 | 0.03691574917423978  |         0.05          | 0.0038886704  |  0.0014076257  |     11.0      |   0.2500154    | 1.9073486328125e-05  | Relative error is greater than 0.001, consider as warning |
| [128, 32, 512] | [512, 65536, 1] | [128, 512, 128] |  bfloat16   | [65536, 128, 1] | bfloat16 | Warning |   cpu    |  fp32   | 0.0039 | 1e-05 | 0.9999986295040576 | 0.24952698  |        1.0        | 0.37012672424316406 |                        |            | 0.0004558563232421875 | 0.03695046213867493  |        0.0625         | 0.0038909323  |  0.0014081986  |     10.0      |   0.25019598   |  2.288818359375e-05  | Relative error is greater than 0.001, consider as warning |
| [128, 32, 512] | [512, 65536, 1] | [128, 512, 128] |  bfloat16   | [65536, 128, 1] | bfloat16 | Warning |   cpu    |  fp32   | 0.0039 | 1e-05 | 0.9999986267347053 | 0.24987793  |        1.0        | 0.36929893493652344 |                        |            | 0.0026111602783203125 | 0.03687112485410911  |        0.0625         |  0.003888317  |  0.0014083214  |     56.0      |   0.25029773   | 2.09808349609375e-05 | Relative error is greater than 0.001, consider as warning |
| [128, 32, 512] | [512, 65536, 1] | [128, 512, 128] |  bfloat16   | [65536, 128, 1] | bfloat16 | Warning |   cpu    |  fp32   | 0.0039 | 1e-05 | 0.999998621136959  | 0.24990082  |        1.0        |  0.369415283203125  |                        |            |  0.00074005126953125  | 0.03705638200416427  |         0.125         | 0.0038895132  |  0.0014083937  |     60.0      |   0.25038382   | 2.09808349609375e-05 | Relative error is greater than 0.001, consider as warning |
| [128, 32, 512] | [512, 65536, 1] | [128, 512, 128] |  bfloat16   | [65536, 128, 1] | bfloat16 | Warning |   cpu    |  fp32   | 0.0039 | 1e-05 | 0.9999986267340568 |  0.2498169  |        1.0        | 0.3678741455078125  |                        |            |  0.00200653076171875  | 0.03692251858247552  |          0.0          |  0.003889632  |  0.0014108123  |      8.0      |   0.25071478   | 1.71661376953125e-05 | Relative error is greater than 0.001, consider as warning |
| [128, 32, 512] | [512, 65536, 1] | [128, 512, 128] |  bfloat16   | [65536, 128, 1] | bfloat16 | Warning |   cpu    |  fp32   | 0.0039 | 1e-05 | 0.9999986320952124 | 0.24996948  |        1.0        |  0.370391845703125  |                        |            | 0.0001506805419921875 | 0.03687964466957475  |          0.0          | 0.0038884487  |  0.0014062545  |      7.0      |   0.24979185   | 1.33514404296875e-05 | Relative error is greater than 0.001, consider as warning |
| [128, 32, 512] | [512, 65536, 1] | [128, 512, 128] |  bfloat16   | [65536, 128, 1] | bfloat16 | Warning |   cpu    |  fp32   | 0.0039 | 1e-05 | 0.9999986312414402 | 0.24995422  |        1.0        | 0.3701286315917969  |                        |            | 0.0016117095947265625 | 0.036892889423771086 |  0.06896551724137931  | 0.0038901044  |  0.0014069839  |     112.0     |   0.25028345   |  2.288818359375e-05  | Relative error is greater than 0.001, consider as warning |
| [128, 32, 512] | [512, 65536, 1] | [128, 512, 128] |  bfloat16   | [65536, 128, 1] | bfloat16 | Warning |   cpu    |  fp32   | 0.0039 | 1e-05 | 0.9999986312539979 | 0.24980164  |        1.0        | 0.36908912658691406 |                        |            |     0.00244140625     | 0.03683413690852932  |          0.0          |  0.003888568  |  0.0014075644  |      4.0      |   0.24996452   | 1.9073486328125e-05  | Relative error is greater than 0.001, consider as warning |
| [128, 32, 512] | [512, 65536, 1] | [128, 512, 128] |  bfloat16   | [65536, 128, 1] | bfloat16 | Warning |   cpu    |  fp32   | 0.0039 | 1e-05 | 0.9999986263486604 | 0.24975586  |        1.0        | 0.3687629699707031  |                        |            |   0.00128173828125    | 0.03696968123625266  |          0.0          | 0.0038892704  |  0.001409474   |     26.0      |   0.25055233   |  2.288818359375e-05  | Relative error is greater than 0.001, consider as warning |
| [128, 32, 512] | [512, 65536, 1] | [128, 512, 128] |  bfloat16   | [65536, 128, 1] | bfloat16 | Warning |   cpu    |  fp32   | 0.0039 | 1e-05 | 0.999998632676827  | 0.24986267  |        1.0        | 0.3699150085449219  |                        |            | 0.0003681182861328125 | 0.036872663806586825 |          0.0          | 0.0038899817  |  0.0014067807  |      6.0      |   0.24997099   | 1.33514404296875e-05 | Relative error is greater than 0.001, consider as warning |
| [128, 32, 512] | [512, 65536, 1] | [128, 512, 128] |  bfloat16   | [65536, 128, 1] | bfloat16 | Warning |   cpu    |  fp32   | 0.0039 | 1e-05 | 0.9999986259370415 | 0.24988556  |        1.0        | 0.36994171142578125 |                        |            | 0.0012302398681640625 | 0.03691574917423978  |         0.05          | 0.0038886704  |  0.0014076257  |     11.0      |   0.2500154    | 1.9073486328125e-05  | Relative error is greater than 0.001, consider as warning |
| [128, 32, 512] | [512, 65536, 1] | [128, 512, 128] |  bfloat16   | [65536, 128, 1] | bfloat16 | Warning |   cpu    |  fp32   | 0.0039 | 1e-05 | 0.9999986295040576 | 0.24952698  |        1.0        | 0.37012672424316406 |                        |            | 0.0004558563232421875 | 0.03695046213867493  |        0.0625         | 0.0038909323  |  0.0014081986  |     10.0      |   0.25019598   |  2.288818359375e-05  | Relative error is greater than 0.001, consider as warning |
