Test Case: H20SXM_aten-cos
|   _tensor    | strides | dtype | status  | b_device | b_dtype | rtol  | atol  |     cosine_sim     |      max_abs_err      | rel_err_hundredth | rel_err_thousandth | rel_err_ten_thousandth | error_rate |         eb          |          rmse          | small_value_err_ratio |     max_rel_error      |     mean_rel_error     | max_ulp_error | mean_ulp_error | ulp_error_proportion |                      message                       |
| [163840, 32] | [32, 1] | Float | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999999999999977 | 8.01267233674352e-08  |                   |                    |                        |            | 0.1017568588256836  | 1.837329810738525e-08  |          0.0          | 1.1480282032627664e-07 | 2.3211927123747754e-08 |   1.4390881   |   0.3039375    |         0.0          | Max abs error is less than 0.001, consider as pass |
| [163840, 32] | [32, 1] | Float | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999999999999972 | 7.862435058569872e-08 |                   |                    |                        |            | 0.10239486694335938 | 1.838624998780283e-08  |          0.0          | 1.1509123427714619e-07 | 2.3218392335207633e-08 |   1.4212694   |   0.30403814   |         0.0          | Max abs error is less than 0.001, consider as pass |
| [163840, 32] | [32, 1] | Float | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999999999999973 | 8.279049357184931e-08 |                   |                    |                        |            | 0.10185527801513672 | 1.8370747073860987e-08 |          0.0          | 1.1456965315123585e-07 | 2.3202979369369726e-08 |   1.4326559   |   0.3038206    |         0.0          | Max abs error is less than 0.001, consider as pass |
| [163840, 32] | [32, 1] | Float | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999999999999977 | 8.446441845944008e-08 |                   |                    |                        |            | 0.10211734771728516 | 1.837904432738149e-08  |          0.0          | 1.1568258248787414e-07 | 2.3216501113134907e-08 |   1.4326559   |   0.30404437   |         0.0          | Max abs error is less than 0.001, consider as pass |
| [163840, 32] | [32, 1] | Float | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.999999999999997  | 8.149201735641043e-08 |                   |                    |                        |            | 0.10212726593017578 | 1.8380426170980175e-08 |          0.0          | 1.1480282032627664e-07 | 2.321777515459794e-08  |   1.4390881   |   0.30407363   |         0.0          | Max abs error is less than 0.001, consider as pass |
| [163840, 32] | [32, 1] | Float | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999999999999973 | 8.071191903713526e-08 |                   |                    |                        |            | 0.10188560485839844 | 1.8371742005689948e-08 |          0.0          | 1.1448981776131283e-07 | 2.3223057129221752e-08 |   1.4306499   |   0.30403385   |         0.0          | Max abs error is less than 0.001, consider as pass |
| [163840, 32] | [32, 1] | Float | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999999999999974 | 7.780094835041496e-08 |                   |                    |                        |            | 0.10207118988037109 | 1.837375881533865e-08  |          0.0          | 1.1500519113076101e-07 | 2.3209800955649984e-08 |   1.4319426   |   0.3039649    |         0.0          | Max abs error is less than 0.001, consider as pass |
| [163840, 32] | [32, 1] | Float | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999999999999974 | 8.336839230072002e-08 |                   |                    |                        |            | 0.10198040008544922 | 1.8383432533538654e-08 |          0.0          | 1.1480282032627664e-07 | 2.3219598593299056e-08 |   1.4390881   |   0.30403906   |         0.0          | Max abs error is less than 0.001, consider as pass |
| [163840, 32] | [32, 1] | Float | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999999999999967 | 8.084600622293436e-08 |                   |                    |                        |            | 0.10191478729248046 | 1.838116091557059e-08  |          0.0          | 1.1513220398490827e-07 | 2.3214836530395432e-08 |   1.4390881   |   0.30403173   |         0.0          | Max abs error is less than 0.001, consider as pass |
| [163840, 32] | [32, 1] | Float | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.999999999999997  | 7.93319751002386e-08  |                   |                    |                        |            | 0.10208702087402344 | 1.838093014066675e-08  |          0.0          | 1.1509123427714619e-07 | 2.3218455844006488e-08 |   1.4256015   |   0.3040374    |         0.0          | Max abs error is less than 0.001, consider as pass |
