Test Case: H20SXM_aten-cumsum
|    _tensor    |   strides   | distributions | dtype | status  | b_device | b_dtype | rtol  | atol  |     cosine_sim     |      max_abs_err       | rel_err_hundredth | rel_err_thousandth | rel_err_ten_thousandth | error_rate |          eb          |          rmse          | small_value_err_ratio |   max_rel_error    |     mean_rel_error     | max_ulp_error | mean_ulp_error | ulp_error_proportion |                      message                       |
| [256, 129280] | [129280, 1] | _input_normal | Float | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999999999998623 | 1.043704656389366e-05  |                   |                    |                        |            | 0.010455745281559407 | 1.1784031770917953e-06 |          1.0          | 0.9180973048845827 | 2.2923659906556267e-06 | 3816299500.0  |   151.36818    | 0.06073632570776609  | Max abs error is less than 0.001, consider as pass |
| [256, 129280] | [129280, 1] | _input_normal | Float | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999999999998632 | 1.2477310228575789e-05 |                   |                    |                        |            | 0.07825960971341275  | 1.111992865386827e-06  |          0.9          | 2.4021670269490896 | 2.6758586580129006e-06 |  51701180.0   |   37.292046    | 0.06418877025642017  | Max abs error is less than 0.001, consider as pass |
| [256, 129280] | [129280, 1] | _input_normal | Float | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999999999998301 | 1.2001290638607998e-05 |                   |                    |                        |            | 0.03751982131806931  | 1.2677354233882407e-06 |          1.0          |  1.41092805821756  | 2.177470584661088e-06  |  88498030.0   |   32.802307    |  0.0574532688254177  | Max abs error is less than 0.001, consider as pass |
| [256, 129280] | [129280, 1] | _input_normal | Float | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999999999998285 | 9.316516344171077e-06  |                   |                    |                        |            | 0.04132110293548886  | 1.178617408522586e-06  |          1.0          | 1.2482702411227407 | 2.788668931054757e-06  |  222336180.0  |    54.36098    | 0.06807698164836015  | Max abs error is less than 0.001, consider as pass |
| [256, 129280] | [129280, 1] | _input_normal | Float | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.999999999999856  | 8.865260696211408e-06  |                   |                    |                        |            | 0.05676565642404084  | 1.0505374122181806e-06 |          1.0          | 1.4742361911609063 | 2.6161222830038704e-06 | 23609400000.0 |    753.3648    | 0.06853719276956993  | Max abs error is less than 0.001, consider as pass |
| [256, 129280] | [129280, 1] | _input_normal | Float | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999999999998593 | 9.491454214582973e-06  |                   |                    |                        |            | 0.009523871393487005 | 1.171738564657021e-06  |          1.0          | 0.9020507964115697 | 2.4769495409115913e-06 |  213269800.0  |   45.845528    | 0.058878318862159655 | Max abs error is less than 0.001, consider as pass |
| [256, 129280] | [129280, 1] | _input_normal | Float | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999999999998288 |  1.4097423527204e-05   |                   |                    |                        |            | 0.01990948667620668  | 1.2651690173514369e-06 |          1.0          | 0.4580387953217802 | 2.241930757217061e-06  |  57051040.0   |   36.049706    | 0.05998686233369431  | Max abs error is less than 0.001, consider as pass |
| [256, 129280] | [129280, 1] | _input_normal | Float | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999999999998683 | 9.585745795348544e-06  |                   |                    |                        |            |  0.0961168647992729  | 1.0582522833106497e-06 |  0.9444444444444444   | 0.824248192395522  |  2.4452745905871e-06   |  279659520.0  |    46.3456     | 0.06080947724899443  | Max abs error is less than 0.001, consider as pass |
| [256, 129280] | [129280, 1] | _input_normal | Float | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.999999999999859  | 9.969124505460059e-06  |                   |                    |                        |            | 0.06830130095529084  | 1.1562965313942346e-06 |  0.8947368421052632   | 1.2940348617854116 | 2.2909505058937588e-06 |  140383250.0  |   39.267185    | 0.06388247650448639  | Max abs error is less than 0.001, consider as pass |
| [256, 129280] | [129280, 1] | _input_normal | Float | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999999999998583 | 9.196955502943638e-06  |                   |                    |                        |            | 0.000656762453589109 | 1.0903379022353994e-06 |          1.0          | 0.6130390129056253 | 2.265349980575953e-06  | 1020735200.0  |   60.901814    | 0.06009929392597463  | Max abs error is less than 0.001, consider as pass |
