Test Case: H20SXM_aten-exponential_
|    _tensor    |   strides   | dtype | status | b_device | b_dtype | rtol  | atol  |     cosine_sim      | max_abs_err | rel_err_hundredth | rel_err_thousandth | rel_err_ten_thousandth | error_rate |           eb           |        rmse        | small_value_err_ratio |   max_rel_error    |   mean_rel_error   |   max_ulp_error    | mean_ulp_error | ulp_error_proportion |                        message                         |
| [256, 129280] | [129280, 1] | Float | error  |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.49990118421785834 |             |                   |                    |                        |            | 0.0003235769743966584  | 1.414107574318546  |          1.0          | 2961046.223046071  | 12.791092423133023 | 1259037900000000.0 |  231001620.0   |  0.9999987611676207  | Cosine similarity is less than 0.99, consider as error |
| [256, 129280] | [129280, 1] | Float | error  |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.4999855720681885  |             |                   |                    |                        |            | 4.629002939356436e-05  | 1.4142649869924762 |          1.0          | 2762108.1815836052 | 12.991197380183607 | 1251819800000000.0 |  227597140.0   |  0.9999985798750773  | Cosine similarity is less than 0.99, consider as error |
| [256, 129280] | [129280, 1] | Float | error  |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.4999577773854305  |             |                   |                    |                        |            | 0.00015210444384282178 | 1.4145388467921511 |          1.0          | 2931992.048847413  | 13.481042838089511 | 145695580000000.0  |  189618100.0   |  0.9999985798750773  | Cosine similarity is less than 0.99, consider as error |
| [256, 129280] | [129280, 1] | Float | error  |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.5002223226870008  |             |                   |                    |                        |            | 0.00018259180654393566 | 1.4139002437917951 |          1.0          | 3544671.2917472697 | 12.95457043258388  | 1296503800000000.0 |  249894300.0   |  0.9999989726755879  | Cosine similarity is less than 0.99, consider as error |
| [256, 129280] | [129280, 1] | Float | error  |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.49997742408200263 |             |                   |                    |                        |            | 1.2448754641089108e-05 | 1.4143123233352148 |          1.0          | 3719988.0384939364 | 13.212546663544957 | 209398310000000.0  |  199001000.0   |  0.9999988518138924  | Cosine similarity is less than 0.99, consider as error |
| [256, 129280] | [129280, 1] | Float | error  |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.4999540349038717  |             |                   |                    |                        |            | 5.0399327042079205e-05 | 1.4139621765382737 |          1.0          | 4058641.692409615  | 13.010073222485467 | 351492300000000.0  |  194185500.0   |  0.9999982777208385  | Cosine similarity is less than 0.99, consider as error |
| [256, 129280] | [129280, 1] | Float | error  |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.5001637003209427  |             |                   |                    |                        |            | 0.00025248008199257426 | 1.4141125182364036 |          1.0          | 2340033.579099306  | 12.653513010528059 | 1042559900000000.0 |  241483060.0   |  0.999998670521349   | Cosine similarity is less than 0.99, consider as error |
| [256, 129280] | [129280, 1] | Float | error  |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.5000664329045814  |             |                   |                    |                        |            | 5.293742264851485e-05  | 1.4142402396368599 |          1.0          | 4971071.705795058  | 12.773109139514379 | 982591200000000.0  |  255472560.0   |  0.999998398582534   | Cosine similarity is less than 0.99, consider as error |
| [256, 129280] | [129280, 1] | Float | error  |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.4998846283003184  |             |                   |                    |                        |            | 0.00010992371209777228 | 1.4143487858690345 |          1.0          | 2801769.599130994  | 12.737112089207884 | 397192700000000.0  |  196311620.0   |  0.9999983683671102  | Cosine similarity is less than 0.99, consider as error |
| [256, 129280] | [129280, 1] | Float | error  |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.5001827568749538  |             |                   |                    |                        |            | 9.705194152227723e-05  | 1.413810592806866  |          1.0          | 2170892.499533831  | 12.287351791724637 | 614869930000000.0  |  213810990.0   |  0.999998428797958   | Cosine similarity is less than 0.99, consider as error |
