Test Case: H20SXM_aten-log
|    _tensor    |   strides   | dtype | status | b_device | b_dtype | rtol  | atol  | cosine_sim | max_abs_err | rel_err_hundredth | rel_err_thousandth | rel_err_ten_thousandth | error_rate |          eb           |          rmse          | small_value_err_ratio |     max_rel_error     |     mean_rel_error     | max_ulp_error | mean_ulp_error | ulp_error_proportion |                        message                         |
| [256, 129280] | [129280, 1] | Float | error  |   cpu    |  fp64   | 1e-06 | 1e-09 |    nan     |             |                   |                    |                        |            | 0.006263022847694926  |  3.32249711691391e-08  |          0.0          | 8.023473319432531e-08 | 2.2301138467394054e-08 |      nan      |      nan       |         0.0          | Cosine similarity is less than 0.99, consider as error |
| [256, 129280] | [129280, 1] | Float | error  |   cpu    |  fp64   | 1e-06 | 1e-09 |    nan     |             |                   |                    |                        |            | 0.006237641891630569  | 3.3203305668379416e-08 |          0.0          | 8.023473319432531e-08 | 2.2295748868559352e-08 |      nan      |      nan       |         0.0          | Cosine similarity is less than 0.99, consider as error |
| [256, 129280] | [129280, 1] | Float | error  |   cpu    |  fp64   | 1e-06 | 1e-09 |    nan     |             |                   |                    |                        |            | 0.006206338712484529  | 3.320270396791012e-08  |          0.0          | 8.023473319432531e-08 | 2.229709251600365e-08  |      nan      |      nan       |         0.0          | Cosine similarity is less than 0.99, consider as error |
| [256, 129280] | [129280, 1] | Float | error  |   cpu    |  fp64   | 1e-06 | 1e-09 |    nan     |             |                   |                    |                        |            | 0.006220539961711015  | 3.320651208306968e-08  |          0.0          | 8.003009122638952e-08 | 2.229826197000948e-08  |      nan      |      nan       |         0.0          | Cosine similarity is less than 0.99, consider as error |
| [256, 129280] | [129280, 1] | Float | error  |   cpu    |  fp64   | 1e-06 | 1e-09 |    nan     |             |                   |                    |                        |            | 0.006194010819538985  | 3.321214161150326e-08  |          0.0          | 8.002687421917591e-08 | 2.2292561523931984e-08 |      nan      |      nan       |         0.0          | Cosine similarity is less than 0.99, consider as error |
| [256, 129280] | [129280, 1] | Float | error  |   cpu    |  fp64   | 1e-06 | 1e-09 |    nan     |             |                   |                    |                        |            | 0.006196095683787129  | 3.3256864306499495e-08 |          0.0          | 7.992212908412968e-08 | 2.2301439598362755e-08 |      nan      |      nan       |         0.0          | Cosine similarity is less than 0.99, consider as error |
| [256, 129280] | [129280, 1] | Float | error  |   cpu    |  fp64   | 1e-06 | 1e-09 |    nan     |             |                   |                    |                        |            | 0.006245679194384282  | 3.320970462140853e-08  |          0.0          | 8.003009122638952e-08 | 2.230161315275531e-08  |      nan      |      nan       |         0.0          | Cosine similarity is less than 0.99, consider as error |
| [256, 129280] | [129280, 1] | Float | error  |   cpu    |  fp64   | 1e-06 | 1e-09 |    nan     |             |                   |                    |                        |            | 0.0062021387685643565 | 3.322883613921766e-08  |          0.0          | 8.023473319432531e-08 | 2.2295686233291335e-08 |      nan      |      nan       |         0.0          | Cosine similarity is less than 0.99, consider as error |
| [256, 129280] | [129280, 1] | Float | error  |   cpu    |  fp64   | 1e-06 | 1e-09 |    nan     |             |                   |                    |                        |            | 0.006205341603496287  | 3.322852683927673e-08  |          0.0          | 7.96794242690147e-08  | 2.2302563270972458e-08 |      nan      |      nan       |         0.0          | Cosine similarity is less than 0.99, consider as error |
| [256, 129280] | [129280, 1] | Float | error  |   cpu    |  fp64   | 1e-06 | 1e-09 |    nan     |             |                   |                    |                        |            | 0.006221083839340965  | 3.3235267780021784e-08 |          0.0          | 7.992212908412968e-08 | 2.230293646662365e-08  |      nan      |      nan       |         0.0          | Cosine similarity is less than 0.99, consider as error |
