Test Case: H20SXM_aten-log_softmax
|   _tensor    |   strides   | dtype | status  | b_device | b_dtype | rtol  | atol  |     cosine_sim     |      max_abs_err       | rel_err_hundredth | rel_err_thousandth | rel_err_ten_thousandth | error_rate |          eb           |          rmse          | small_value_err_ratio |     max_rel_error      |     mean_rel_error     | max_ulp_error | mean_ulp_error | ulp_error_proportion |                      message                       |
| [32, 129280] | [129280, 1] | Float | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999999999999993 | 1.8071312837264486e-06 |                   |                    |                        |            | 0.0033950050278465345 | 3.961312638547437e-07  |           0           | 1.1166691286925085e-07 |  2.63992182927916e-08  |   1.2213405   |   0.33820367   |         0.0          | Max abs error is less than 0.001, consider as pass |
| [32, 129280] | [129280, 1] | Float | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999999999999993 | 1.6982882655725007e-06 |                   |                    |                        |            |  0.0613880724009901   | 3.968365928390716e-07  |           0           | 1.1906996967517171e-07 | 2.6472357972764955e-08 |   1.2788312   |   0.33896494   |         0.0          | Max abs error is less than 0.001, consider as pass |
| [32, 129280] | [129280, 1] | Float | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999999999999993 | 1.7447782063584327e-06 |                   |                    |                        |            |  0.07221075379022278  | 3.9993926294047915e-07 |           0           | 1.1174876993824868e-07 | 2.6680819212821645e-08 |   1.2093585   |   0.34164834   |         0.0          | Max abs error is less than 0.001, consider as pass |
| [32, 129280] | [129280, 1] | Float | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999999999999997 | 1.745995042767845e-06  |                   |                    |                        |            | 0.019580561571782177  | 3.801534683077964e-07  |           0           | 1.0612682363387152e-07 | 2.5395171988139615e-08 |   1.1807878   |   0.32537583   |         0.0          | Max abs error is less than 0.001, consider as pass |
| [32, 129280] | [129280, 1] | Float | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 |        1.0         | 1.6731200069841634e-06 |                   |                    |                        |            |  0.00811344562190594  | 3.7499190663045793e-07 |           0           | 1.0280827278876601e-07 | 2.509362334231866e-08  |   1.0758164   |   0.3211836    |         0.0          | Max abs error is less than 0.001, consider as pass |
| [32, 129280] | [129280, 1] | Float | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999999999999996 | 1.8696058958767026e-06 |                   |                    |                        |            | 0.017932008044554457  | 3.922621907284211e-07  |           0           | 1.1474555327859558e-07 | 2.615073194014827e-08  |   1.2094189   |   0.33495662   |         0.0          | Max abs error is less than 0.001, consider as pass |
| [32, 129280] | [129280, 1] | Float | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999999999999993 | 1.8174207170318368e-06 |                   |                    |                        |            |  0.05737957340655941  | 3.8072058505221004e-07 |           0           | 1.1181343798328469e-07 | 2.5447146163717512e-08 |   1.2216644   |   0.32578978   |         0.0          | Max abs error is less than 0.001, consider as pass |
| [32, 129280] | [129280, 1] | Float | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999999999999989 | 1.9406610860528417e-06 |                   |                    |                        |            | 0.047163859452351485  |  4.06850586859497e-07  |           0           | 1.2002648123102566e-07 | 2.710740451744147e-08  |   1.2854804   |   0.34691355   |         0.0          | Max abs error is less than 0.001, consider as pass |
| [32, 129280] | [129280, 1] | Float | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999999999999998 | 1.8554792511338292e-06 |                   |                    |                        |            | 0.006528948793316832  | 3.9897920443889257e-07 |           0           | 1.1770327250485493e-07 | 2.6564112455826236e-08 |   1.2791038   |   0.3401723    |         0.0          | Max abs error is less than 0.001, consider as pass |
| [32, 129280] | [129280, 1] | Float | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999999999999996 | 1.8669884340738463e-06 |                   |                    |                        |            |  0.01685367999690594  | 3.9547640767063604e-07 |           0           | 1.1269625163225102e-07 | 2.637428641451619e-08  |   1.2393311   |   0.3378374    |         0.0          | Max abs error is less than 0.001, consider as pass |
| [32, 129280] | [129280, 1] | Float | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999999999999993 | 1.8071312837264486e-06 |                   |                    |                        |            | 0.0033950050278465345 | 3.961312638547437e-07  |           0           | 1.1166691286925085e-07 |  2.63992182927916e-08  |   1.2213405   |   0.33820367   |         0.0          | Max abs error is less than 0.001, consider as pass |
| [32, 129280] | [129280, 1] | Float | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999999999999993 | 1.6982882655725007e-06 |                   |                    |                        |            |  0.0613880724009901   | 3.968365928390716e-07  |           0           | 1.1906996967517171e-07 | 2.6472357972764955e-08 |   1.2788312   |   0.33896494   |         0.0          | Max abs error is less than 0.001, consider as pass |
| [32, 129280] | [129280, 1] | Float | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999999999999993 | 1.7447782063584327e-06 |                   |                    |                        |            |  0.07221075379022278  | 3.9993926294047915e-07 |           0           | 1.1174876993824868e-07 | 2.6680819212821645e-08 |   1.2093585   |   0.34164834   |         0.0          | Max abs error is less than 0.001, consider as pass |
| [32, 129280] | [129280, 1] | Float | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999999999999997 | 1.745995042767845e-06  |                   |                    |                        |            | 0.019580561571782177  | 3.801534683077964e-07  |           0           | 1.0612682363387152e-07 | 2.5395171988139615e-08 |   1.1807878   |   0.32537583   |         0.0          | Max abs error is less than 0.001, consider as pass |
| [32, 129280] | [129280, 1] | Float | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 |        1.0         | 1.6731200069841634e-06 |                   |                    |                        |            |  0.00811344562190594  | 3.7499190663045793e-07 |           0           | 1.0280827278876601e-07 | 2.509362334231866e-08  |   1.0758164   |   0.3211836    |         0.0          | Max abs error is less than 0.001, consider as pass |
| [32, 129280] | [129280, 1] | Float | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999999999999996 | 1.8696058958767026e-06 |                   |                    |                        |            | 0.017932008044554457  | 3.922621907284211e-07  |           0           | 1.1474555327859558e-07 | 2.615073194014827e-08  |   1.2094189   |   0.33495662   |         0.0          | Max abs error is less than 0.001, consider as pass |
| [32, 129280] | [129280, 1] | Float | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999999999999993 | 1.8174207170318368e-06 |                   |                    |                        |            |  0.05737957340655941  | 3.8072058505221004e-07 |           0           | 1.1181343798328469e-07 | 2.5447146163717512e-08 |   1.2216644   |   0.32578978   |         0.0          | Max abs error is less than 0.001, consider as pass |
| [32, 129280] | [129280, 1] | Float | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999999999999989 | 1.9406610860528417e-06 |                   |                    |                        |            | 0.047163859452351485  |  4.06850586859497e-07  |           0           | 1.2002648123102566e-07 | 2.710740451744147e-08  |   1.2854804   |   0.34691355   |         0.0          | Max abs error is less than 0.001, consider as pass |
| [32, 129280] | [129280, 1] | Float | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999999999999998 | 1.8554792511338292e-06 |                   |                    |                        |            | 0.006528948793316832  | 3.9897920443889257e-07 |           0           | 1.1770327250485493e-07 | 2.6564112455826236e-08 |   1.2791038   |   0.3401723    |         0.0          | Max abs error is less than 0.001, consider as pass |
| [32, 129280] | [129280, 1] | Float | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999999999999996 | 1.8669884340738463e-06 |                   |                    |                        |            |  0.01685367999690594  | 3.9547640767063604e-07 |           0           | 1.1269625163225102e-07 | 2.637428641451619e-08  |   1.2393311   |   0.3378374    |         0.0          | Max abs error is less than 0.001, consider as pass |
