Test Case: H20SXM_aten-mm
|  _tensor   |  strides  |  _tensor_1  | precision_1 | strides_1 | distributions | distributions_1 |  dtype   | status  | b_device | b_dtype |  rtol  | atol  |     cosine_sim     |  max_abs_err  | rel_err_hundredth | rel_err_thousandth | rel_err_ten_thousandth | error_rate |       eb        |          rmse          | small_value_err_ratio | max_rel_error | mean_rel_error | max_ulp_error | mean_ulp_error | ulp_error_proportion |                      message                       |
| [32, 7168] | [7168, 1] | [7168, 256] |  bfloat16   | [1, 7168] | _input_normal | _weight_normal  | bfloat16 | Warning |   cpu    |  fp32   | 0.0039 | 1e-05 | 0.9999985911775181 | 6.0534105e-05 |                   |                    |                        |            |  0.0087890625   | 1.0079304590424032e-05 |          0.0          | 0.0029971623  | 0.00073956564  |   0.5006714   |   0.2532388    |         0.0          | Max abs error is less than 0.001, consider as pass |
| [32, 7168] | [7168, 1] | [7168, 256] |  bfloat16   | [1, 7168] | _input_normal | _weight_normal  | bfloat16 | Warning |   cpu    |  fp32   | 0.0039 | 1e-05 | 0.9999986312469737 | 6.052479e-05  |                   |                    |                        |            | 0.0172119140625 | 1.0011294163405871e-05 |          0.0          |  0.003082269  | 0.00073042704  |      1.0      |   0.24934085   |         0.0          | Max abs error is less than 0.001, consider as pass |
| [32, 7168] | [7168, 1] | [7168, 256] |  bfloat16   | [1, 7168] | _input_normal | _weight_normal  | bfloat16 | Warning |   cpu    |  fp32   | 0.0039 | 1e-05 | 0.9999986122521171 | 6.084703e-05  |                   |                    |                        |            |  0.02099609375  | 9.994422625128296e-06  |          0.0          |  0.002862343  | 0.00073734386  |    0.6875     |   0.25255147   |         0.0          | Max abs error is less than 0.001, consider as pass |
| [32, 7168] | [7168, 1] | [7168, 256] |  bfloat16   | [1, 7168] | _input_normal | _weight_normal  | bfloat16 | Warning |   cpu    |  fp32   | 0.0039 | 1e-05 | 0.9999986157110923 |  6.04745e-05  |                   |                    |                        |            |  0.0107421875   | 1.008547367308426e-05  |          0.0          | 0.0029735812  | 0.00072848407  |    0.59375    |   0.24807453   |         0.0          | Max abs error is less than 0.001, consider as pass |
| [32, 7168] | [7168, 1] | [7168, 256] |  bfloat16   | [1, 7168] | _input_normal | _weight_normal  | bfloat16 | Warning |   cpu    |  fp32   | 0.0039 | 1e-05 | 0.9999986335516068 | 5.9274957e-05 |                   |                    |                        |            |  0.00146484375  |  9.92354903242879e-06  |          0.0          | 0.0030251516  | 0.00072418316  |  0.62109375   |   0.24978164   |         0.0          | Max abs error is less than 0.001, consider as pass |
| [32, 7168] | [7168, 1] | [7168, 256] |  bfloat16   | [1, 7168] | _input_normal | _weight_normal  | bfloat16 | Warning |   cpu    |  fp32   | 0.0039 | 1e-05 | 0.9999986596418835 | 6.0761347e-05 |                   |                    |                        |            | 0.016357421875  | 9.965346488491162e-06  |          0.0          | 0.0028524387  | 0.00072784006  |   0.4999237   |   0.24781644   |         0.0          | Max abs error is less than 0.001, consider as pass |
| [32, 7168] | [7168, 1] | [7168, 256] |  bfloat16   | [1, 7168] | _input_normal | _weight_normal  | bfloat16 | Warning |   cpu    |  fp32   | 0.0039 | 1e-05 | 0.9999986516315238 |  6.09532e-05  |                   |                    |                        |            | 0.018798828125  | 9.805640320992652e-06  |          0.0          | 0.0029633627  | 0.00072359585  |   0.953125    |   0.2501372    |         0.0          | Max abs error is less than 0.001, consider as pass |
| [32, 7168] | [7168, 1] | [7168, 256] |  bfloat16   | [1, 7168] | _input_normal | _weight_normal  | bfloat16 | Warning |   cpu    |  fp32   | 0.0039 | 1e-05 | 0.9999986284294431 | 6.0979277e-05 |                   |                    |                        |            |  0.0107421875   | 1.0059573668514012e-05 |          0.0          | 0.0030672594  |  0.0007284003  |    0.59375    |   0.2501017    |         0.0          | Max abs error is less than 0.001, consider as pass |
| [32, 7168] | [7168, 1] | [7168, 256] |  bfloat16   | [1, 7168] | _input_normal | _weight_normal  | bfloat16 | Warning |   cpu    |  fp32   | 0.0039 | 1e-05 | 0.9999986501702535 | 5.4696575e-05 |                   |                    |                        |            | 0.004638671875  | 1.0011374337222118e-05 |          0.0          | 0.0025731334  |  0.0007259778  |     1.375     |   0.24909152   |   0.0001220703125    | Max abs error is less than 0.001, consider as pass |
| [32, 7168] | [7168, 1] | [7168, 256] |  bfloat16   | [1, 7168] | _input_normal | _weight_normal  | bfloat16 | Warning |   cpu    |  fp32   | 0.0039 | 1e-05 | 0.9999986358184428 | 6.100163e-05  |                   |                    |                        |            |   0.013671875   | 1.0113016047596006e-05 |          0.0          | 0.0029760934  |  0.0007321832  |  0.51660156   |   0.24812008   |         0.0          | Max abs error is less than 0.001, consider as pass |
