Test Case: H20SXM_aten-pow
| _tensor | strides | dtype | status | b_device | b_dtype | rtol  | atol  |     cosine_sim     |     max_abs_err     | rel_err_hundredth | rel_err_thousandth | rel_err_ten_thousandth | error_rate |   eb    |        rmse         | small_value_err_ratio |     max_rel_error      |     mean_rel_error     | max_ulp_error | mean_ulp_error | ulp_error_proportion |                                            message                                             |
|  [32]   |   [1]   | Float |  pass  |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999999999999996 |  0.573223166167736  |                   |        1.0         |          1.0           |            | 0.03125 | 0.11259731209456608 |          0.0          |  4.68081069661349e-08  | 1.862334553277089e-08  |   0.5939664   |   0.22513899   |         0.0          | Relative error is less than 0.0001, consider as passulp error is less than 1, consider as pass |
|  [32]   |   [1]   | Float |  pass  |   cpu    |  fp64   | 1e-06 | 1e-09 |        1.0         | 0.32836976647377014 |                   |        1.0         |          1.0           |            | 0.0625  | 0.0868398207244291  |          0.0          | 5.5964527915156396e-08 | 2.439716348828007e-08  |  0.60213447   |   0.26885968   |         0.0          | Relative error is less than 0.0001, consider as passulp error is less than 1, consider as pass |
|  [32]   |   [1]   | Float |  pass  |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999999999999998 | 1.6152084320783615  |                   |        1.0         |          1.0           |            | 0.03125 | 0.2950385235322022  |          0.0          | 4.8222006342995684e-08 | 2.429128552502936e-08  |  0.53728044   |   0.28655478   |         0.0          | Relative error is less than 0.0001, consider as passulp error is less than 1, consider as pass |
|  [32]   |   [1]   | Float |  pass  |   cpu    |  fp64   | 1e-06 | 1e-09 |        1.0         |  6.229326248168945  |                   |        1.0         |          1.0           |            | 0.0625  | 1.1373655844726926  |          0.0          |  4.9729676802156e-08   | 2.2105483174734516e-08 |   0.6390014   |   0.25961566   |         0.0          | Relative error is less than 0.0001, consider as passulp error is less than 1, consider as pass |
|  [32]   |   [1]   | Float |  pass  |   cpu    |  fp64   | 1e-06 | 1e-09 |        1.0         | 0.3869840409606695  |                   |        1.0         |          1.0           |            | 0.0625  | 0.08519790828117522 |          0.0          | 5.8459335398834375e-08 | 2.4913414616972376e-08 |   0.5699373   |   0.30584246   |         0.0          | Relative error is less than 0.0001, consider as passulp error is less than 1, consider as pass |
|  [32]   |   [1]   | Float |  pass  |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999999999999998 |  2.02228781580925   |                   |        1.0         |          1.0           |            | 0.03125 | 0.3966514692247193  |          0.0          | 5.0976448162145456e-08 | 2.1720069073592953e-08 |   0.6345348   |   0.27654386   |         0.0          | Relative error is less than 0.0001, consider as passulp error is less than 1, consider as pass |
|  [32]   |   [1]   | Float |  pass  |   cpu    |  fp64   | 1e-06 | 1e-09 |        1.0         | 0.18818983435630798 |                   |        1.0         |          1.0           |            | 0.03125 | 0.0343719949099774  |          0.0          | 5.281270153775276e-08  | 1.995442682546889e-08  |   0.5817401   |   0.24106896   |         0.0          | Relative error is less than 0.0001, consider as passulp error is less than 1, consider as pass |
|  [32]   |   [1]   | Float |  pass  |   cpu    |  fp64   | 1e-06 | 1e-09 |        1.0         |  6983.130310058594  |                   |        1.0         |          1.0           |            | 0.0625  | 1234.5179319379724  |           0           | 5.707880656078157e-08  | 2.396816959307721e-08  |  0.52923876   |   0.26188725   |         0.0          | Relative error is less than 0.0001, consider as passulp error is less than 1, consider as pass |
|  [32]   |   [1]   | Float |  pass  |   cpu    |  fp64   | 1e-06 | 1e-09 |        1.0         | 3821.3309936523438  |                   |        1.0         |          1.0           |            | 0.03125 |  697.9467743829151  |          0.0          | 5.327724536843181e-08  | 2.3504630752841456e-08 |   0.5559864   |   0.26438183   |         0.0          | Relative error is less than 0.0001, consider as passulp error is less than 1, consider as pass |
|  [32]   |   [1]   | Float |  pass  |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999999999999999 | 13.191238760948181  |                   |        1.0         |          1.0           |            | 0.03125 | 3.0614680586112697  |          0.0          | 5.403053650928621e-08  | 2.266011915228393e-08  |  0.59155506   |   0.26058316   |         0.0          | Relative error is less than 0.0001, consider as passulp error is less than 1, consider as pass |
