Test Case: H20SXM_aten-reciprocal
| _tensor | strides | dtype | status  | b_device | b_dtype | rtol  | atol  |     cosine_sim     |      max_abs_err       | rel_err_hundredth | rel_err_thousandth | rel_err_ten_thousandth | error_rate | eb  |          rmse          | small_value_err_ratio |     max_rel_error      |     mean_rel_error     | max_ulp_error | mean_ulp_error | ulp_error_proportion |                      message                       |
|  [32]   |   [1]   | Float | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999999999999996 | 5.920499361877773e-07  |                   |                    |                        |            | 0.0 | 1.4706029821614101e-07 |           0           | 5.290070250619373e-08  | 2.2847768348272247e-08 |  0.49531555   |   0.26051375   |         0.0          | Max abs error is less than 0.001, consider as pass |
|  [32]   |   [1]   | Float | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999999999999998 | 1.156423627435288e-05  |                   |                    |                        |            | 0.0 | 2.0507532483102573e-06 |           0           | 5.346107920097351e-08  | 2.6684547228002722e-08 |   0.4993905   |   0.29038125   |         0.0          | Max abs error is less than 0.001, consider as pass |
|  [32]   |   [1]   | Float | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 |        1.0         | 6.930568794416558e-07  |                   |                    |                        |            | 0.0 | 1.4676826950422853e-07 |           0           | 4.5497507991390966e-08 | 1.8605996312270237e-08 |  0.46720815   |   0.21621695   |         0.0          | Max abs error is less than 0.001, consider as pass |
|  [32]   |   [1]   | Float | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999999999999997 | 1.2914545877151795e-06 |                   |                    |                        |            | 0.0 | 2.3581772175302176e-07 |           0           |  4.68794567682923e-08  | 2.2171235528037655e-08 |   0.4626332   |   0.25560045   |         0.0          | Max abs error is less than 0.001, consider as pass |
|  [32]   |   [1]   | Float | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999999999999997 | 4.449492934099908e-07  |                   |                    |                        |            | 0.0 | 9.519818750821743e-08  |           0           | 5.413519952681098e-08  | 2.3292650702543708e-08 |  0.47991988   |    0.255804    |         0.0          | Max abs error is less than 0.001, consider as pass |
|  [32]   |   [1]   | Float | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999999999999999 | 3.675194477636978e-07  |                   |                    |                        |            | 0.0 | 1.0931504269358756e-07 |           0           | 4.286900428446932e-08  | 1.9374313486719573e-08 |  0.41758838   |   0.2310146    |         0.0          | Max abs error is less than 0.001, consider as pass |
|  [32]   |   [1]   | Float | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999999999999994 | 1.4612846541695035e-06 |                   |                    |                        |            | 0.0 | 3.536196343156681e-07  |           0           |  4.91624732711207e-08  | 2.3154815391576815e-08 |  0.48600918   |   0.28459007   |         0.0          | Max abs error is less than 0.001, consider as pass |
|  [32]   |   [1]   | Float | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999999999999998 | 6.814867248294831e-07  |                   |                    |                        |            | 0.0 | 1.4813079517128633e-07 |           0           | 5.313574996511568e-08  | 2.120991071404256e-08  |   0.4875968   |   0.24162748   |         0.0          | Max abs error is less than 0.001, consider as pass |
|  [32]   |   [1]   | Float | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999999999999997 | 8.240404554271663e-07  |                   |                    |                        |            | 0.0 | 1.6173373994195351e-07 |           0           | 4.6126786041508676e-08 | 2.0623719616823686e-08 |   0.4732123   |   0.23953518   |         0.0          | Max abs error is less than 0.001, consider as pass |
|  [32]   |   [1]   | Float | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 |        1.0         | 4.899962604554275e-07  |                   |                    |                        |            | 0.0 | 1.0128040831830352e-07 |           0           |  4.17952251235837e-08  | 1.879810129552389e-08  |   0.4825194   |   0.22486567   |         0.0          | Max abs error is less than 0.001, consider as pass |
