Test Case: H20SXM_aten-sin
|   _tensor    | strides | dtype | status  | b_device | b_dtype | rtol  | atol  |     cosine_sim     |      max_abs_err      | rel_err_hundredth | rel_err_thousandth | rel_err_ten_thousandth | error_rate |           eb           |          rmse          | small_value_err_ratio |     max_rel_error      |     mean_rel_error     | max_ulp_error | mean_ulp_error | ulp_error_proportion |                      message                       |
| [163840, 32] | [32, 1] | Float | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999999999999983 | 7.958512227013159e-08 |                   |                    |                        |            | 0.0001834869384765625  | 1.8561299678191967e-08 |          0.0          | 1.1384105342901381e-07 | 2.3250543564047936e-08 |   1.4250947   |   0.29267165   |         0.0          | Max abs error is less than 0.001, consider as pass |
| [163840, 32] | [32, 1] | Float | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999999999999978 | 7.937405421820642e-08 |                   |                    |                        |            | 0.00011844635009765625 | 1.856714256170579e-08  |          0.0          | 1.1615200070506974e-07 | 2.325325203947387e-08  |   1.4375445   |    0.292643    |         0.0          | Max abs error is less than 0.001, consider as pass |
| [163840, 32] | [32, 1] | Float | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999999999999981 | 7.897531173473027e-08 |                   |                    |                        |            | 0.00034885406494140626 | 1.8546652270323305e-08 |          0.0          | 1.1336441999796327e-07 | 2.323319583661911e-08  |   1.4458885   |   0.2924409    |         0.0          | Max abs error is less than 0.001, consider as pass |
| [163840, 32] | [32, 1] | Float | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999999999999983 | 7.978173499623153e-08 |                   |                    |                        |            | 0.00022106170654296876 | 1.8567255390424837e-08 |          0.0          | 1.1422230892955237e-07 | 2.3263511700022123e-08 |   1.4250947   |   0.2927754    |         0.0          | Max abs error is less than 0.001, consider as pass |
| [163840, 32] | [32, 1] | Float | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999999999999979 | 7.900829146478827e-08 |                   |                    |                        |            | 0.0001476287841796875  |  1.85651139268936e-08  |          0.0          | 1.1350832393988137e-07 | 2.3261191368721386e-08 |   1.4239331   |   0.2927672    |         0.0          | Max abs error is less than 0.001, consider as pass |
| [163840, 32] | [32, 1] | Float | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999999999999983 | 7.978173499623153e-08 |                   |                    |                        |            | 0.0001461029052734375  | 1.8563649500230892e-08 |          0.0          | 1.137066409748303e-07  | 2.3246380549881862e-08 |   1.4204448   |   0.2926297    |         0.0          | Max abs error is less than 0.001, consider as pass |
| [163840, 32] | [32, 1] | Float | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.999999999999999  | 7.92372700786359e-08  |                   |                    |                        |            |  0.000183868408203125  | 1.8556896672019736e-08 |          0.0          | 1.1615200070506974e-07 | 2.3250805182765634e-08 |   1.4489923   |   0.29262143   |         0.0          | Max abs error is less than 0.001, consider as pass |
| [163840, 32] | [32, 1] | Float | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999999999999983 | 7.948488878195548e-08 |                   |                    |                        |            | 2.841949462890625e-05  | 1.8553772043102796e-08 |          0.0          | 1.1439811968922566e-07 | 2.324122203770761e-08  |   1.4406831   |   0.2925473    |         0.0          | Max abs error is less than 0.001, consider as pass |
| [163840, 32] | [32, 1] | Float | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999999999999981 | 7.948488878195548e-08 |                   |                    |                        |            |    3.662109375e-05     | 1.856135040657075e-08  |          0.0          | 1.1615200070506974e-07 | 2.3255753236503418e-08 |   1.4489923   |   0.2927004    |         0.0          | Max abs error is less than 0.001, consider as pass |
| [163840, 32] | [32, 1] | Float | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.999999999999998  | 7.860860373742895e-08 |                   |                    |                        |            | 0.00019741058349609375 | 1.8563900779040082e-08 |          0.0          | 1.1476925207581092e-07 | 2.324941795179099e-08  |   1.4447044   |   0.29265004   |         0.0          | Max abs error is less than 0.001, consider as pass |
