Test Case: H20SXM_vllm.ops.NATIVE_C-dynamic_per_token_group_fp8_quant
| output |    _tensor     |  strides   |  _tensor_1   | precision_1 | strides_1 | ulp_dtype |   _tensor_2    | precision_2 | strides_2  | distributions |  dtype   | status | b_device | b_dtype | rtol  | atol  |     cosine_sim     |      max_abs_err       | rel_err_hundredth | rel_err_thousandth | rel_err_ten_thousandth | error_rate |           eb           |         rmse          | small_value_err_ratio |     max_rel_error     |    mean_rel_error     | max_ulp_error | mean_ulp_error | ulp_error_proportion |                      message                       |
| [0, 1] |   [512, 512]   |  [512, 1]  |   [512, 4]   |    Float    |  [4, 1]   |   bf16    |   [512, 512]   |  bfloat16   |  [512, 1]  | _input_normal | bfloat16 | error  |   cpu    |  e4m3   | 1e-06 | 1e-09 | 0.9998666600388444 |          32.0          |                   | 0.9653816223144531 |   0.9653816223144531   |            |  0.000102996826171875  |  2.6424676831281073   |          0.0          |         0.125         |     0.0030738085      |      1.0      |   0.03437996   |         0.0          |     ulp error is less than 1, consider as pass     |
| [0, 1] |   [512, 512]   |  [512, 1]  |   [512, 4]   |    Float    |  [4, 1]   |   bf16    |   [512, 512]   |  bfloat16   |  [512, 1]  | _input_normal | bfloat16 | error  |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999988521324265 | 2.0435982150956988e-07 |                   |                    |                        |            |       0.12109375       | 7.848225426640361e-08 |           0           | 0.0033332312689870257 | 0.0012701448060735117 |  0.42858887   |   0.24860643   |         0.0          | Max abs error is less than 0.001, consider as pass |
| [0, 1] |   [512, 512]   |  [512, 1]  |   [512, 4]   |    Float    |  [4, 1]   |   bf16    |   [512, 512]   |  bfloat16   |  [512, 1]  | _input_normal | bfloat16 | error  |   cpu    |  e4m3   | 1e-06 | 1e-09 |  0.99986491318451  |          32.0          |                   | 0.965240478515625  |   0.965240478515625    |            |   0.000457763671875    |  2.6546334880220295   |           0           |         0.125         |     0.0030870456      |      1.0      |  0.034534454   |         0.0          |     ulp error is less than 1, consider as pass     |
| [0, 1] |   [512, 512]   |  [512, 1]  |   [512, 4]   |    Float    |  [4, 1]   |   bf16    |   [512, 512]   |  bfloat16   |  [512, 1]  | _input_normal | bfloat16 | error  |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.999998916982829  | 2.0435982150956988e-07 |                   |                    |                        |            |     0.14013671875      | 7.592886404467816e-08 |           0           | 0.0033332312689870257 | 0.0012275488349105447 |  0.42858887   |   0.24260792   |         0.0          | Max abs error is less than 0.001, consider as pass |
| [0, 1] |   [512, 512]   |  [512, 1]  |   [512, 4]   |    Float    |  [4, 1]   |   bf16    |   [512, 512]   |  bfloat16   |  [512, 1]  | _input_normal | bfloat16 | error  |   cpu    |  e4m3   | 1e-06 | 1e-09 | 0.9998647919373091 |          32.0          |                   | 0.9649925231933594 |   0.9649925231933594   |            |  0.000141143798828125  |   2.652140676928398   |           0           |      0.19999756       |     0.0030933595      |      1.0      |   0.03474617   |         0.0          |     ulp error is less than 1, consider as pass     |
| [0, 1] |   [512, 512]   |  [512, 1]  |   [512, 4]   |    Float    |  [4, 1]   |   bf16    |   [512, 512]   |  bfloat16   |  [512, 1]  | _input_normal | bfloat16 | error  |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999988313953337 | 2.0435982150956988e-07 |                   |                    |                        |            |      0.1552734375      | 7.926157541624781e-08 |           0           | 0.0033332312689870257 | 0.001270177797723084  |  0.42858887   |   0.24923457   |         0.0          | Max abs error is less than 0.001, consider as pass |
| [0, 1] |   [512, 512]   |  [512, 1]  |   [512, 4]   |    Float    |  [4, 1]   |   bf16    |   [512, 512]   |  bfloat16   |  [512, 1]  | _input_normal | bfloat16 | error  |   cpu    |  e4m3   | 1e-06 | 1e-09 | 0.9998668368684477 |          32.0          |                   | 0.9657363891601562 |   0.9657363891601562   |            |    0.00018310546875    |   2.633944373972747   |          0.0          |         0.125         |     0.0030318098      |      1.0      |   0.03403282   |         0.0          |     ulp error is less than 1, consider as pass     |
| [0, 1] |   [512, 512]   |  [512, 1]  |   [512, 4]   |    Float    |  [4, 1]   |   bf16    |   [512, 512]   |  bfloat16   |  [512, 1]  | _input_normal | bfloat16 | error  |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999988893059873 | 2.0435982150956988e-07 |                   |                    |                        |            |     0.08349609375      | 7.733324189615601e-08 |           0           | 0.0033332312689870257 | 0.001247360790450928  |  0.42858887   |   0.24665302   |         0.0          | Max abs error is less than 0.001, consider as pass |
| [0, 1] |   [512, 512]   |  [512, 1]  |   [512, 4]   |    Float    |  [4, 1]   |   bf16    |   [512, 512]   |  bfloat16   |  [512, 1]  | _input_normal | bfloat16 | error  |   cpu    |  e4m3   | 1e-06 | 1e-09 | 0.9998636699216034 |          32.0          |                   | 0.9644508361816406 |   0.9644508361816406   |            |  0.000164031982421875  |  2.6628773878038348   |          0.0          |         0.125         |      0.003137835      |      1.0      |   0.03525734   |         0.0          |     ulp error is less than 1, consider as pass     |
| [0, 1] |   [512, 512]   |  [512, 1]  |   [512, 4]   |    Float    |  [4, 1]   |   bf16    |   [512, 512]   |  bfloat16   |  [512, 1]  | _input_normal | bfloat16 | error  |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999988638855167 | 2.0435982150956988e-07 |                   |                    |                        |            |       0.12890625       | 7.83088344795442e-08  |           0           | 0.0033332312689870257 | 0.0012718989114995996 |  0.42858887   |   0.24944356   |         0.0          | Max abs error is less than 0.001, consider as pass |
| [0, 1] |   [512, 512]   |  [512, 1]  |   [512, 4]   |    Float    |  [4, 1]   |   bf16    |   [512, 512]   |  bfloat16   |  [512, 1]  | _input_normal | bfloat16 | error  |   cpu    |  e4m3   | 1e-06 | 1e-09 | 0.999871048245983  |          32.0          |                   | 0.9661178588867188 |   0.9661178588867188   |            |     0.000244140625     |  2.5834644447418516   |           0           |      0.19999756       |     0.0030177196      |      1.0      |  0.033720016   |         0.0          |     ulp error is less than 1, consider as pass     |
| [0, 1] |   [512, 512]   |  [512, 1]  |   [512, 4]   |    Float    |  [4, 1]   |   bf16    |   [512, 512]   |  bfloat16   |  [512, 1]  | _input_normal | bfloat16 | error  |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999988945134854 | 2.0435982150956988e-07 |                   |                    |                        |            |     0.10400390625      |  7.7399281460816e-08  |           0           | 0.0033332312689870257 | 0.0012404411814476365 |  0.42858887   |   0.24567682   |         0.0          | Max abs error is less than 0.001, consider as pass |
| [0, 1] |   [512, 512]   |  [512, 1]  |   [512, 4]   |    Float    |  [4, 1]   |   bf16    |   [512, 512]   |  bfloat16   |  [512, 1]  | _input_normal | bfloat16 | error  |   cpu    |  e4m3   | 1e-06 | 1e-09 | 0.9998646343359618 |          32.0          |                   | 0.9653892517089844 |   0.9653892517089844   |            |  0.000499725341796875  |   2.648418407687711   |          0.0          |         0.125         |     0.0030559232      |      1.0      |  0.034389496   |         0.0          |     ulp error is less than 1, consider as pass     |
| [0, 1] |   [512, 512]   |  [512, 1]  |   [512, 4]   |    Float    |  [4, 1]   |   bf16    |   [512, 512]   |  bfloat16   |  [512, 1]  | _input_normal | bfloat16 | error  |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999988882049611 | 2.0435982150956988e-07 |                   |                    |                        |            |     0.13720703125      | 7.74359030544636e-08  |           0           | 0.0033332312689870257 | 0.0012368847536012415 |  0.42858887   |   0.2425381    |         0.0          | Max abs error is less than 0.001, consider as pass |
| [0, 1] |   [512, 512]   |  [512, 1]  |   [512, 4]   |    Float    |  [4, 1]   |   bf16    |   [512, 512]   |  bfloat16   |  [512, 1]  | _input_normal | bfloat16 | error  |   cpu    |  e4m3   | 1e-06 | 1e-09 | 0.999865047771737  |          32.0          |                   | 0.9653816223144531 |   0.9653816223144531   |            |  0.000110626220703125  |  2.6667564623675006   |           0           |         0.125         |     0.0030683796      |      1.0      |  0.034391403   |         0.0          |     ulp error is less than 1, consider as pass     |
| [0, 1] |   [512, 512]   |  [512, 1]  |   [512, 4]   |    Float    |  [4, 1]   |   bf16    |   [512, 512]   |  bfloat16   |  [512, 1]  | _input_normal | bfloat16 | error  |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999988453402956 | 2.0435982150956988e-07 |                   |                    |                        |            |     0.12744140625      | 7.82726429517383e-08  |           0           | 0.0033332312689870257 | 0.0012658138877940563 |  0.42858887   |   0.24888551   |         0.0          | Max abs error is less than 0.001, consider as pass |
| [0, 1] |   [512, 512]   |  [512, 1]  |   [512, 4]   |    Float    |  [4, 1]   |   bf16    |   [512, 512]   |  bfloat16   |  [512, 1]  | _input_normal | bfloat16 | error  |   cpu    |  e4m3   | 1e-06 | 1e-09 | 0.9998693674740841 |          32.0          |                   | 0.9662322998046875 |   0.9662322998046875   |            |   0.0001068115234375   |  2.6148164152916435   |           0           |       0.1428559       |     0.0029904204      |      1.0      |   0.03352356   |         0.0          |     ulp error is less than 1, consider as pass     |
| [0, 1] |   [512, 512]   |  [512, 1]  |   [512, 4]   |    Float    |  [4, 1]   |   bf16    |   [512, 512]   |  bfloat16   |  [512, 1]  | _input_normal | bfloat16 | error  |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999989264875363 | 2.0435982150956988e-07 |                   |                    |                        |            |     0.07080078125      | 7.582798552981573e-08 |           0           | 0.0033332312689870257 | 0.001216734744556382  |  0.42858887   |   0.24030556   |         0.0          | Max abs error is less than 0.001, consider as pass |
| [0, 1] |   [512, 512]   |  [512, 1]  |   [512, 4]   |    Float    |  [4, 1]   |   bf16    |   [512, 512]   |  bfloat16   |  [512, 1]  | _input_normal | bfloat16 | error  |   cpu    |  e4m3   | 1e-06 | 1e-09 | 0.9998630067611389 |          32.0          |                   | 0.9648513793945312 |   0.9648513793945312   |            |  0.00026702880859375   |  2.6786973572739976   |          0.0          |         0.125         |     0.0031327817      |      1.0      |   0.03483963   |         0.0          |     ulp error is less than 1, consider as pass     |
| [0, 1] |   [512, 512]   |  [512, 1]  |   [512, 4]   |    Float    |  [4, 1]   |   bf16    |   [512, 512]   |  bfloat16   |  [512, 1]  | _input_normal | bfloat16 | error  |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.999998858105863  | 2.0435982150956988e-07 |                   |                    |                        |            |      0.0615234375      | 7.807686270019025e-08 |           0           | 0.0033332312689870257 | 0.0012771323585247173 |  0.42858887   |   0.25104725   |         0.0          | Max abs error is less than 0.001, consider as pass |
| [0, 1] |  [30000, 512]  |  [512, 1]  |  [30000, 4]  |    Float    |  [4, 1]   |   bf16    |  [30000, 512]  |  bfloat16   |  [512, 1]  | _input_normal | bfloat16 | error  |   cpu    |  e4m3   | 1e-06 | 1e-09 | 0.9998659160980359 |          32.0          |                   |   0.96537265625    |     0.96537265625      |            | 4.036458333333333e-05  |  2.6453534843382798   |          0.0          |      0.33332655       |     0.0030706995      |      1.0      |  0.034392122   |         0.0          |     ulp error is less than 1, consider as pass     |
