Test Case: H20SXM_vllm.ops.NATIVE_C-fused_add_rms_norm
| output |  _tensor   |  strides  | _tensor_1  | precision_1 | strides_1 | _tensor_2 | precision_2 | strides_2 | distributions | distributions_1 | distributions_2 |  dtype   | status  | b_device | b_dtype |  rtol  | atol  |     cosine_sim     |  max_abs_err  | rel_err_hundredth | rel_err_thousandth | rel_err_ten_thousandth | error_rate |          eb           |          rmse          | small_value_err_ratio | max_rel_error | mean_rel_error | max_ulp_error | mean_ulp_error | ulp_error_proportion |                      message                       |
| [0, 1] | [32, 7168] | [7168, 1] | [32, 7168] |  bfloat16   | [7168, 1] |  [7168]   |  bfloat16   |    [1]    | _input_normal |  _input_normal  | _weight_normal  | bfloat16 | Warning |   cpu    |  fp32   | 0.0039 | 1e-05 | 0.9999969613975291 | 0.00047941506 |                   |                    |                        |            | 0.0014866420200892857 | 2.3342954370726217e-05 |          0.0          | 0.0065014833  |  0.0010472141  |   1.4423828   |   0.33575267   | 0.014591761997767858 | Max abs error is less than 0.001, consider as pass |
| [0, 1] | [32, 7168] | [7168, 1] | [32, 7168] |  bfloat16   | [7168, 1] |  [7168]   |  bfloat16   |    [1]    | _input_normal |  _input_normal  | _weight_normal  | bfloat16 | Warning |   cpu    |  fp32   | 0.0039 | 1e-05 |        1.0         |      0.0      |                   |                    |                        |            |          0.0          |          0.0           |          0.0          |      0.0      |      0.0       |      0.0      |      0.0       |         0.0          | Max abs error is less than 0.001, consider as pass |
| [0, 1] | [32, 7168] | [7168, 1] | [32, 7168] |  bfloat16   | [7168, 1] |  [7168]   |  bfloat16   |    [1]    | _input_normal |  _input_normal  | _weight_normal  | bfloat16 | Warning |   cpu    |  fp32   | 0.0039 | 1e-05 | 0.9999970387440505 | 0.0003517717  |                   |                    |                        |            |     0.00244140625     | 2.256837063200532e-05  |          0.0          |  0.006270393  |  0.0010396445  |   1.4463806   |   0.33529952   | 0.014591761997767858 | Max abs error is less than 0.001, consider as pass |
| [0, 1] | [32, 7168] | [7168, 1] | [32, 7168] |  bfloat16   | [7168, 1] |  [7168]   |  bfloat16   |    [1]    | _input_normal |  _input_normal  | _weight_normal  | bfloat16 | Warning |   cpu    |  fp32   | 0.0039 | 1e-05 | 0.9999999999999999 |      0.0      |                   |                    |                        |            |          0.0          |          0.0           |          0.0          |      0.0      |      0.0       |      0.0      |      0.0       |         0.0          | Max abs error is less than 0.001, consider as pass |
| [0, 1] | [32, 7168] | [7168, 1] | [32, 7168] |  bfloat16   | [7168, 1] |  [7168]   |  bfloat16   |    [1]    | _input_normal |  _input_normal  | _weight_normal  | bfloat16 | Warning |   cpu    |  fp32   | 0.0039 | 1e-05 | 0.9999970008619351 | 0.00046237558 |                   |                    |                        |            | 0.003718784877232143  | 2.3069046289001324e-05 |          0.0          |  0.006215462  |  0.001040202   |   1.4546661   |   0.3353568    |     0.0146484375     | Max abs error is less than 0.001, consider as pass |
| [0, 1] | [32, 7168] | [7168, 1] | [32, 7168] |  bfloat16   | [7168, 1] |  [7168]   |  bfloat16   |    [1]    | _input_normal |  _input_normal  | _weight_normal  | bfloat16 | Warning |   cpu    |  fp32   | 0.0039 | 1e-05 |        1.0         |      0.0      |                   |                    |                        |            |          0.0          |          0.0           |          0.0          |      0.0      |      0.0       |      0.0      |      0.0       |         0.0          | Max abs error is less than 0.001, consider as pass |
| [0, 1] | [32, 7168] | [7168, 1] | [32, 7168] |  bfloat16   | [7168, 1] |  [7168]   |  bfloat16   |    [1]    | _input_normal |  _input_normal  | _weight_normal  | bfloat16 | Warning |   cpu    |  fp32   | 0.0039 | 1e-05 | 0.9999970160765643 | 0.0004574582  |                   |                    |                        |            | 0.0007367815290178571 | 2.306816026389818e-05  |          0.0          | 0.0061451737  |  0.0010415111  |   1.4749146   |   0.33551168   | 0.014705113002232142 | Max abs error is less than 0.001, consider as pass |
| [0, 1] | [32, 7168] | [7168, 1] | [32, 7168] |  bfloat16   | [7168, 1] |  [7168]   |  bfloat16   |    [1]    | _input_normal |  _input_normal  | _weight_normal  | bfloat16 | Warning |   cpu    |  fp32   | 0.0039 | 1e-05 |        1.0         |      0.0      |                   |                    |                        |            |          0.0          |          0.0           |          0.0          |      0.0      |      0.0       |      0.0      |      0.0       |         0.0          | Max abs error is less than 0.001, consider as pass |
| [0, 1] | [32, 7168] | [7168, 1] | [32, 7168] |  bfloat16   | [7168, 1] |  [7168]   |  bfloat16   |    [1]    | _input_normal |  _input_normal  | _weight_normal  | bfloat16 | Warning |   cpu    |  fp32   | 0.0039 | 1e-05 | 0.999997012365875  | 0.00049850345 |                   |                    |                        |            |   0.001190185546875   | 2.3020383908638942e-05 |          0.0          | 0.0062922956  |  0.0010441288  |   1.4900513   |   0.3362593    | 0.014513288225446428 | Max abs error is less than 0.001, consider as pass |
| [0, 1] | [32, 7168] | [7168, 1] | [32, 7168] |  bfloat16   | [7168, 1] |  [7168]   |  bfloat16   |    [1]    | _input_normal |  _input_normal  | _weight_normal  | bfloat16 | Warning |   cpu    |  fp32   | 0.0039 | 1e-05 |        1.0         |      0.0      |                   |                    |                        |            |          0.0          |          0.0           |          0.0          |      0.0      |      0.0       |      0.0      |      0.0       |         0.0          | Max abs error is less than 0.001, consider as pass |
| [0, 1] | [32, 7168] | [7168, 1] | [32, 7168] |  bfloat16   | [7168, 1] |  [7168]   |  bfloat16   |    [1]    | _input_normal |  _input_normal  | _weight_normal  | bfloat16 | Warning |   cpu    |  fp32   | 0.0039 | 1e-05 | 0.9999970234252892 | 0.00041093677 |                   |                    |                        |            | 0.0020272391183035715 | 2.3080920981205944e-05 |          0.0          | 0.0061312825  |  0.0010425524  |   1.487381    |   0.33519498   | 0.014591761997767858 | Max abs error is less than 0.001, consider as pass |
| [0, 1] | [32, 7168] | [7168, 1] | [32, 7168] |  bfloat16   | [7168, 1] |  [7168]   |  bfloat16   |    [1]    | _input_normal |  _input_normal  | _weight_normal  | bfloat16 | Warning |   cpu    |  fp32   | 0.0039 | 1e-05 | 0.9999999999999999 |      0.0      |                   |                    |                        |            |          0.0          |          0.0           |          0.0          |      0.0      |      0.0       |      0.0      |      0.0       |         0.0          | Max abs error is less than 0.001, consider as pass |
| [0, 1] | [32, 7168] | [7168, 1] | [32, 7168] |  bfloat16   | [7168, 1] |  [7168]   |  bfloat16   |    [1]    | _input_normal |  _input_normal  | _weight_normal  | bfloat16 | Warning |   cpu    |  fp32   | 0.0039 | 1e-05 | 0.9999970252885619 | 0.00037065893 |                   |                    |                        |            | 8.283342633928572e-05 | 2.2855963853791462e-05 |          0.0          |  0.006382851  |  0.0010423992  |   1.4684753   |   0.3349054    | 0.015062604631696428 | Max abs error is less than 0.001, consider as pass |
| [0, 1] | [32, 7168] | [7168, 1] | [32, 7168] |  bfloat16   | [7168, 1] |  [7168]   |  bfloat16   |    [1]    | _input_normal |  _input_normal  | _weight_normal  | bfloat16 | Warning |   cpu    |  fp32   | 0.0039 | 1e-05 |        1.0         |      0.0      |                   |                    |                        |            |          0.0          |          0.0           |          0.0          |      0.0      |      0.0       |      0.0      |      0.0       |         0.0          | Max abs error is less than 0.001, consider as pass |
| [0, 1] | [32, 7168] | [7168, 1] | [32, 7168] |  bfloat16   | [7168, 1] |  [7168]   |  bfloat16   |    [1]    | _input_normal |  _input_normal  | _weight_normal  | bfloat16 | Warning |   cpu    |  fp32   | 0.0039 | 1e-05 | 0.9999970327799622 | 0.0004053265  |                   |                    |                        |            | 0.004690987723214286  | 2.2916902485693967e-05 |          0.0          |  0.006443124  |  0.0010385357  |   1.4605103   |   0.33452597   | 0.014295305524553572 | Max abs error is less than 0.001, consider as pass |
| [0, 1] | [32, 7168] | [7168, 1] | [32, 7168] |  bfloat16   | [7168, 1] |  [7168]   |  bfloat16   |    [1]    | _input_normal |  _input_normal  | _weight_normal  | bfloat16 | Warning |   cpu    |  fp32   | 0.0039 | 1e-05 |        1.0         |      0.0      |                   |                    |                        |            |          0.0          |          0.0           |          0.0          |      0.0      |      0.0       |      0.0      |      0.0       |         0.0          | Max abs error is less than 0.001, consider as pass |
| [0, 1] | [32, 7168] | [7168, 1] | [32, 7168] |  bfloat16   | [7168, 1] |  [7168]   |  bfloat16   |    [1]    | _input_normal |  _input_normal  | _weight_normal  | bfloat16 | Warning |   cpu    |  fp32   | 0.0039 | 1e-05 | 0.9999969721120846 | 0.00050184876 |                   |                    |                        |            | 0.0008370535714285714 | 2.297312098993321e-05  |          0.0          | 0.0069458056  |  0.0010431383  |   1.4525604   |   0.3358257    | 0.014726911272321428 | Max abs error is less than 0.001, consider as pass |
| [0, 1] | [32, 7168] | [7168, 1] | [32, 7168] |  bfloat16   | [7168, 1] |  [7168]   |  bfloat16   |    [1]    | _input_normal |  _input_normal  | _weight_normal  | bfloat16 | Warning |   cpu    |  fp32   | 0.0039 | 1e-05 |        1.0         |      0.0      |                   |                    |                        |            |          0.0          |          0.0           |          0.0          |      0.0      |      0.0       |      0.0      |      0.0       |         0.0          | Max abs error is less than 0.001, consider as pass |
| [0, 1] | [32, 7168] | [7168, 1] | [32, 7168] |  bfloat16   | [7168, 1] |  [7168]   |  bfloat16   |    [1]    | _input_normal |  _input_normal  | _weight_normal  | bfloat16 | Warning |   cpu    |  fp32   | 0.0039 | 1e-05 | 0.9999970178239189 |  0.000436306  |                   |                    |                        |            | 0.0012686593191964285 | 2.2846695321685982e-05 |          0.0          | 0.0064346963  |  0.0010362277  |   1.4561615   |   0.3348205    | 0.014744349888392858 | Max abs error is less than 0.001, consider as pass |
| [0, 1] | [32, 7168] | [7168, 1] | [32, 7168] |  bfloat16   | [7168, 1] |  [7168]   |  bfloat16   |    [1]    | _input_normal |  _input_normal  | _weight_normal  | bfloat16 | Warning |   cpu    |  fp32   | 0.0039 | 1e-05 |        1.0         |      0.0      |                   |                    |                        |            |          0.0          |          0.0           |          0.0          |      0.0      |      0.0       |      0.0      |      0.0       |         0.0          | Max abs error is less than 0.001, consider as pass |
| [0, 1] | [32, 7168] | [7168, 1] | [32, 7168] |  bfloat16   | [7168, 1] |  [7168]   |  bfloat16   |    [1]    | _input_normal |  _input_normal  | _weight_normal  | bfloat16 | Warning |   cpu    |  fp32   | 0.0039 | 1e-05 | 0.9999969613975291 | 0.00047941506 |                   |                    |                        |            | 0.0014866420200892857 | 2.3342954370726217e-05 |          0.0          | 0.0065014833  |  0.0010472141  |   1.4423828   |   0.33575267   | 0.014591761997767858 | Max abs error is less than 0.001, consider as pass |
| [0, 1] | [32, 7168] | [7168, 1] | [32, 7168] |  bfloat16   | [7168, 1] |  [7168]   |  bfloat16   |    [1]    | _input_normal |  _input_normal  | _weight_normal  | bfloat16 | Warning |   cpu    |  fp32   | 0.0039 | 1e-05 |        1.0         |      0.0      |                   |                    |                        |            |          0.0          |          0.0           |          0.0          |      0.0      |      0.0       |      0.0      |      0.0       |         0.0          | Max abs error is less than 0.001, consider as pass |
| [0, 1] | [32, 7168] | [7168, 1] | [32, 7168] |  bfloat16   | [7168, 1] |  [7168]   |  bfloat16   |    [1]    | _input_normal |  _input_normal  | _weight_normal  | bfloat16 | Warning |   cpu    |  fp32   | 0.0039 | 1e-05 | 0.9999970387440505 | 0.0003517717  |                   |                    |                        |            |     0.00244140625     | 2.256837063200532e-05  |          0.0          |  0.006270393  |  0.0010396445  |   1.4463806   |   0.33529952   | 0.014591761997767858 | Max abs error is less than 0.001, consider as pass |
| [0, 1] | [32, 7168] | [7168, 1] | [32, 7168] |  bfloat16   | [7168, 1] |  [7168]   |  bfloat16   |    [1]    | _input_normal |  _input_normal  | _weight_normal  | bfloat16 | Warning |   cpu    |  fp32   | 0.0039 | 1e-05 | 0.9999999999999999 |      0.0      |                   |                    |                        |            |          0.0          |          0.0           |          0.0          |      0.0      |      0.0       |      0.0      |      0.0       |         0.0          | Max abs error is less than 0.001, consider as pass |
| [0, 1] | [32, 7168] | [7168, 1] | [32, 7168] |  bfloat16   | [7168, 1] |  [7168]   |  bfloat16   |    [1]    | _input_normal |  _input_normal  | _weight_normal  | bfloat16 | Warning |   cpu    |  fp32   | 0.0039 | 1e-05 | 0.9999970008619351 | 0.00046237558 |                   |                    |                        |            | 0.003718784877232143  | 2.3069046289001324e-05 |          0.0          |  0.006215462  |  0.001040202   |   1.4546661   |   0.3353568    |     0.0146484375     | Max abs error is less than 0.001, consider as pass |
| [0, 1] | [32, 7168] | [7168, 1] | [32, 7168] |  bfloat16   | [7168, 1] |  [7168]   |  bfloat16   |    [1]    | _input_normal |  _input_normal  | _weight_normal  | bfloat16 | Warning |   cpu    |  fp32   | 0.0039 | 1e-05 |        1.0         |      0.0      |                   |                    |                        |            |          0.0          |          0.0           |          0.0          |      0.0      |      0.0       |      0.0      |      0.0       |         0.0          | Max abs error is less than 0.001, consider as pass |
| [0, 1] | [32, 7168] | [7168, 1] | [32, 7168] |  bfloat16   | [7168, 1] |  [7168]   |  bfloat16   |    [1]    | _input_normal |  _input_normal  | _weight_normal  | bfloat16 | Warning |   cpu    |  fp32   | 0.0039 | 1e-05 | 0.9999970160765643 | 0.0004574582  |                   |                    |                        |            | 0.0007367815290178571 | 2.306816026389818e-05  |          0.0          | 0.0061451737  |  0.0010415111  |   1.4749146   |   0.33551168   | 0.014705113002232142 | Max abs error is less than 0.001, consider as pass |
| [0, 1] | [32, 7168] | [7168, 1] | [32, 7168] |  bfloat16   | [7168, 1] |  [7168]   |  bfloat16   |    [1]    | _input_normal |  _input_normal  | _weight_normal  | bfloat16 | Warning |   cpu    |  fp32   | 0.0039 | 1e-05 |        1.0         |      0.0      |                   |                    |                        |            |          0.0          |          0.0           |          0.0          |      0.0      |      0.0       |      0.0      |      0.0       |         0.0          | Max abs error is less than 0.001, consider as pass |
| [0, 1] | [32, 7168] | [7168, 1] | [32, 7168] |  bfloat16   | [7168, 1] |  [7168]   |  bfloat16   |    [1]    | _input_normal |  _input_normal  | _weight_normal  | bfloat16 | Warning |   cpu    |  fp32   | 0.0039 | 1e-05 | 0.999997012365875  | 0.00049850345 |                   |                    |                        |            |   0.001190185546875   | 2.3020383908638942e-05 |          0.0          | 0.0062922956  |  0.0010441288  |   1.4900513   |   0.3362593    | 0.014513288225446428 | Max abs error is less than 0.001, consider as pass |
| [0, 1] | [32, 7168] | [7168, 1] | [32, 7168] |  bfloat16   | [7168, 1] |  [7168]   |  bfloat16   |    [1]    | _input_normal |  _input_normal  | _weight_normal  | bfloat16 | Warning |   cpu    |  fp32   | 0.0039 | 1e-05 |        1.0         |      0.0      |                   |                    |                        |            |          0.0          |          0.0           |          0.0          |      0.0      |      0.0       |      0.0      |      0.0       |         0.0          | Max abs error is less than 0.001, consider as pass |
| [0, 1] | [32, 7168] | [7168, 1] | [32, 7168] |  bfloat16   | [7168, 1] |  [7168]   |  bfloat16   |    [1]    | _input_normal |  _input_normal  | _weight_normal  | bfloat16 | Warning |   cpu    |  fp32   | 0.0039 | 1e-05 | 0.9999970234252892 | 0.00041093677 |                   |                    |                        |            | 0.0020272391183035715 | 2.3080920981205944e-05 |          0.0          | 0.0061312825  |  0.0010425524  |   1.487381    |   0.33519498   | 0.014591761997767858 | Max abs error is less than 0.001, consider as pass |
| [0, 1] | [32, 7168] | [7168, 1] | [32, 7168] |  bfloat16   | [7168, 1] |  [7168]   |  bfloat16   |    [1]    | _input_normal |  _input_normal  | _weight_normal  | bfloat16 | Warning |   cpu    |  fp32   | 0.0039 | 1e-05 | 0.9999999999999999 |      0.0      |                   |                    |                        |            |          0.0          |          0.0           |          0.0          |      0.0      |      0.0       |      0.0      |      0.0       |         0.0          | Max abs error is less than 0.001, consider as pass |
| [0, 1] | [32, 7168] | [7168, 1] | [32, 7168] |  bfloat16   | [7168, 1] |  [7168]   |  bfloat16   |    [1]    | _input_normal |  _input_normal  | _weight_normal  | bfloat16 | Warning |   cpu    |  fp32   | 0.0039 | 1e-05 | 0.9999970252885619 | 0.00037065893 |                   |                    |                        |            | 8.283342633928572e-05 | 2.2855963853791462e-05 |          0.0          |  0.006382851  |  0.0010423992  |   1.4684753   |   0.3349054    | 0.015062604631696428 | Max abs error is less than 0.001, consider as pass |
| [0, 1] | [32, 7168] | [7168, 1] | [32, 7168] |  bfloat16   | [7168, 1] |  [7168]   |  bfloat16   |    [1]    | _input_normal |  _input_normal  | _weight_normal  | bfloat16 | Warning |   cpu    |  fp32   | 0.0039 | 1e-05 |        1.0         |      0.0      |                   |                    |                        |            |          0.0          |          0.0           |          0.0          |      0.0      |      0.0       |      0.0      |      0.0       |         0.0          | Max abs error is less than 0.001, consider as pass |
| [0, 1] | [32, 7168] | [7168, 1] | [32, 7168] |  bfloat16   | [7168, 1] |  [7168]   |  bfloat16   |    [1]    | _input_normal |  _input_normal  | _weight_normal  | bfloat16 | Warning |   cpu    |  fp32   | 0.0039 | 1e-05 | 0.9999970327799622 | 0.0004053265  |                   |                    |                        |            | 0.004690987723214286  | 2.2916902485693967e-05 |          0.0          |  0.006443124  |  0.0010385357  |   1.4605103   |   0.33452597   | 0.014295305524553572 | Max abs error is less than 0.001, consider as pass |
| [0, 1] | [32, 7168] | [7168, 1] | [32, 7168] |  bfloat16   | [7168, 1] |  [7168]   |  bfloat16   |    [1]    | _input_normal |  _input_normal  | _weight_normal  | bfloat16 | Warning |   cpu    |  fp32   | 0.0039 | 1e-05 |        1.0         |      0.0      |                   |                    |                        |            |          0.0          |          0.0           |          0.0          |      0.0      |      0.0       |      0.0      |      0.0       |         0.0          | Max abs error is less than 0.001, consider as pass |
| [0, 1] | [32, 7168] | [7168, 1] | [32, 7168] |  bfloat16   | [7168, 1] |  [7168]   |  bfloat16   |    [1]    | _input_normal |  _input_normal  | _weight_normal  | bfloat16 | Warning |   cpu    |  fp32   | 0.0039 | 1e-05 | 0.9999969721120846 | 0.00050184876 |                   |                    |                        |            | 0.0008370535714285714 | 2.297312098993321e-05  |          0.0          | 0.0069458056  |  0.0010431383  |   1.4525604   |   0.3358257    | 0.014726911272321428 | Max abs error is less than 0.001, consider as pass |
| [0, 1] | [32, 7168] | [7168, 1] | [32, 7168] |  bfloat16   | [7168, 1] |  [7168]   |  bfloat16   |    [1]    | _input_normal |  _input_normal  | _weight_normal  | bfloat16 | Warning |   cpu    |  fp32   | 0.0039 | 1e-05 |        1.0         |      0.0      |                   |                    |                        |            |          0.0          |          0.0           |          0.0          |      0.0      |      0.0       |      0.0      |      0.0       |         0.0          | Max abs error is less than 0.001, consider as pass |
