Test Case: H20SXM_vllm.ops.NATIVE_C-get_ep_indices
|  output   | _tensor | strides | _tensor_1 | precision_1 | strides_1 | high_1 | high  | _tensor_2 | precision_2 | strides_2 | high_2 | _tensor_3 | precision_3 | strides_3 | high_3 | dtype | status | b_device | b_dtype | rtol  | atol  | cosine_sim | max_abs_err | rel_err_hundredth | rel_err_thousandth | rel_err_ten_thousandth | error_rate | eb | rmse | small_value_err_ratio | max_rel_error | mean_rel_error | max_ulp_error | mean_ulp_error | ulp_error_proportion |              message              |
| [0, 1, 2] |   [8]   |   [1]   |   [256]   |     Int     |    [1]    | 32768  | 32768 |    [1]    |     Int     |    [1]    | 32768  |  [32, 8]  |     Int     |  [8, 1]   | 32768  |  Int  |  pass  |   cpu    |   int   | 1e-06 | 1e-09 |            |             |                   |                    |                        |    0.0     |    |      |                       |               |                |               |                |                      | Error Rate is 0, consider as pass |
| [0, 1, 2] |   [8]   |   [1]   |   [256]   |     Int     |    [1]    | 32768  | 32768 |    [1]    |     Int     |    [1]    | 32768  |  [32, 8]  |     Int     |  [8, 1]   | 32768  |  Int  |  pass  |   cpu    |   int   | 1e-06 | 1e-09 |            |             |                   |                    |                        |    0.0     |    |      |                       |               |                |               |                |                      | Error Rate is 0, consider as pass |
| [0, 1, 2] |   [8]   |   [1]   |   [256]   |     Int     |    [1]    | 32768  | 32768 |    [1]    |     Int     |    [1]    | 32768  |  [32, 8]  |     Int     |  [8, 1]   | 32768  |  Int  |  pass  |   cpu    |   int   | 1e-06 | 1e-09 |            |             |                   |                    |                        |    0.0     |    |      |                       |               |                |               |                |                      | Error Rate is 0, consider as pass |
| [0, 1, 2] |   [8]   |   [1]   |   [256]   |     Int     |    [1]    | 32768  | 32768 |    [1]    |     Int     |    [1]    | 32768  |  [32, 8]  |     Int     |  [8, 1]   | 32768  |  Int  |  pass  |   cpu    |   int   | 1e-06 | 1e-09 |            |             |                   |                    |                        |    0.0     |    |      |                       |               |                |               |                |                      | Error Rate is 0, consider as pass |
| [0, 1, 2] |   [8]   |   [1]   |   [256]   |     Int     |    [1]    | 32768  | 32768 |    [1]    |     Int     |    [1]    | 32768  |  [32, 8]  |     Int     |  [8, 1]   | 32768  |  Int  |  pass  |   cpu    |   int   | 1e-06 | 1e-09 |            |             |                   |                    |                        |    0.0     |    |      |                       |               |                |               |                |                      | Error Rate is 0, consider as pass |
| [0, 1, 2] |   [8]   |   [1]   |   [256]   |     Int     |    [1]    | 32768  | 32768 |    [1]    |     Int     |    [1]    | 32768  |  [32, 8]  |     Int     |  [8, 1]   | 32768  |  Int  |  pass  |   cpu    |   int   | 1e-06 | 1e-09 |            |             |                   |                    |                        |    0.0     |    |      |                       |               |                |               |                |                      | Error Rate is 0, consider as pass |
| [0, 1, 2] |   [8]   |   [1]   |   [256]   |     Int     |    [1]    | 32768  | 32768 |    [1]    |     Int     |    [1]    | 32768  |  [32, 8]  |     Int     |  [8, 1]   | 32768  |  Int  |  pass  |   cpu    |   int   | 1e-06 | 1e-09 |            |             |                   |                    |                        |    0.0     |    |      |                       |               |                |               |                |                      | Error Rate is 0, consider as pass |
| [0, 1, 2] |   [8]   |   [1]   |   [256]   |     Int     |    [1]    | 32768  | 32768 |    [1]    |     Int     |    [1]    | 32768  |  [32, 8]  |     Int     |  [8, 1]   | 32768  |  Int  |  pass  |   cpu    |   int   | 1e-06 | 1e-09 |            |             |                   |                    |                        |    0.0     |    |      |                       |               |                |               |                |                      | Error Rate is 0, consider as pass |
| [0, 1, 2] |   [8]   |   [1]   |   [256]   |     Int     |    [1]    | 32768  | 32768 |    [1]    |     Int     |    [1]    | 32768  |  [32, 8]  |     Int     |  [8, 1]   | 32768  |  Int  |  pass  |   cpu    |   int   | 1e-06 | 1e-09 |            |             |                   |                    |                        |    0.0     |    |      |                       |               |                |               |                |                      | Error Rate is 0, consider as pass |
| [0, 1, 2] |   [8]   |   [1]   |   [256]   |     Int     |    [1]    | 32768  | 32768 |    [1]    |     Int     |    [1]    | 32768  |  [32, 8]  |     Int     |  [8, 1]   | 32768  |  Int  |  pass  |   cpu    |   int   | 1e-06 | 1e-09 |            |             |                   |                    |                        |    0.0     |    |      |                       |               |                |               |                |                      | Error Rate is 0, consider as pass |
