Test Case: H20SXM_vllm.ops.NATIVE_C-paged_attention_v1
| B | H  |  S  |  D  | BS | MS  | BT | output  | out__tensor  | out_precision | query__tensor | query_precision |  key_cache__tensor   | key_cache_precision | value_cache__tensor | value_cache_precision | num_kv_heads | scale | block_tables__tensor | block_tables_precision | block_tables_high | block_tables_low | seq_lens__tensor | seq_lens_precision | seq_lens_high | seq_lens_low | block_size | max_seq_len | alibi_slopes | kv_cache_dtype | k_scale | v_scale | tp_rank | blocksparse_local_blocks | blocksparse_vert_stride | blocksparse_block_size | blocksparse_head_sliding_step | k_zero | v_zero | out_scales | dtype | status  | b_device | b_dtype |  rtol  | atol  |     cosine_sim     |  max_abs_err   | rel_err_hundredth | rel_err_thousandth | rel_err_ten_thousandth | error_rate | eb  |          rmse          | small_value_err_ratio | max_rel_error | mean_rel_error | max_ulp_error | mean_ulp_error | ulp_error_proportion |                      message                       |
| 1 | 4  | 64  | 64  | 16 | 128 | 8  | ['out'] |  [1, 4, 64]  |     fp16      |  [1, 4, 64]   |      fp16       |  [8, 4, 1, 16, 64]   |        fp16         |   [8, 4, 64, 16]    |         fp16          |      4       | 0.125 |        [1, 8]        |         int32          |         8         |        0         |       [1]        |       int32        |      65       |      1       |     16     |     128     |     None     |      auto      |   1.0   |   1.0   |    0    |            0             |            0            |           0            |               0               |  0.0   |  0.0   |    None    | bf16  | Warning |   cpu    |  fp32   | 0.0005 | 1e-05 | 0.9999999777735827 | 0.00017416477  |                   |                    |                        |            | 0.0 | 4.941938714203564e-05  |           0           | 0.00045643013 |  0.0001788522  |  0.49865723   |   0.25012064   |         0.0          | Max abs error is less than 0.001, consider as pass |
| 1 | 4  | 64  | 64  | 16 | 128 | 8  | ['out'] |  [1, 4, 64]  |     fp16      |  [1, 4, 64]   |      fp16       |  [8, 4, 1, 16, 64]   |        fp16         |   [8, 4, 64, 16]    |         fp16          |      4       | 0.125 |        [1, 8]        |         int32          |         8         |        0         |       [1]        |       int32        |      65       |      1       |     16     |     128     |     None     |      auto      |   1.0   |   1.0   |    0    |            0             |            0            |           0            |               0               |  0.0   |  0.0   |    None    | bf16  | Warning |   cpu    |  fp32   | 0.0005 | 1e-05 | 0.9999999817196904 | 0.00024193525  |                   |                    |                        |            | 0.0 | 5.509477718648912e-05  |           0           | 0.0004748909  | 0.00016909174  |   0.4954834   |   0.2411685    |         0.0          | Max abs error is less than 0.001, consider as pass |
| 1 | 4  | 64  | 64  | 16 | 128 | 8  | ['out'] |  [1, 4, 64]  |     fp16      |  [1, 4, 64]   |      fp16       |  [8, 4, 1, 16, 64]   |        fp16         |   [8, 4, 64, 16]    |         fp16          |      4       | 0.125 |        [1, 8]        |         int32          |         8         |        0         |       [1]        |       int32        |      65       |      1       |     16     |     128     |     None     |      auto      |   1.0   |   1.0   |    0    |            0             |            0            |           0            |               0               |  0.0   |  0.0   |    None    | bf16  | Warning |   cpu    |  fp32   | 0.0005 | 1e-05 | 0.9999999788312071 | 0.00041806698  |                   |                    |                        |            | 0.0 | 8.621457756843709e-05  |           0           | 0.00047009453 | 0.00017954843  |  0.49804688   |   0.25314236   |         0.0          | Max abs error is less than 0.001, consider as pass |
| 1 | 4  | 64  | 64  | 16 | 128 | 8  | ['out'] |  [1, 4, 64]  |     fp16      |  [1, 4, 64]   |      fp16       |  [8, 4, 1, 16, 64]   |        fp16         |   [8, 4, 64, 16]    |         fp16          |      4       | 0.125 |        [1, 8]        |         int32          |         8         |        0         |       [1]        |       int32        |      65       |      1       |     16     |     128     |     None     |      auto      |   1.0   |   1.0   |    0    |            0             |            0            |           0            |               0               |  0.0   |  0.0   |    None    | bf16  | Warning |   cpu    |  fp32   | 0.0005 | 1e-05 | 0.9999999780792187 | 0.00023007393  |                   |                    |                        |            | 0.0 | 5.601157814346718e-05  |          0.0          | 0.00044584827 | 0.00018618508  |  0.49865723   |   0.26096725   |         0.0          | Max abs error is less than 0.001, consider as pass |
| 1 | 4  | 64  | 64  | 16 | 128 | 8  | ['out'] |  [1, 4, 64]  |     fp16      |  [1, 4, 64]   |      fp16       |  [8, 4, 1, 16, 64]   |        fp16         |   [8, 4, 64, 16]    |         fp16          |      4       | 0.125 |        [1, 8]        |         int32          |         8         |        0         |       [1]        |       int32        |      65       |      1       |     16     |     128     |     None     |      auto      |   1.0   |   1.0   |    0    |            0             |            0            |           0            |               0               |  0.0   |  0.0   |    None    | bf16  | Warning |   cpu    |  fp32   | 0.0005 | 1e-05 | 0.9999999758797342 |  0.0002914667  |                   |                    |                        |            | 0.0 | 7.089899707394996e-05  |          0.0          | 0.00047381502 | 0.00017145196  |   0.4991455   |   0.24524784   |         0.0          | Max abs error is less than 0.001, consider as pass |
| 1 | 4  | 64  | 64  | 16 | 128 | 8  | ['out'] |  [1, 4, 64]  |     fp16      |  [1, 4, 64]   |      fp16       |  [8, 4, 1, 16, 64]   |        fp16         |   [8, 4, 64, 16]    |         fp16          |      4       | 0.125 |        [1, 8]        |         int32          |         8         |        0         |       [1]        |       int32        |      65       |      1       |     16     |     128     |     None     |      auto      |   1.0   |   1.0   |    0    |            0             |            0            |           0            |               0               |  0.0   |  0.0   |    None    | bf16  | Warning |   cpu    |  fp32   | 0.0005 | 1e-05 |  0.99999998220761  |  0.0004464388  |                   |                    |                        |            | 0.0 | 0.00010856798617404907 |           0           | 0.00045718264 | 0.00016971644  |  0.49560547   |   0.24933815   |         0.0          | Max abs error is less than 0.001, consider as pass |
| 1 | 4  | 64  | 64  | 16 | 128 | 8  | ['out'] |  [1, 4, 64]  |     fp16      |  [1, 4, 64]   |      fp16       |  [8, 4, 1, 16, 64]   |        fp16         |   [8, 4, 64, 16]    |         fp16          |      4       | 0.125 |        [1, 8]        |         int32          |         8         |        0         |       [1]        |       int32        |      65       |      1       |     16     |     128     |     None     |      auto      |   1.0   |   1.0   |    0    |            0             |            0            |           0            |               0               |  0.0   |  0.0   |    None    | bf16  | Warning |   cpu    |  fp32   | 0.0005 | 1e-05 | 0.9999999757278608 | 0.00024402142  |                   |                    |                        |            | 0.0 | 6.418119407153204e-05  |          0.0          | 0.00048402481 | 0.00018337132  |  0.49975586   |   0.26087284   |         0.0          | Max abs error is less than 0.001, consider as pass |
| 1 | 4  | 64  | 64  | 16 | 128 | 8  | ['out'] |  [1, 4, 64]  |     fp16      |  [1, 4, 64]   |      fp16       |  [8, 4, 1, 16, 64]   |        fp16         |   [8, 4, 64, 16]    |         fp16          |      4       | 0.125 |        [1, 8]        |         int32          |         8         |        0         |       [1]        |       int32        |      65       |      1       |     16     |     128     |     None     |      auto      |   1.0   |   1.0   |    0    |            0             |            0            |           0            |               0               |  0.0   |  0.0   |    None    | bf16  | Warning |   cpu    |  fp32   | 0.0005 | 1e-05 | 0.999999980276411  |  0.0002246499  |                   |                    |                        |            | 0.0 | 5.646184665248456e-05  |           0           | 0.0004547427  | 0.00017532006  |   0.4996338   |   0.24746704   |         0.0          | Max abs error is less than 0.001, consider as pass |
| 1 | 4  | 64  | 64  | 16 | 128 | 8  | ['out'] |  [1, 4, 64]  |     fp16      |  [1, 4, 64]   |      fp16       |  [8, 4, 1, 16, 64]   |        fp16         |   [8, 4, 64, 16]    |         fp16          |      4       | 0.125 |        [1, 8]        |         int32          |         8         |        0         |       [1]        |       int32        |      65       |      1       |     16     |     128     |     None     |      auto      |   1.0   |   1.0   |    0    |            0             |            0            |           0            |               0               |  0.0   |  0.0   |    None    | bf16  | Warning |   cpu    |  fp32   | 0.0005 | 1e-05 | 0.9999999769686041 | 0.00088739395  |                   |                    |                        |            | 0.0 | 0.00018275904202285867 |           0           | 0.00045570728 | 0.00018853297  |  0.49902344   |   0.2680335    |         0.0          | Max abs error is less than 0.001, consider as pass |
| 1 | 4  | 64  | 64  | 16 | 128 | 8  | ['out'] |  [1, 4, 64]  |     fp16      |  [1, 4, 64]   |      fp16       |  [8, 4, 1, 16, 64]   |        fp16         |   [8, 4, 64, 16]    |         fp16          |      4       | 0.125 |        [1, 8]        |         int32          |         8         |        0         |       [1]        |       int32        |      65       |      1       |     16     |     128     |     None     |      auto      |   1.0   |   1.0   |    0    |            0             |            0            |           0            |               0               |  0.0   |  0.0   |    None    | bf16  | Warning |   cpu    |  fp32   | 0.0005 | 1e-05 | 0.9999999780128604 | 0.00021362305  |                   |                    |                        |            | 0.0 | 4.8663144508440395e-05 |          0.0          | 0.00044154318 | 0.00017314655  |  0.48388672   |   0.24230194   |         0.0          | Max abs error is less than 0.001, consider as pass |
| 4 | 4  | 64  | 64  | 16 | 128 | 8  | ['out'] |  [4, 4, 64]  |     fp16      |  [4, 4, 64]   |      fp16       |  [8, 4, 1, 16, 64]   |        fp16         |   [8, 4, 64, 16]    |         fp16          |      4       | 0.125 |        [4, 8]        |         int32          |         8         |        0         |       [4]        |       int32        |      65       |      1       |     16     |     128     |     None     |      auto      |   1.0   |   1.0   |    0    |            0             |            0            |           0            |               0               |  0.0   |  0.0   |    None    | bf16  | Warning |   cpu    |  fp32   | 0.0005 | 1e-05 | 0.999999979051813  |  0.0004749298  |                   |                    |                        |            | 0.0 | 9.110573434705955e-05  |          0.0          | 0.00046736465 | 0.00017394756  |      0.5      |   0.24615276   |         0.0          | Max abs error is less than 0.001, consider as pass |
| 4 | 4  | 64  | 64  | 16 | 128 | 8  | ['out'] |  [4, 4, 64]  |     fp16      |  [4, 4, 64]   |      fp16       |  [8, 4, 1, 16, 64]   |        fp16         |   [8, 4, 64, 16]    |         fp16          |      4       | 0.125 |        [4, 8]        |         int32          |         8         |        0         |       [4]        |       int32        |      65       |      1       |     16     |     128     |     None     |      auto      |   1.0   |   1.0   |    0    |            0             |            0            |           0            |               0               |  0.0   |  0.0   |    None    | bf16  | Warning |   cpu    |  fp32   | 0.0005 | 1e-05 | 0.9999999786293529 |  0.000472188   |                   |                    |                        |            | 0.0 | 7.661722257188199e-05  |          0.0          | 0.00046365338 | 0.00017610072  |  0.49926758   |   0.2518996    |         0.0          | Max abs error is less than 0.001, consider as pass |
| 4 | 4  | 64  | 64  | 16 | 128 | 8  | ['out'] |  [4, 4, 64]  |     fp16      |  [4, 4, 64]   |      fp16       |  [8, 4, 1, 16, 64]   |        fp16         |   [8, 4, 64, 16]    |         fp16          |      4       | 0.125 |        [4, 8]        |         int32          |         8         |        0         |       [4]        |       int32        |      65       |      1       |     16     |     128     |     None     |      auto      |   1.0   |   1.0   |    0    |            0             |            0            |           0            |               0               |  0.0   |  0.0   |    None    | bf16  | Warning |   cpu    |  fp32   | 0.0005 | 1e-05 | 0.9999999797046307 | 0.00024342537  |                   |                    |                        |            | 0.0 | 5.623951732912387e-05  |          0.0          | 0.0004724733  | 0.00017500478  |  0.49987793   |   0.24797595   |         0.0          | Max abs error is less than 0.001, consider as pass |
| 4 | 4  | 64  | 64  | 16 | 128 | 8  | ['out'] |  [4, 4, 64]  |     fp16      |  [4, 4, 64]   |      fp16       |  [8, 4, 1, 16, 64]   |        fp16         |   [8, 4, 64, 16]    |         fp16          |      4       | 0.125 |        [4, 8]        |         int32          |         8         |        0         |       [4]        |       int32        |      65       |      1       |     16     |     128     |     None     |      auto      |   1.0   |   1.0   |    0    |            0             |            0            |           0            |               0               |  0.0   |  0.0   |    None    | bf16  | Warning |   cpu    |  fp32   | 0.0005 | 1e-05 | 0.9999999776874204 | 0.00023901463  |                   |                    |                        |            | 0.0 | 5.0224959986208134e-05 |          0.0          | 0.00046615943 | 0.00017639015  |  0.49987793   |   0.24961829   |         0.0          | Max abs error is less than 0.001, consider as pass |
| 4 | 4  | 64  | 64  | 16 | 128 | 8  | ['out'] |  [4, 4, 64]  |     fp16      |  [4, 4, 64]   |      fp16       |  [8, 4, 1, 16, 64]   |        fp16         |   [8, 4, 64, 16]    |         fp16          |      4       | 0.125 |        [4, 8]        |         int32          |         8         |        0         |       [4]        |       int32        |      65       |      1       |     16     |     128     |     None     |      auto      |   1.0   |   1.0   |    0    |            0             |            0            |           0            |               0               |  0.0   |  0.0   |    None    | bf16  | Warning |   cpu    |  fp32   | 0.0005 | 1e-05 | 0.9999999909040478 | 0.00047898293  |                   |                    |                        |            | 0.0 | 8.328615928573024e-05  |           0           | 0.00047497646 | 0.00013343708  |      0.5      |   0.19067132   |         0.0          | Max abs error is less than 0.001, consider as pass |
| 4 | 4  | 64  | 64  | 16 | 128 | 8  | ['out'] |  [4, 4, 64]  |     fp16      |  [4, 4, 64]   |      fp16       |  [8, 4, 1, 16, 64]   |        fp16         |   [8, 4, 64, 16]    |         fp16          |      4       | 0.125 |        [4, 8]        |         int32          |         8         |        0         |       [4]        |       int32        |      65       |      1       |     16     |     128     |     None     |      auto      |   1.0   |   1.0   |    0    |            0             |            0            |           0            |               0               |  0.0   |  0.0   |    None    | bf16  | Warning |   cpu    |  fp32   | 0.0005 | 1e-05 | 0.9999999795457929 |   0.00024122   |                   |                    |                        |            | 0.0 | 5.429757477053573e-05  |           0           | 0.00047123333 | 0.00017696401  |  0.49926758   |   0.25511432   |         0.0          | Max abs error is less than 0.001, consider as pass |
