Test Case: H20SXM_vllm.ops.NATIVE_C-rms_norm
| output |  _tensor  | strides  | _tensor_1 | precision_1 | strides_1 | _tensor_2 | precision_2 | strides_2 | distributions | distributions_1 |  dtype   | status  | b_device | b_dtype |  rtol  | atol  |     cosine_sim     |  max_abs_err  | rel_err_hundredth | rel_err_thousandth | rel_err_ten_thousandth | error_rate |       eb        |          rmse          | small_value_err_ratio | max_rel_error | mean_rel_error | max_ulp_error | mean_ulp_error | ulp_error_proportion |                      message                       |
|  [0]   | [32, 512] | [512, 1] | [32, 512] |  bfloat16   | [512, 1]  |   [512]   |  bfloat16   |    [1]    | _input_normal | _weight_normal  | bfloat16 | Warning |   cpu    |  fp32   | 0.0039 | 1e-05 | 0.9999986659018425 | 0.00018424541 |                   |                    |                        |            | 0.0142822265625 | 1.4981405180529647e-05 |          0.0          |  0.003070957  |  0.0007515271  |  0.49993896   |   0.24984139   |         0.0          | Max abs error is less than 0.001, consider as pass |
|  [0]   | [32, 512] | [512, 1] | [32, 512] |  bfloat16   | [512, 1]  |   [512]   |  bfloat16   |    [1]    | _input_normal | _weight_normal  | bfloat16 | Warning |   cpu    |  fp32   | 0.0039 | 1e-05 | 0.9999985547834751 | 0.00023601204 |                   |                    |                        |            | 0.0030517578125 | 1.635069068384761e-05  |          0.0          | 0.0035406132  | 0.00075873715  |  0.49998474   |   0.25038618   |         0.0          | Max abs error is less than 0.001, consider as pass |
|  [0]   | [32, 512] | [512, 1] | [32, 512] |  bfloat16   | [512, 1]  |   [512]   |  bfloat16   |    [1]    | _input_normal | _weight_normal  | bfloat16 | Warning |   cpu    |  fp32   | 0.0039 | 1e-05 | 0.9999987014848443 | 0.00012014061 |                   |                    |                        |            | 0.0125732421875 | 1.5274475055428246e-05 |          0.0          | 0.0033507545  | 0.00075787713  |  0.49996948   |   0.2505134    |         0.0          | Max abs error is less than 0.001, consider as pass |
|  [0]   | [32, 512] | [512, 1] | [32, 512] |  bfloat16   | [512, 1]  |   [512]   |  bfloat16   |    [1]    | _input_normal | _weight_normal  | bfloat16 | Warning |   cpu    |  fp32   | 0.0039 | 1e-05 | 0.9999986034323989 | 0.00012113899 |                   |                    |                        |            | 0.005615234375  | 1.5447684400907732e-05 |          0.0          | 0.0031775436  | 0.00076945237  |  0.49998474   |   0.25009066   |         0.0          | Max abs error is less than 0.001, consider as pass |
|  [0]   | [32, 512] | [512, 1] | [32, 512] |  bfloat16   | [512, 1]  |   [512]   |  bfloat16   |    [1]    | _input_normal | _weight_normal  | bfloat16 | Warning |   cpu    |  fp32   | 0.0039 | 1e-05 | 0.9999986715634341 | 0.00013287365 |                   |                    |                        |            |  0.0048828125   | 1.5385759025000732e-05 |          0.0          | 0.0034219017  | 0.00075855193  |      0.5      |   0.24975038   |         0.0          | Max abs error is less than 0.001, consider as pass |
|  [0]   | [32, 512] | [512, 1] | [32, 512] |  bfloat16   | [512, 1]  |   [512]   |  bfloat16   |    [1]    | _input_normal | _weight_normal  | bfloat16 | Warning |   cpu    |  fp32   | 0.0039 | 1e-05 | 0.9999986142173383 | 0.00016061217 |                   |                    |                        |            | 0.016357421875  | 1.6224381596572276e-05 |          0.0          | 0.0033341541  | 0.00077375205  |   0.4999237   |   0.25048313   |         0.0          | Max abs error is less than 0.001, consider as pass |
|  [0]   | [32, 512] | [512, 1] | [32, 512] |  bfloat16   | [512, 1]  |   [512]   |  bfloat16   |    [1]    | _input_normal | _weight_normal  | bfloat16 | Warning |   cpu    |  fp32   | 0.0039 | 1e-05 | 0.9999986201780694 | 0.0001190044  |                   |                    |                        |            |  0.00634765625  | 1.546144240681754e-05  |          0.0          | 0.0030826505  |  0.0007598372  |  0.49998474   |   0.2496956    |         0.0          | Max abs error is less than 0.001, consider as pass |
|  [0]   | [32, 512] | [512, 1] | [32, 512] |  bfloat16   | [512, 1]  |   [512]   |  bfloat16   |    [1]    | _input_normal | _weight_normal  | bfloat16 | Warning |   cpu    |  fp32   | 0.0039 | 1e-05 | 0.9999987139639401 | 0.00012091175 |                   |                    |                        |            | 0.0103759765625 | 1.5665811295856345e-05 |          0.0          | 0.0033505643  |  0.0007557969  |  0.49995422   |   0.24842432   |         0.0          | Max abs error is less than 0.001, consider as pass |
|  [0]   | [32, 512] | [512, 1] | [32, 512] |  bfloat16   | [512, 1]  |   [512]   |  bfloat16   |    [1]    | _input_normal | _weight_normal  | bfloat16 | Warning |   cpu    |  fp32   | 0.0039 | 1e-05 | 0.9999985973136197 | 0.00012113154 |                   |                    |                        |            | 0.0047607421875 | 1.5927947305916766e-05 |          0.0          | 0.0033525073  |  0.0007648158  |   0.5000305   |   0.25040886   |         0.0          | Max abs error is less than 0.001, consider as pass |
|  [0]   | [32, 512] | [512, 1] | [32, 512] |  bfloat16   | [512, 1]  |   [512]   |  bfloat16   |    [1]    | _input_normal | _weight_normal  | bfloat16 | Warning |   cpu    |  fp32   | 0.0039 | 1e-05 | 0.9999985819388477 | 0.00015185773 |                   |                    |                        |            | 0.0018310546875 | 1.5053216058009747e-05 |          0.0          | 0.0033888554  |  0.0007448583  |  0.49993896   |   0.25066966   |         0.0          | Max abs error is less than 0.001, consider as pass |
|  [0]   | [32, 512] | [512, 1] | [32, 512] |  bfloat16   | [512, 1]  |   [512]   |  bfloat16   |    [1]    | _input_normal | _weight_normal  | bfloat16 | Warning |   cpu    |  fp32   | 0.0039 | 1e-05 | 0.9999986659018425 | 0.00018424541 |                   |                    |                        |            | 0.0142822265625 | 1.4981405180529647e-05 |          0.0          |  0.003070957  |  0.0007515271  |  0.49993896   |   0.24984139   |         0.0          | Max abs error is less than 0.001, consider as pass |
|  [0]   | [32, 512] | [512, 1] | [32, 512] |  bfloat16   | [512, 1]  |   [512]   |  bfloat16   |    [1]    | _input_normal | _weight_normal  | bfloat16 | Warning |   cpu    |  fp32   | 0.0039 | 1e-05 | 0.9999985547834751 | 0.00023601204 |                   |                    |                        |            | 0.0030517578125 | 1.635069068384761e-05  |          0.0          | 0.0035406132  | 0.00075873715  |  0.49998474   |   0.25038618   |         0.0          | Max abs error is less than 0.001, consider as pass |
|  [0]   | [32, 512] | [512, 1] | [32, 512] |  bfloat16   | [512, 1]  |   [512]   |  bfloat16   |    [1]    | _input_normal | _weight_normal  | bfloat16 | Warning |   cpu    |  fp32   | 0.0039 | 1e-05 | 0.9999987014848443 | 0.00012014061 |                   |                    |                        |            | 0.0125732421875 | 1.5274475055428246e-05 |          0.0          | 0.0033507545  | 0.00075787713  |  0.49996948   |   0.2505134    |         0.0          | Max abs error is less than 0.001, consider as pass |
|  [0]   | [32, 512] | [512, 1] | [32, 512] |  bfloat16   | [512, 1]  |   [512]   |  bfloat16   |    [1]    | _input_normal | _weight_normal  | bfloat16 | Warning |   cpu    |  fp32   | 0.0039 | 1e-05 | 0.9999986034323989 | 0.00012113899 |                   |                    |                        |            | 0.005615234375  | 1.5447684400907732e-05 |          0.0          | 0.0031775436  | 0.00076945237  |  0.49998474   |   0.25009066   |         0.0          | Max abs error is less than 0.001, consider as pass |
|  [0]   | [32, 512] | [512, 1] | [32, 512] |  bfloat16   | [512, 1]  |   [512]   |  bfloat16   |    [1]    | _input_normal | _weight_normal  | bfloat16 | Warning |   cpu    |  fp32   | 0.0039 | 1e-05 | 0.9999986715634341 | 0.00013287365 |                   |                    |                        |            |  0.0048828125   | 1.5385759025000732e-05 |          0.0          | 0.0034219017  | 0.00075855193  |      0.5      |   0.24975038   |         0.0          | Max abs error is less than 0.001, consider as pass |
|  [0]   | [32, 512] | [512, 1] | [32, 512] |  bfloat16   | [512, 1]  |   [512]   |  bfloat16   |    [1]    | _input_normal | _weight_normal  | bfloat16 | Warning |   cpu    |  fp32   | 0.0039 | 1e-05 | 0.9999986142173383 | 0.00016061217 |                   |                    |                        |            | 0.016357421875  | 1.6224381596572276e-05 |          0.0          | 0.0033341541  | 0.00077375205  |   0.4999237   |   0.25048313   |         0.0          | Max abs error is less than 0.001, consider as pass |
|  [0]   | [32, 512] | [512, 1] | [32, 512] |  bfloat16   | [512, 1]  |   [512]   |  bfloat16   |    [1]    | _input_normal | _weight_normal  | bfloat16 | Warning |   cpu    |  fp32   | 0.0039 | 1e-05 | 0.9999986201780694 | 0.0001190044  |                   |                    |                        |            |  0.00634765625  | 1.546144240681754e-05  |          0.0          | 0.0030826505  |  0.0007598372  |  0.49998474   |   0.2496956    |         0.0          | Max abs error is less than 0.001, consider as pass |
|  [0]   | [32, 512] | [512, 1] | [32, 512] |  bfloat16   | [512, 1]  |   [512]   |  bfloat16   |    [1]    | _input_normal | _weight_normal  | bfloat16 | Warning |   cpu    |  fp32   | 0.0039 | 1e-05 | 0.9999987139639401 | 0.00012091175 |                   |                    |                        |            | 0.0103759765625 | 1.5665811295856345e-05 |          0.0          | 0.0033505643  |  0.0007557969  |  0.49995422   |   0.24842432   |         0.0          | Max abs error is less than 0.001, consider as pass |
|  [0]   | [32, 512] | [512, 1] | [32, 512] |  bfloat16   | [512, 1]  |   [512]   |  bfloat16   |    [1]    | _input_normal | _weight_normal  | bfloat16 | Warning |   cpu    |  fp32   | 0.0039 | 1e-05 | 0.9999985973136197 | 0.00012113154 |                   |                    |                        |            | 0.0047607421875 | 1.5927947305916766e-05 |          0.0          | 0.0033525073  |  0.0007648158  |   0.5000305   |   0.25040886   |         0.0          | Max abs error is less than 0.001, consider as pass |
|  [0]   | [32, 512] | [512, 1] | [32, 512] |  bfloat16   | [512, 1]  |   [512]   |  bfloat16   |    [1]    | _input_normal | _weight_normal  | bfloat16 | Warning |   cpu    |  fp32   | 0.0039 | 1e-05 | 0.9999985819388477 | 0.00015185773 |                   |                    |                        |            | 0.0018310546875 | 1.5053216058009747e-05 |          0.0          | 0.0033888554  |  0.0007448583  |  0.49993896   |   0.25066966   |         0.0          | Max abs error is less than 0.001, consider as pass |
|  [0]   | [32, 512] | [512, 1] | [32, 512] |  bfloat16   | [512, 1]  |   [512]   |  bfloat16   |    [1]    | _input_normal | _weight_normal  | bfloat16 | Warning |   cpu    |  fp32   | 0.0039 | 1e-05 | 0.9999986659018425 | 0.00018424541 |                   |                    |                        |            | 0.0142822265625 | 1.4981405180529647e-05 |          0.0          |  0.003070957  |  0.0007515271  |  0.49993896   |   0.24984139   |         0.0          | Max abs error is less than 0.001, consider as pass |
|  [0]   | [32, 512] | [512, 1] | [32, 512] |  bfloat16   | [512, 1]  |   [512]   |  bfloat16   |    [1]    | _input_normal | _weight_normal  | bfloat16 | Warning |   cpu    |  fp32   | 0.0039 | 1e-05 | 0.9999985547834751 | 0.00023601204 |                   |                    |                        |            | 0.0030517578125 | 1.635069068384761e-05  |          0.0          | 0.0035406132  | 0.00075873715  |  0.49998474   |   0.25038618   |         0.0          | Max abs error is less than 0.001, consider as pass |
|  [0]   | [32, 512] | [512, 1] | [32, 512] |  bfloat16   | [512, 1]  |   [512]   |  bfloat16   |    [1]    | _input_normal | _weight_normal  | bfloat16 | Warning |   cpu    |  fp32   | 0.0039 | 1e-05 | 0.9999987014848443 | 0.00012014061 |                   |                    |                        |            | 0.0125732421875 | 1.5274475055428246e-05 |          0.0          | 0.0033507545  | 0.00075787713  |  0.49996948   |   0.2505134    |         0.0          | Max abs error is less than 0.001, consider as pass |
|  [0]   | [32, 512] | [512, 1] | [32, 512] |  bfloat16   | [512, 1]  |   [512]   |  bfloat16   |    [1]    | _input_normal | _weight_normal  | bfloat16 | Warning |   cpu    |  fp32   | 0.0039 | 1e-05 | 0.9999986034323989 | 0.00012113899 |                   |                    |                        |            | 0.005615234375  | 1.5447684400907732e-05 |          0.0          | 0.0031775436  | 0.00076945237  |  0.49998474   |   0.25009066   |         0.0          | Max abs error is less than 0.001, consider as pass |
|  [0]   | [32, 512] | [512, 1] | [32, 512] |  bfloat16   | [512, 1]  |   [512]   |  bfloat16   |    [1]    | _input_normal | _weight_normal  | bfloat16 | Warning |   cpu    |  fp32   | 0.0039 | 1e-05 | 0.9999986715634341 | 0.00013287365 |                   |                    |                        |            |  0.0048828125   | 1.5385759025000732e-05 |          0.0          | 0.0034219017  | 0.00075855193  |      0.5      |   0.24975038   |         0.0          | Max abs error is less than 0.001, consider as pass |
|  [0]   | [32, 512] | [512, 1] | [32, 512] |  bfloat16   | [512, 1]  |   [512]   |  bfloat16   |    [1]    | _input_normal | _weight_normal  | bfloat16 | Warning |   cpu    |  fp32   | 0.0039 | 1e-05 | 0.9999986142173383 | 0.00016061217 |                   |                    |                        |            | 0.016357421875  | 1.6224381596572276e-05 |          0.0          | 0.0033341541  | 0.00077375205  |   0.4999237   |   0.25048313   |         0.0          | Max abs error is less than 0.001, consider as pass |
|  [0]   | [32, 512] | [512, 1] | [32, 512] |  bfloat16   | [512, 1]  |   [512]   |  bfloat16   |    [1]    | _input_normal | _weight_normal  | bfloat16 | Warning |   cpu    |  fp32   | 0.0039 | 1e-05 | 0.9999986201780694 | 0.0001190044  |                   |                    |                        |            |  0.00634765625  | 1.546144240681754e-05  |          0.0          | 0.0030826505  |  0.0007598372  |  0.49998474   |   0.2496956    |         0.0          | Max abs error is less than 0.001, consider as pass |
|  [0]   | [32, 512] | [512, 1] | [32, 512] |  bfloat16   | [512, 1]  |   [512]   |  bfloat16   |    [1]    | _input_normal | _weight_normal  | bfloat16 | Warning |   cpu    |  fp32   | 0.0039 | 1e-05 | 0.9999987139639401 | 0.00012091175 |                   |                    |                        |            | 0.0103759765625 | 1.5665811295856345e-05 |          0.0          | 0.0033505643  |  0.0007557969  |  0.49995422   |   0.24842432   |         0.0          | Max abs error is less than 0.001, consider as pass |
