Test Case: H20SXM_vllm.ops.NATIVE_C-rms_norm_per_token_group_quant_fp8
| output |  _tensor   |  strides  | _tensor_1 | precision_1 | strides_1 | _tensor_2  | precision_2 | strides_2 | distributions | _tensor_3 | precision_3 | strides_3 | distributions_1 |  dtype   | status  | b_device | b_dtype | rtol  | atol  |     cosine_sim     |      max_abs_err      | rel_err_hundredth | rel_err_thousandth | rel_err_ten_thousandth | error_rate |          eb           |          rmse          | small_value_err_ratio |     max_rel_error     |    mean_rel_error     | max_ulp_error | mean_ulp_error | ulp_error_proportion |                      message                       |
| [0, 1] | [32, 1536] | [1536, 1] | [32, 12]  |    Float    |  [12, 1]  | [32, 1536] |  bfloat16   | [1536, 1] | _input_normal |  [1536]   |  bfloat16   |    [1]    | _weight_normal  | bfloat16 |  pass   |   cpu    |  e4m3   | 1e-06 | 1e-09 | 0.9998718586415694 |         32.0          |                   | 0.9643961588541666 |   0.9643961588541666   |            | 0.0005696614583333334 |   1.7445515980951536   |          0.0          |       0.1428559       |      0.003158705      |      1.0      |   0.03532918   |         0.0          |     ulp error is less than 1, consider as pass     |
| [0, 1] | [32, 1536] | [1536, 1] | [32, 12]  |    Float    |  [12, 1]  | [32, 1536] |  bfloat16   | [1536, 1] | _input_normal |  [1536]   |  bfloat16   |    [1]    | _weight_normal  | bfloat16 | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.999997307588348  | 8.061615517362952e-07 |                   |                    |                        |            | 0.026041666666666668  | 1.8551802054199298e-07 |           0           | 0.006052061649801394  | 0.001937556584652075  |    65044.0    |   22100.662    |  0.9947916666666666  | Max abs error is less than 0.001, consider as pass |
| [0, 1] | [32, 1536] | [1536, 1] | [32, 12]  |    Float    |  [12, 1]  | [32, 1536] |  bfloat16   | [1536, 1] | _input_normal |  [1536]   |  bfloat16   |    [1]    | _weight_normal  | bfloat16 |  pass   |   cpu    |  e4m3   | 1e-06 | 1e-09 | 0.9998619784172181 |         32.0          |                   |   0.962158203125   |     0.962158203125     |            | 0.0002848307291666667 |   1.8123187713997877   |          0.0          |         0.125         |     0.0032927499      |      1.0      |  0.037424725   |         0.0          |     ulp error is less than 1, consider as pass     |
| [0, 1] | [32, 1536] | [1536, 1] | [32, 12]  |    Float    |  [12, 1]  | [32, 1536] |  bfloat16   | [1536, 1] | _input_normal |  [1536]   |  bfloat16   |    [1]    | _weight_normal  | bfloat16 | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999973403370022 | 4.726607585325837e-07 |                   |                    |                        |            | 0.057291666666666664  | 1.8415439422304892e-07 |           0           | 0.0057541474160332316 | 0.0019397005350407556 |    64962.0    |    22103.85    |         1.0          | Max abs error is less than 0.001, consider as pass |
| [0, 1] | [32, 1536] | [1536, 1] | [32, 12]  |    Float    |  [12, 1]  | [32, 1536] |  bfloat16   | [1536, 1] | _input_normal |  [1536]   |  bfloat16   |    [1]    | _weight_normal  | bfloat16 |  pass   |   cpu    |  e4m3   | 1e-06 | 1e-09 | 0.9998643521501818 |         32.0          |                   | 0.9623209635416666 |   0.9623209635416666   |            | 0.0006510416666666666 |   1.7641098596917835   |          0.0          |         0.125         |     0.0033356166      |      1.0      |  0.037546795   |         0.0          |     ulp error is less than 1, consider as pass     |
| [0, 1] | [32, 1536] | [1536, 1] | [32, 12]  |    Float    |  [12, 1]  | [32, 1536] |  bfloat16   | [1536, 1] | _input_normal |  [1536]   |  bfloat16   |    [1]    | _weight_normal  | bfloat16 | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999969936980814 | 7.842027116566896e-07 |                   |                    |                        |            | 0.020833333333333332  | 1.991244707092205e-07  |           0           | 0.006403032217288753  | 0.0019784087797522928 |    65281.0    |   22499.205    |         1.0          | Max abs error is less than 0.001, consider as pass |
| [0, 1] | [32, 1536] | [1536, 1] | [32, 12]  |    Float    |  [12, 1]  | [32, 1536] |  bfloat16   | [1536, 1] | _input_normal |  [1536]   |  bfloat16   |    [1]    | _weight_normal  | bfloat16 |  pass   |   cpu    |  e4m3   | 1e-06 | 1e-09 | 0.9998697000599993 |         32.0          |                   |  0.96319580078125  |    0.96319580078125    |            |   0.00018310546875    |   1.7192071053657076   |          0.0          |       0.1428559       |     0.0032414212      |      1.0      |  0.036519367   |         0.0          |     ulp error is less than 1, consider as pass     |
| [0, 1] | [32, 1536] | [1536, 1] | [32, 12]  |    Float    |  [12, 1]  | [32, 1536] |  bfloat16   | [1536, 1] | _input_normal |  [1536]   |  bfloat16   |    [1]    | _weight_normal  | bfloat16 | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999973666951424 | 6.600894266739488e-07 |                   |                    |                        |            | 0.026041666666666668  | 1.9547899859612672e-07 |           0           | 0.006496294825764123  | 0.0018431159760620072 |    65231.0    |   21242.111    |         1.0          | Max abs error is less than 0.001, consider as pass |
| [0, 1] | [32, 1536] | [1536, 1] | [32, 12]  |    Float    |  [12, 1]  | [32, 1536] |  bfloat16   | [1536, 1] | _input_normal |  [1536]   |  bfloat16   |    [1]    | _weight_normal  | bfloat16 |  pass   |   cpu    |  e4m3   | 1e-06 | 1e-09 | 0.9998843275542181 |         32.0          |                   | 0.9632771809895834 |   0.9632771809895834   |            | 0.0002644856770833333 |   1.6471282813578019   |          0.0          |      0.19999756       |     0.0032392084      |      1.0      |   0.03643799   |         0.0          |     ulp error is less than 1, consider as pass     |
| [0, 1] | [32, 1536] | [1536, 1] | [32, 12]  |    Float    |  [12, 1]  | [32, 1536] |  bfloat16   | [1536, 1] | _input_normal |  [1536]   |  bfloat16   |    [1]    | _weight_normal  | bfloat16 | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999972086066726 | 6.048067007213831e-07 |                   |                    |                        |            |       0.078125        | 1.915270511775465e-07  |           0           | 0.006669296633655611  | 0.0019590150854118713 |    65529.0    |    22572.47    |         1.0          | Max abs error is less than 0.001, consider as pass |
