Test Case: H20SXM_vllm.ops.NATIVE_C-rms_norm_per_token_group_quant_fp8
| output |    _tensor    |  strides  |  _tensor_1  | precision_1 | strides_1 | ulp_dtype |   _tensor_2   | precision_2 | strides_2 | distributions | _tensor_3 | precision_3 | strides_3 | distributions_1 |  dtype   | status | b_device | b_dtype | rtol  | atol  |     cosine_sim     |      max_abs_err       | rel_err_hundredth | rel_err_thousandth | rel_err_ten_thousandth | error_rate |           eb           |          rmse          | small_value_err_ratio  |     max_rel_error     |    mean_rel_error     | max_ulp_error | mean_ulp_error | ulp_error_proportion |                      message                       |
| [0, 1] | [30000, 7168] | [7168, 1] | [30000, 56] |    Float    |  [56, 1]  |   bf16    | [30000, 7168] |  bfloat16   | [7168, 1] | _input_normal |  [7168]   |  bfloat16   |    [1]    | _weight_normal  | bfloat16 | error  |   cpu    |  e4m3   | 1e-06 | 1e-09 | 0.9998671660004202 |          32.0          |                   | 0.962411170014881  |   0.962411170014881    |            | 2.9389880952380953e-06 |   1.773052940126699    | 0.00016365272890925457 |      0.99993896       |     0.0033141335      |      1.0      |   0.03728368   |         0.0          |     ulp error is less than 1, consider as pass     |
| [0, 1] | [30000, 7168] | [7168, 1] | [30000, 56] |    Float    |  [56, 1]  |   bf16    | [30000, 7168] |  bfloat16   | [7168, 1] | _input_normal |  [7168]   |  bfloat16   |    [1]    | _weight_normal  | bfloat16 | error  |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999971703510016 | 1.5098194126039743e-06 |                   |                    |                        |            |  0.00690297619047619   | 1.9022991771293182e-07 |           0            | 0.006756756756735497  | 0.0019386988110292201 |      1.0      |   0.34139144   |         0.0          | Max abs error is less than 0.001, consider as pass |
| [0, 1] | [30000, 7168] | [7168, 1] | [30000, 56] |    Float    |  [56, 1]  |   bf16    | [30000, 7168] |  bfloat16   | [7168, 1] | _input_normal |  [7168]   |  bfloat16   |    [1]    | _weight_normal  | bfloat16 | error  |   cpu    |  e4m3   | 1e-06 | 1e-09 | 0.9998677827386676 |          32.0          |                   | 0.9624413411458334 |   0.9624413411458334   |            | 1.9066220238095238e-06 |   1.7484373386835381   | 0.00017377201112140871 |      0.99993896       |     0.0033121472      |      1.0      |   0.03725388   |         0.0          |     ulp error is less than 1, consider as pass     |
| [0, 1] | [30000, 7168] | [7168, 1] | [30000, 56] |    Float    |  [56, 1]  |   bf16    | [30000, 7168] |  bfloat16   | [7168, 1] | _input_normal |  [7168]   |  bfloat16   |    [1]    | _weight_normal  | bfloat16 | error  |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999971821128132 | 1.3256212696433067e-06 |                   |                    |                        |            |  0.008080357142857143  | 1.920548498591012e-07  |           0            | 0.006756756756735497  | 0.0019369083420988631 |   1.0000305   |   0.34148288   |         0.0          | Max abs error is less than 0.001, consider as pass |
| [0, 1] | [30000, 7168] | [7168, 1] | [30000, 56] |    Float    |  [56, 1]  |   bf16    | [30000, 7168] |  bfloat16   | [7168, 1] | _input_normal |  [7168]   |  bfloat16   |    [1]    | _weight_normal  | bfloat16 | error  |   cpu    |  e4m3   | 1e-06 | 1e-09 | 0.9998677274664077 |          32.0          |                   | 0.9624464285714286 |   0.9624464285714286   |            | 1.8229166666666666e-06 |   1.7430394876863555   | 4.523965708339931e-05  |      0.99993896       |     0.0033115956      |      1.0      |   0.03725131   |         0.0          |     ulp error is less than 1, consider as pass     |
| [0, 1] | [30000, 7168] | [7168, 1] | [30000, 56] |    Float    |  [56, 1]  |   bf16    | [30000, 7168] |  bfloat16   | [7168, 1] | _input_normal |  [7168]   |  bfloat16   |    [1]    | _weight_normal  | bfloat16 | error  |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999971820554616 | 1.8762366380542517e-06 |                   |                    |                        |            | 0.0073220238095238095  | 1.9403460580414799e-07 |           0            | 0.006756756756735497  | 0.001937886777126343  |   1.0000153   |   0.34213924   |         0.0          | Max abs error is less than 0.001, consider as pass |
| [0, 1] | [30000, 7168] | [7168, 1] | [30000, 56] |    Float    |  [56, 1]  |   bf16    | [30000, 7168] |  bfloat16   | [7168, 1] | _input_normal |  [7168]   |  bfloat16   |    [1]    | _weight_normal  | bfloat16 | error  |   cpu    |  e4m3   | 1e-06 | 1e-09 | 0.9998680837105336 |          32.0          |                   | 0.9624717912946429 |   0.9624717912946429   |            | 2.1940104166666666e-05 |   1.7348238972109942   | 0.00012615643397813288 |      0.99993896       |     0.0033102937      |      1.0      |   0.03722478   |         0.0          |     ulp error is less than 1, consider as pass     |
| [0, 1] | [30000, 7168] | [7168, 1] | [30000, 56] |    Float    |  [56, 1]  |   bf16    | [30000, 7168] |  bfloat16   | [7168, 1] | _input_normal |  [7168]   |  bfloat16   |    [1]    | _weight_normal  | bfloat16 | error  |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999971976268129 | 1.5603145584464073e-06 |                   |                    |                        |            |  0.008920833333333333  | 1.9633679987977588e-07 |           0            | 0.0067563471433466716 | 0.0019344622627268568 |   1.0000305   |   0.3415131    |         0.0          | Max abs error is less than 0.001, consider as pass |
| [0, 1] | [30000, 7168] | [7168, 1] | [30000, 56] |    Float    |  [56, 1]  |   bf16    | [30000, 7168] |  bfloat16   | [7168, 1] | _input_normal |  [7168]   |  bfloat16   |    [1]    | _weight_normal  | bfloat16 | error  |   cpu    |  e4m3   | 1e-06 | 1e-09 | 0.9998673826561849 |          32.0          |                   | 0.9624082961309524 |   0.9624082961309524   |            | 7.161458333333333e-07  |   1.7552487954272662   | 0.00015906680805938495 |      0.99993896       |     0.0033146313      |      1.0      |  0.037285313   |         0.0          |     ulp error is less than 1, consider as pass     |
| [0, 1] | [30000, 7168] | [7168, 1] | [30000, 56] |    Float    |  [56, 1]  |   bf16    | [30000, 7168] |  bfloat16   | [7168, 1] | _input_normal |  [7168]   |  bfloat16   |    [1]    | _weight_normal  | bfloat16 | error  |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999971811986285 | 1.358159352093935e-06  |                   |                    |                        |            |  0.007786904761904762  | 1.951695367854827e-07  |           0            | 0.006756756756735497  | 0.0019418754974347254 |   1.0000305   |   0.34183463   |         0.0          | Max abs error is less than 0.001, consider as pass |
| [0, 1] | [30000, 7168] | [7168, 1] | [30000, 56] |    Float    |  [56, 1]  |   bf16    | [30000, 7168] |  bfloat16   | [7168, 1] | _input_normal |  [7168]   |  bfloat16   |    [1]    | _weight_normal  | bfloat16 | error  |   cpu    |  e4m3   | 1e-06 | 1e-09 | 0.9998676927146529 |          32.0          |                   | 0.962439783296131  |   0.962439783296131    |            | 1.7368861607142858e-05 |   1.7533088897699725   | 7.271669575334496e-05  |      0.99993896       |     0.0033118927      |      1.0      |   0.03725635   |         0.0          |     ulp error is less than 1, consider as pass     |
| [0, 1] | [30000, 7168] | [7168, 1] | [30000, 56] |    Float    |  [56, 1]  |   bf16    | [30000, 7168] |  bfloat16   | [7168, 1] | _input_normal |  [7168]   |  bfloat16   |    [1]    | _weight_normal  | bfloat16 | error  |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999971844653938 | 1.7964630387723446e-06 |                   |                    |                        |            |  0.00859702380952381   | 1.9262873869494432e-07 |           0            | 0.006756549163694493  | 0.001934723590465754  |   1.0000153   |   0.34152493   |         0.0          | Max abs error is less than 0.001, consider as pass |
| [0, 1] | [30000, 7168] | [7168, 1] | [30000, 56] |    Float    |  [56, 1]  |   bf16    | [30000, 7168] |  bfloat16   | [7168, 1] | _input_normal |  [7168]   |  bfloat16   |    [1]    | _weight_normal  | bfloat16 | error  |   cpu    |  e4m3   | 1e-06 | 1e-09 | 0.9998678491232178 |          32.0          |                   | 0.9624511439732143 |   0.9624511439732143   |            | 1.088169642857143e-06  |   1.7411108629033143   | 0.00024770869457517957 |      0.99993896       |     0.0033102585      |      1.0      |  0.037245892   |         0.0          |     ulp error is less than 1, consider as pass     |
| [0, 1] | [30000, 7168] | [7168, 1] | [30000, 56] |    Float    |  [56, 1]  |   bf16    | [30000, 7168] |  bfloat16   | [7168, 1] | _input_normal |  [7168]   |  bfloat16   |    [1]    | _weight_normal  | bfloat16 | error  |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999971969163778 | 1.4187244232743979e-06 |                   |                    |                        |            |        0.00775         | 1.9853388736463816e-07 |           0            | 0.006756654353419964  | 0.0019357824405430533 |      1.0      |    0.341717    |         0.0          | Max abs error is less than 0.001, consider as pass |
| [0, 1] | [30000, 7168] | [7168, 1] | [30000, 56] |    Float    |  [56, 1]  |   bf16    | [30000, 7168] |  bfloat16   | [7168, 1] | _input_normal |  [7168]   |  bfloat16   |    [1]    | _weight_normal  | bfloat16 | error  |   cpu    |  e4m3   | 1e-06 | 1e-09 | 0.9998676963951435 |          32.0          |                   | 0.9624558361235119 |   0.9624558361235119   |            |     2.63671875e-06     |   1.7547514419744406   | 0.00017241379310344826 |      0.99993896       |     0.0033104816      |      1.0      |   0.0372406    |         0.0          |     ulp error is less than 1, consider as pass     |
| [0, 1] | [30000, 7168] | [7168, 1] | [30000, 56] |    Float    |  [56, 1]  |   bf16    | [30000, 7168] |  bfloat16   | [7168, 1] | _input_normal |  [7168]   |  bfloat16   |    [1]    | _weight_normal  | bfloat16 | error  |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999971843297581 | 1.6460544429719448e-06 |                   |                    |                        |            |  0.007906547619047619  | 1.9175876221467002e-07 |           0            | 0.0067563471433466716 | 0.001936608840036629  |   1.0000305   |   0.34145418   |         0.0          | Max abs error is less than 0.001, consider as pass |
