Test Case: H20SXM_vllm.ops.NATIVE_C-silu_mul_per_token_group_quant
| output |  _tensor   |  strides  | _tensor_1 | precision_1 | strides_1 | _tensor_2  | precision_2 | strides_2 | distributions |  dtype   | status  | b_device | b_dtype | rtol  | atol  |     cosine_sim     |      max_abs_err       | rel_err_hundredth | rel_err_thousandth | rel_err_ten_thousandth | error_rate |         eb         |          rmse          | small_value_err_ratio |     max_rel_error     |    mean_rel_error     | max_ulp_error | mean_ulp_error | ulp_error_proportion |                      message                       |
| [0, 1] | [32, 2048] | [2048, 1] | [32, 16]  |    Float    |  [16, 1]  | [32, 4096] |  bfloat16   | [4096, 1] | _input_normal | bfloat16 |  pass   |   cpu    |  e4m3   | 1e-06 | 1e-09 | 0.9998252930962422 |          32.0          |                   |  0.9488525390625   |    0.9488525390625     |            | 0.000762939453125  |   2.0081843395670242   |          0.0          |         0.125         |     0.0045120777      |      1.0      |   0.05078888   |         0.0          |     ulp error is less than 1, consider as pass     |
| [0, 1] | [32, 2048] | [2048, 1] | [32, 16]  |    Float    |  [16, 1]  | [32, 4096] |  bfloat16   | [4096, 1] | _input_normal | bfloat16 | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999939498624667 | 5.7719944379641674e-09 |                   |                    |                        |            |      0.171875      |          0.0           |      0.37109375       |           0           |           0           |   135008.0    |    33490.56    |     0.998046875      | Max abs error is less than 0.001, consider as pass |
| [0, 1] | [32, 2048] | [2048, 1] | [32, 16]  |    Float    |  [16, 1]  | [32, 4096] |  bfloat16   | [4096, 1] | _input_normal | bfloat16 |  pass   |   cpu    |  e4m3   | 1e-06 | 1e-09 | 0.9998257151713771 |          32.0          |                   | 0.9478912353515625 |   0.9478912353515625   |            | 0.0019073486328125 |   2.0398083586560642   |          0.0          |         0.125         |      0.004612514      |      1.0      |  0.051765442   |         0.0          |     ulp error is less than 1, consider as pass     |
| [0, 1] | [32, 2048] | [2048, 1] | [32, 16]  |    Float    |  [16, 1]  | [32, 4096] |  bfloat16   | [4096, 1] | _input_normal | bfloat16 | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999940572160821 | 3.663245706775342e-09  |                   |                    |                        |            |      0.234375      |          0.0           |      0.36328125       |           0           |           0           |   167989.0    |    34674.69    |     0.998046875      | Max abs error is less than 0.001, consider as pass |
| [0, 1] | [32, 2048] | [2048, 1] | [32, 16]  |    Float    |  [16, 1]  | [32, 4096] |  bfloat16   | [4096, 1] | _input_normal | bfloat16 |  pass   |   cpu    |  e4m3   | 1e-06 | 1e-09 | 0.9998206208892519 |          32.0          |                   | 0.950103759765625  |   0.950103759765625    |            | 0.001190185546875  |   2.0541539877817945   |          0.0          |         0.125         |      0.004380512      |      1.0      |   0.04950714   |         0.0          |     ulp error is less than 1, consider as pass     |
| [0, 1] | [32, 2048] | [2048, 1] | [32, 16]  |    Float    |  [16, 1]  | [32, 4096] |  bfloat16   | [4096, 1] | _input_normal | bfloat16 | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999943520346644 | 4.757879423777922e-09  |                   |                    |                        |            |     0.1171875      |          0.0           |      0.36328125       |           0           |           0           |   167403.0    |    32898.23    |         1.0          | Max abs error is less than 0.001, consider as pass |
| [0, 1] | [32, 2048] | [2048, 1] | [32, 16]  |    Float    |  [16, 1]  | [32, 4096] |  bfloat16   | [4096, 1] | _input_normal | bfloat16 |  pass   |   cpu    |  e4m3   | 1e-06 | 1e-09 | 0.9998183066543999 |          32.0          |                   | 0.9500885009765625 |   0.9500885009765625   |            | 0.0002288818359375 |   2.061437959701652    |          0.0          |         0.125         |      0.004401367      |      1.0      |  0.049491882   |         0.0          |     ulp error is less than 1, consider as pass     |
| [0, 1] | [32, 2048] | [2048, 1] | [32, 16]  |    Float    |  [16, 1]  | [32, 4096] |  bfloat16   | [4096, 1] | _input_normal | bfloat16 | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.999994718509522  | 4.251489826856414e-09  |                   |                    |                        |            |     0.10546875     | 2.1951832943890218e-10 |  0.3639921722113503   | 0.0002175191818547276 | 0.0002175191818547276 |   143931.0    |   32451.535    |         1.0          | Max abs error is less than 0.001, consider as pass |
| [0, 1] | [32, 2048] | [2048, 1] | [32, 16]  |    Float    |  [16, 1]  | [32, 4096] |  bfloat16   | [4096, 1] | _input_normal | bfloat16 |  pass   |   cpu    |  e4m3   | 1e-06 | 1e-09 | 0.9998191499595336 |          32.0          |                   | 0.9477386474609375 |   0.9477386474609375   |            | 4.57763671875e-05  |   2.054685225218959    |          0.0          |      0.33332655       |     0.0045832577      |      1.0      |   0.05192566   |         0.0          |     ulp error is less than 1, consider as pass     |
| [0, 1] | [32, 2048] | [2048, 1] | [32, 16]  |    Float    |  [16, 1]  | [32, 4096] |  bfloat16   | [4096, 1] | _input_normal | bfloat16 | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999936785317808 | 5.505853550857864e-09  |                   |                    |                        |            |     0.16796875     |          0.0           |       0.359375        |           0           |           0           |   135676.0    |   34298.477    |         1.0          | Max abs error is less than 0.001, consider as pass |
