Test Case: H20SXM_vllm.ops.NATIVE_C-silu_mul_per_token_group_quant
| output |    _tensor     |  strides   |  _tensor_1   | precision_1 | strides_1 | ulp_dtype |   _tensor_2    | precision_2 | strides_2  | distributions |  dtype   | status | b_device | b_dtype | rtol  | atol  |     cosine_sim     |      max_abs_err       | rel_err_hundredth | rel_err_thousandth | rel_err_ten_thousandth | error_rate |           eb           |          rmse          | small_value_err_ratio  |     max_rel_error     |    mean_rel_error     | max_ulp_error | mean_ulp_error | ulp_error_proportion |                      message                       |
| [0, 1] | [30000, 18432] | [18432, 1] | [30000, 144] |    Float    | [144, 1]  |   bf16    | [30000, 36864] |  bfloat16   | [36864, 1] | _input_normal | bfloat16 | error  |   cpu    |  e4m3   | 1e-06 | 1e-09 | 0.9998218836777378 |          32.0          |                   | 0.9497738805700231 |   0.9497738805700231   |            | 6.656901041666667e-06  |   2.0419776239792373   |  0.000545269197031839  |      0.99993896       |      0.004424977      |      1.0      |  0.049852517   |         0.0          |     ulp error is less than 1, consider as pass     |
| [0, 1] | [30000, 18432] | [18432, 1] | [30000, 144] |    Float    | [144, 1]  |   bf16    | [30000, 36864] |  bfloat16   | [36864, 1] | _input_normal | bfloat16 | error  |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999941301175762 | 9.270593182009179e-09  |                   |                    |                        |            |  0.14321805555555556   | 3.0338160815849576e-09 |   0.3591556093743091   | 0.007401947679003828  | 0.002169491134403647  |   2.6636353   |   0.50893646   |         0.0          | Max abs error is less than 0.001, consider as pass |
| [0, 1] | [30000, 18432] | [18432, 1] | [30000, 144] |    Float    | [144, 1]  |   bf16    | [30000, 36864] |  bfloat16   | [36864, 1] | _input_normal | bfloat16 | error  |   cpu    |  e4m3   | 1e-06 | 1e-09 | 0.9998216722089225 |          32.0          |                   |  0.9497537109375   |    0.9497537109375     |            | 1.2767650462962962e-06 |   2.0429493945821484   | 0.0004938503868494697  |      0.99993896       |      0.004426902      |      1.0      |  0.049874414   |         0.0          |     ulp error is less than 1, consider as pass     |
| [0, 1] | [30000, 18432] | [18432, 1] | [30000, 144] |    Float    | [144, 1]  |   bf16    | [30000, 36864] |  bfloat16   | [36864, 1] | _input_normal | bfloat16 | error  |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999941405310488 |  9.80526237981394e-09  |                   |                    |                        |            |  0.14486574074074074   | 3.2935645260134403e-09 |   0.3588424571280418   | 0.009078036398062072  | 0.002338804498750668  |   2.6636353   |    0.508816    |         0.0          | Max abs error is less than 0.001, consider as pass |
| [0, 1] | [30000, 18432] | [18432, 1] | [30000, 144] |    Float    | [144, 1]  |   bf16    | [30000, 36864] |  bfloat16   | [36864, 1] | _input_normal | bfloat16 | error  |   cpu    |  e4m3   | 1e-06 | 1e-09 | 0.9998217229417875 |          32.0          |                   | 0.9497612612123842 |   0.9497612612123842   |            | 7.915581597222222e-06  |   2.0428106348277115   | 0.0004973592591715416  |      0.99993896       |      0.00442617       |      1.0      |  0.049866334   |         0.0          |     ulp error is less than 1, consider as pass     |
| [0, 1] | [30000, 18432] | [18432, 1] | [30000, 144] |    Float    | [144, 1]  |   bf16    | [30000, 36864] |  bfloat16   | [36864, 1] | _input_normal | bfloat16 | error  |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999941375392252 |  8.82249651112943e-09  |                   |                    |                        |            |       0.1439375        | 3.1431109828120255e-09 |   0.3593131305368196   | 0.007341063289559712  | 0.002367875131254251  |   2.6636353   |   0.5088792    |         0.0          | Max abs error is less than 0.001, consider as pass |
| [0, 1] | [30000, 18432] | [18432, 1] | [30000, 144] |    Float    | [144, 1]  |   bf16    | [30000, 36864] |  bfloat16   | [36864, 1] | _input_normal | bfloat16 | error  |   cpu    |  e4m3   | 1e-06 | 1e-09 | 0.9998218131615896 |          32.0          |                   | 0.9497598795572917 |   0.9497598795572917   |            | 6.183087384259259e-06  |   2.0426592970036994   | 0.00042657060928502025 |      0.99993896       |     0.0044263275      |      1.0      |   0.0498675    |         0.0          |     ulp error is less than 1, consider as pass     |
| [0, 1] | [30000, 18432] | [18432, 1] | [30000, 144] |    Float    | [144, 1]  |   bf16    | [30000, 36864] |  bfloat16   | [36864, 1] | _input_normal | bfloat16 | error  |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999941364636388 |  8.49536263558548e-09  |                   |                    |                        |            |   0.1448550925925926   | 3.055310155139695e-09  |  0.35880976935461656   | 0.007165190077603092  | 0.002307596267333083  |   2.6636353   |   0.5089426    |         0.0          | Max abs error is less than 0.001, consider as pass |
| [0, 1] | [30000, 18432] | [18432, 1] | [30000, 144] |    Float    | [144, 1]  |   bf16    | [30000, 36864] |  bfloat16   | [36864, 1] | _input_normal | bfloat16 | error  |   cpu    |  e4m3   | 1e-06 | 1e-09 | 0.9998218177254105 |          32.0          |                   | 0.9497750126591435 |   0.9497750126591435   |            | 4.9497251157407404e-06 |   2.0424589770784634   |  0.000378527999242944  |      0.99993896       |      0.004424874      |      1.0      |   0.04985233   |         0.0          |     ulp error is less than 1, consider as pass     |
| [0, 1] | [30000, 18432] | [18432, 1] | [30000, 144] |    Float    | [144, 1]  |   bf16    | [30000, 36864] |  bfloat16   | [36864, 1] | _input_normal | bfloat16 | error  |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999941365040593 |  9.1229139798088e-09   |                   |                    |                        |            |   0.1450138888888889   | 3.289730991509068e-09  |   0.359179387603311    |  0.00803873049021919  | 0.0024224214868464296 |   2.6636353   |   0.50896716   |         0.0          | Max abs error is less than 0.001, consider as pass |
| [0, 1] | [30000, 18432] | [18432, 1] | [30000, 144] |    Float    | [144, 1]  |   bf16    | [30000, 36864] |  bfloat16   | [36864, 1] | _input_normal | bfloat16 | error  |   cpu    |  e4m3   | 1e-06 | 1e-09 | 0.9998216533368197 |          32.0          |                   | 0.9497451262297454 |   0.9497451262297454   |            | 7.405598958333333e-06  |   2.0433033486182746   | 0.00035344847899337873 |      0.99993896       |     0.0044278163      |      1.0      |  0.049881395   |         0.0          |     ulp error is less than 1, consider as pass     |
| [0, 1] | [30000, 18432] | [18432, 1] | [30000, 144] |    Float    | [144, 1]  |   bf16    | [30000, 36864] |  bfloat16   | [36864, 1] | _input_normal | bfloat16 | error  |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999941371562443 | 9.556060831528157e-09  |                   |                    |                        |            |  0.14453564814814815   | 3.126551886527954e-09  |   0.3592663917036066   | 0.007546404813346186  | 0.002250580659622686  |   2.6636353   |   0.50923234   |         0.0          | Max abs error is less than 0.001, consider as pass |
| [0, 1] | [30000, 18432] | [18432, 1] | [30000, 144] |    Float    | [144, 1]  |   bf16    | [30000, 36864] |  bfloat16   | [36864, 1] | _input_normal | bfloat16 | error  |   cpu    |  e4m3   | 1e-06 | 1e-09 | 0.9998217321452886 |          32.0          |                   | 0.9497541051793982 |   0.9497541051793982   |            | 3.6241319444444445e-06 |   2.0427661906221055   |  0.000378223766635936  |      0.99993896       |      0.004427008      |      1.0      |  0.049873054   |         0.0          |     ulp error is less than 1, consider as pass     |
| [0, 1] | [30000, 18432] | [18432, 1] | [30000, 144] |    Float    | [144, 1]  |   bf16    | [30000, 36864] |  bfloat16   | [36864, 1] | _input_normal | bfloat16 | error  |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999941308715278 |  8.49536263558548e-09  |                   |                    |                        |            |   0.1447513888888889   | 3.190357094406437e-09  |   0.3596351075315613   | 0.006954031168902334  | 0.002446307152885149  |   2.6636353   |   0.50940454   |         0.0          | Max abs error is less than 0.001, consider as pass |
| [0, 1] | [30000, 18432] | [18432, 1] | [30000, 144] |    Float    | [144, 1]  |   bf16    | [30000, 36864] |  bfloat16   | [36864, 1] | _input_normal | bfloat16 | error  |   cpu    |  e4m3   | 1e-06 | 1e-09 | 0.9998216924228992 |          32.0          |                   | 0.949786669921875  |   0.949786669921875    |            | 1.543872974537037e-05  |   2.0432039573435374   | 0.0005227764180310339  |      0.99993896       |     0.0044238977      |      1.0      |  0.049842026   |         0.0          |     ulp error is less than 1, consider as pass     |
| [0, 1] | [30000, 18432] | [18432, 1] | [30000, 144] |    Float    | [144, 1]  |   bf16    | [30000, 36864] |  bfloat16   | [36864, 1] | _input_normal | bfloat16 | error  |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999941430567414 | 8.697156772541348e-09  |                   |                    |                        |            |  0.14460277777777777   | 3.5013121712070572e-09 |   0.3589219653132358   | 0.0075671144808562895 | 0.002632394650413225  |   2.6636353   |   0.5085805    |         0.0          | Max abs error is less than 0.001, consider as pass |
| [0, 1] | [30000, 18432] | [18432, 1] | [30000, 144] |    Float    | [144, 1]  |   bf16    | [30000, 36864] |  bfloat16   | [36864, 1] | _input_normal | bfloat16 | error  |   cpu    |  e4m3   | 1e-06 | 1e-09 | 0.9998217036789322 |          32.0          |                   | 0.949753539134838  |   0.949753539134838    |            | 2.2768373842592595e-06 |   2.043046230862764    | 0.0006126729033626316  |      0.99993896       |     0.0044267625      |      1.0      |  0.049873892   |         0.0          |     ulp error is less than 1, consider as pass     |
| [0, 1] | [30000, 18432] | [18432, 1] | [30000, 144] |    Float    | [144, 1]  |   bf16    | [30000, 36864] |  bfloat16   | [36864, 1] | _input_normal | bfloat16 | error  |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999941383999973 | 9.189250249619363e-09  |                   |                    |                        |            |  0.14451157407407408   | 2.819936626651961e-09  |  0.35914085278127905   | 0.006821381511001342  | 0.002150158498476774  |   2.6636353   |   0.5088864    |         0.0          | Max abs error is less than 0.001, consider as pass |
| [0, 1] | [30000, 18432] | [18432, 1] | [30000, 144] |    Float    | [144, 1]  |   bf16    | [30000, 36864] |  bfloat16   | [36864, 1] | _input_normal | bfloat16 | error  |   cpu    |  e4m3   | 1e-06 | 1e-09 | 0.9998216560341653 |          32.0          |                   | 0.9497677372685185 |   0.9497677372685185   |            | 3.606047453703704e-06  |   2.043096665249449    | 0.00037979491074819596 |      0.99993896       |     0.0044255685      |      1.0      |   0.04985968   |         0.0          |     ulp error is less than 1, consider as pass     |
| [0, 1] | [30000, 18432] | [18432, 1] | [30000, 144] |    Float    | [144, 1]  |   bf16    | [30000, 36864] |  bfloat16   | [36864, 1] | _input_normal | bfloat16 | error  |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.999994134480782  | 1.011699168884661e-08  |                   |                    |                        |            |  0.14400601851851852   | 3.309012149709432e-09  |  0.35895891456143647   | 0.007576822272150003  | 0.0023929719965488294 |   2.6636353   |   0.5089019    |         0.0          | Max abs error is less than 0.001, consider as pass |
| [0, 1] | [30000, 2048]  | [2048, 1]  | [30000, 16]  |    Float    |  [16, 1]  |   bf16    | [30000, 4096]  |  bfloat16   | [4096, 1]  | _input_normal | bfloat16 | error  |   cpu    |  e4m3   | 1e-06 | 1e-09 | 0.9998217168959175 |          32.0          |                   |  0.9497900390625   |    0.9497900390625     |            | 2.2916666666666667e-05 |   2.042265483570715    | 0.00042471862391165854 |      0.99993896       |     0.0044235964      |      1.0      |   0.04983875   |         0.0          |     ulp error is less than 1, consider as pass     |
| [0, 1] | [30000, 2048]  | [2048, 1]  | [30000, 16]  |    Float    |  [16, 1]  |   bf16    | [30000, 4096]  |  bfloat16   | [4096, 1]  | _input_normal | bfloat16 | error  |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999941587509236 |  8.34131697047269e-09  |                   |                    |                        |            |  0.14399166666666666   |  3.27504528799264e-09  |   0.3583155201653395   | 0.0065456033240943075 | 0.0022255560914272365 |   2.6636353   |   0.5081094    |         0.0          | Max abs error is less than 0.001, consider as pass |
| [0, 1] | [30000, 2048]  | [2048, 1]  | [30000, 16]  |    Float    |  [16, 1]  |   bf16    | [30000, 4096]  |  bfloat16   | [4096, 1]  | _input_normal | bfloat16 | error  |   cpu    |  e4m3   | 1e-06 | 1e-09 | 0.9998215736280605 |          32.0          |                   | 0.9497687337239583 |   0.9497687337239583   |            | 1.3492838541666666e-05 |   2.0443499715703757   | 0.0006414368184733803  |      0.99993896       |     0.0044250344      |      1.0      |   0.04985678   |         0.0          |     ulp error is less than 1, consider as pass     |
| [0, 1] | [30000, 2048]  | [2048, 1]  | [30000, 16]  |    Float    |  [16, 1]  |   bf16    | [30000, 4096]  |  bfloat16   | [4096, 1]  | _input_normal | bfloat16 | error  |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.999994148790129  | 7.703533810854424e-09  |                   |                    |                        |            |  0.14198333333333332   | 3.218411327900462e-09  |   0.3588046927248597   | 0.006363051845279178  | 0.0024871528739498906 |   2.6636353   |   0.5081627    |         0.0          | Max abs error is less than 0.001, consider as pass |
| [0, 1] | [30000, 2048]  | [2048, 1]  | [30000, 16]  |    Float    |  [16, 1]  |   bf16    | [30000, 4096]  |  bfloat16   | [4096, 1]  | _input_normal | bfloat16 | error  |   cpu    |  e4m3   | 1e-06 | 1e-09 | 0.9998218854500012 |          32.0          |                   | 0.9497390950520833 |   0.9497390950520833   |            |    2.197265625e-05     |   2.0424960150456934   | 0.0006482281763180639  |      0.99993896       |     0.0044278046      |      1.0      |  0.049888875   |         0.0          |     ulp error is less than 1, consider as pass     |
| [0, 1] | [30000, 2048]  | [2048, 1]  | [30000, 16]  |    Float    |  [16, 1]  |   bf16    | [30000, 4096]  |  bfloat16   | [4096, 1]  | _input_normal | bfloat16 | error  |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999941349112024 | 7.918913524918025e-09  |                   |                    |                        |            |  0.14507083333333334   | 2.7915678449064346e-09 |  0.35862119254968955   |  0.00580036194794407  | 0.002192445439376609  |   2.6636353   |    0.50913     |         0.0          | Max abs error is less than 0.001, consider as pass |
| [0, 1] | [30000, 2048]  | [2048, 1]  | [30000, 16]  |    Float    |  [16, 1]  |   bf16    | [30000, 4096]  |  bfloat16   | [4096, 1]  | _input_normal | bfloat16 | error  |   cpu    |  e4m3   | 1e-06 | 1e-09 | 0.9998216657876718 |          32.0          |                   | 0.949716845703125  |   0.949716845703125    |            | 7.828776041666667e-06  |   2.0431395063648483   | 0.0006565988181221273  |      0.99993896       |      0.004429835      |      1.0      |  0.049910687   |         0.0          |     ulp error is less than 1, consider as pass     |
| [0, 1] | [30000, 2048]  | [2048, 1]  | [30000, 16]  |    Float    |  [16, 1]  |   bf16    | [30000, 4096]  |  bfloat16   | [4096, 1]  | _input_normal | bfloat16 | error  |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999941229665252 | 1.1023303159163333e-08 |                   |                    |                        |            |  0.14575416666666666   | 4.063404383793854e-09  |   0.3601190042147326   | 0.009755309368621014  | 0.0027954868726102356 |   2.6636353   |   0.5097702    |         0.0          | Max abs error is less than 0.001, consider as pass |
| [0, 1] | [30000, 2048]  | [2048, 1]  | [30000, 16]  |    Float    |  [16, 1]  |   bf16    | [30000, 4096]  |  bfloat16   | [4096, 1]  | _input_normal | bfloat16 | error  |   cpu    |  e4m3   | 1e-06 | 1e-09 | 0.9998218012820176 |          32.0          |                   |  0.94977353515625  |    0.94977353515625    |            | 4.4954427083333336e-05 |   2.0424053622881813   |  0.000640888698995941  |      0.99993896       |     0.0044251224      |      1.0      |  0.049856097   |         0.0          |     ulp error is less than 1, consider as pass     |
| [0, 1] | [30000, 2048]  | [2048, 1]  | [30000, 16]  |    Float    |  [16, 1]  |   bf16    | [30000, 4096]  |  bfloat16   | [4096, 1]  | _input_normal | bfloat16 | error  |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999941397969005 |  8.49536263558548e-09  |                   |                    |                        |            |  0.14319166666666666   | 2.334196302047791e-09  |   0.358943642458473    | 0.0032914235053134806 | 0.0018288920790497404 |   2.6636353   |   0.50894564   |         0.0          | Max abs error is less than 0.001, consider as pass |
