Test Case: H20SXM_vllm.ops.NATIVE_C-silu_mul_per_token_group_quant_with_size
| output |     _tensor      |     strides      |   _tensor_1    | precision_1 |  strides_1   |    _tensor_2     | precision_2 |    strides_2     | distributions | precision_3 | strides_3 |  _val   |  dtype   | status  | b_device | b_dtype | rtol  | atol  |     cosine_sim     |      max_abs_err       | rel_err_hundredth | rel_err_thousandth | rel_err_ten_thousandth | error_rate |           eb           |          rmse          | small_value_err_ratio  |    max_rel_error     |    mean_rel_error     | max_ulp_error | mean_ulp_error | ulp_error_proportion |                      message                       |
| [0, 1] | [26902, 8, 2048] | [16384, 2048, 1] | [26902, 8, 16] |    Float    | [128, 16, 1] | [26902, 8, 4096] |  bfloat16   | [32768, 4096, 1] | _input_normal |    long     |    [1]    | [26902] | bfloat16 |  pass   |   cpu    |  e4m3   | 1e-06 | 1e-09 | 0.9998230672687265 |          32.0          |                   | 0.9496329414402275 |   0.9496329414402275   |            | 2.8586832531038585e-06 |   2.0303865130741188   | 0.0004150607767565965  |      0.99993896      |      0.004389766      |      1.0      |  0.049510166   |         0.0          |     ulp error is less than 1, consider as pass     |
| [0, 1] | [26902, 8, 2048] | [16384, 2048, 1] | [26902, 8, 16] |    Float    | [128, 16, 1] | [26902, 8, 4096] |  bfloat16   | [32768, 4096, 1] | _input_normal |    long     |    [1]    | [26902] | bfloat16 | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999940165421985 | 1.216551481775241e-08  |                   |                    |                        |            |  0.08265765556464204   | 4.172502155106603e-09  |  0.35693879702484205   | 0.01050099023934123  | 0.003137286650812659  |   171038.0    |   32533.953    |  0.9992826973830942  | Max abs error is less than 0.001, consider as pass |
| [0, 1] | [26902, 8, 2048] | [16384, 2048, 1] | [26902, 8, 16] |    Float    | [128, 16, 1] | [26902, 8, 4096] |  bfloat16   | [32768, 4096, 1] | _input_normal |    long     |    [1]    | [26902] | bfloat16 |  pass   |   cpu    |  e4m3   | 1e-06 | 1e-09 | 0.9998232122801672 |          32.0          |                   | 0.949626538897259  |   0.949626538897259    |            | 8.303794211396923e-07  |   2.0293741898641415   | 0.0004745943701242844  |      0.99993896      |     0.0043907575      |      1.0      |  0.049517266   |         0.0          |     ulp error is less than 1, consider as pass     |
| [0, 1] | [26902, 8, 2048] | [16384, 2048, 1] | [26902, 8, 16] |    Float    | [128, 16, 1] | [26902, 8, 4096] |  bfloat16   | [32768, 4096, 1] | _input_normal |    long     |    [1]    | [26902] | bfloat16 | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999940245811314 | 9.963969205273315e-09  |                   |                    |                        |            |  0.08142575366143781   | 3.605641221708663e-09  |  0.35661942478573877   | 0.009015540500641215 | 0.0027582526475987052 |   171038.0    |    32504.69    |  0.9992580128800833  | Max abs error is less than 0.001, consider as pass |
| [0, 1] | [26902, 8, 2048] | [16384, 2048, 1] | [26902, 8, 16] |    Float    | [128, 16, 1] | [26902, 8, 4096] |  bfloat16   | [32768, 4096, 1] | _input_normal |    long     |    [1]    | [26902] | bfloat16 |  pass   |   cpu    |  e4m3   | 1e-06 | 1e-09 | 0.9998231499742493 |          32.0          |                   | 0.9496274237277897 |   0.9496274237277897   |            | 8.939057156531113e-07  |   2.030301042835662    | 0.00041741204531902206 |      0.99993896      |     0.0043908074      |      1.0      |  0.049515955   |         0.0          |     ulp error is less than 1, consider as pass     |
| [0, 1] | [26902, 8, 2048] | [16384, 2048, 1] | [26902, 8, 16] |    Float    | [128, 16, 1] | [26902, 8, 4096] |  bfloat16   | [32768, 4096, 1] | _input_normal |    long     |    [1]    | [26902] | bfloat16 | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999940186156973 |  1.10983364720596e-08  |                   |                    |                        |            |  0.08300381941863058   | 4.125609418528478e-09  |   0.3565705314368823   | 0.010031635688339532 | 0.0030562379827819277 |   171038.0    |   32512.807    |  0.9992644018102743  | Max abs error is less than 0.001, consider as pass |
| [0, 1] | [26902, 8, 2048] | [16384, 2048, 1] | [26902, 8, 16] |    Float    | [128, 16, 1] | [26902, 8, 4096] |  bfloat16   | [32768, 4096, 1] | _input_normal |    long     |    [1]    | [26902] | bfloat16 |  pass   |   cpu    |  e4m3   | 1e-06 | 1e-09 | 0.9998229559852067 |          32.0          |                   | 0.9496620795902431 |   0.9496620795902431   |            | 4.843879956648205e-06  |   2.0312463307669346   | 0.00047043603540031166 |      0.99993896      |      0.004387521      |      1.0      |   0.04948321   |         0.0          |     ulp error is less than 1, consider as pass     |
| [0, 1] | [26902, 8, 2048] | [16384, 2048, 1] | [26902, 8, 16] |    Float    | [128, 16, 1] | [26902, 8, 4096] |  bfloat16   | [32768, 4096, 1] | _input_normal |    long     |    [1]    | [26902] | bfloat16 | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999940307039593 | 9.307314030593261e-09  |                   |                    |                        |            |  0.08231671901717344   | 3.587504454680135e-09  |   0.3563951607422797   | 0.008397982381716313 | 0.002739384030085349  |   171038.0    |    32502.65    |  0.9992583032860011  | Max abs error is less than 0.001, consider as pass |
| [0, 1] | [26902, 8, 2048] | [16384, 2048, 1] | [26902, 8, 16] |    Float    | [128, 16, 1] | [26902, 8, 4096] |  bfloat16   | [32768, 4096, 1] | _input_normal |    long     |    [1]    | [26902] | bfloat16 |  pass   |   cpu    |  e4m3   | 1e-06 | 1e-09 | 0.9998229725292451 |          32.0          |                   | 0.9496234896351224 |   0.9496234896351224   |            | 8.380933283306075e-06  |   2.0313423556018946   | 0.0005340612390220745  |      0.99993896      |      0.00439116       |      1.0      |   0.04951736   |         0.0          |     ulp error is less than 1, consider as pass     |
| [0, 1] | [26902, 8, 2048] | [16384, 2048, 1] | [26902, 8, 16] |    Float    | [128, 16, 1] | [26902, 8, 4096] |  bfloat16   | [32768, 4096, 1] | _input_normal |    long     |    [1]    | [26902] | bfloat16 | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999940179598464 | 8.949655239121057e-09  |                   |                    |                        |            |  0.08181257434391495   | 3.573317135351865e-09  |  0.35668640902282017   | 0.007294362335834683 | 0.0027878269503187935 |   171038.0    |   32519.924    |  0.9992728235818898  | Max abs error is less than 0.001, consider as pass |
| [0, 1] | [26902, 8, 2048] | [16384, 2048, 1] | [26902, 8, 16] |    Float    | [128, 16, 1] | [26902, 8, 4096] |  bfloat16   | [32768, 4096, 1] | _input_normal |    long     |    [1]    | [26902] | bfloat16 |  pass   |   cpu    |  e4m3   | 1e-06 | 1e-09 | 0.9998230158106857 |          32.0          |                   | 0.9496184710578558 |   0.9496184710578558   |            | 4.437765431008847e-06  |   2.0309239714612244   | 0.00029565680158472046 |      0.99993896      |     0.0043914267      |      1.0      |  0.049524687   |         0.0          |     ulp error is less than 1, consider as pass     |
| [0, 1] | [26902, 8, 2048] | [16384, 2048, 1] | [26902, 8, 16] |    Float    | [128, 16, 1] | [26902, 8, 4096] |  bfloat16   | [32768, 4096, 1] | _input_normal |    long     |    [1]    | [26902] | bfloat16 | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999940159064653 | 1.2335249266470782e-08 |                   |                    |                        |            |  0.08059461192476396   | 3.909797118250063e-09  |   0.3562318672223271   | 0.011137212650146631 | 0.003028138473485343  |   171038.0    |    32505.8     |  0.9992745660173965  | Max abs error is less than 0.001, consider as pass |
| [0, 1] | [26902, 8, 2048] | [16384, 2048, 1] | [26902, 8, 16] |    Float    | [128, 16, 1] | [26902, 8, 4096] |  bfloat16   | [32768, 4096, 1] | _input_normal |    long     |    [1]    | [26902] | bfloat16 |  pass   |   cpu    |  e4m3   | 1e-06 | 1e-09 | 0.9998232268488603 |          32.0          |                   | 0.949637803470554  |   0.949637803470554    |            | 6.722443237259312e-06  |   2.029619846748582    | 0.00044242567248702216 |      0.99993896      |     0.0043896544      |      1.0      |   0.04950505   |         0.0          |     ulp error is less than 1, consider as pass     |
| [0, 1] | [26902, 8, 2048] | [16384, 2048, 1] | [26902, 8, 16] |    Float    | [128, 16, 1] | [26902, 8, 4096] |  bfloat16   | [32768, 4096, 1] | _input_normal |    long     |    [1]    | [26902] | bfloat16 | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999940233086201 | 8.949655239121057e-09  |                   |                    |                        |            |   0.0829904607464129   | 3.6493609380030602e-09 |  0.35660863885711264   | 0.007905039056984153 | 0.002907076263821486  |   171038.0    |   32526.719    |  0.9992707907404654  | Max abs error is less than 0.001, consider as pass |
